GCCSA_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
39499,0,0,15,32,6,31,10,30,4,128,22,29,26,59,21,40,20,91,20,325,71,158,110,162,61,44,71,332,27,1027,88,122,91,61,49,30,67,109,20,644,45,73,77,63,59,27,59,80,18,497,52,81,43,39,61,33,79,69,13,464,13,22,14,10,18,8,16,20,3,118,0,0,5,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,290,488,386,429,275,208,319,732,98,3219
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,6,0,6,0,6,0,0,0,0,0,3,0,13,0,4,0,0,0,0,0,10,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,17,0,29
4GADE,440,707,3161,6661,1403,12577,990,8269,540,34743,2675,9192,9810,13678,6885,10241,3045,8120,1155,64798,13513,42215,22964,21328,17237,9847,8281,13247,2566,151206,21889,42041,18795,17030,19277,7325,7602,10389,2533,146886,22578,32857,16330,15237,20866,7904,7841,10655,2292,136560,15310,23313,12373,11827,17644,6869,7422,9391,1613,105753,4166,7094,2898,2407,4516,1915,1654,2337,525,27511,673,830,282,143,425,259,117,253,236,3221,66,44,21,6,16,22,5,24,70,277,81303,158286,86638,88320,88271,56970,36958,62688,11530,670956
4RSAU,204,115,1494,1757,303,2957,291,2902,223,10244,729,1112,2645,2115,845,1482,889,2591,216,12616,3317,4942,5484,3867,2454,2162,2370,4582,501,29673,5313,5135,4416,3693,3423,1920,2493,3958,543,30900,6858,4964,4492,4437,4275,2451,3163,4720,667,36034,6917,4233,4002,4358,3984,2336,3379,4891,605,34708,3624,1417,1075,850,1175,580,980,1386,303,11392,985,135,115,41,159,70,82,208,173,1977,93,3,3,3,6,7,3,14,33,177,28042,22041,23719,21129,16620,13976,13657,25255,3280,167723
49499,0,0,0,7,0,6,4,15,0,32,0,0,3,8,0,12,3,18,5,61,17,38,31,27,15,15,14,48,6,211,23,36,21,17,12,11,12,21,3,156,10,18,18,13,5,3,21,23,6,128,10,19,17,11,18,8,9,16,5,106,0,3,0,5,9,5,3,5,0,26,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,66,123,106,76,64,57,66,141,27,724
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
5GPER,704,1277,5848,11396,2400,19300,2626,13079,865,57492,3814,13346,15783,20393,10001,15121,6097,11741,1651,97947,21113,66461,40312,28543,26510,13956,15901,18291,4264,235359,34809,69492,36739,24590,29847,11095,16124,15712,3997,242406,34746,53153,30190,22452,30437,11506,15513,15328,3422,216750,23153,35108,21445,16033,25179,9608,13566,13075,2269,159436,6258,10751,5074,3601,7012,3087,3585,4035,759,44167,896,1318,387,232,691,366,267,548,275,4982,60,69,13,8,50,23,9,37,88,360,125556,250973,155805,127252,132123,84068,73685,91834,17595,1058890
5RWAU,205,187,2319,2416,570,4139,598,3580,324,14326,780,1520,4138,2448,1475,1712,1647,3130,320,17168,4350,7993,10401,5106,4436,2581,4601,6074,778,46308,7561,9059,9906,5493,5650,2558,5323,5341,934,51823,8946,8318,8540,5718,6118,2944,6343,5479,942,53341,8041,6531,6305,4580,5396,2675,6134,5207,762,45633,3919,1959,1506,1024,1531,816,1691,1636,318,14400,1083,169,110,77,165,102,120,278,151,2246,135,8,0,3,5,10,4,22,42,219,35016,35748,43221,26859,25334,17528,26465,30737,4566,245471
59499,0,0,5,13,7,8,5,13,5,53,4,20,20,39,15,13,16,51,5,185,33,85,82,76,31,20,49,118,6,501,40,67,69,41,32,15,46,40,4,355,15,36,58,17,30,6,57,24,4,248,12,27,27,30,24,9,35,41,5,216,0,9,6,4,10,0,12,6,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,257,272,223,150,77,213,292,33,1614
59799,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,8,0,17,0,3,15,0,0,0,11,25,0,62,0,8,30,0,4,0,8,36,4,95,4,8,13,0,0,0,5,21,6,59,0,9,13,0,0,0,3,6,0,33,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,33,83,9,10,0,31,98,6,277
6GHOB,96,95,683,1039,272,1904,159,1083,101,5436,447,1331,1802,2135,1103,1706,329,1103,160,10110,2659,7492,4746,4929,3391,2352,1380,2968,567,30483,3875,7248,3155,3097,3147,1268,1003,1848,462,25120,3919,6299,2583,2766,3572,1260,967,1554,397,23320,2669,4541,2130,2111,3031,1078,1161,1549,290,18558,758,1402,555,467,717,311,279,481,106,5080,144,112,46,35,80,46,31,46,36,574,8,11,0,0,0,4,0,0,12,43,14582,28533,15703,16578,15319,9933,5313,10631,2126,118720
6RTAS,195,79,1169,1213,279,2478,274,1719,130,7538,607,904,2326,2141,920,1555,703,1819,203,11181,2706,4974,4852,3995,2387,1977,2075,3868,465,27301,3696,5445,3703,3201,2769,1624,2016,2851,486,25795,4439,5162,3575,3701,3688,2017,2442,3403,504,28937,4056,4308,3248,3158,3426,1716,2622,3376,444,26354,1649,1311,795,621,861,451,683,849,205,7426,406,140,59,37,95,49,67,96,107,1054,50,7,4,5,8,4,0,4,27,103,17804,22328,19727,18066,14429,11881,10880,17987,2578,135680
69499,0,0,0,0,0,0,0,3,0,12,0,0,4,8,0,3,0,8,0,33,9,18,11,6,7,5,10,12,5,79,4,10,11,7,3,9,9,11,4,69,0,8,9,13,6,0,16,11,3,63,7,5,3,3,9,3,5,5,3,42,0,3,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,50,48,39,27,21,37,50,11,309
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,12
7GDAR,63,70,447,684,271,1114,135,678,86,3549,322,736,1148,1624,905,740,331,580,156,6544,1845,5013,3076,3420,2703,1216,958,1367,386,19994,2595,4367,2587,2356,2418,790,811,1108,318,17350,2562,3136,1965,1682,2215,650,846,1062,247,14362,1773,2137,1234,935,1583,499,721,768,169,9815,472,665,309,227,423,176,186,219,62,2731,57,58,20,10,41,22,17,17,12,265,7,3,0,0,7,0,0,0,7,22,9679,16185,10791,10944,10565,5211,4011,5798,1448,74631
7RNTE,22,69,159,305,101,328,36,312,67,1396,96,426,379,577,246,196,87,407,94,2505,800,2138,1104,1689,863,450,313,780,238,8375,994,1786,873,1315,760,269,333,556,192,7076,1028,1322,690,1056,737,206,325,527,143,6036,852,1154,546,686,598,183,304,438,110,4869,279,341,160,150,164,66,100,130,35,1422,36,29,13,9,25,5,13,13,10,150,0,0,0,0,0,0,0,0,0,9,4104,7270,3915,5789,3492,1715,1507,3160,888,31846
79499,0,0,0,7,0,0,0,5,0,13,0,10,6,9,0,0,0,12,0,34,13,34,13,22,10,8,10,52,9,175,20,34,13,12,10,3,0,18,4,126,9,19,9,5,12,3,10,18,5,84,7,11,3,5,8,7,3,7,4,53,0,6,4,0,3,0,0,4,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,107,49,62,46,19,31,107,22,500
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,3,0,0,0,10,0,16,0,7,4,0,0,0,0,0,0,10,0,0,4,0,0,0,0,6,0,10,0,3,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9,5,0,0,4,26,0,56
8ACTE,539,559,1180,3408,821,3999,299,1865,163,12850,1910,5395,3360,5520,4214,3189,578,1588,520,26280,8739,23166,7496,6997,8794,3361,1598,3298,1491,64941,13622,21843,5176,4733,8105,1653,1107,2171,1336,59743,12213,15391,3719,3575,7673,1365,1066,1614,1020,47644,6059,8842,2263,2252,5157,1113,989,1352,536,28573,1118,2594,577,570,1227,424,351,413,149,7416,137,301,71,43,138,71,29,52,31,871,16,24,5,0,7,10,0,11,11,80,44363,78121,23848,27111,36128,15185,6002,12362,5261,248388
89499,3,0,0,6,0,12,0,5,0,22,3,4,9,13,4,6,0,3,0,36,4,17,8,5,11,9,3,0,0,59,5,13,7,3,0,0,0,11,0,38,4,7,3,0,0,6,0,0,0,32,7,11,0,4,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,51,25,30,27,21,5,19,0,216
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,3,0,17,49,3,12,4,15,4,110,8,19,27,33,17,6,6,23,0,132,34,56,69,64,40,12,18,35,4,330,78,57,65,60,61,23,26,45,9,425,88,70,78,57,64,24,24,50,7,461,104,65,101,44,72,34,27,58,11,510,29,27,42,15,25,19,30,33,9,227,11,5,4,6,3,3,0,6,3,41,4,0,0,0,0,0,0,0,0,4,364,299,391,333,279,135,135,270,43,2243
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
