Australian Bureau of Statistics

"2021 Census - selected dwelling characteristics"
"BEDRD Number of Bedrooms in Private Dwelling (ranges) and NPRD Number of Persons Usually Resident in Dwelling by SA1 (EN) by TEND Tenure Type"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"

" None (includes studio apartments or bedsitters),  One person"
"TEND Tenure Type","Owned outright","Owned with a mortgage","Purchased under a shared equity scheme","Rented","Occupied rent free","Occupied under a life tenure scheme","Other","Total",
"Segment 36",0,0,0,5,0,0,0,5,
"Segment 37",0,0,0,0,0,0,0,4,
"Segment 38",3,0,0,0,0,0,0,3,
"Segment 39",0,0,0,0,0,0,0,4,
"Segment 40",3,0,0,0,0,0,0,9,
"Segment 41",0,0,0,0,0,0,0,5,
"Segment 42",0,0,0,0,0,0,0,0,
"Segment 43",0,0,0,0,0,0,0,0,
"Segment 44",11,8,0,0,5,0,0,20,
"Segment 45",0,0,0,0,0,0,0,6,
"Segment 46",4,0,0,4,0,0,0,5,
"Segment 47",0,0,0,0,0,0,0,0,
"Segment 48",0,0,0,5,0,0,0,7,
"Segment 50",0,0,0,0,0,0,0,0,
"Total",34,30,0,82,11,0,9,170,


" None (includes studio apartments or bedsitters),  Seven persons"
"TEND Tenure Type","Owned outright","Owned with a mortgage","Purchased under a shared equity scheme","Rented","Occupied rent free","Occupied under a life tenure scheme","Other","Total",
"SA1 (EN)",
"Segment 01",0,0,0,0,0,0,0,0,
"Segment 02",0,0,0,0,0,0,0,0,
"Segment 03",0,0,0,0,0,0,0,0,
"Segment 04",0,0,0,0,0,0,0,0,
"Segment 05",0,0,0,0,0,0,0,0,
"Segment 06",0,0,0,0,0,0,0,0,
"Segment 07",0,0,0,0,0,0,0,0,
"Segment 08",0,0,0,0,0,0,0,0,
"Segment 09",0,0,0,0,0,0,0,0,
"Segment 10",0,0,0,0,0,0,0,0,
"Segment 11",0,0,0,0,0,0,0,4,
"Segment 12",0,0,0,0,0,0,0,0,
"Segment 13",0,0,0,0,0,0,0,3,
"Segment 14",0,0,0,0,0,0,0,0,
"Segment 15",0,0,0,0,0,0,0,0,
"Segment 16",0,0,0,0,0,0,0,0,
"Segment 17",0,0,0,0,0,0,0,0,
"Segment 18",0,0,0,0,0,0,0,0,
"Segment 19",0,0,0,0,0,0,0,0,
"Segment 20",0,0,0,0,0,0,0,0,
"Segment 21",0,0,0,0,0,0,0,0,
"Segment 22",0,0,0,0,0,0,0,0,
"Segment 23",0,0,0,0,0,0,0,0,
"Segment 24",0,0,0,0,0,0,0,0,
"Segment 25",0,0,0,0,0,0,0,0,
"Segment 26",0,0,0,0,0,0,0,0,
"Segment 27",0,0,0,0,0,0,0,0,
"Segment 28",0,0,0,0,0,0,0,0,
"Segment 29",0,0,0,0,0,0,0,0,
"Segment 30",0,0,0,0,0,0,0,0,
"Segment 31",0,0,0,0,0,0,0,0,
"Segment 32",0,0,0,0,0,0,0,0,
"Segment 33",0,0,0,0,0,0,0,0,
"Segment 34",0,0,0,0,0,0,0,0,
"Segment 35",0,0,0,0,0,0,0,0,
"Segment 36",0,0,0,0,0,0,0,4,
"Segment 37",0,0,0,0,0,0,0,0,
"Segment 38",3,0,0,0,0,0,0,4,
"Segment 39",0,0,0,0,0,0,0,0,
"Segment 40",3,0,0,0,0,0,0,3,
"Segment 41",0,0,0,0,0,0,0,0,
"Segment 42",0,0,0,0,0,0,0,0,
"Segment 43",0,0,0,3,0,0,0,3,
"Segment 44",0,0,0,0,0,0,0,5,
"Segment 45",0,0,0,0,0,0,0,0,
"Segment 46",0,0,0,0,0,0,0,4,
"Segment 47",0,0,0,0,0,0,0,0,
"Segment 48",0,0,0,3,0,0,0,5,
"Segment 50",0,0,0,0,0,0,0,0,
"Total",21,4,0,23,10,0,5,54,


" None (includes studio apartments or bedsitters),  Eight or more persons"
"TEND Tenure Type","Owned outright","Owned with a mortgage","Purchased under a shared equity scheme","Rented","Occupied rent free","Occupied under a life tenure scheme","Other","Total",
"SA1 (EN)",
"Segment 01",0,0,0,0,0,0,0,0,
"Segment 02",0,0,0,0,0,0,0,0,
"Segment 03",0,0,0,0,0,0,0,0,
"Segment 04",0,0,0,0,0,0,0,0,
"Segment 05",0,0,0,0,0,0,0,0,
"Segment 06",0,0,0,0,0,0,0,0,
"Segment 07",0,0,0,0,0,0,0,0,
"Segment 08",0,0,0,0,0,0,0,0,
"Segment 09",0,0,0,0,0,0,0,5,
"Segment 10",0,0,0,0,0,0,0,0,
"Segment 11",0,0,0,0,0,0,0,0,
"Segment 12",0,0,0,0,0,0,0,0,
"Segment 13",0,0,0,0,0,0,0,0,
"Segment 14",0,0,0,5,0,0,0,5,
"Segment 15",0,0,0,0,0,0,0,0,
"Segment 16",0,0,0,0,0,0,0,0,
"Segment 17",0,0,0,0,0,0,0,0,
"Segment 18",0,0,0,0,0,0,0,0,
"Segment 19",0,0,0,0,0,0,0,0,
"Segment 20",0,0,0,0,0,0,0,0,
"Segment 21",0,0,0,0,0,0,0,0,
"Segment 22",0,0,0,0,0,0,0,0,
"Segment 23",0,0,0,0,0,0,0,0,
"Segment 24",3,0,0,0,0,0,0,3,
"Segment 25",0,0,0,0,0,0,0,0,
"Segment 26",0,0,0,0,0,0,0,0,
"Segment 27",0,0,0,3,0,0,0,5,
"Segment 28",0,0,0,0,0,0,0,0,
"Segment 29",0,0,0,0,0,0,0,0,
"Segment 30",0,0,0,0,0,0,0,0,
"Segment 31",0,0,0,0,0,0,0,0,
"Segment 32",0,0,0,0,0,0,0,0,
"Segment 33",0,0,0,0,0,0,0,0,
"Segment 34",0,0,0,0,0,0,0,0,
"Segment 35",0,0,0,3,0,0,0,3,
"Segment 36",0,0,0,0,0,0,0,3,
"Segment 37",0,0,0,0,0,0,0,3,
"Segment 38",0,0,0,0,0,0,0,0,
"Segment 39",0,0,0,0,0,0,0,0,
"Segment 40",0,0,0,0,0,0,0,0,
"Segment 41",0,0,0,0,0,0,0,3,
"Segment 42",0,0,0,0,0,0,0,0,
"Segment 43",3,0,0,0,0,0,0,3,
"Segment 44",0,0,0,0,6,0,0,7,
"Segment 45",0,0,0,0,0,0,0,0,
"Segment 46",0,0,0,0,0,0,0,0,
"Segment 47",0,0,0,0,0,0,0,0,
"Segment 48",0,0,0,0,0,0,0,4,
"Segment 50",0,0,0,0,0,0,0,0,
"Total",20,5,0,32,3,0,0,58,


" None (includes studio apartments or bedsitters),  Not applicable"
"TEND Tenure Type","Owned outright","Owned with a mortgage","Purchased under a shared equity scheme","Rented","Occupied rent free","Occupied under a life tenure scheme","Other","Total",
"SA1 (EN)",
"Segment 01",34,5,0,40,4,0,5,89,
"Segment 02",42,9,0,29,3,0,0,80,
"Segment 03",72,9,0,54,9,0,7,147,
"Segment 04",45,3,0,15,4,0,3,79,
"Segment 05",34,4,0,26,3,0,5,70,
"Segment 06",20,0,0,15,5,0,0,48,
"Segment 07",3,0,0,10,0,0,7,19,
"Segment 08",30,3,0,114,6,0,11,160,
"Segment 09",4,0,0,7,0,0,0,11,
"Segment 10",10,4,0,25,0,0,3,41,
"Segment 11",9,0,0,12,0,0,4,27,
"Segment 12",45,7,0,25,3,0,5,83,
"Segment 13",128,9,0,64,5,0,13,210,
"Segment 14",144,10,0,114,13,0,20,300,
"Segment 15",6,0,0,4,0,0,0,8,
"Segment 16",22,8,0,173,13,0,9,215,
"Segment 17",12,0,0,21,0,0,3,34,
"Segment 18",5,0,0,54,5,0,0,68,
"Segment 19",19,0,0,28,5,0,12,60,
"Segment 20",193,11,0,117,8,0,15,336,
"Segment 21",129,3,3,143,14,0,10,300,
"Segment 22",4,0,0,26,0,0,3,38,
"Segment 23",10,4,0,19,0,0,3,40,
"Segment 24",86,6,0,32,0,0,6,137,
"Segment 25",55,0,0,63,4,0,7,130,
"Segment 26",3,0,0,7,0,0,0,17,
"Segment 27",4,0,0,15,0,0,5,29,
"Segment 28",15,0,0,20,0,0,7,41,
"Segment 29",25,4,0,39,0,0,3,67,
"Segment 30",28,6,0,26,0,0,8,70,
"Segment 31",558,21,0,346,26,0,40,1000,
"Segment 32",20,3,0,54,3,0,0,82,
"Segment 33",91,7,0,39,3,0,6,148,
"Segment 34",104,4,0,58,5,0,17,195,
"Segment 35",482,21,0,167,11,0,18,696,
"Segment 36",262,8,0,86,7,0,11,388,
"Segment 37",347,14,0,221,12,0,30,615,
"Segment 38",1592,35,0,490,24,0,47,2182,
"Segment 39",204,12,0,80,3,0,19,316,
"Segment 40",304,11,0,127,5,0,23,473,
"Segment 41",657,23,0,215,25,0,39,966,
"Segment 42",29,4,0,24,9,0,4,72,
"Segment 43",634,22,0,230,15,0,50,950,
"Segment 44",1388,71,0,587,57,0,151,2258,
"Segment 45",96,20,0,55,13,0,10,193,
"Segment 46",1512,50,0,625,28,4,104,2332,
"Segment 47",1215,39,0,607,68,0,161,2083,
"Segment 48",602,23,0,339,43,0,104,1121,
"Segment 50",162,10,0,153,16,0,49,389,
"Total",11491,514,13,5847,471,20,1054,19408,


" One bedroom,  One person"
"TEND Tenure Type","Owned outright","Owned with a mortgage","Purchased under a shared equity scheme","Rented","Occupied rent free","Occupied under a life tenure scheme","Other","Total",
"SA1 (EN)",
"Segment 01",958,680,30,4459,85,265,22,6501,
"Segment 02",786,452,20,3081,89,275,37,4737,
"Segment 03",1165,549,24,3725,105,398,38,6007,
"Segment 04",238,131,7,610,58,31,8,1086,
"Segment 05",237,104,0,504,52,27,13,936,
"Segment 06",57,66,8,309,33,3,4,479,
"Segment 07",38,49,0,267,5,0,6,369,
"Segment 08",4383,6066,71,27598,319,456,57,38958,
"Segment 09",270,253,14,1982,43,110,17,2677,
"Segment 10",606,923,12,4223,52,90,12,5919,
"Segment 11",431,162,3,1274,46,195,19,2129,
"Segment 12",239,141,3,389,42,9,9,833,
"Segment 13",665,189,9,2059,26,113,7,3072,
"Segment 14",548,771,14,5256,62,122,15,6783,
"Segment 15",495,941,5,4101,33,10,14,5601,
"Segment 16",3433,7546,59,36894,465,43,39,48492,
"Segment 17",382,508,11,3061,40,22,7,4040,
"Segment 18",1537,3399,24,15224,186,93,21,20481,
"Segment 19",244,216,9,1328,43,44,9,1898,
"Segment 20",904,500,26,3340,96,297,43,5204,
"Segment 21",2124,2285,48,14764,239,411,63,19925,
"Segment 22",797,1650,18,5910,73,35,18,8500,
"Segment 23",472,428,8,2760,40,94,21,3822,
"Segment 24",660,198,17,2120,52,156,20,3231,
"Segment 25",1221,1522,44,9073,104,275,28,12272,
"Segment 26",292,184,7,2559,46,62,9,3158,
"Segment 27",314,308,19,4158,61,84,10,4956,
"Segment 28",256,224,10,2026,37,41,12,2602,
"Segment 29",657,207,36,4366,41,313,27,5652,
"Segment 30",595,217,26,3306,41,226,22,4433,
"Segment 31",2255,1882,75,26090,249,648,198,31394,
"Segment 32",388,318,56,17551,67,325,41,18742,
"Segment 33",335,177,0,798,42,22,13,1393,
"Segment 34",618,186,0,745,80,26,7,1673,
"Segment 35",1621,245,28,1532,112,181,30,3749,
"Segment 36",1078,311,21,5004,105,148,37,6700,
"Segment 37",1467,569,33,11815,157,347,48,14433,
"Segment 38",5727,563,190,9984,189,1877,152,18675,
"Segment 39",459,123,4,606,67,17,4,1278,
"Segment 40",761,200,11,1302,96,49,17,2428,
"Segment 41",524,103,3,601,96,15,8,1350,
"Segment 42",241,67,0,381,43,19,3,752,
"Segment 43",753,185,5,1342,119,24,20,2442,
"Segment 44",2806,634,17,2504,390,94,71,6522,
"Segment 45",638,176,4,604,109,40,13,1586,
"Segment 46",1226,245,5,1613,199,30,24,3338,
"Segment 47",333,47,0,168,101,3,10,666,
"Segment 48",238,35,3,1060,168,6,18,1527,
"Segment 50",165,36,0,220,32,3,9,462,
"Total",46627,36979,1035,254668,5035,8198,1356,353899,


" One bedroom,  Two persons"
"TEND Tenure Type","Owned outright","Owned with a mortgage","Purchased under a shared equity scheme","Rented","Occupied rent free","Occupied under a life tenure scheme","Other","Total",
"SA1 (EN)",
"Segment 01",317,255,6,1375,24,23,4,2001,
"Segment 02",230,183,0,839,29,37,8,1330,
"Segment 03",341,283,0,1220,45,42,4,1942,
"Segment 04",121,122,0,214,19,9,3,498,
"Segment 05",138,92,0,190,22,6,6,454,
"Segment 06",27,51,0,80,10,4,5,173,
"Segment 07",13,28,0,90,0,0,0,139,
"Segment 08",869,1991,10,9309,80,52,9,12314,
"Segment 09",72,138,5,767,16,16,0,1012,
"Segment 10",150,403,3,1534,16,12,3,2127,
"Segment 11",94,68,4,331,19,30,9,560,
"Segment 12",131,118,0,118,16,8,4,391,
