Australian Bureau of Statistics

"2021 Census - selected dwelling characteristics"
"HIND Total Household Income (weekly) and STRD Dwelling Structure by SA1 (EN) by TEND Tenure Type"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"

" Negative income,  Separate house"
"TEND Tenure Type","Owned outright","Owned with a mortgage","Purchased under a shared equity scheme","Rented","Occupied rent free","Occupied under a life tenure scheme","Other","Total",
"Segment 39",0,0,0,3,0,0,0,3,
"Segment 40",6,0,0,22,0,3,0,26,
"Segment 41",0,0,0,3,0,0,0,11,
"Segment 42",3,0,0,0,0,0,0,3,
"Segment 43",0,0,0,14,0,0,0,15,
"Segment 44",10,0,0,15,0,0,0,24,
"Segment 45",3,0,0,4,0,0,0,7,
"Segment 46",6,0,0,15,0,0,0,21,
"Segment 47",0,0,0,0,0,0,0,0,
"Segment 48",0,0,0,23,0,0,0,23,
"Segment 50",0,0,0,0,0,0,0,0,
"Total",930,172,14,1463,29,142,35,2780,


" Negative income,  Semi-detached, row or terrace house, townhouse etc. with two or more storeys"
"TEND Tenure Type","Owned outright","Owned with a mortgage","Purchased under a shared equity scheme","Rented","Occupied rent free","Occupied under a life tenure scheme","Other","Total",
"SA1 (EN)",
"Segment 01",21,8,0,11,0,0,0,43,
"Segment 02",28,0,0,7,0,0,0,47,
"Segment 03",23,8,0,12,0,0,0,50,
"Segment 04",9,0,0,0,0,0,0,5,
"Segment 05",5,0,0,0,0,0,0,3,
"Segment 06",0,0,0,5,0,0,0,0,
"Segment 07",0,4,0,12,0,0,0,12,
"Segment 08",56,22,0,32,0,0,4,114,
"Segment 09",18,6,0,22,0,3,0,45,
"Segment 10",11,4,0,18,0,0,0,33,
"Segment 11",10,8,5,20,0,0,0,41,
"Segment 12",0,0,0,0,0,0,0,0,
"Segment 13",0,3,0,3,0,0,0,13,
"Segment 14",18,3,0,44,0,0,0,72,
"Segment 15",7,7,0,15,0,0,3,25,
"Segment 16",0,0,0,8,0,0,0,12,
"Segment 17",8,6,0,15,0,0,0,18,
"Segment 18",16,12,0,37,0,0,0,68,
"Segment 19",9,0,0,6,0,0,0,19,
"Segment 20",13,3,0,15,0,0,3,36,
"Segment 21",22,4,0,16,4,0,0,54,
"Segment 22",14,3,0,22,0,0,0,37,
"Segment 23",10,0,0,17,0,0,0,30,
"Segment 24",11,0,0,7,0,0,0,18,
"Segment 25",26,9,0,41,0,0,0,73,
"Segment 26",11,4,0,35,0,0,0,55,
"Segment 27",24,14,0,53,0,0,0,90,
"Segment 28",5,5,0,32,0,0,0,37,
"Segment 29",8,7,0,37,0,0,0,49,
"Segment 30",7,7,0,21,0,0,0,35,
"Segment 31",40,8,0,128,0,5,0,182,
"Segment 32",13,0,0,114,0,0,0,127,
"Segment 33",0,0,0,7,0,0,0,4,
"Segment 34",0,0,0,0,0,0,0,0,
"Segment 35",17,3,0,0,0,0,0,22,
"Segment 36",9,0,0,13,0,0,0,16,
"Segment 37",16,0,0,32,0,0,0,55,
"Segment 38",61,5,0,43,0,4,0,110,
"Segment 39",0,0,0,0,0,0,0,3,
"Segment 40",0,0,0,10,0,0,0,10,
"Segment 41",0,0,0,0,0,0,0,0,
"Segment 42",0,0,0,0,0,0,0,0,
"Segment 43",0,4,0,0,0,0,0,3,
"Segment 44",0,0,0,5,0,0,0,3,
"Segment 45",0,0,0,0,0,0,0,0,
"Segment 46",0,0,0,3,0,0,0,3,
"Segment 47",0,0,0,0,0,0,0,0,
"Segment 48",0,0,0,4,0,0,0,0,
"Segment 50",0,0,0,0,0,0,0,0,
"Total",545,160,6,917,16,23,14,1684,


" Negative income,  Flat or apartment in a one or two storey block"
"TEND Tenure Type","Owned outright","Owned with a mortgage","Purchased under a shared equity scheme","Rented","Occupied rent free","Occupied under a life tenure scheme","Other","Total",
"SA1 (EN)",
