SA2_CODE_2021,Ot_ty_Ed_Ins_Ft_st_C11_P,Ot_ty_Ed_Ins_Ft_st_C16_M,Ot_ty_Ed_Ins_Ft_st_C16_F,Ot_ty_Ed_Ins_Ft_st_C16_P,Ot_ty_Ed_Ins_Ft_st_C21_M,Ot_ty_Ed_Ins_Ft_st_C21_F,Ot_ty_Ed_Ins_Ft_st_C21_P,Ot_ty_Ed_Ins_Pt_st_C11_M,Ot_ty_Ed_Ins_Pt_st_C11_F,Ot_ty_Ed_Ins_Pt_st_C11_P,Ot_ty_Ed_Ins_Pt_st_C16_M,Ot_ty_Ed_Ins_Pt_st_C16_F,Ot_ty_Ed_Ins_Pt_st_C16_P,Ot_ty_Ed_Ins_Pt_st_C21_M,Ot_ty_Ed_Ins_Pt_st_C21_F,Ot_ty_Ed_Ins_Pt_st_C21_P,O_t_E_I_F_P_s_s_ns_C11_M,O_t_E_I_F_P_s_s_ns_C11_F,O_t_E_I_F_P_s_s_ns_C11_P,O_t_E_I_F_P_s_s_ns_C16_M,O_t_E_I_F_P_s_s_ns_C16_F,O_t_E_I_F_P_s_s_ns_C16_P,O_t_E_I_F_P_s_s_ns_C21_M,O_t_E_I_F_P_s_s_ns_C21_F,O_t_E_I_F_P_s_s_ns_C21_P,Oth_ty_Edu_Ins_Tot_C11_M,Oth_ty_Edu_Ins_Tot_C11_F,Oth_ty_Edu_Ins_Tot_C11_P,Oth_ty_Edu_Ins_Tot_C16_M,Oth_ty_Edu_Ins_Tot_C16_F,Oth_ty_Edu_Ins_Tot_C16_P,Oth_ty_Edu_Ins_Tot_C21_M,Oth_ty_Edu_Ins_Tot_C21_F,Oth_ty_Edu_Ins_Tot_C21_P,Type_Educ_Insti_ns_C11_M,Type_Educ_Insti_ns_C11_F,Type_Educ_Insti_ns_C11_P,Type_Educ_Insti_ns_C16_M,Type_Educ_Insti_ns_C16_F,Type_Educ_Insti_ns_C16_P,Type_Educ_Insti_ns_C21_M,Type_Educ_Insti_ns_C21_F,Type_Educ_Insti_ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
128011602,14,7,10,17,12,15,26,17,30,48,13,35,50,15,38,54,0,0,0,0,0,0,0,0,0,22,37,59,21,46,64,30,49,80,360,366,725,329,356,685,328,323,651,1406,1493,2896,1516,1609,3125,1780,1826,3609
128011603,6,3,6,10,3,3,7,20,29,47,16,38,45,15,26,44,0,0,0,0,0,0,0,0,0,23,37,56,16,43,54,19,33,51,212,228,445,240,231,469,196,199,392,1711,1732,3444,1826,1760,3589,1936,1855,3793
128011604,24,12,14,25,13,13,33,55,84,135,44,92,133,34,78,108,3,3,8,0,3,8,0,0,0,61,108,174,56,111,162,49,89,139,687,599,1285,844,889,1727,550,576,1119,2652,2772,5426,2945,3175,6122,2944,3141,6089
128011605,6,0,0,0,0,0,0,3,9,13,4,12,15,3,3,10,0,0,0,0,0,0,0,0,0,9,8,17,4,12,15,3,3,10,45,42,91,53,47,96,28,34,53,470,501,971,486,514,1003,524,546,1068
128011606,6,5,4,10,6,0,9,10,27,41,13,22,31,12,24,35,0,0,0,0,3,3,0,0,0,12,37,49,13,31,41,15,22,39,208,195,398,146,149,291,120,107,219,1166,1189,2356,1159,1232,2385,1227,1269,2501
128021533,10,6,8,12,3,0,3,10,13,30,18,13,29,13,17,25,0,0,0,0,0,0,0,0,0,19,23,35,17,25,41,13,15,30,111,103,217,93,111,209,131,186,319,891,860,1753,889,904,1793,929,1063,1993
128021534,14,7,10,13,5,10,9,19,39,53,14,25,42,13,11,28,0,5,5,0,0,0,0,0,0,27,43,73,18,36,54,18,21,43,209,187,402,130,118,244,100,113,214,1675,1662,3336,1374,1463,2831,1444,1476,2917
128021535,17,22,15,34,18,21,34,32,59,89,21,59,77,27,46,74,0,0,0,0,0,0,3,0,3,34,75,110,42,74,112,44,67,112,393,401,787,341,341,683,205,219,420,3543,3438,6980,3217,3163,6387,3100,3069,6169
128021536,15,10,4,12,14,11,27,30,61,94,23,62,84,41,58,101,0,0,0,0,0,0,0,0,0,37,72,112,29,67,102,61,66,129,428,405,838,372,377,750,302,307,608,3031,3098,6125,3222,3262,6483,3502,3470,6976
128021537,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,8,7,6,7,16,6,3,10,7,7,13,18,11,28
128021538,27,27,22,53,20,25,47,46,79,121,39,65,113,40,64,114,0,0,0,0,0,0,0,0,0,60,94,150,73,91,162,65,93,155,596,695,1294,475,559,1033,472,539,1006,2539,2721,5255,2651,2842,5495,2994,3309,6297
128021607,9,12,12,20,11,11,16,20,40,64,22,36,58,17,33,52,0,0,0,0,0,0,0,0,0,26,50,73,34,49,80,30,42,72,268,313,574,256,261,522,167,238,409,2385,2393,4778,2532,2612,5147,2622,2736,5355
128021608,8,3,4,3,9,7,14,12,18,22,14,17,29,21,9,32,0,0,0,0,0,0,0,0,0,13,23,32,10,22,36,27,22,46,127,114,249,95,106,195,76,80,153,1104,1077,2185,1035,1068,2106,1098,1097,2197
128021609,4,0,0,0,0,0,0,3,14,21,3,10,13,8,5,12,0,0,0,0,0,0,0,0,0,9,19,25,3,16,19,11,10,17,67,48,111,45,45,90,30,33,57,715,665,1375,567,587,1157,523,521,1048
197979799,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,7,4,7,19,29,52,0,0,0,18,4,18,33,57,94,0,0,0
199999499,61,25,36,59,14,19,31,27,38,57,37,31,69,14,24,37,5,0,4,0,0,7,0,0,0,53,70,124,59,71,130,28,43,68,1955,867,2820,2236,1125,3356,2245,1516,3758,2733,1745,4484,2818,1779,4597,2746,2157,4898
201011001,26,15,24,40,16,23,42,30,26,58,25,33,56,36,54,88,0,0,0,0,0,0,0,3,6,40,41,81,41,52,92,53,82,134,174,198,371,274,291,565,271,257,532,1379,1416,2797,1903,1960,3859,2751,2938,5692
201011002,24,4,8,14,6,16,19,24,38,62,20,24,46,20,40,57,0,0,0,0,0,0,0,0,0,38,42,82,27,34,63,28,55,81,348,360,704,377,425,807,290,311,597,1882,1978,3861,1804,1993,3793,1683,1910,3589
201011005,12,9,5,15,5,5,7,10,25,34,15,17,29,13,18,22,0,0,0,0,0,0,0,0,0,14,32,43,18,26,42,14,21,29,165,146,309,251,232,483,164,136,302,1226,1184,2407,1350,1274,2630,1159,1259,2416
201011006,19,13,4,13,17,10,32,10,31,38,6,17,31,20,47,66,0,0,0,0,0,0,0,0,4,16,38,57,20,26,48,42,58,103,203,208,413,186,240,426,247,246,490,854,981,1837,990,1098,2090,1543,1666,3209
201011007,9,0,4,6,3,3,6,0,13,13,0,12,10,6,10,15,4,0,4,0,0,0,0,0,0,6,13,24,5,18,21,10,14,23,146,124,271,118,123,243,55,42,91,643,605,1250,634,627,1265,631,637,1262
201011008,41,57,13,68,34,24,55,24,50,70,23,42,67,24,56,81,6,0,3,0,4,4,4,4,4,53,64,122,82,62,146,59,85,140,518,598,1110,554,604,1153,499,508,1010,1976,2129,4105,2048,2118,4168,2174,2274,4447
201011481,24,14,8,21,19,8,29,16,32,48,25,30,52,20,28,51,0,0,0,3,0,3,0,0,0,23,43,76,37,41,77,37,38,82,286,343,624,316,344,660,261,264,526,1192,1393,2586,1199,1319,2526,1230,1336,2571
201011482,19,4,18,22,13,13,24,26,43,65,25,33,56,26,53,80,0,0,3,0,0,0,0,0,0,35,58,93,34,44,81,36,65,104,336,379,718,370,432,799,286,289,574,1913,2137,4058,1957,2176,4133,2019,2137,4150
201011483,22,3,7,16,19,17,35,24,41,66,21,46,63,31,34,65,0,4,4,0,0,0,0,0,0,35,56,92,22,57,80,53,50,102,305,296,599,370,423,794,356,332,682,1606,1771,3374,1719,1927,3646,1845,1892,3740
