SA2_CODE_2021,C21_OD_H_f_so_FH_Tot,C21_OD_H_f_so_LP_H,C21_OD_H_f_so_GH,C21_OD_H_f_so_OH,C21_OD_H_f_so_Tot,C21_OD_Tot_FH_CF_no_ch,C21_OD_Tot_FH_CF_w_ch,C21_OD_Tot_FH_One_PFam,C21_OD_Tot_FH_oth_fa,C21_OD_Tot_FH_Tot,C21_OD_Tot_LP_H,C21_OD_Tot_GH,C21_OD_Tot_OH,C21_OD_Tot_Tot,C21_DS_ns_FH_CF_no_ch,C21_DS_ns_FH_CF_w_ch,C21_DS_ns_FH_One_PFam,C21_DS_ns_FH_oth_fa,C21_DS_ns_FH_Tot,C21_DS_ns_LP_H,C21_DS_ns_GH,C21_DS_ns_OH,C21_DS_NS_Tot,C21_Tot_FH_CF_no_ch,C21_Tot_FH_CF_w_ch,C21_Tot_FH_One_PFam,C21_Tot_FH_oth_fa,C21_Tot_FH_Tot,C21_Tot_LP_H,C21_Tot_GH,C21_Tot_OH,C21_Tot_Tot
604021088,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,457,432,154,8,1053,287,32,33,1408
604021089,0,0,0,0,0,9,5,6,0,22,19,0,9,47,0,0,0,0,4,0,0,0,3,1034,595,200,18,1838,670,51,120,2686
604021090,0,0,0,0,0,0,0,0,0,5,5,0,0,5,0,0,0,0,0,0,0,0,0,427,350,133,13,929,275,22,30,1247
604021091,3,0,0,0,3,5,0,0,0,4,4,0,15,22,0,4,0,0,4,3,0,3,14,895,651,208,18,1774,614,61,187,2640
604021092,0,0,0,0,0,11,6,0,0,9,27,0,8,44,0,0,0,0,0,0,0,0,3,470,393,119,9,988,302,36,56,1375
604031093,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,4,0,0,0,4,218,132,48,9,405,234,21,73,729
604031094,0,0,0,7,5,6,3,0,0,9,3,0,7,28,3,0,0,0,4,0,0,3,7,505,424,136,10,1074,390,37,179,1682
604031095,0,0,0,0,7,0,0,0,0,0,3,0,8,13,0,0,0,0,0,0,0,0,0,468,354,164,15,1007,469,46,133,1660
604031096,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,12,15,509,406,129,4,1050,348,33,147,1578
604031097,0,0,0,0,5,0,8,0,0,3,12,0,31,46,7,4,0,0,12,12,0,6,34,518,313,178,10,1024,798,50,341,2217
604031098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
697979799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
699999499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
701011001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
701011002,0,0,0,0,0,0,0,0,0,0,0,0,25,27,5,0,0,0,4,13,0,51,68,962,393,128,48,1535,1146,304,541,3525
701011003,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
701011004,0,0,0,0,0,0,0,0,0,0,0,0,32,31,0,0,0,0,0,5,0,6,10,432,323,114,17,885,469,94,116,1560
701011005,3,0,0,0,3,5,0,0,0,3,0,0,6,14,5,0,0,0,0,3,0,6,17,457,357,61,9,884,409,145,142,1577
701011006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,233,269,128,16,644,199,63,52,961
