SA2_CODE_2021,C21_1500_1999_R100_149,C21_1500_1999_R150_199,C21_1500_1999_R200_224,C21_1500_1999_R225_274,C21_1500_1999_R275_349,C21_1500_1999_R350_449,C21_1500_1999_R450_549,C21_1500_1999_R550_649,C21_1500_1999_R650more,C21_1500_1999_R_NS,C21_1500_1999_R_Tot,C21_2000_2499_R1_74,C21_2000_2499_R75_99,C21_2000_2499_R100_149,C21_2000_2499_R150_199,C21_2000_2499_R200_224,C21_2000_2499_R225_274,C21_2000_2499_R275_349,C21_2000_2499_R350_449,C21_2000_2499_R450_549,C21_2000_2499_R550_649,C21_2000_2499_R650more,C21_2000_2499_R_NS,C21_2000_2499_R_Tot,C21_2500_2999_R1_74,C21_2500_2999_R75_99,C21_2500_2999_R100_149,C21_2500_2999_R150_199,C21_2500_2999_R200_224,C21_2500_2999_R225_274,C21_2500_2999_R275_349,C21_2500_2999_R350_449,C21_2500_2999_R450_549,C21_2500_2999_R550_649,C21_2500_2999_R650more,C21_2500_2999_R_NS,C21_2500_2999_R_Tot,C21_3000_3999_R1_74,C21_3000_3999_R75_99,C21_3000_3999_R100_149,C21_3000_3999_R150_199,C21_3000_3999_R200_224,C21_3000_3999_R225_274,C21_3000_3999_R275_349,C21_3000_3999_R350_449,C21_3000_3999_R450_549,C21_3000_3999_R550_649,C21_3000_3999_R650more,C21_3000_3999_R_NS,C21_3000_3999_R_Tot,C21_4000more_R1_74,C21_4000more_R75_99,C21_4000more_R100_149,C21_4000more_R150_199,C21_4000more_R200_224,C21_4000more_R225_274,C21_4000more_R275_349,C21_4000more_R350_449,C21_4000more_R450_549,C21_4000more_R550_649,C21_4000more_R650more,C21_4000more_R_NS,C21_4000more_R_Tot,C21_PI_S_R1_74,C21_PI_S_R75_99,C21_PI_S_R100_149,C21_PI_S_R150_199,C21_PI_S_R200_224,C21_PI_S_R225_274,C21_PI_S_R275_349,C21_PI_S_R350_449,C21_PI_S_R450_549,C21_PI_S_R550_649,C21_PI_S_R650more,C21_PI_S_R_NS,C21_PI_S_R_Tot,C21_AI_NS_R1_74,C21_AI_NS_R75_99,C21_AI_NS_R100_149,C21_AI_NS_R150_199,C21_AI_NS_R200_224,C21_AI_NS_R225_274,C21_AI_NS_R275_349,C21_AI_NS_R350_449,C21_AI_NS_R450_549,C21_AI_NS_R550_649,C21_AI_NS_R650more,C21_AI_NS_R_NS,C21_AI_NS_R_Tot,C21_Tot_R1_74,C21_Tot_R75_99,C21_Tot_R100_149,C21_Tot_R150_199,C21_Tot_R200_224,C21_Tot_R225_274,C21_Tot_R275_349,C21_Tot_R350_449,C21_Tot_R450_549,C21_Tot_R550_649,C21_Tot_R650more,C21_Tot_R_NS,C21_Tot_R_Tot
125041719,5,0,4,15,101,169,51,9,8,4,362,0,0,0,3,0,14,67,162,73,5,3,9,348,0,0,0,0,0,4,37,94,42,7,0,4,186,0,0,0,3,0,0,32,112,69,15,6,5,243,0,0,0,0,0,0,8,55,50,23,9,4,157,0,0,0,0,0,3,16,30,13,9,4,9,83,0,0,3,5,0,0,0,4,0,0,0,6,26,11,17,80,51,40,118,510,987,385,84,33,71,2375
126011496,0,0,0,3,9,31,52,24,17,5,145,0,0,0,0,4,0,8,34,63,44,40,5,195,0,0,0,0,5,0,0,4,25,30,32,0,101,0,0,0,0,0,0,4,16,32,48,88,0,191,0,0,0,0,3,0,3,13,23,42,153,5,247,0,0,0,0,3,3,5,4,8,8,27,8,63,0,0,0,0,0,0,0,0,0,0,4,3,5,5,4,16,28,30,34,80,221,288,246,413,44,1403
126011720,0,0,4,8,8,79,68,46,15,5,236,0,0,0,0,3,0,7,91,99,68,32,8,312,0,0,0,0,0,0,0,39,47,38,23,0,151,0,0,0,0,4,4,4,51,89,79,42,3,275,0,0,0,0,0,4,5,38,79,98,88,5,320,0,0,0,0,3,0,0,3,12,21,16,3,63,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,6,33,15,33,59,475,528,421,257,50,1880
126011721,7,4,3,6,10,96,139,71,40,6,368,0,0,0,0,0,4,8,85,152,79,43,3,379,0,0,0,0,0,3,5,31,98,54,37,4,236,0,0,0,3,0,4,10,36,135,84,48,8,332,0,0,0,0,0,0,0,26,90,99,142,4,375,0,0,0,0,0,0,6,5,28,16,20,4,85,0,0,0,0,0,0,0,0,3,3,4,6,16,5,7,39,15,47,33,65,460,918,498,426,67,2573
126021498,0,0,0,0,26,115,59,32,33,10,273,0,0,0,0,0,0,11,84,93,73,51,6,315,0,0,0,0,0,3,4,26,51,38,35,0,158,0,0,0,0,0,3,5,33,61,61,76,0,247,0,0,0,0,0,7,4,14,30,58,167,3,282,0,0,0,0,0,0,3,13,8,14,23,9,79,0,0,0,10,0,0,0,0,3,0,0,10,22,10,16,72,98,31,53,179,543,407,320,451,70,2251
126021499,0,0,0,0,0,7,19,8,12,0,53,0,0,0,0,0,0,0,10,19,9,16,9,60,0,0,0,0,0,0,0,12,9,5,20,0,42,0,0,0,0,0,0,0,3,15,6,38,3,66,0,0,0,0,0,0,0,3,15,13,125,10,157,0,0,0,0,0,0,0,3,0,0,8,0,18,0,0,0,0,0,0,0,0,0,0,0,4,10,0,3,35,34,21,17,35,72,92,61,252,33,672
126021500,0,6,3,11,38,205,250,82,37,14,651,0,0,6,5,4,13,26,200,299,156,62,19,785,0,0,3,0,3,3,15,80,126,99,38,0,377,0,0,6,5,4,4,9,107,196,149,94,12,593,0,0,6,6,0,3,7,53,139,165,145,7,527,0,0,0,3,0,8,5,23,26,32,22,16,146,4,0,0,5,0,3,0,6,4,3,6,10,38,17,4,55,117,58,140,271,1256,1520,905,517,140,4995
126021501,0,0,3,0,10,37,66,36,32,3,189,0,0,0,0,4,4,3,41,89,73,52,3,279,0,0,0,0,0,0,3,19,33,47,21,0,139,0,0,0,0,5,5,3,23,70,85,91,4,288,0,0,3,0,6,0,3,12,52,86,170,7,337,0,0,0,0,0,0,0,0,13,14,21,9,61,0,0,0,0,0,0,0,0,0,0,4,7,14,3,4,36,87,43,73,50,260,419,410,438,74,1900
126021503,3,5,4,19,84,187,91,41,37,3,480,0,0,0,3,5,14,65,205,137,95,62,12,603,0,0,4,7,0,7,26,91,64,52,39,8,291,0,0,5,0,0,7,21,100,107,87,76,3,425,0,0,0,4,0,0,12,45,65,85,138,3,357,0,5,0,0,0,6,9,18,17,20,19,12,100,0,0,0,0,0,0,5,7,5,0,0,16,31,6,11,37,125,48,138,562,1156,665,476,436,101,3772
126021590,0,0,0,0,0,0,0,5,8,0,16,0,0,0,0,0,0,0,0,9,5,9,0,20,0,0,0,0,0,0,0,0,3,0,6,0,9,0,0,0,0,0,0,0,0,0,4,21,0,30,0,0,0,0,0,0,0,0,0,7,52,0,67,0,0,0,0,0,0,0,0,0,6,3,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,11,11,17,36,117,8,206
