SA2_CODE_2021,C21_75_79_Div_P,C21_75_79_Wid_M,C21_75_79_Wid_F,C21_75_79_Wid_P,C21_75_79_Nvr_marrd_M,C21_75_79_Nvr_marrd_F,C21_75_79_Nvr_marrd_P,C21_75_79_Tot_M,C21_75_79_Tot_F,C21_75_79_Tot_P,C21_80_84_Married_M,C21_80_84_Married_F,C21_80_84_Married_P,C21_80_84_Sep_M,C21_80_84_Sep_F,C21_80_84_Sep_P,C21_80_84_Div_M,C21_80_84_Div_F,C21_80_84_Div_P,C21_80_84_Wid_M,C21_80_84_Wid_F,C21_80_84_Wid_P,C21_80_84_Nvr_marrd_M,C21_80_84_Nvr_marrd_F,C21_80_84_Nvr_marrd_P,C21_80_84_Tot_M,C21_80_84_Tot_F,C21_80_84_Tot_P,C21_85_over_Married_M,C21_85_over_Married_F,C21_85_over_Married_P,C21_85_over_Seprtd_M,C21_85_over_Seprtd_F,C21_85_over_Seprtd_P,C21_85_over_Divorce_M,C21_85_over_Divorce_F,C21_85_over_Divorce_P,C21_85_over_Wid_M,C21_85_over_Wid_F,C21_85_over_Wid_P,C21_85_over_Nvr_mard_M,C21_85_over_Nvr_mard_F,C21_85_over_Nvr_mard_P,C21_85_over_Tot_M,C21_85_over_Tot_F,C21_85_over_Tot_P,C21_Tot_Married_M,C21_Tot_Married_F,C21_Tot_Married_P,C21_Tot_Sep_M,C21_Tot_Sep_F,C21_Tot_Sep_P,C21_Tot_Div_M,C21_Tot_Div_F,C21_Tot_Div_P,C21_Tot_Wid_M,C21_Tot_Wid_F,C21_Tot_Wid_P,C21_Tot_nver_marrie_M,C21_Tot_nver_marrie_F,C21_Tot_nver_marrie_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
317011451,41,21,58,73,8,4,9,193,173,373,60,47,104,11,0,11,7,10,19,19,44,58,9,0,10,100,102,198,30,8,43,0,0,0,4,4,9,29,50,73,0,0,0,57,62,126,2510,2567,5071,172,147,316,380,444,830,114,284,402,1609,1320,2930,4797,4763,9555
317011452,23,15,43,62,3,3,3,151,174,324,99,65,160,0,3,0,4,8,9,11,49,61,4,3,5,111,128,241,63,31,96,0,0,0,6,12,22,23,109,136,11,10,22,103,162,268,1876,1896,3771,39,79,124,136,244,376,75,298,379,758,650,1409,2888,3164,6048
317011453,63,12,54,62,11,12,23,135,176,314,56,30,87,0,4,10,17,26,42,15,56,75,12,5,18,94,124,226,33,23,52,0,3,4,7,9,17,19,101,122,0,3,7,63,144,205,1410,1444,2857,177,215,396,371,575,942,94,383,477,1738,1759,3487,3795,4370,8160
317011454,49,7,38,53,9,5,7,80,121,200,35,19,58,4,4,3,6,16,17,5,32,41,3,0,3,57,66,126,25,21,43,0,0,0,0,6,7,17,68,85,0,10,8,48,94,140,906,924,1835,103,108,209,233,344,584,58,221,282,1182,1057,2243,2481,2669,5149
317011455,47,14,70,88,9,11,18,174,253,427,101,84,182,4,4,8,6,18,32,7,73,89,11,4,11,132,185,314,95,49,143,0,0,5,4,11,15,29,137,168,0,8,9,130,199,335,1856,1865,3720,88,128,222,240,447,688,75,397,471,954,1033,1990,3221,3873,7092
317011456,74,12,86,95,8,16,26,182,270,443,99,78,178,14,7,21,9,20,33,28,80,110,4,7,13,153,202,352,72,29,97,7,0,6,13,20,29,39,185,223,9,18,28,135,249,382,2193,2186,4385,224,313,531,531,811,1342,110,573,684,2423,2267,4688,5477,6152,11628
317011457,56,12,54,64,9,14,24,187,202,391,76,56,128,0,0,0,10,14,25,10,56,72,5,6,13,102,138,241,45,18,56,0,0,6,4,8,14,28,110,140,7,5,11,78,147,231,2044,2067,4119,120,173,292,321,515,834,82,334,419,1471,1331,2804,4043,4422,8463
317011458,51,27,58,85,8,10,10,215,229,448,102,55,157,4,0,9,10,10,20,32,81,111,3,5,8,145,153,302,62,44,106,6,0,6,12,12,17,35,149,189,3,9,8,118,212,325,3146,3200,6351,180,219,398,345,502,849,124,471,597,2176,2184,4366,5980,6578,12560
317011459,108,40,138,175,12,12,26,353,448,800,185,133,321,3,10,13,19,30,53,44,150,194,7,7,17,260,331,598,123,70,195,0,3,0,11,16,23,39,190,230,0,8,7,172,291,462,2305,2346,4652,237,294,534,473,809,1283,203,724,921,2191,2072,4257,5408,6241,11650
318011460,54,20,73,98,9,7,21,177,225,404,90,58,145,0,0,0,6,11,20,32,102,135,12,3,15,143,176,318,53,25,78,3,0,4,8,0,11,34,152,189,8,6,9,105,183,285,1713,1684,3393,122,151,269,327,352,680,135,472,605,1385,1181,2565,3678,3833,7513
