GCCSA_CODE_2021,C11_1_74_REA,C11_1_74_ST_HA,C11_1_74_Co_ho_pr,C11_1_74_Per_no_sa_ho,C11_1_74_Oth_land_typ,C11_1_74_LLT_NS,C11_1_74_Tot,C11_75_99_REA,C11_75_99_ST_HA,C11_75_99_Co_ho_pr,C11_75_99_Pe_no_sa_ho,C11_75_99_Oth_lan_typ,C11_75_99_Lan_type_ns,C11_75_99_Tot,C11_100_149_REA,C11_100_149_ST_HA,C11_100_149_Co_ho_pr,C11_100_149_Pe_no_sa_ho,C11_100_149_Ot_lan_ty,C11_100_149_Lan_typ_ns,C11_100_149_Tot,C11_150_199_REA,C11_150_199_ST_HA,C11_150_199_Co_ho_pr,C11_150_199_Pe_no_sa_ho,C11_150_199_Ot_lan_ty,C11_150_199_Lan_ty_ns,C11_150_199_Tot,C11_200_224_REA,C11_200_224_ST_HA,C11_200_224_Co_ho_pr,C11_200_224_Pe_no_sa_ho,C11_200_224_Ot_lan_ty,C11_200_224_Lan_ty_ns,C11_200_224_Tot,C11_225_274_REA,C11_225_274_ST_HA,C11_225_274_Co_ho_pr,C11_225_274_Pe_no_sa_ho,C11_225_274_Ot_la_typ,C11_225_274_Lan_ty_ns,C11_225_274_Tot,C11_275_349_REA,C11_275_349_ST_HA,C11_275_349_Co_ho_pr,C11_275_349_Pe_no_sa_ho,C11_275_349_Ot_lan_ty,C11_275_349_Lan_ty_ns,C11_275_349_Tot,C11_350_449_REA,C11_350_449_ST_HA,C11_350_449_Co_ho_pr,C11_350_449_Pe_no_sa_ho,C11_350_449_Ot_lan_ty,C11_350_449_Lan_ty_ns,C11_350_449_Tot,C11_450_549_REA,C11_450_549_ST_HA,C11_450_549_Co_ho_pr,C11_450_549_Pe_no_sa_ho,C11_450_549_Oth_lan_typ,C11_450_549_Lan_ty_ns,C11_450_549_Tot,C11_550_649_REA,C11_550_649_ST_HA,C11_550_649_Co_ho_pr,C11_550_649_Pe_no_sa_ho,C11_550_649_Ot_lan_ty,C11_550_649_Lan_ty_ns,C11_550_649_Tot,C11_650_749_REA,C11_650_749_ST_HA,C11_650_749_Co_ho_pr,C11_650_749_Pe_no_sa_ho,C11_650_749_Oth_lan_typ,C11_650_749_LLT_NS,C11_650_749_Tot,C11_750_849_REA,C11_750_849_ST_HA,C11_750_849_Co_ho_pr,C11_750_849_Pe_no_sa_ho,C11_750_849_Oth_lan_typ,C11_750_849_LLT_NS,C11_750_849_Tot,C11_850_950_REA,C11_850_949_ST_HA,C11_850_949_Co_ho_pr,C11_850_949_Pe_no_sa_ho,C11_850_949_Oth_lan_typ,C11_850_949_LLT_NS,C11_850_949_Tot,C11_950over_REA,C11_950over_ST_HA,C11_950over_Co_ho_pr,C11_950over_Pe_no_sa_ho,C11_950over_Oth_lan_typ,C11_950over_LLT_NS,C11_950over_Tot,C11_R_NS_REA,C11_R_NS_ST_HA,C11_R_NS_Co_ho_pr,C11_R_NS_Pe_no_sa_ho,C11_R_NS_Oth_lan_typ,C11_R_NS_Land_typ_ns,C11_Rent_not_statd_Tot,C11_Tot_REA,C11_Tot_ST_HA,C11_Tot_Co_ho_pr,C11_Tot_Pe_no_sa_ho,C11_Tot_Oth_lan_typ,C11_Tot_LLT_NS,C11_Tot_Tot,C16_1_74_REA,C16_1_74_ST_HA,C16_1_74_Co_ho_pr,C16_1_74_Per_no_sa_ho,C16_1_74_Oth_land_typ,C16_1_74_LLT_NS,C16_1_74_Tot,C16_75_99_REA,C16_75_99_ST_HA,C16_75_99_Co_ho_pr,C16_75_99_Pe_no_sa_ho,C16_75_99_Oth_lan_typ,C16_75_99_Lan_type_ns,C16_75_99_Tot,C16_100_149_REA,C16_100_149_ST_HA,C16_100_149_Co_ho_pr,C16_100_149_Pe_no_sa_ho,C16_100_149_Ot_lan_ty,C16_100_149_Lan_typ_ns,C16_100_149_Tot,C16_150_199_REA,C16_150_199_ST_HA,C16_150_199_Co_ho_pr,C16_150_199_Pe_no_sa_ho,C16_150_199_Ot_lan_ty,C16_150_199_Lan_ty_ns,C16_150_199_Tot,C16_200_224_REA,C16_200_224_ST_HA,C16_200_224_Co_ho_pr,C16_200_224_Pe_no_sa_ho,C16_200_224_Ot_lan_ty,C16_200_224_Lan_ty_ns,C16_200_224_Tot,C16_225_274_REA,C16_225_274_ST_HA,C16_225_274_Co_ho_pr,C16_225_274_Pe_no_sa_ho,C16_225_274_Ot_la_typ,C16_225_274_Lan_ty_ns,C16_225_274_Tot,C16_275_349_REA,C16_275_349_ST_HA,C16_275_349_Co_ho_pr,C16_275_349_Pe_no_sa_ho,C16_275_349_Ot_lan_ty,C16_275_349_Lan_ty_ns,C16_275_349_Tot,C16_350_449_REA,C16_350_449_ST_HA,C16_350_449_Co_ho_pr,C16_350_449_Pe_no_sa_ho,C16_350_449_Ot_lan_ty,C16_350_449_Lan_ty_ns,C16_350_449_Tot,C16_450_549_REA,C16_450_549_ST_HA,C16_450_549_Co_ho_pr,C16_450_549_Pe_no_sa_ho,C16_450_549_Oth_lan_typ,C16_450_549_Lan_ty_ns,C16_450_549_Tot,C16_550_649_REA,C16_550_649_ST_HA,C16_550_649_Co_ho_pr,C16_550_649_Pe_no_sa_ho,C16_550_649_Oth_lan_typ,C16_550_649_LLT_NS,C16_550_649_Tot,C16_650_749_REA,C16_650_749_ST_HA,C16_650_749_Co_ho_pr,C16_650_749_Pe_no_sa_ho,C16_650_749_Oth_lan_typ,C16_650_749_LLT_NS,C16_650_749_Tot,C16_750_849_REA,C16_750_849_ST_HA,C16_750_849_Co_ho_pr,C16_750_849_Pe_no_sa_ho,C16_750_849_Oth_lan_typ,C16_750_849_LLT_NS,C16_750_849_Tot,C16_850_950_REA,C16_850_949_ST_HA,C16_850_949_Co_ho_pr,C16_850_949_Pe_no_sa_ho
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,91,4114,625,308,98,56,5300,71,9076,1144,342,127,97,10854,812,7011,1450,2302,356,116,12048,3401,3424,716,4596,672,116,12930,3990,1357,253,4627,733,75,11040,12609,1770,334,8421,943,153,24234,18923,630,224,9491,887,165,30316,9666,105,58,4047,313,68,14259,2374,29,14,872,68,18,3370,792,55,9,299,35,9,1195,324,29,12,124,15,0,510,149,53,8,84,19,7,317,62,31,5,35,5,0,142,268,11,5,178,43,17,525,764,1856,483,1313,322,307,5050,54297,29559,5352,37037,4646,1204,132095,89,1618,189,238,50,26,2210,58,4853,536,168,72,80,5766,462,8149,982,1467,281,118,11460,1627,4380,1587,2590,341,87,10606,2416,1661,552,2801,321,52,7799,11173,2104,591,6636,1121,126,21753,25413,1491,382,11375,1107,167,39935,18454,392,109,6750,447,83,26235,4805,45,42,1633,102,27,6658,1464,30,15,508,72,15,2095,608,19,8,207,28,3,874,270,22,4,113,22,0,432,139,15,3,55
4RSAU,59,1379,409,477,609,43,2974,133,2360,333,404,292,39,3553,1624,2321,277,2307,1024,73,7636,4047,1466,164,2705,764,68,9204,2048,256,39,1356,204,18,3917,3042,119,33,1035,157,27,4403,1639,40,6,569,95,5,2355,447,26,11,161,75,6,728,127,9,0,55,57,0,246,47,11,0,28,47,0,132,15,7,0,26,33,0,77,5,15,5,13,19,0,62,3,6,0,11,10,0,29,46,0,0,91,26,9,173,249,577,117,518,540,89,2091,13534,8599,1387,9748,3947,372,37582,54,554,115,320,307,20,1370,68,1562,223,244,136,44,2275,964,2368,322,1516,741,70,5983,3120,1662,311,2373,760,88,8311,2147,516,79,1746,313,41,4840,4535,291,64,1801,258,53,7000,3330,94,32,1151,130,18,4758,898,25,11,270,52,12,1273,100,14,0,62,27,4,204,29,7,6,24,36,0,96,14,8,3,20,39,0,68,8,5,0,19,26,0,50,0,3,0,3
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,124,3286,275,402,80,38,4208,53,6083,369,288,91,62,6947,534,4987,910,2304,440,107,9271,1773,2585,426,3738,570,89,9188,2286,920,93,3827,593,58,7776,7822,932,143,6623,717,99,16327,24015,456,146,13863,1305,204,39992,30226,168,73,13342,1031,190,45025,10191,50,22,3904,248,50,14461,3689,34,11,1229,84,15,5059,1660,44,4,537,54,6,2308,953,36,7,351,55,10,1411,525,21,5,175,21,4,756,1344,10,4,585,110,16,2072,1291,1371,279,1874,548,377,5747,86481,20974,2775,53045,5940,1325,170542,109,1057,93,249,38,21,1566,37,1345,202,181,55,27,1847,301,7872,499,1406,258,93,10422,740,3872,943,2156,382,81,8160,1106,1470,226,2103,233,47,5179,4673,1342,186,3711,806,69,10789,19691,1101,192,10133,1073,153,32344,41299,482,162,17262,1555,227,60985,19195,80,46,7145,522,88,27075,6638,25,16,2205,136,19,9031,2795,19,5,900,54,17,3787,1500,13,3,467,37,6,2026,794,10,3,212
5RWAU,90,1812,965,342,2959,55,6222,66,2146,304,259,626,37,3434,534,3026,509,1543,2172,88,7869,1488,1814,153,1966,1429,49,6902,1297,519,62,1599,611,28,4118,3394,381,52,2078,584,32,6519,4944,231,36,2378,442,36,8066,3200,115,18,1101,280,26,4737,740,52,5,317,157,10,1269,378,19,4,126,90,0,619,226,18,0,87,78,5,410,109,6,0,72,43,0,236,70,4,0,37,50,0,164,868,8,0,325,355,15,1574,694,766,144,778,1739,163,4281,18103,10908,2244,13000,11607,549,56416,94,1264,254,200,2575,21,4415,39,861,190,146,476,22,1735,268,3190,355,1038,1686,54,6582,912,2227,394,1410,1257,77,6273,989,900,85,1394,797,37,4208,2498,1010,106,2058,946,35,6655,5675,638,92,3055,826,52,10340,6244,219,40,2362,478,53,9392,1898,63,14,550,205,18,2744,667,31,3,186,90,4,976,350,18,6,104,85,3,561,215,9,7,61,53,5,352,96,4,0,44
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,12,453,52,73,19,8,619,18,1672,110,95,26,19,1950,240,1145,212,620,76,16,2311,846,679,140,1102,128,29,2920,651,310,22,888,91,18,1987,1922,261,26,1538,165,15,3926,2597,94,47,1735,147,25,4638,1440,17,8,845,47,11,2371,400,3,7,176,18,3,599,106,10,4,55,6,4,177,36,3,0,16,4,0,57,15,11,0,21,0,0,50,5,4,0,0,0,0,11,21,7,0,53,8,9,91,98,232,26,203,59,40,661,8401,4894,664,7419,797,187,22362,26,290,19,47,13,4,404,12,673,41,43,12,15,792,144,1362,217,355,66,25,2168,703,989,242,733,94,36,2790,787,446,80,722,50,17,2101,2136,322,57,1526,154,25,4220,3456,141,51,2137,195,13,5993,2307,41,25,1114,79,6,3567,677,6,7,281,15,5,991,207,5,0,85,5,0,301,52,5,0,37,0,0,97,25,3,0,11,5,0,44,5,0,3,4
6RTAS,42,630,125,322,280,21,1418,64,1895,154,252,104,40,2513,780,1311,246,1511,350,62,4261,2392,983,118,2262,313,55,6117,1646,220,36,1422,160,26,3509,2735,149,24,1534,153,41,4629,1764,32,37,829,87,11,2753,439,14,6,165,14,6,648,77,4,0,38,5,3,130,20,0,5,15,0,0,39,7,0,0,10,0,0,25,0,9,0,6,3,0,21,0,0,0,4,4,0,13,36,6,0,37,11,0,92,162,229,58,317,233,63,1060,10162,5482,804,8722,1730,335,27234,43,331,68,183,213,10,851,47,664,94,135,66,13,1025,513,1463,282,952,220,54,3483,1902,1194,349,1685,282,73,5481,1736,604,128,1616,197,31,4304,3551,217,33,2137,209,41,6193,2874,58,28,1441,145,26,4578,835,25,16,328,42,5,1255,122,8,3,64,9,0,207,15,4,0,28,5,0,62,8,6,0,13,8,0,30,3,0,0,9,7,0,19,0,3,0,4
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,7,794,90,35,27,20,977,0,389,12,12,27,0,443,17,457,29,127,83,3,722,66,238,22,178,434,6,942,81,147,7,202,519,5,964,223,122,5,305,358,6,1028,796,268,14,586,206,16,1882,2011,50,13,1056,126,24,3280,1896,16,5,749,80,13,2759,1029,4,5,319,29,6,1391,446,0,4,139,31,0,621,211,0,0,78,16,0,304,97,0,0,22,8,0,127,64,0,0,58,46,0,165,130,192,15,151,204,31,725,7070,2683,219,4011,2196,142,16323,12,470,34,8,11,4,541,0,491,18,10,5,7,529,20,543,45,73,36,4,721,48,295,29,82,39,9,512,73,90,13,141,93,0,401,194,150,7,185,766,6,1309,873,109,9,400,337,8,1744,2258,101,15,969,185,20,3550,2573,94,6,1012,136,12,3833,1836,16,0,542,65,3,2466,999,4,0,253,35,6,1291,453,4,0,100,22,3,568,189,9,0,47
7RNTE,75,2370,959,29,985,39,4456,30,460,102,10,289,3,892,13,604,182,75,306,12,1204,31,285,58,126,290,13,800,61,91,14,103,191,5,458,186,87,11,149,131,5,576,324,82,9,189,101,7,704,481,44,8,227,69,5,835,374,9,6,121,45,0,561,103,6,5,58,27,0,184,53,0,0,19,14,0,92,15,0,0,21,22,0,58,8,6,0,4,4,0,28,4,0,0,26,42,0,78,64,577,133,123,618,48,1570,1819,4635,1474,1289,3150,154,12512,53,2113,588,33,614,43,3442,3,737,78,5,267,12,1106,19,758,117,49,318,12,1258,26,405,58,79,293,8,866,50,116,68,75,99,0,414,167,110,27,105,263,0,677,348,54,8,174,104,6,696,657,63,5,263,83,5,1086,485,24,5,197,54,3,762,202,11,5,70,20,0,303,73,3,0,26,14,3,121,40,0,0,17,10,0,69,15,3,0,0
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,15,1115,69,40,12,3,1253,3,2212,78,18,20,12,2346,38,1859,116,230,83,12,2341,102,1158,61,341,127,16,1808,156,411,30,339,287,8,1225,378,542,44,551,385,8,1910,1477,564,67,1404,373,11,3897,7453,913,32,3564,259,34,12253,4826,84,7,2156,140,27,7238,1625,23,7,752,53,8,2469,576,12,0,198,19,4,811,222,11,0,101,7,0,358,120,4,0,42,8,0,170,197,5,0,75,33,6,318,215,537,59,287,136,63,1306,17411,9455,576,10108,1943,205,39707,31,543,39,36,12,4,663,6,1295,46,21,8,8,1386,55,2572,93,162,54,15,2962,151,1268,126,343,52,10,1950,148,525,45,283,84,9,1094,603,612,63,442,488,11,2221,3355,548,115,1295,685,10,6012,9636,577,49,3423,427,45,14153,5761,141,11,2223,201,22,8357,2234,22,9,720,69,4,3057,705,9,5,296,31,0,1042,306,3,4,129,10,0,459,160,0,0,63
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,37,23,0,41,0,100,0,18,0,0,6,0,32,9,35,0,0,0,0,49,0,34,0,3,0,4,42,0,6,0,13,0,0,23,4,4,0,8,10,0,30,11,4,0,12,0,0,24,0,0,0,3,0,0,9,0,0,0,7,3,0,9,0,0,0,4,3,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,16,13,6,19,5,57,23,155,36,64,95,3,385,0,24,15,3,30,0,71,0,12,0,5,14,0,33,21,11,0,35,10,0,75,22,33,0,39,5,0,94,10,19,0,14,0,0,48,13,0,0,9,0,0,27,12,9,0,17,9,0,42,11,3,0,17,3,0,25,6,0,0,5,8,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
