GCCSA_CODE_2021,C11_M_15_19_Em_FT,C11_M_15_19_Em_PT,C11_M_15_19_Em_AFW,C11_M_15_19_Em_Hrs_NS,C11_M_15_19_Em_Tot,C11_M_15_19_Unem_Look_FT,C11_M_15_19_Unem_Look_PT,C11_M_15_19_Unem_Tot,C11_M_15_19_Tot_LF,C11_M_15_19_Not_LF,C11_M_15_19_LF_NS,C11_M_15_19_Tot,C11_M_20_24_Em_FT,C11_M_20_24_Em_PT,C11_M_20_24_Em_AFW,C11_M_20_24_Em_Hrs_NS,C11_M_20_24_Em_Tot,C11_M_20_24_Unem_Look_FT,C11_M_20_24_Unem_Look_PT,C11_M_20_24_Unem_Tot,C11_M_20_24_Tot_LF,C11_M_20_24_Not_LF,C11_M_20_24_LF_NS,C11_M_20_24_Tot,C11_M_25_29_Em_FT,C11_M_25_29_Em_PT,C11_M_25_29_Em_AFW,C11_M_25_29_Em_Hrs_NS,C11_M_25_29_Em_Tot,C11_M_25_29_Unem_Look_FT,C11_M_25_29_Unem_Look_PT,C11_M_25_29_Unem_Tot,C11_M_25_29_Tot_LF,C11_M_25_29_Not_LF,C11_M_25_29_LF_NS,C11_M_25_29_Tot,C11_M_30_34_Em_FT,C11_M_30_34_Em_PT,C11_M_30_34_Em_AFW,C11_M_30_34_Em_Hrs_NS,C11_M_30_34_Em_Tot,C11_M_30_34_Unem_Look_FT,C11_M_30_34_Unem_Look_PT,C11_M_30_34_Unem_Tot,C11_M_30_34_Tot_LF,C11_M_30_34_Not_LF,C11_M_30_34_LF_NS,C11_M_30_34_Tot,C11_M_35_39_Em_FT,C11_M_35_39_Em_PT,C11_M_35_39_Em_AFW,C11_M_35_39_Em_Hrs_NS,C11_M_35_39_Em_Tot,C11_M_35_39_Unem_Look_FT,C11_M_35_39_Unem_Look_PT,C11_M_35_39_Unem_Tot,C11_M_35_39_Tot_LF,C11_M_35_39_Not_LF,C11_M_35_39_LF_NS,C11_M_35_39_Tot,C11_M_40_44_Em_FT,C11_M_40_44_Em_PT,C11_M_40_44_Em_AFW,C11_M_40_44_Em_Hrs_NS,C11_M_40_44_Em_Tot,C11_M_40_44_Unem_Look_FT,C11_M_40_44_Unem_Look_PT,C11_M_40_44_Unem_Tot,C11_M_40_44_Tot_LF,C11_M_40_44_Not_LF,C11_M_40_44_LF_NS,C11_M_40_44_Tot,C11_M_45_49_Em_FT,C11_M_45_49_Em_PT,C11_M_45_49_Em_AFW,C11_M_45_49_Em_Hrs_NS,C11_M_45_49_Em_Tot,C11_M_45_49_Unem_Look_FT,C11_M_45_49_Unem_Look_PT,C11_M_45_49_Unem_Tot,C11_M_45_49_Tot_LF,C11_M_45_49_Not_LF,C11_M_45_49_LF_NS,C11_M_45_49_Tot,C11_M_50_54_Em_FT,C11_M_50_54_Em_PT,C11_M_50_54_Em_AFW,C11_M_50_54_Em_Hrs_NS,C11_M_50_54_Em_Tot,C11_M_50_54_Unem_Look_FT,C11_M_50_54_Unem_Look_PT,C11_M_50_54_Unem_Tot,C11_M_50_54_Tot_LF,C11_M_50_54_Not_LF,C11_M_50_54_LF_NS,C11_M_50_54_Tot,C11_M_55_59_Em_FT,C11_M_55_59_Em_PT,C11_M_55_59_Em_AFW,C11_M_55_59_Em_Hrs_NS,C11_M_55_59_Em_Tot,C11_M_55_59_Unem_Look_FT,C11_M_55_59_Unem_Look_PT,C11_M_55_59_Unem_Tot,C11_M_55_59_Tot_LF,C11_M_55_59_Not_LF,C11_M_55_59_LF_NS,C11_M_55_59_Tot,C11_M_60_64_Em_FT,C11_M_60_64_Em_PT,C11_M_60_64_Em_AFW,C11_M_60_64_Em_Hrs_NS,C11_M_60_64_Em_Tot,C11_M_60_64_Unem_Look_FT,C11_M_60_64_Unem_Look_PT,C11_M_60_64_Unem_Tot,C11_M_60_64_Tot_LF,C11_M_60_64_Not_LF,C11_M_60_64_LF_NS,C11_M_60_64_Tot,C11_M_65_69_Em_FT,C11_M_65_69_Em_PT,C11_M_65_69_Em_AFW,C11_M_65_69_Em_Hrs_NS,C11_M_65_69_Em_Tot,C11_M_65_69_Unem_Look_FT,C11_M_65_69_Unem_Look_PT,C11_M_65_69_Unem_Tot,C11_M_65_69_Tot_LF,C11_M_65_69_Not_LF,C11_M_65_69_LF_NS,C11_M_65_69_Tot,C11_M_70_74_Em_FT,C11_M_70_74_Em_PT,C11_M_70_74_Em_AFW,C11_M_70_74_Em_Hrs_NS,C11_M_70_74_Em_Tot,C11_M_70_74_Unem_Look_FT,C11_M_70_74_Unem_Look_PT,C11_M_70_74_Unem_Tot,C11_M_70_74_Tot_LF,C11_M_70_74_Not_LF,C11_M_70_74_LF_NS,C11_M_70_74_Tot,C11_M_75over_Em_FT,C11_M_75over_Em_PT,C11_M_75over_Em_AFW,C11_M_75over_Em_Hrs_NS,C11_M_75over_Em_Tot,C11_M_75over_Unem_Look_FT,C11_M_75over_Unem_Look_PT,C11_M_75over_Unem_Tot,C11_M_75over_Tot_LF,C11_M_75ove_Not_LF,C11_M_75over_LF_NS,C11_M_75over_Tot,C11_M_Tot_Em_FT,C11_M_Tot_Em_PT,C11_M_Tot_Em_AFW,C11_M_Tot_Em_Hrs_NS,C11_M_Tot_Em_Tot,C11_M_Tot_Unem_Look_FT,C11_M_Tot_Unem_Look_PT,C11_M_Tot_Unem_Tot,C11_M_Tot_Tot_labo_for,C11_M_Tot_Not_LF,C11_M_Tot_LF_NS,C11_M_Tot_Tot,C16_M_15_19_Em_FT,C16_M_15_19_Em_PT,C16_M_15_19_Em_AFW,C16_M_15_19_Em_Hrs_NS,C16_M_15_19_Em_Tot,C16_M_15_19_Unem_Look_FT,C16_M_15_19_Unem_Look_PT,C16_M_15_19_Unem_Tot,C16_M_15_19_Tot_LF,C16_M_15_19_Not_LF,C16_M_15_19_LF_NS,C16_M_15_19_Tot,C16_M_20_24_Em_FT,C16_M_20_24_Em_PT,C16_M_20_24_Em_AFW,C16_M_20_24_Em_Hrs_NS,C16_M_20_24_Em_Tot,C16_M_20_24_Unem_Look_FT,C16_M_20_24_Unem_Look_PT,C16_M_20_24_Unem_Tot,C16_M_20_24_Tot_LF,C16_M_20_24_Not_LF,C16_M_20_24_LF_NS,C16_M_20_24_Tot,C16_M_25_29_Em_FT,C16_M_25_29_Em_PT,C16_M_25_29_Em_AFW,C16_M_25_29_Em_Hrs_NS,C16_M_25_29_Em_Tot,C16_M_25_29_Unem_Look_FT,C16_M_25_29_Unem_Look_PT,C16_M_25_29_Unem_Tot
39499,35,28,0,0,61,42,16,55,123,79,64,268,182,52,11,11,245,59,13,78,321,123,125,572,255,68,18,13,359,69,16,84,440,120,119,687,188,51,21,4,260,55,5,57,318,96,116,530,161,33,17,8,221,39,4,42,268,114,108,483,133,40,19,6,194,38,9,41,241,132,116,485,156,55,5,7,221,43,12,59,274,113,121,511,135,32,17,5,186,41,7,43,229,170,70,471,164,35,13,5,221,43,7,47,265,272,103,643,103,50,16,6,165,23,20,42,204,502,94,801,12,28,0,0,43,6,3,5,55,488,61,605,13,4,0,0,16,0,0,0,23,264,40,327,0,0,0,0,6,0,0,0,6,182,38,229,1535,454,143,67,2202,465,106,573,2770,2659,1176,6604,22,20,0,4,49,29,14,40,91,81,36,210,125,77,9,15,223,71,19,89,309,134,113,562,214,82,6,26,327,44,19,68
39799,4,0,0,0,6,0,3,3,11,5,0,12,21,3,0,3,25,0,0,0,31,4,3,39,19,0,4,0,18,0,0,0,18,4,4,29,13,0,0,0,13,0,0,0,13,0,0,21,11,0,3,0,15,0,0,0,15,6,6,21,7,0,0,0,12,5,0,5,12,0,3,18,9,0,0,0,11,0,0,0,11,0,8,21,14,0,0,0,16,0,0,0,16,0,11,26,5,0,0,0,11,0,0,0,11,9,3,20,9,0,0,0,8,0,0,0,8,9,0,20,6,0,0,0,6,0,0,0,6,7,5,13,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,12,3,19,120,15,11,13,159,0,3,6,160,55,47,269,0,0,0,0,4,0,0,0,4,0,0,4,3,0,0,0,3,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0
4GADE,4619,9649,585,576,15425,1425,1980,3404,18830,20705,1507,41044,17442,10413,973,862,29688,2435,1355,3788,33471,8645,2113,44236,25803,6111,1000,723,33637,1847,560,2408,36044,4640,2080,42767,26028,4319,1040,627,32014,1487,334,1812,33830,3699,1752,39279,27672,4195,1039,600,33505,1335,271,1608,35115,3993,1668,40782,29079,4299,1048,637,35059,1262,265,1531,36589,4517,1704,42804,28224,4422,1029,624,34305,1242,266,1507,35807,5022,1705,42540,26528,4342,1190,528,32592,1044,211,1254,33844,5699,1695,41231,20864,4346,1163,407,26787,859,264,1117,27906,7200,1357,36459,12957,5067,932,282,19236,528,288,820,20058,13205,1357,34617,3526,3167,390,130,7221,44,81,128,7347,17087,1106,25541,757,1286,121,51,2211,20,31,52,2259,16242,1058,19558,268,663,79,77,1093,10,13,22,1114,33851,3279,38244,223777,62277,10585,6125,302759,13530,5918,19453,322214,144501,22380,489095,2681,9417,451,306,12856,1302,3218,4517,17371,21691,1426,40488,14439,12220,733,652,28055,3063,2075,5137,33193,10252,2052,45497,23749,7263,773,639,32417,2455,787,3243
4RSAU,2144,2592,213,176,5124,484,394,883,6007,5430,527,11968,5379,1196,255,239,7073,672,132,806,7878,1195,522,9590,5961,884,344,217,7406,459,74,539,7940,1043,489,9470,6178,853,321,207,7568,359,65,428,7992,1004,451,9453,6899,1013,346,186,8450,374,67,439,8887,1236,546,10673,8349,1206,363,217,10133,392,98,486,10622,1542,646,12809,8347,1407,417,192,10364,403,83,483,10846,1880,666,13391,8427,1418,516,194,10554,362,102,459,11010,2124,628,13761,7185,1526,530,150,9392,273,105,384,9769,2932,583,13280,4559,1834,401,144,6932,200,118,320,7245,5250,610,13112,1586,1158,182,55,2993,20,23,39,3030,7148,515,10699,511,544,75,49,1187,9,8,12,1197,6491,493,8184,320,328,53,66,757,4,6,12,769,11204,1163,13134,65862,15954,4026,2084,87920,4012,1277,5287,93209,48474,7847,149522,1463,2464,138,155,4225,454,434,883,5101,5229,602,10933,4696,1549,208,176,6630,769,200,969,7598,1352,604,9559,5783,1158,236,143,7320,539,99,640
49499,14,8,0,3,20,8,4,15,33,35,11,76,32,27,6,6,69,20,4,24,94,43,15,149,65,19,9,0,88,18,6,21,116,33,24,170,66,16,3,0,90,22,0,23,112,39,31,178,45,22,8,4,77,15,0,15,94,34,22,152,46,10,6,0,60,10,4,10,75,46,30,151,35,8,9,4,56,19,3,24,74,31,30,141,31,4,3,4,48,8,0,8,55,38,32,126,25,21,6,0,53,11,0,8,61,55,28,138,6,3,6,0,16,3,4,7,23,74,23,123,3,0,0,0,10,0,0,0,10,61,5,79,0,0,0,0,0,0,0,0,4,50,10,61,0,0,0,0,0,0,0,0,0,63,14,73,376,149,48,22,592,137,25,160,747,603,274,1629,4,12,0,0,11,9,3,14,27,53,12,94,26,18,3,0,55,34,0,33,92,38,34,165,52,26,3,7,85,28,5,27
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,10013,14164,1006,985,26167,1992,2497,4485,30657,26564,3070,60289,30104,13691,1755,1470,47022,2766,1590,4354,51380,9965,4677,66020,43181,7763,2000,1255,54202,2131,597,2726,56932,5447,5292,67671,42182,5431,1839,1043,50499,1592,328,1920,52414,4085,4305,60806,43794,5001,1947,1178,51919,1420,255,1673,53596,3935,3914,61442,44801,5264,1904,1082,53053,1378,251,1627,54680,4359,3881,62919,42674,5022,2019,980,50699,1270,207,1473,52174,4436,3423,60035,38151,5024,1959,777,45910,1123,241,1361,47270,5016,3141,55430,30394,5298,1831,630,38147,1024,235,1266,39415,7025,2799,49242,19712,6949,1513,498,28672,707,338,1049,29721,13418,2342,45482,6046,4713,605,230,11594,124,137,253,11845,19205,1821,32870,1199,2053,186,88,3526,30,65,95,3627,19400,1579,24608,371,1029,104,96,1603,7,24,33,1635,34953,4196,40788,352621,81415,18680,10303,463013,15552,6774,22332,485342,157819,44440,687601,5495,15035,673,534,21737,2264,4862,7134,28868,29764,2768,61397,24793,17861,1254,1160,45065,4530,2847,7377,52444,11675,4226,68350,43175,10730,1692,1219,56818,3968,1114,5083
5RWAU,3912,2641,346,311,7215,672,374,1048,8261,6508,1281,16052,8685,1508,491,352,11033,758,158,917,11948,1912,1939,15799,11439,1302,660,385,13788,557,103,650,14437,1673,2459,18567,11458,1232,713,369,13770,457,86,540,14315,1536,2022,17865,12633,1419,800,392,15242,486,71,559,15806,1589,2066,19458,13364,1561,844,384,16157,412,88,499,16661,1565,2166,20389,13074,1564,812,347,15794,393,82,472,16276,1718,2068,20058,12453,1692,816,345,15305,372,69,438,15750,1895,1888,19524,9802,1698,807,219,12530,319,83,403,12931,2552,1453,16936,6184,1952,613,191,8933,222,112,329,9267,4508,1127,14905,2053,1238,291,92,3669,44,50,97,3769,5960,695,10423,650,643,116,51,1455,9,17,27,1481,5483,572,7538,331,417,83,59,892,11,7,20,915,8728,1122,10766,106046,18864,7397,3487,135795,4711,1292,6009,141804,45625,20851,208283,2462,3019,192,211,5886,683,571,1251,7142,7195,1294,15631,6977,1644,354,283,9251,1032,250,1284,10538,1997,1401,13934,10457,1469,553,247,12729,811,132,945
59499,18,6,0,0,25,11,3,14,41,47,34,121,133,22,10,7,171,22,8,31,200,69,67,335,223,45,27,3,295,22,8,34,330,65,100,494,167,29,10,6,215,28,4,37,245,74,107,428,153,20,23,4,193,19,5,24,222,54,94,368,132,18,15,7,173,30,12,42,217,65,78,364,142,13,13,4,172,32,0,36,210,64,98,368,114,14,13,7,148,22,0,21,169,70,79,314,85,15,9,0,112,25,6,27,143,144,76,362,64,12,8,3,80,15,8,21,99,221,47,368,15,9,6,0,26,0,4,4,24,206,30,266,0,0,0,0,4,0,0,0,4,101,18,126,0,0,0,0,3,0,0,0,0,51,19,74,1236,213,125,41,1619,227,61,283,1906,1239,831,3979,0,8,0,0,7,18,3,19,27,36,26,87,57,32,3,10,104,24,4,36,137,63,57,257,145,42,6,7,199,41,3,42
59799,3,0,0,0,3,0,0,0,3,0,0,7,20,0,5,0,25,0,0,0,25,5,3,33,52,0,3,0,58,0,0,0,57,0,11,71,50,0,3,5,59,0,0,0,59,0,11,68,43,4,0,0,49,4,0,4,49,0,12,62,30,0,4,0,36,0,0,0,36,0,7,41,21,0,6,0,24,0,0,0,29,0,6,33,27,0,0,0,32,0,0,0,32,0,3,35,14,0,0,0,15,0,0,0,15,3,5,21,12,0,0,0,11,0,0,0,11,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,273,11,20,5,310,5,0,5,312,10,53,377,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,14,0,0,0,14,0,3,16,29,0,0,0,34,0,0,0
6GHOB,874,1480,120,70,2543,280,307,585,3132,3626,261,7017,2792,1599,154,110,4656,502,234,735,5394,1565,372,7326,3819,939,157,119,5029,355,88,449,5480,842,313,6635,3793,761,172,82,4810,236,53,288,5103,693,268,6058,4246,775,190,79,5291,210,42,258,5549,731,253,6536,4520,759,193,106,5572,217,53,269,5841,787,279,6909,4505,909,198,112,5718,172,42,212,5929,892,276,7094,4641,850,187,103,5785,183,37,216,6007,1022,284,7311,3536,905,213,63,4716,149,72,219,4937,1560,290,6784,2066,990,165,48,3278,88,62,151,3424,2617,292,6331,549,555,64,17,1181,9,20,30,1215,3171,234,4626,137,243,29,10,411,9,3,9,421,2973,211,3615,40,118,17,17,193,0,6,8,196,5442,519,6159,35515,10883,1848,942,49190,2398,1032,3429,52620,25920,3861,82402,565,1609,102,59,2333,237,495,732,3068,3549,268,6881,2362,1787,121,89,4366,505,280,788,5153,1568,365,7087,3687,1134,128,97,5039,397,134,533
6RTAS,1748,1720,163,135,3769,451,354,796,4569,4862,350,9777,3796,1180,227,162,5370,584,158,743,6104,1099,334,7533,4327,836,176,131,5473,399,75,474,5947,754,272,6969,4459,739,197,147,5550,349,53,407,5952,712,267,6930,5181,913,228,143,6463,388,74,464,6929,955,320,8207,5876,1071,282,154,7377,374,76,447,7828,1151,383,9355,6157,1090,324,146,7725,344,71,411,8133,1407,391,9929,6070,1277,373,151,7859,357,87,440,8300,1686,405,10392,4732,1353,332,107,6531,309,110,425,6956,2530,388,9867,2881,1415,279,105,4678,222,125,343,5023,4398,436,9856,868,790,120,41,1819,17,31,43,1862,5706,378,7946,249,333,33,22,637,0,10,10,644,4854,359,5855,141,193,34,25,394,4,8,8,406,7588,887,8882,46480,12914,2777,1469,63640,3782,1222,5007,68646,37683,5165,111497,1127,1842,112,106,3179,407,463,871,4052,4522,472,9048,3488,1446,176,127,5237,698,257,950,6189,1432,526,8140,4037,881,147,118,5180,422,119,544
69499,0,7,0,0,11,10,0,15,21,13,3,45,6,3,0,0,18,11,0,14,32,16,10,54,18,9,0,0,31,9,0,8,40,23,15,74,14,5,0,0,23,8,0,8,28,16,16,60,18,6,0,0,21,12,0,13,31,8,10,56,17,4,4,0,23,3,0,3,30,11,14,50,16,4,0,0,23,3,0,3,24,17,11,49,12,3,0,0,18,0,0,0,22,13,6,37,9,0,0,0,8,5,0,5,13,22,3,42,6,9,0,0,7,4,0,4,16,26,4,47,0,0,0,0,0,0,0,0,0,13,9,25,0,0,0,0,3,0,0,0,3,17,0,16,0,0,0,0,0,0,0,0,0,10,5,8,116,45,11,3,184,65,10,70,255,208,106,563,0,3,0,0,5,0,0,3,14,14,3,31,5,5,0,0,18,16,4,15,28,15,17,61,20,8,0,0,28,7,0,9
69799,0,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,5,0,0,0,5,0,0,5,7,0,0,0,12,0,0,0,12,0,0,6,3,0,0,0,3,0,0,0,8,0,0,6,0,0,0,0,5,0,0,0,5,0,0,5,7,0,0,0,10,0,0,0,9,0,6,12,9,0,0,0,7,0,0,0,11,0,0,11,10,0,0,0,10,0,0,0,10,0,0,10,7,0,0,0,7,0,0,0,7,0,0,12,8,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,53,7,4,0,62,4,0,4,64,3,11,84,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,4,0,0,6,6,0,0,0,4,0,0,0
7GDAR,854,803,56,74,1781,139,128,265,2047,1770,515,4335,2943,496,285,131,3853,163,56,218,4072,594,623,5298,3489,446,260,117,4312,122,29,150,4462,542,734,5741,3279,362,176,96,3911,94,17,114,4019,476,564,5057,3296,340,207,113,3954,92,20,116,4073,415,541,5032,3191,369,172,103,3834,94,10,106,3937,404,593,4936,2963,311,172,86,3538,91,16,100,3643,426,486,4554,2630,351,156,64,3199,64,16,78,3276,404,512,4197,2159,300,127,48,2629,65,9,77,2704,516,407,3628,1363,349,113,34,1860,44,15,62,1919,810,361,3093,416,192,54,11,677,10,7,18,693,917,215,1826,106,87,9,8,215,0,7,8,218,776,146,1142,23,30,4,0,57,3,0,8,61,876,178,1113,26702,4442,1793,884,33823,977,334,1316,35137,8937,5879,49945,571,938,60,62,1632,118,169,283,1914,1740,383,4040,2669,739,166,138,3702,210,78,293,3998,584,622,5204,4361,636,182,142,5326,181,44,221
7RNTE,449,383,47,71,959,180,80,262,1218,1925,360,3505,1259,359,74,104,1795,255,52,306,2100,1109,387,3605,1727,387,105,85,2299,195,56,255,2550,974,428,3950,1657,376,94,82,2208,187,27,215,2425,768,384,3573,1640,368,106,72,2183,158,23,184,2361,698,349,3411,1617,327,101,57,2098,119,31,150,2250,631,336,3222,1581,286,107,53,2027,86,19,109,2131,523,328,2989,1479,258,95,58,1896,80,23,107,2002,488,267,2757,1236,180,81,43,1541,44,13,52,1596,489,253,2333,797,162,65,30,1044,33,6,39,1089,537,182,1806,278,77,23,15,392,8,3,12,407,475,124,1008,77,49,9,7,146,8,0,8,151,376,84,609,20,24,6,7,50,4,0,5,51,405,78,537,13818,3242,910,668,18635,1365,335,1697,20335,9403,3565,33299,285,342,28,45,701,217,54,277,973,1945,493,3420,1038,233,40,64,1370,338,71,414,1789,1167,585,3548,1521,253,61,75,1924,261,68,324
79499,4,0,0,0,8,0,0,0,8,4,3,14,33,8,4,3,43,0,0,0,47,14,13,65,42,11,3,0,57,7,5,14,72,24,29,123,27,0,3,0,38,9,0,8,45,12,17,75,27,9,5,0,42,0,0,0,41,23,17,83,19,8,6,0,30,0,0,6,29,22,11,64,14,0,7,0,25,4,0,9,33,20,12,62,11,9,0,4,24,3,0,3,25,34,9,72,27,8,4,0,43,3,3,10,47,53,15,117,19,7,0,0,28,0,4,3,35,73,17,125,4,0,0,3,4,0,0,4,9,80,7,94,0,0,0,0,0,0,0,0,0,42,3,45,0,0,0,0,0,0,0,0,0,16,0,18,217,57,41,16,335,40,16,55,386,410,153,948,12,0,0,0,9,0,0,0,12,4,0,21,33,9,0,3,40,0,0,6,45,16,33,103,37,4,4,0,46,0,0,4
79799,0,0,0,0,0,0,0,0,4,0,0,7,10,0,0,0,14,0,0,0,14,4,3,15,12,0,0,0,14,0,0,0,14,0,0,14,11,0,0,0,15,0,0,0,15,0,0,16,5,0,0,0,5,0,0,0,5,3,0,11,3,0,0,3,6,0,0,0,6,0,0,12,4,0,0,0,5,0,0,0,5,0,0,10,6,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,58,0,3,10,72,0,0,0,73,10,6,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,3,0,0,0
8ACTE,1699,3406,263,165,5531,259,643,903,6437,5377,517,12328,7011,3545,377,265,11198,396,488,888,12082,2499,1020,15600,10547,1603,374,222,12745,317,142,455,13202,1148,875,15226,9964,1289,388,185,11830,232,74,311,12139,894,655,13690,9896,1229,385,169,11678,223,68,290,11962,774,582,13324,9601,1057,371,178,11206,205,37,239,11441,769,543,12761,8940,947,372,165,10430,190,38,230,10659,790,487,11936,8316,915,423,128,9788,175,43,219,10007,876,426,11307,6003,1079,396,78,7558,125,70,194,7750,1722,382,9857,3684,1328,303,64,5381,96,60,156,5534,3107,307,8952,1074,890,122,25,2113,21,42,62,2180,3723,276,6178,244,374,55,8,681,4,14,13,701,3313,218,4234,87,183,19,14,302,4,6,13,316,6010,523,6847,77069,17847,3861,1670,100449,2247,1720,3969,104414,31003,6823,142236,1212,3422,208,155,4999,243,968,1209,6202,5662,475,12350,5911,4030,271,277,10493,497,566,1059,11555,3369,906,15824,10150,2041,294,225,12703,393,205,595
89499,0,5,0,0,6,3,0,8,13,13,0,33,7,7,0,0,21,6,0,3,25,8,4,37,14,5,3,0,25,3,0,0,32,11,5,40,21,3,0,0,24,0,0,0,26,9,4,34,16,4,0,0,21,0,0,0,21,10,0,34,14,0,0,0,12,0,0,0,15,10,9,31,5,0,0,0,6,0,0,0,6,0,8,13,4,0,0,0,13,4,0,4,14,5,4,27,8,4,0,0,11,0,0,0,9,3,8,24,5,0,0,0,3,0,0,0,3,8,5,17,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,4,96,31,4,5,144,20,8,24,167,92,39,301,0,0,0,0,4,4,0,4,6,7,3,15,9,7,0,0,20,0,0,3,27,10,0,36,15,3,0,0,23,4,0,6
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,23,10,0,0,31,4,0,6,35,70,4,112,46,5,0,4,54,0,0,0,56,143,3,199,52,11,0,3,66,7,0,7,75,282,5,358,44,3,0,4,60,6,0,5,61,159,3,221,44,12,5,0,56,4,0,3,65,72,10,148,57,10,7,0,75,0,0,0,77,47,6,125,78,11,6,0,99,0,0,0,100,27,7,127,63,17,3,0,84,0,0,0,84,24,0,107,76,10,6,0,87,0,0,3,88,17,4,110,62,5,0,8,69,0,0,0,73,21,6,108,8,4,0,0,14,0,0,0,9,25,3,41,10,0,0,0,10,0,0,0,10,28,0,38,0,0,0,0,0,0,0,0,0,16,3,18,556,95,22,28,703,24,5,30,726,917,59,1708,17,12,0,0,36,0,0,5,39,58,11,105,43,19,4,7,72,0,0,0,70,41,21,134,60,13,5,3,80,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,9,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
