GCCSA_CODE_2021,C21_CFNC_BPT_2000_2499,C21_CFNC_BPT_2500_2999,C21_CFNC_BPT_3000_3999,C21_CFNC_BPT_4000more,C21_CFNC_BPT_Ns,C21_CFNC_BPT_Tot,C21_CFNC_1F1P_Neg_ni_inc,C21_CFNC_1F1P_1_149,C21_CFNC_1F1P_150_399,C21_CFNC_1F1P_400_649,C21_CFNC_1F1P_650_799,C21_CFNC_1F1P_800_1249,C21_CFNC_1F1P_1250_1999,C21_CFNC_1F1P_2000_2499,C21_CFNC_1F1P_2500_2999,C21_CFNC_1F1P_3000_3999,C21_CFNC_1F1P_4000more,C21_CFNC_1F1P_Ns,C21_CFNC_1F1P_Tot,C21_CFNC_1E1A_Neg_ni_inc,C21_CFNC_1E1A_1_149,C21_CFNC_1E1A_150_399,C21_CFNC_1E1A_400_649,C21_CFNC_1E1A_650_799,C21_CFNC_1E1A_800_1249,C21_CFNC_1E1A_1250_1999,C21_CFNC_1E1A_2000_2499,C21_CFNC_1E1A_2500_2999,C21_CFNC_1E1A_3000_3999,C21_CFNC_1E1A_4000more,C21_CFNC_1E1A_Ns,C21_CFNC_1E1A_Tot,C21_CFNC_1F1NW_Neg_ni_inc,C21_CFNC_1F1NW_1_149,C21_CFNC_1F1NW_150_399,C21_CFNC_1F1NW_400_649,C21_CFNC_1F1NW_650_799,C21_CFNC_1F1NW_800_1249,C21_CFNC_1F1NW_1250_1999,C21_CFNC_1F1NW_2000_2499,C21_CFNC_1F1NW_2500_2999,C21_CFNC_1F1NW_3000_3999,C21_CFNC_1F1NW_4000more,C21_CFNC_1F1NW_Ns,C21_CFNC_1F1NW_Tot,C21_CFNC_1P1NW_Neg_ni_inc,C21_CFNC_1P1NW_1_149,C21_CFNC_1P1NW_150_399,C21_CFNC_1P1NW_400_649,C21_CFNC_1P1NW_650_799,C21_CFNC_1P1NW_800_1249,C21_CFNC_1P1NW_1250_1999,C21_CFNC_1P1NW_2000_2499,C21_CFNC_1P1NW_2500_2999,C21_CFNC_1P1NW_3000_3999,C21_CFNC_1P1NW_4000more,C21_CFNC_1P1NW_Ns,C21_CFNC_1P1NW_Tot,C21_CFNC_1A1NW_Neg_ni_inc,C21_CFNC_1A1NW_1_149,C21_CFNC_1A1NW_150_399,C21_CFNC_1A1NW_400_649,C21_CFNC_1A1NW_650_799,C21_CFNC_1A1NW_800_1249,C21_CFNC_1A1NW_1250_1999,C21_CFNC_1A1NW_2000_2499,C21_CFNC_1A1NW_2500_2999,C21_CFNC_1A1NW_3000_3999,C21_CFNC_1A1NW_4000more,C21_CFNC_1A1NW_Ns,C21_CFNC_1A1NW_Tot,C21_CFNC_BA_Neg_ni_inc,C21_CFNC_BA_1_149,C21_CFNC_BA_150_399,C21_CFNC_BA_400_649,C21_CFNC_BA_650_799,C21_CFNC_BA_800_1249,C21_CFNC_BA_1250_1999,C21_CFNC_BA_2000_2499,C21_CFNC_BA_2500_2999,C21_CFNC_BA_3000_3999,C21_CFNC_BA_4000more,C21_CFNC_BA_Ns,C21_CFNC_BA_Tot,C21_CFNC_BNW_Neg_ni_inc,C21_CFNC_BNW_1_149,C21_CFNC_BNW_150_399,C21_CFNC_BNW_400_649,C21_CFNC_BNW_650_799,C21_CFNC_BNW_800_1249,C21_CFNC_BNW_1250_1999,C21_CFNC_BNW_2000_2499,C21_CFNC_BNW_2500_2999,C21_CFNC_BNW_3000_3999,C21_CFNC_BNW_4000more,C21_CFNC_BNW_Ns,C21_CFNC_BNW_Tot,C21_CFNC_LFns_Neg_ni_inc,C21_CFNC_LFns_1_149,C21_CFNC_LFns_150_399,C21_CFNC_LFns_400_649,C21_CFNC_LFns_650_799,C21_CFNC_LFns_800_1249,C21_CFNC_LFns_1250_1999,C21_CFNC_LFns_2000_2499,C21_CFNC_LFns_2500_2999,C21_CFNC_LFns_3000_3999,C21_CFNC_LFns_4000more,C21_CFNC_LFns_Ns,C21_CFNC_LFns_Tot,C21_CFNC_Tot_Neg_ni_inc,C21_CFNC_Tot_1_149,C21_CFNC_Tot_150_399,C21_CFNC_Tot_400_649,C21_CFNC_Tot_650_799,C21_CFNC_Tot_800_1249,C21_CFNC_Tot_1250_1999,C21_CFNC_Tot_2000_2499,C21_CFNC_Tot_2500_2999,C21_CFNC_Tot_3000_3999,C21_CFNC_Tot_4000more,C21_CFNC_Tot_Ns,C21_CFNC_Tot_Tot,C21_CF_BFT_Neg_ni_inc,C21_CF_BFT_1_149,C21_CF_BFT_150_399,C21_CF_BFT_400_649,C21_CF_BFT_650_799,C21_CF_BFT_800_1249,C21_CF_BFT_1250_1999,C21_CF_BFT_2000_2499,C21_CF_BFT_2500_2999,C21_CF_BFT_3000_3999,C21_CF_BFT_4000more,C21_CF_BFT_Ns,C21_CF_BFT_Tot,C21_CF_BPT_Neg_ni_inc,C21_CF_BPT_1_149,C21_CF_BPT_150_399,C21_CF_BPT_400_649,C21_CF_BPT_650_799,C21_CF_BPT_800_1249,C21_CF_BPT_1250_1999,C21_CF_BPT_2000_2499,C21_CF_BPT_2500_2999,C21_CF_BPT_3000_3999,C21_CF_BPT_4000more,C21_CF_BPT_Ns,C21_CF_BPT_Tot,C21_CF_1F1P_Neg_ni_inc,C21_CF_1F1P_1_149,C21_CF_1F1P_150_399,C21_CF_1F1P_400_649,C21_CF_1F1P_650_799,C21_CF_1F1P_800_1249,C21_CF_1F1P_1250_1999,C21_CF_1F1P_2000_2499,C21_CF_1F1P_2500_2999,C21_CF_1F1P_3000_3999,C21_CF_1F1P_4000more,C21_CF_1F1P_Ns,C21_CF_1F1P_Tot,C21_CF_1E1A_Neg_ni_inc,C21_CF_1E1A_1_149,C21_CF_1E1A_150_399,C21_CF_1E1A_400_649,C21_CF_1E1A_650_799,C21_CF_1E1A_800_1249,C21_CF_1E1A_1250_1999,C21_CF_1E1A_2000_2499,C21_CF_1E1A_2500_2999,C21_CF_1E1A_3000_3999,C21_CF_1E1A_4000more,C21_CF_1E1A_Ns,C21_CF_1E1A_Tot,C21_CF_1F1NW_Neg_ni_inc,C21_CF_1F1NW_1_149,C21_CF_1F1NW_150_399,C21_CF_1F1NW_400_649,C21_CF_1F1NW_650_799,C21_CF_1F1NW_800_1249,C21_CF_1F1NW_1250_1999,C21_CF_1F1NW_2000_2499,C21_CF_1F1NW_2500_2999,C21_CF_1F1NW_3000_3999,C21_CF_1F1NW_4000more,C21_CF_1F1NW_Ns,C21_CF_1F1NW_Tot,C21_CF_1P1NW_Neg_ni_inc,C21_CF_1P1NW_1_149,C21_CF_1P1NW_150_399,C21_CF_1P1NW_400_649,C21_CF_1P1NW_650_799,C21_CF_1P1NW_800_1249,C21_CF_1P1NW_1250_1999,C21_CF_1P1NW_2000_2499,C21_CF_1P1NW_2500_2999,C21_CF_1P1NW_3000_3999,C21_CF_1P1NW_4000more,C21_CF_1P1NW_Ns
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,1103,620,504,444,48,7371,11,0,4,37,94,785,6253,5032,3349,3015,1959,126,20670,0,4,7,38,31,218,810,685,523,524,393,96,3336,25,12,33,161,310,2456,4446,2127,814,919,1218,145,12663,40,90,290,946,1133,3123,2923,911,472,402,474,109,10924,13,19,35,90,124,341,403,197,66,79,100,49,1510,6,0,4,15,18,70,168,147,77,98,84,65,771,2153,803,862,4341,13378,15473,10825,2232,1083,866,980,1097,54094,43,9,13,58,195,156,138,30,20,36,22,5243,5959,2332,961,1261,5866,15606,24326,31232,18869,12899,13865,10774,7135,145106,16,3,5,27,30,222,1829,4514,5308,9751,12463,1733,35904,3,7,17,72,113,830,2601,1655,1117,1110,911,329,8746,25,7,18,47,78,782,8422,9195,8987,11816,10342,1832,51552,5,5,4,17,24,232,1362,1495,1492,2048,1649,410,8747,21,5,32,132,297,2944,7408,4094,1907,2255,3108,859,23065,26,27,117,445,578,1879,2641,1021,608,619,535,420
4RSAU,346,153,163,104,35,2614,22,12,7,62,92,475,2434,1548,901,837,479,76,6952,6,3,4,28,23,126,348,222,173,168,99,46,1249,24,9,25,77,146,869,1390,568,196,171,209,70,3750,19,34,100,404,576,1384,867,219,78,69,71,80,3895,10,10,17,51,61,169,216,77,21,21,34,31,724,7,0,4,11,18,53,91,64,48,40,33,56,430,663,304,363,2013,6551,6041,3556,555,252,238,228,633,21410,17,9,3,46,146,74,79,15,8,18,17,2610,3042,842,393,543,2857,7839,10066,11194,5433,3221,3205,2203,3722,51517,16,5,9,27,30,135,714,1232,1178,1851,1566,741,7510,3,9,8,24,36,195,592,329,216,200,117,114,1839,13,8,11,54,57,385,2955,2453,2036,1981,1210,807,11979,0,0,5,8,26,80,460,429,323,375,236,129,2075,4,0,3,40,78,698,1751,805,354,352,286,227,4605,3,10,19,96,141,444,601,173,93,66,58,140
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,1410,835,813,872,73,9939,26,3,8,65,99,946,7820,6442,5489,5347,4432,216,30897,8,0,8,37,52,232,865,883,906,1216,1150,226,5577,42,18,47,207,446,2898,6521,4049,1320,1872,2990,251,20669,74,156,458,1358,1577,4098,3825,1284,621,626,955,177,15207,24,21,52,109,145,380,608,380,150,188,232,123,2410,18,0,4,12,20,58,181,174,211,326,307,175,1486,4028,1346,1544,6094,15847,17247,11934,2720,1294,1262,1455,1519,66289,54,18,14,68,179,162,165,65,36,48,30,14597,15432,4334,1605,2169,8228,18766,28161,38332,25476,19294,25003,25125,17643,214131,42,5,15,30,44,238,2119,5242,6733,14357,23243,2844,54911,14,8,16,76,158,916,2630,1661,1362,1647,1781,505,10780,37,6,17,57,121,1015,10123,11727,13541,18851,22339,2949,80774,10,0,3,36,26,235,1411,1764,2088,3461,3846,738,13629,45,13,50,214,446,3819,12063,8749,3232,5415,9506,1612,45159,23,33,180,588,687,2217,3122,1492,801,992,1135,681
5RWAU,395,214,219,216,45,2879,20,6,14,59,73,368,2094,1702,1471,1417,980,105,8310,10,3,7,17,22,77,294,300,276,391,315,57,1753,18,11,20,94,152,867,1614,1004,307,456,501,84,5126,13,39,116,421,519,1166,933,261,122,91,108,58,3847,14,8,10,41,61,159,195,133,49,67,70,37,844,7,0,4,8,12,59,129,104,92,103,113,66,694,764,343,419,1873,5113,4457,2816,580,267,264,249,523,17670,22,6,7,42,85,83,57,29,6,18,14,4747,5120,943,456,622,2711,6241,8162,10306,6653,4864,6171,5386,5846,58359,24,6,8,17,24,136,577,1119,1486,3009,3645,1157,11216,7,0,5,18,26,193,544,330,287,272,242,179,2112,17,9,7,34,49,334,2541,2664,2971,3550,2777,1072,16037,5,0,0,17,8,78,350,439,460,723,737,243,3063,16,3,14,50,87,656,2313,1744,614,980,1082,418,7987,11,10,26,105,132,392,587,258,118,121,114,152
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,267,137,107,97,17,1804,0,0,0,10,23,157,1305,914,662,570,384,16,4061,0,0,6,6,7,35,164,163,89,132,72,24,684,4,0,5,43,70,453,779,368,160,165,196,18,2256,10,12,63,213,253,658,651,235,117,76,82,22,2383,0,0,5,18,20,74,109,44,23,20,14,11,348,0,0,0,7,4,19,37,40,27,38,25,9,210,323,112,151,681,2119,2692,2374,483,198,197,145,211,9688,12,0,0,9,45,39,29,5,10,13,7,989,1149,361,131,235,1026,2621,4518,6662,3692,2397,2535,1978,1331,27505,4,0,0,0,8,35,308,705,759,1481,1882,379,5556,6,0,0,8,27,168,485,306,293,299,189,99,1888,0,0,0,12,10,132,1473,1609,1494,2001,1541,340,8615,0,0,0,6,7,47,231,261,267,329,265,76,1489,0,3,0,28,57,419,1127,535,266,267,360,149,3214,0,5,24,72,92,328,396,165,102,92,91,71
6RTAS,310,136,126,88,21,2129,18,4,9,34,35,317,1871,1288,807,629,351,42,5393,8,0,0,16,24,87,281,207,128,131,73,29,981,5,5,13,65,114,777,1137,477,155,152,167,51,3107,8,27,98,318,466,1117,866,200,90,69,74,29,3374,0,0,11,31,56,143,142,67,27,25,23,16,542,6,0,3,8,18,37,76,54,32,45,33,30,347,429,251,345,1536,5200,4141,2484,396,172,192,155,399,15695,13,3,0,30,98,73,63,4,5,16,8,1807,2120,509,305,492,2156,6161,7295,8601,4608,2640,2593,1674,2477,39512,0,3,6,12,19,79,459,899,964,1422,1273,422,5560,0,0,0,17,32,209,524,308,179,182,101,97,1658,3,3,6,15,24,252,2371,1974,1729,1863,1060,571,9867,5,0,0,4,7,56,388,366,281,317,183,127,1726,3,0,0,30,62,654,1644,725,293,256,283,204,4159,0,6,17,96,136,480,561,172,93,64,42,104
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,78,49,67,63,8,559,0,0,0,0,11,43,519,437,318,368,238,9,1947,0,0,0,4,0,10,45,67,88,107,113,15,459,0,0,0,10,38,154,413,279,116,145,148,16,1319,3,0,18,61,59,146,148,59,31,37,23,4,602,0,0,0,0,4,28,31,31,12,14,5,10,142,0,0,0,0,0,9,10,10,21,45,29,16,153,149,33,62,191,373,452,417,140,64,49,58,58,2038,3,0,0,6,11,13,13,4,0,0,7,1200,1256,172,41,84,289,513,967,2072,1947,1541,2051,1789,1371,12828,5,3,5,5,3,20,188,572,719,1558,2103,321,5479,0,0,0,7,5,40,121,91,78,90,108,23,564,0,0,0,6,0,53,496,574,580,826,757,114,3402,0,0,0,4,0,9,70,142,149,267,318,55,1023,7,3,0,10,26,229,615,436,166,277,295,88,2149,0,0,4,23,34,85,155,74,38,42,31,29
7RNTE,28,19,22,15,0,213,0,0,0,0,0,25,121,148,116,122,63,3,607,0,0,0,0,4,3,15,17,29,29,27,9,137,3,3,0,26,37,79,175,98,30,54,55,10,564,6,16,8,35,32,65,63,11,13,6,6,12,268,0,4,0,16,9,14,14,3,5,0,5,8,86,0,0,0,3,5,6,4,9,5,14,23,9,74,73,117,82,515,347,268,143,42,15,9,20,79,1710,0,0,4,5,8,7,9,5,0,4,0,464,513,87,148,97,625,455,524,760,708,612,828,650,620,6120,6,0,4,5,9,42,127,212,303,546,512,154,1909,0,4,3,20,13,39,66,31,34,40,27,20,295,0,0,4,3,5,41,181,192,182,266,209,53,1134,0,0,0,0,0,7,30,37,63,78,67,24,312,0,0,7,48,61,178,261,149,62,84,87,73,1010,0,7,22,75,73,150,102,33,17,15,6,56
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,267,174,244,274,8,1992,5,3,0,4,5,152,1362,1227,981,1219,1200,29,6186,0,0,0,4,3,30,151,188,165,273,393,23,1227,4,0,4,23,53,402,1016,833,441,640,924,31,4376,11,16,43,145,144,455,745,457,293,315,320,13,2958,0,0,3,16,8,42,104,83,53,69,81,18,487,0,0,0,0,0,7,32,36,32,73,87,14,290,522,131,139,551,1428,2343,4114,1692,1041,889,597,178,13628,11,0,3,3,21,24,32,19,10,9,3,1490,1629,565,157,209,786,1720,3788,8810,6638,5522,8012,9016,1849,47064,3,0,0,8,5,33,328,996,1488,4456,11293,685,19300,3,0,6,14,16,113,374,319,297,520,534,52,2243,0,5,0,7,8,84,1164,1557,2084,3921,5600,336,14769,0,0,0,0,0,40,208,326,496,1015,1467,118,3671,11,0,5,28,53,444,1553,1308,542,1007,1807,216,6975,0,5,20,79,75,253,416,250,160,261,337,79
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,5,0,0,0,0,28,0,0,0,0,0,7,30,17,7,11,5,0,88,0,0,0,0,0,6,4,0,0,0,0,0,12,0,0,0,0,3,8,19,7,3,3,3,0,48,0,0,6,5,9,17,13,9,4,0,0,0,58,0,0,0,5,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,11,3,3,0,21,31,18,16,4,0,0,0,4,97,0,0,0,0,0,0,0,0,0,0,0,30,33,3,8,5,30,45,71,119,57,35,42,37,37,496,0,0,0,0,0,0,15,22,15,33,22,15,117,0,0,0,0,0,9,6,7,3,0,0,0,26,0,0,0,0,0,3,32,12,19,25,13,9,109,0,0,0,0,0,0,4,4,4,3,0,0,20,0,0,0,0,3,7,17,12,6,3,3,0,47,0,0,4,0,4,10,0,3,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
