GCCSA_CODE_2021,C21_M_FoodHos_PS_15_19,C21_M_FoodHos_PS_20_24,C21_M_FoodHos_PS_25_34,C21_M_FoodHos_PS_35_44,C21_M_FoodHos_PS_45_54,C21_M_FoodHos_PS_55_64,C21_M_FoodHos_PS_65_74,C21_M_FoodHos_PS_75_84,C21_M_FoodHos_PS_85over,C21_M_FoodHos_PS_Tot,C21_M_MixFld_pr_15_19,C21_M_MixFld_pr_20_24,C21_M_MixFld_pr_25_34,C21_M_MixFld_pr_35_44,C21_M_MixFld_pr_45_54,C21_M_MixFld_pr_55_64,C21_M_MixFld_pr_65_74,C21_M_MixFld_pr_75_84,C21_M_MixFld_pr_85over,C21_M_MixFld_pr_Tot,C21_M_FldStu_ID_15_19,C21_M_FldStu_ID_20_24,C21_M_FldStu_ID_25_34,C21_M_FldStu_ID_35_44,C21_M_FldStu_ID_45_54,C21_M_FldStu_ID_55_64,C21_M_FldStu_ID_65_74,C21_M_FldStu_ID_75_84,C21_M_FldStu_ID_85over,C21_M_FldStu_ID_Tot,C21_M_FldStu_NS_15_19,C21_M_FldStu_NS_20_24,C21_M_FldStu_NS_25_34,C21_M_FldStu_NS_35_44,C21_M_FldStu_NS_45_54,C21_M_FldStu_NS_55_64,C21_M_FldStu_NS_65_74,C21_M_FldStu_NS_75_84,C21_M_FldStu_NS_85over,C21_M_FldStu_NS_Tot,C21_M_Tot_15_19,C21_M_Tot_20_24,C21_M_Tot_25_34,C21_M_Tot_35_44,C21_M_Tot_45_54,C21_M_Tot_55_64,C21_M_Tot_65_74,C21_M_Tot_75_84,C21_M_Tot_85over,C21_M_Tot_Tot,C11_F_NatPhy_sci_15_19,C11_F_NatPhy_sci_20_24,C11_F_NatPhy_sci_25_34,C11_F_NatPhy_sci_35_44,C11_F_NatPhy_sci_45_54,C11_F_NatPhy_sci_55_64,C11_F_NatPhy_sci_65_74,C11_F_NatPhy_sci_75_84,C11_F_NatPhy_sci_85over,C11_F_NatPhy_sci_Tot,C11_F_InfTec_15_19,C11_F_InfTec_20_24,C11_F_InfTec_25_34,C11_F_InfTec_35_44,C11_F_InfTec_45_54,C11_F_InfTec_55_64,C11_F_InfTec_65_74,C11_F_InfTec_75_84,C11_F_InfTec_85over,C11_F_InfTec_Tot,C11_F_EngRT_15_19,C11_F_EngRT_20_24,C11_F_EngRT_25_34,C11_F_EngRT_35_44,C11_F_EngRT_45_54,C11_F_EngRT_55_64,C11_F_EngRT_65_74,C11_F_EngRT_75_84,C11_F_EngRT_85over,C11_F_EngRT_Tot,C11_F_ArchBuild_15_19,C11_F_ArchBuild_20_24,C11_F_ArchBuild_25_34,C11_F_ArchBuild_35_44,C11_F_ArchBuild_45_54,C11_F_ArchBuild_55_64,C11_F_ArchBuild_65_74,C11_F_ArchBuild_75_84,C11_F_ArchBuild_85over,C11_F_ArchBuild_Tot,C11_F_AgEnv_RS_15_19,C11_F_AgEnv_RS_20_24,C11_F_AgEnv_RS_25_34,C11_F_AgEnv_RS_35_44,C11_F_AgEnv_RS_45_54,C11_F_AgEnv_RS_55_64,C11_F_AgEnv_RS_65_74,C11_F_AgEnv_RS_75_84,C11_F_AgEnv_RS_85over,C11_F_AgEnv_RS_Tot,C11_F_Health_15_19,C11_F_Health_20_24,C11_F_Health_25_34,C11_F_Health_35_44,C11_F_Health_45_54,C11_F_Health_55_64,C11_F_Health_65_74,C11_F_Health_75_84,C11_F_Health_85over,C11_F_Health_Tot,C11_F_Educ_15_19,C11_F_Educ_20_24,C11_F_Educ_25_34,C11_F_Educ_35_44,C11_F_Educ_45_54,C11_F_Educ_55_64,C11_F_Educ_65_74,C11_F_Educ_75_84,C11_F_Educ_85over,C11_F_Educ_Tot,C11_F_MngtCom_15_19,C11_F_MngtCom_20_24,C11_F_MngtCom_25_34,C11_F_MngtCom_35_44,C11_F_MngtCom_45_54,C11_F_MngtCom_55_64,C11_F_MngtCom_65_74,C11_F_MngtCom_75_84,C11_F_MngtCom_85over,C11_F_MngtCom_Tot,C11_F_Soc_cult_15_19,C11_F_Soc_cult_20_24,C11_F_Soc_cult_25_34,C11_F_Soc_cult_35_44,C11_F_Soc_cult_45_54,C11_F_Soc_cult_55_64,C11_F_Soc_cult_65_74,C11_F_Soc_cult_75_84,C11_F_Soc_cult_85over,C11_F_Soc_cult_Tot,C11_F_Creative_art_15_19,C11_F_Creative_art_20_24,C11_F_Creative_art_25_34,C11_F_Creative_art_35_44,C11_F_Creative_art_45_54,C11_F_Creative_art_55_64,C11_F_Creative_art_65_74,C11_F_Creative_art_75_84,C11_F_Creative_art_85over,C11_F_Creative_art_Tot,C11_F_FoodHos_PS_15_19,C11_F_FoodHos_PS_20_24,C11_F_FoodHos_PS_25_34,C11_F_FoodHos_PS_35_44,C11_F_FoodHos_PS_45_54,C11_F_FoodHos_PS_55_64,C11_F_FoodHos_PS_65_74,C11_F_FoodHos_PS_75_84,C11_F_FoodHos_PS_85over,C11_F_FoodHos_PS_Tot,C11_F_MixFld_pr_15_19,C11_F_MixFld_pr_20_24,C11_F_MixFld_pr_25_34,C11_F_MixFld_pr_35_44,C11_F_MixFld_pr_45_54,C11_F_MixFld_pr_55_64,C11_F_MixFld_pr_65_74,C11_F_MixFld_pr_75_84,C11_F_MixFld_pr_85over,C11_F_MixFld_pr_Tot,C11_F_FldStu_ID_15_19,C11_F_FldStu_ID_20_24,C11_F_FldStu_ID_25_34,C11_F_FldStu_ID_35_44,C11_F_FldStu_ID_45_54,C11_F_FldStu_ID_55_64,C11_F_FldStu_ID_65_74,C11_F_FldStu_ID_75_84,C11_F_FldStu_ID_85over,C11_F_FldStu_ID_Tot,C11_F_FldStu_NS_15_19,C11_F_FldStu_NS_20_24,C11_F_FldStu_NS_25_34,C11_F_FldStu_NS_35_44,C11_F_FldStu_NS_45_54,C11_F_FldStu_NS_55_64,C11_F_FldStu_NS_65_74,C11_F_FldStu_NS_75_84,C11_F_FldStu_NS_85over,C11_F_FldStu_NS_Tot,C11_F_Tot_15_19,C11_F_Tot_20_24,C11_F_Tot_25_34,C11_F_Tot_35_44,C11_F_Tot_45_54,C11_F_Tot_55_64,C11_F_Tot_65_74,C11_F_Tot_75_84,C11_F_Tot_85over,C11_F_Tot_Tot
39499,3,12,34,28,18,24,24,0,0,150,0,0,5,0,0,0,4,0,0,8,0,6,11,15,7,10,12,3,0,65,72,159,426,481,421,331,240,50,5,2190,100,270,967,917,770,911,815,158,11,4920,0,13,25,16,3,9,0,0,0,76,0,0,8,11,8,9,5,0,0,36,0,13,18,6,6,10,5,0,0,60,0,0,9,3,3,0,0,0,0,18,5,12,14,10,11,7,0,0,0,44,0,24,78,40,75,106,39,11,4,375,0,15,46,33,41,72,25,0,0,227,9,49,116,60,82,91,34,6,0,453,7,50,97,51,51,68,14,0,0,343,0,23,47,15,10,12,3,0,0,119,11,34,37,23,29,35,13,0,0,181,3,0,4,0,0,0,0,0,0,6,0,3,9,4,4,0,0,0,0,12,58,78,113,95,92,128,63,24,8,651,95,313,614,379,406,545,202,42,14,2617
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,28,49,28,3,0,0,0,113,0,4,35,55,43,3,3,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,4,0,13,0,0,0,0,4,0,0,0,0,6,0,0,3,0,6,0,0,0,0,13,0,4,0,0,5,5,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,5,9,11,0,3,35,4,7,9,13,24,14,12,11,4,93
4GADE,273,1061,3475,2925,2120,1561,911,391,103,12819,28,72,82,53,44,49,31,11,7,373,72,296,1068,1214,1129,833,641,341,125,5723,1757,2408,5751,5419,4960,4340,3627,3010,1783,33056,4968,20438,70909,68893,60018,52058,41692,21036,6825,346836,18,690,2314,1814,1303,862,312,113,42,7469,40,181,1083,839,542,278,54,9,0,3034,42,315,1288,1232,881,593,535,535,226,5643,15,300,689,641,378,217,65,35,16,2345,59,322,809,677,495,217,58,25,10,2669,203,2764,9412,9586,10553,7557,3327,1704,626,45733,22,817,4405,5034,6008,6853,3200,1162,502,27997,926,5324,15403,12932,9448,5568,2187,993,412,53204,558,3484,10330,9574,8530,6167,2122,632,168,41565,112,1183,2970,2111,1426,819,440,213,77,9358,827,2510,4653,3996,2640,1788,869,363,112,17756,40,87,64,85,89,79,49,35,8,523,25,192,719,763,600,424,214,119,32,3092,3174,2409,4249,4475,4814,4835,5225,6536,5228,40942,6058,20580,58395,53751,47702,36254,18660,12470,7466,261334
4RSAU,89,244,707,704,665,547,373,131,33,3497,0,5,17,17,13,13,10,10,7,91,17,53,185,233,227,248,213,90,38,1288,1049,892,2097,2109,2422,2651,2504,1837,739,16294,1891,4144,13245,13372,14507,15688,14426,7025,1828,86126,0,42,234,225,176,117,57,19,4,871,7,28,91,82,86,65,20,3,0,379,19,70,222,264,201,126,144,95,45,1195,3,20,63,69,62,40,17,6,0,268,35,154,505,464,302,133,56,11,0,1657,48,438,1461,2106,3169,2502,1180,527,162,11592,8,330,1467,1417,1424,1925,1021,306,124,8016,310,937,2941,2760,2131,1234,563,209,69,11149,195,655,1717,2081,2191,1543,511,116,20,9026,12,105,312,290,167,159,107,34,20,1196,248,639,1303,1145,716,564,243,100,21,4984,6,14,33,30,28,20,8,12,9,153,6,7,82,118,109,86,46,10,11,483,1052,524,1093,1393,1580,1779,2034,2292,1245,12985,1949,3965,11518,12443,12338,10287,5997,3728,1728,63946
49499,0,0,15,3,9,3,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,5,0,0,0,9,21,28,97,98,104,113,48,5,0,510,26,53,225,187,202,224,138,21,0,1081,0,0,6,10,0,0,0,0,0,16,0,0,3,0,0,0,0,0,0,12,0,0,10,0,0,3,0,0,0,10,0,0,4,0,0,0,0,0,0,6,0,9,3,4,4,0,0,0,0,12,0,3,21,9,13,15,3,0,0,66,0,0,12,6,9,12,5,0,0,46,0,23,31,17,9,5,7,0,0,94,4,6,32,18,22,8,0,0,0,93,0,3,8,6,5,3,0,0,0,30,0,8,14,7,8,4,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,12,25,28,40,23,22,37,38,227,22,67,176,104,110,80,43,39,38,674
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,3,6,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,383,1623,4809,4927,3402,2433,1327,632,123,19650,176,159,159,80,66,69,63,35,12,825,156,429,1594,1893,1741,1286,806,458,138,8492,3007,4732,13110,12503,10666,8214,5776,4566,2703,65279,10062,34126,112475,118877,99720,81470,58995,28746,8714,553185,46,1324,4132,3215,2166,1112,391,163,48,12604,78,281,1547,1259,949,367,70,15,0,4571,113,702,2697,2126,1473,875,596,537,213,9335,42,503,1219,920,594,274,80,28,9,3668,126,460,1538,1083,663,320,78,32,11,4303,320,4004,12203,12007,12579,8744,4533,2131,649,57166,331,1962,8079,10590,11228,8765,3965,1483,521,46929,1540,7932,23016,20375,14778,9011,4356,1876,634,83527,986,4719,13584,12284,10317,7202,2585,865,197,52749,404,2252,4838,3150,1884,1247,676,305,104,14865,1152,4000,6853,6177,3875,2580,1129,433,136,26331,82,98,86,71,87,93,64,30,26,637,32,254,825,870,706,455,236,110,42,3520,5016,4390,8646,8372,7580,7357,6759,7704,5231,61050,10277,32883,89256,82506,68865,48409,25523,15713,7817,381255
5RWAU,97,279,905,1010,945,713,372,158,21,4501,35,35,41,11,10,23,10,9,4,187,36,91,277,392,406,350,237,104,21,1919,1814,2006,5643,5610,5610,4851,3392,1948,733,31612,3500,7167,23810,25604,24647,22563,16257,6948,1768,132252,11,128,585,543,339,152,54,19,4,1834,26,47,178,163,143,67,17,6,0,636,46,165,517,438,288,133,130,106,38,1863,14,58,169,159,94,52,12,4,0,562,104,229,854,722,427,181,61,18,0,2607,101,605,2395,2832,3292,2685,1417,516,127,13966,61,518,2561,3225,2985,2318,968,309,117,13068,639,1601,4239,3923,2976,1903,709,257,72,16314,268,802,2447,2480,2290,1644,496,106,18,10550,61,212,619,621,463,317,153,63,17,2511,309,944,1851,1717,939,609,257,74,23,6726,16,19,29,23,20,19,14,4,3,144,8,34,155,184,144,94,58,8,4,687,1718,1377,3125,3322,3038,2438,1938,1820,877,19644,3384,6730,19718,20353,17431,12611,6285,3295,1302,91120
59499,0,7,12,22,10,20,9,0,0,72,0,0,0,0,0,0,0,0,0,0,3,3,5,9,6,8,0,0,0,30,42,132,401,534,526,341,157,50,9,2194,54,204,676,786,712,533,320,81,13,3376,0,8,21,9,5,6,0,0,0,51,0,0,4,0,0,0,0,0,0,11,0,3,10,9,0,0,4,0,0,31,0,5,7,0,0,0,0,0,0,12,0,0,13,3,6,0,0,0,0,25,0,16,62,38,39,77,15,0,0,260,0,5,40,24,22,47,14,0,0,155,5,27,102,45,49,49,19,5,0,295,0,28,67,33,28,28,12,0,0,199,0,17,35,11,3,8,0,0,0,83,0,19,30,13,21,12,5,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,0,0,0,0,16,24,35,92,99,62,70,20,15,4,428,37,165,488,294,251,309,99,17,5,1661
59799,0,0,7,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,12,7,13,45,75,46,20,3,0,0,207,7,18,82,135,83,47,7,0,0,378,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,12,0,4,0,0,0,0,27
6GHOB,42,203,738,603,438,316,196,71,15,2628,11,16,29,10,0,9,10,3,0,94,8,58,223,191,194,150,125,58,15,1030,384,421,1277,1019,896,877,846,675,301,6699,707,3281,15677,11756,10199,9500,7753,3934,1164,63976,0,111,406,436,275,178,52,23,8,1498,3,27,144,108,85,49,11,3,0,427,8,33,176,196,180,123,79,79,21,898,8,24,78,97,57,27,8,0,0,305,8,37,160,181,122,59,21,11,5,602,15,393,1184,1350,1731,1412,695,363,136,7277,4,101,715,931,1330,1381,690,340,132,5623,219,911,2372,1968,1634,1050,441,236,95,8925,98,647,1757,1794,1726,1230,423,134,44,7852,21,166,426,414,313,223,128,65,30,1789,152,498,764,670,448,288,150,51,16,3044,0,10,3,4,6,3,8,8,4,48,4,60,114,130,124,97,46,19,11,602,606,428,718,794,907,993,1063,1140,699,7349,1148,3452,9030,9072,8932,7105,3810,2479,1201,46235
6RTAS,60,227,657,619,581,549,305,105,22,3116,0,11,20,3,5,6,12,3,0,69,15,45,170,210,220,187,162,79,21,1106,707,714,1495,1331,1565,1758,1827,1337,521,11245,1176,3632,12806,11396,12224,13357,11338,5494,1419,72842,3,51,218,217,190,139,54,25,4,890,15,25,93,103,102,63,11,3,0,412,18,55,178,246,232,159,112,53,22,1070,6,43,83,77,64,25,16,0,0,317,25,79,260,291,235,93,26,13,5,1024,26,359,1103,1436,2040,1889,963,374,146,8333,5,149,1014,1194,1460,1517,1015,383,109,6846,215,876,2310,2169,2052,1360,501,208,76,9759,194,521,1478,1945,1901,1411,388,104,17,7950,24,101,333,354,351,295,158,56,20,1689,244,680,1104,1016,601,465,193,66,17,4386,9,5,9,4,9,10,14,3,3,70,6,18,88,111,104,100,41,14,0,484,804,370,751,1062,1175,1391,1712,1707,880,9851,1578,3328,9028,10219,10509,8917,5198,3001,1297,53084
69499,0,0,5,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,13,12,46,34,30,34,46,4,0,211,13,24,82,65,80,75,63,5,0,408,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,14,7,6,11,4,0,0,46,0,0,4,3,0,3,0,4,0,16,3,6,9,8,3,3,0,0,0,28,0,3,10,3,11,10,0,0,0,39,0,0,0,0,0,0,0,0,0,7,0,4,3,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,10,8,3,11,7,4,0,51,10,22,56,33,33,48,21,3,0,222
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,7,3,0,0,0,0,12,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,0,0,0,0,0,15
7GDAR,36,134,422,394,241,141,75,17,0,1468,0,3,11,8,11,5,5,0,0,42,9,31,147,165,164,101,59,18,3,695,380,609,1523,1253,1157,869,567,235,73,6669,879,2443,9637,8403,6947,5207,3125,1096,211,37944,0,37,212,179,126,58,9,0,0,626,11,26,115,94,83,40,5,5,0,379,11,50,178,124,95,58,26,15,4,555,3,16,60,51,25,10,0,0,0,173,25,43,172,137,79,30,7,0,0,494,18,231,1024,823,790,493,173,64,9,3620,9,88,605,676,688,545,209,31,10,2862,117,534,1784,1456,1029,539,133,16,7,5626,60,293,1019,983,811,469,135,23,6,3796,5,61,261,172,125,77,19,4,0,722,73,288,512,393,238,85,34,13,0,1628,0,0,5,9,7,4,3,0,0,34,3,11,77,90,44,42,6,5,3,280,564,509,1225,1197,1001,715,378,211,78,5879,907,2186,7254,6381,5137,3170,1136,392,119,26682
7RNTE,25,62,198,154,109,86,33,6,0,668,3,3,6,3,3,5,5,0,0,26,0,18,56,78,51,33,15,5,0,251,497,488,1212,905,819,731,388,132,26,5206,661,1156,4267,3714,3053,2665,1358,374,46,17308,0,16,101,60,37,24,6,0,0,251,0,10,48,36,24,12,6,0,0,127,0,23,58,51,39,20,6,3,3,197,0,0,24,18,6,5,0,0,0,59,17,51,134,89,63,16,3,0,0,373,12,79,564,526,554,375,85,28,3,2231,5,83,467,487,508,385,104,17,0,2051,35,197,656,578,449,239,47,13,0,2207,22,137,483,441,395,276,52,3,3,1810,7,33,116,89,74,34,10,0,0,364,56,130,217,171,109,61,10,7,3,755,3,0,15,7,3,4,0,0,0,32,0,9,42,40,24,15,6,0,0,140,576,499,943,898,640,430,250,122,55,4416,743,1267,3854,3493,2930,1893,576,188,69,15016
79499,0,0,0,6,4,7,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,13,15,56,121,150,170,139,69,16,0,735,17,66,238,244,242,229,152,22,0,1209,0,0,7,3,0,0,5,0,0,14,0,0,4,0,0,0,0,0,0,6,0,0,5,0,0,0,6,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,10,0,4,0,0,0,0,6,0,5,20,9,13,26,8,0,0,77,0,6,8,3,5,6,8,0,0,35,0,8,27,9,7,17,3,0,0,75,0,13,16,12,9,9,0,0,0,61,0,5,10,6,5,3,0,0,0,27,0,3,10,3,8,0,4,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,4,6,21,18,28,37,12,0,0,121,6,53,130,62,74,104,47,0,0,477
79799,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,4,6,7,0,0,0,21,4,3,16,16,7,12,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,10
8ACTE,100,297,1088,926,657,366,162,86,18,3708,13,29,24,9,10,8,15,9,0,116,20,142,459,514,417,292,248,146,68,2308,669,1148,2505,1951,1395,1098,832,643,324,10561,1359,7898,31301,28998,22391,16928,12338,6278,1943,129433,4,439,1388,1122,912,578,231,95,33,4809,37,143,799,717,601,261,47,6,0,2620,7,111,451,347,292,185,115,99,39,1643,5,100,229,226,180,110,18,11,0,889,11,103,363,391,217,115,35,13,0,1246,22,525,2164,2159,2401,1770,915,424,168,10542,4,284,1771,1803,1990,2134,1209,412,120,9736,205,1865,5610,5047,3991,2682,1000,383,185,20966,113,1709,5999,4632,3995,2954,1166,382,93,21040,53,535,1554,1071,686,383,171,79,35,4574,178,591,1062,905,531,306,169,71,14,3819,13,21,9,10,10,5,7,0,3,85,14,110,388,384,341,224,91,31,17,1594,914,926,1431,1221,1075,993,923,991,782,9254,1581,7479,23218,20039,17218,12690,6095,2998,1500,92815
89499,0,5,3,9,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,30,19,17,8,4,0,101,8,17,36,47,41,32,14,4,0,205,0,5,5,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,6,3,3,0,0,0,22,0,0,0,0,3,4,0,0,0,13,0,4,7,10,10,3,0,0,0,32,0,8,22,3,15,3,0,0,0,52,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,0,5,5,0,0,0,0,18,4,25,56,38,34,20,4,0,0,180
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,0,8,12,8,13,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,8,6,0,0,18,13,40,167,106,95,62,58,34,3,577,22,73,277,264,264,257,199,66,14,1435,0,0,6,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,9,0,0,6,10,9,14,4,0,0,43,0,0,18,26,18,10,0,0,0,71,8,7,22,25,22,4,0,0,0,88,0,7,13,14,10,0,0,0,0,47,0,0,4,0,5,0,0,0,0,8,0,6,7,8,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,8,14,18,26,21,19,7,3,0,103,14,33,92,111,92,49,6,7,0,410
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,13
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
