GCCSA_CODE_2021,C21_P_NatPhy_sci_15_19,C21_P_NatPhy_sci_20_24,C21_P_NatPhy_sci_25_34,C21_P_NatPhy_sci_35_44,C21_P_NatPhy_sci_45_54,C21_P_NatPhy_sci_55_64,C21_P_NatPhy_sci_65_74,C21_P_NatPhy_sci_75_84,C21_P_NatPhy_sci_85over,C21_P_NatPhy_sci_Tot,C21_P_InfTec_15_19,C21_P_InfTec_20_24,C21_P_InfTec_25_34,C21_P_InfTec_35_44,C21_P_InfTec_45_54,C21_P_InfTec_55_64,C21_P_InfTec_65_74,C21_P_InfTec_75_84,C21_P_InfTec_85over,C21_P_InfTec_Tot,C21_P_EngRT_15_19,C21_P_EngRT_20_24,C21_P_EngRT_25_34,C21_P_EngRT_35_44,C21_P_EngRT_45_54,C21_P_EngRT_55_64,C21_P_EngRT_65_74,C21_P_EngRT_75_84,C21_P_EngRT_85over,C21_P_EngRT_Tot,C21_P_ArchBuild_15_19,C21_P_ArchBuild_20_24,C21_P_ArchBuild_25_34,C21_P_ArchBuild_35_44,C21_P_ArchBuild_45_54,C21_P_ArchBuild_55_64,C21_P_ArchBuild_65_74,C21_P_ArchBuild_75_84,C21_P_ArchBuild_85over,C21_P_ArchBuild_Tot,C21_P_AgEnv_RS_15_19,C21_P_AgEnv_RS_20_24,C21_P_AgEnv_RS_25_34,C21_P_AgEnv_RS_35_44,C21_P_AgEnv_RS_45_54,C21_P_AgEnv_RS_55_64,C21_P_AgEnv_RS_65_74,C21_P_AgEnv_RS_75_84,C21_P_AgEnv_RS_85over,C21_P_AgEnv_RS_Tot,C21_P_Health_15_19,C21_P_Health_20_24,C21_P_Health_25_34,C21_P_Health_35_44,C21_P_Health_45_54,C21_P_Health_55_64,C21_P_Health_65_74,C21_P_Health_75_84,C21_P_Health_85over,C21_P_Health_Tot,C21_P_Educ_15_19,C21_P_Educ_20_24,C21_P_Educ_25_34,C21_P_Educ_35_44,C21_P_Educ_45_54,C21_P_Educ_55_64,C21_P_Educ_65_74,C21_P_Educ_75_84,C21_P_Educ_85over,C21_P_Educ_Tot,C21_P_MngtCom_15_19,C21_P_MngtCom_20_24,C21_P_MngtCom_25_34,C21_P_MngtCom_35_44,C21_P_MngtCom_45_54,C21_P_MngtCom_55_64,C21_P_MngtCom_65_74,C21_P_MngtCom_75_84,C21_P_MngtCom_85over,C21_P_MngtCom_Tot,C21_P_Soc_cult_15_19,C21_P_Soc_cult_20_24,C21_P_Soc_cult_25_34,C21_P_Soc_cult_35_44,C21_P_Soc_cult_45_54,C21_P_Soc_cult_55_64,C21_P_Soc_cult_65_74,C21_P_Soc_cult_75_84,C21_P_Soc_cult_85over,C21_P_Soc_cult_Tot,C21_P_Creative_art_15_19,C21_P_Creative_art_20_24,C21_P_Creative_art_25_34,C21_P_Creative_art_35_44,C21_P_Creative_art_45_54,C21_P_Creative_art_55_64,C21_P_Creative_art_65_74,C21_P_Creative_art_75_84,C21_P_Creative_art_85over,C21_P_Creative_art_Tot,C21_P_FoodHos_PS_15_19,C21_P_FoodHos_PS_20_24,C21_P_FoodHos_PS_25_34,C21_P_FoodHos_PS_35_44,C21_P_FoodHos_PS_45_54,C21_P_FoodHos_PS_55_64,C21_P_FoodHos_PS_65_74,C21_P_FoodHos_PS_75_84,C21_P_FoodHos_PS_85over,C21_P_FoodHos_PS_Tot,C21_P_MixFld_pr_15_19,C21_P_MixFld_pr_20_24,C21_P_MixFld_pr_25_34,C21_P_MixFld_pr_35_44,C21_P_MixFld_pr_45_54,C21_P_MixFld_pr_55_64,C21_P_MixFld_pr_65_74,C21_P_MixFld_pr_75_84,C21_P_MixFld_pr_85over,C21_P_MixFld_pr_Tot,C21_P_FldStu_ID_15_19,C21_P_FldStu_ID_20_24,C21_P_FldStu_ID_25_34,C21_P_FldStu_ID_35_44,C21_P_FldStu_ID_45_54,C21_P_FldStu_ID_55_64,C21_P_FldStu_ID_65_74,C21_P_FldStu_ID_75_84,C21_P_FldStu_ID_85over,C21_P_FldStu_ID_Tot,C21_P_FldStu_NS_15_19,C21_P_FldStu_NS_20_24,C21_P_FldStu_NS_25_34,C21_P_FldStu_NS_35_44,C21_P_FldStu_NS_45_54,C21_P_FldStu_NS_55_64,C21_P_FldStu_NS_65_74,C21_P_FldStu_NS_75_84,C21_P_FldStu_NS_85over,C21_P_FldStu_NS_Tot,C21_P_Tot_15_19,C21_P_Tot_20_24,C21_P_Tot_25_34,C21_P_Tot_35_44,C21_P_Tot_45_54,C21_P_Tot_55_64,C21_P_Tot_65_74,C21_P_Tot_75_84,C21_P_Tot_85over,C21_P_Tot_Tot
39499,0,13,54,27,13,26,24,6,0,156,0,3,28,25,18,29,9,0,0,122,8,39,158,143,131,225,244,43,0,997,5,9,84,70,63,97,88,19,0,435,3,14,41,38,23,26,12,5,0,170,4,37,145,79,93,140,87,21,0,604,0,8,57,28,44,106,91,10,3,350,15,70,271,168,167,244,165,17,0,1113,3,51,196,145,120,159,92,22,4,786,3,20,108,59,29,24,19,0,0,257,10,36,104,78,53,61,38,5,3,393,6,0,4,0,0,0,9,0,0,18,0,6,20,17,7,24,15,3,0,92,135,294,809,756,653,533,374,85,16,3651,201,598,2066,1632,1417,1684,1277,239,26,9143
39799,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0,0,20,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,39,50,29,8,0,0,0,140,0,16,45,64,42,5,3,0,0,170
4GADE,32,1736,4929,5183,4253,3256,2767,1210,286,23654,185,1764,6506,7065,3631,2121,1012,169,12,22466,602,4551,17976,17218,17242,16844,14044,7570,2509,98557,576,2416,8442,6082,5457,4555,3414,1968,632,33537,214,830,2532,2512,2336,1846,1030,368,101,11770,384,5532,20590,17398,14714,14170,9693,4039,1412,87929,210,1882,9913,9773,9101,9347,10334,4553,1009,56136,1091,6787,28804,33453,27118,19604,11878,4429,1243,134406,1474,6103,20471,20273,17870,15046,10418,3531,726,95923,730,2898,7011,5866,3756,2492,1666,726,241,25381,1025,3194,9106,7605,5942,4114,2631,1131,306,35039,61,161,173,133,139,173,124,57,21,1041,125,541,1980,2467,2058,1516,1169,572,232,10653,3408,4441,10511,9663,8842,7965,7600,7310,4952,64681,10115,42825,148951,144687,122459,103053,77772,37622,13683,701177
4RSAU,3,107,402,564,524,471,534,186,27,2819,29,107,379,377,273,235,177,21,0,1592,277,1269,4428,4323,5023,5612,5052,2460,581,29027,145,461,1682,1256,1226,1450,1226,644,142,8238,233,586,1520,1916,1854,1472,956,303,65,8900,116,820,2866,2696,3023,4278,3259,1225,352,18641,74,529,2459,2479,2427,2474,3122,1338,239,15141,186,891,3692,4757,4622,4154,2900,996,213,22413,334,1001,3308,3357,3840,4049,2629,762,96,19379,71,246,593,558,480,450,337,151,45,2918,344,830,2266,2019,1819,1351,975,326,85,10020,6,22,34,37,25,30,25,32,10,224,23,86,298,362,408,408,304,143,48,2084,1966,1532,3691,3742,4360,4815,4903,3931,1923,30860,3807,8487,27616,28449,29901,31248,26399,12512,3833,172247
49499,0,5,10,4,6,11,6,0,0,33,0,0,7,3,3,0,0,0,0,24,4,7,42,37,27,45,39,6,0,213,3,3,12,11,16,13,7,0,0,71,0,6,15,7,0,5,4,0,0,36,0,7,35,25,21,26,27,0,0,129,0,0,9,8,6,12,8,0,0,46,0,19,53,36,32,34,20,3,0,198,5,12,41,37,30,23,15,5,0,157,0,5,20,8,4,5,0,0,0,41,3,11,32,17,23,8,12,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,5,0,0,0,30,32,41,172,189,152,148,78,10,3,826,57,112,443,376,325,345,212,26,9,1909
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,3,6,0,0,0,0,9
5GPER,91,3859,9291,9423,7650,5655,3788,1545,332,41629,428,2321,7681,10427,5726,3094,1167,231,18,31093,1833,8692,37508,39110,33378,29931,22519,10381,2835,186188,768,3133,12712,11239,9272,7854,5767,2872,866,54491,212,1080,3450,4002,3220,2382,1421,666,185,16608,979,7971,29539,25604,20753,17578,11465,5417,1708,121006,934,3330,14590,16707,17154,15633,12149,5266,1385,87145,3248,11771,42473,52450,42269,29290,17806,7273,1905,208488,2516,9220,27068,28060,23675,18184,11876,4089,849,125530,1579,5136,10627,8966,5374,3312,2288,964,293,38534,1680,5569,14820,12922,9613,6354,3907,1639,362,56872,374,306,323,184,156,188,158,91,34,1830,285,882,3050,3586,3067,2231,1434,715,241,15484,5786,8518,23011,20976,17566,14109,11751,10523,7643,119877,20719,71783,236157,243656,198878,155788,107495,51659,18647,1104787
5RWAU,11,272,1045,1321,1072,781,586,199,30,5312,101,243,621,671,419,320,188,47,5,2612,621,2336,9193,9370,8693,7984,5606,2198,483,46494,161,741,2849,2616,2238,2261,1659,678,163,13367,322,639,1664,2249,2107,1746,1082,428,101,10328,318,1175,4380,4501,4233,4564,3136,1396,392,24092,193,726,3305,4460,4773,4387,3285,1165,245,22533,765,1772,6053,7177,6396,5208,3170,1132,250,31911,577,1221,3913,4591,4275,3934,2488,684,111,21797,197,414,1212,1167,884,712,560,255,56,5453,388,1069,3125,2858,2603,1674,971,369,57,13121,70,75,85,39,34,48,29,21,8,417,62,156,457,650,670,597,364,148,42,3141,3398,3533,9633,9472,9312,8293,6273,4043,1913,55867,7185,14371,47536,51145,47727,42516,29384,12746,3837,256450
59499,0,12,29,17,12,15,9,0,0,80,0,0,10,9,7,4,6,0,0,39,0,20,122,98,82,90,71,19,0,508,0,9,41,40,28,21,23,0,0,165,0,9,17,17,8,10,11,0,0,67,0,18,74,58,24,37,31,6,0,238,0,9,29,25,22,25,16,0,0,135,6,28,116,86,61,67,40,5,0,413,4,34,77,60,38,63,26,6,0,297,4,16,40,18,9,8,4,0,0,95,9,11,40,39,24,29,11,0,0,167,0,5,0,0,0,5,0,0,0,5,5,10,9,5,9,11,0,0,0,39,105,234,666,815,753,496,247,70,22,3408,131,400,1270,1293,1073,876,505,105,20,5668
59799,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,5,18,46,27,15,5,0,0,113,0,0,7,11,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,5,3,0,0,3,0,0,11,0,0,4,0,0,0,0,0,0,12,0,0,0,0,3,0,0,0,0,4,0,0,4,0,6,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,6,3,15,51,75,48,21,3,0,0,228,3,32,97,145,92,48,15,0,0,428
6GHOB,4,362,1222,1097,1035,768,607,246,67,5422,4,377,2133,1210,563,351,170,33,4,4848,69,534,2831,2344,2397,2517,2137,1238,369,14446,82,421,1682,1331,1190,1175,770,434,112,7199,13,157,517,558,583,469,289,102,33,2727,47,868,3310,2536,2259,2361,1869,803,276,14324,14,213,1516,1838,1750,2033,2049,942,282,10634,151,1352,8939,5606,3961,3208,2068,768,239,26303,125,969,3929,3569,3419,2982,2198,685,139,18001,33,366,1295,1032,822,612,471,204,58,4897,123,568,1843,1423,1131,786,477,199,34,6589,11,45,51,15,16,21,27,12,3,203,18,119,427,419,392,301,222,109,32,2043,744,821,2425,1906,1636,1667,1776,1581,845,13391,1444,7168,32123,24887,21163,19252,15133,7358,2496,131034
6RTAS,4,115,492,569,545,598,478,205,43,3047,21,213,893,587,398,352,201,32,0,2696,133,888,3519,3225,3766,4473,3662,1751,427,21848,100,599,1878,1312,1457,1685,1228,600,135,9001,87,325,1049,1159,1152,983,566,223,52,5587,76,754,2926,2548,2639,3213,2457,1042,271,15919,34,311,1557,2251,2251,2477,2461,1240,294,12881,144,1040,4999,4274,4055,3810,2507,812,184,21822,176,967,3025,3125,3449,3509,2354,590,106,17303,34,240,795,776,655,725,581,230,47,4090,186,811,2173,1791,1595,1208,758,262,51,8838,3,30,42,22,15,18,31,21,8,197,19,83,288,357,387,346,290,130,37,1937,1312,1284,2759,2491,2914,3327,3624,2914,1262,21878,2337,7664,26394,24484,25284,26724,21202,10052,2916,147043
69499,0,0,0,5,0,0,0,0,0,10,0,5,0,3,3,4,5,0,0,19,0,6,17,8,12,21,7,6,0,73,0,0,3,3,0,8,0,0,0,26,0,0,0,3,7,5,0,0,0,18,0,3,15,11,7,12,0,0,0,45,0,0,3,8,12,9,6,0,0,28,0,5,12,15,9,10,3,0,0,53,0,9,13,12,17,12,13,0,0,59,0,4,6,5,5,6,0,0,0,32,4,4,9,6,3,6,0,0,0,39,3,0,0,0,0,0,0,0,0,3,0,0,9,0,3,9,0,0,0,16,21,21,52,53,46,53,77,8,3,342,24,54,148,130,130,137,108,14,3,760
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,3,0,0,0,0,14
7GDAR,0,102,427,462,359,239,157,35,9,1785,38,240,789,615,305,171,70,5,0,2228,190,640,2680,2316,2087,1679,988,353,71,11017,74,156,762,694,556,482,271,124,22,3138,53,109,348,404,343,233,121,32,3,1639,46,470,2652,1956,1260,974,517,183,40,8097,28,189,1133,1276,1112,937,629,235,25,5566,192,734,4464,3541,2568,1642,738,192,24,14098,154,509,2282,2217,1731,1231,653,175,23,8975,18,122,483,427,273,177,100,31,3,1638,137,298,1079,916,578,329,148,36,6,3516,9,10,15,22,17,5,3,4,0,88,18,55,285,281,272,158,89,25,3,1190,743,1049,2842,2369,2036,1552,1035,473,167,12259,1696,4675,20239,17483,13493,9816,5524,1900,397,75220
7RNTE,0,18,125,127,90,81,44,21,0,507,3,22,143,114,44,45,8,0,0,388,50,220,936,773,715,650,352,97,8,3795,17,87,366,342,269,229,118,31,5,1463,55,152,295,284,241,155,51,15,0,1252,20,168,1110,852,634,614,244,49,20,3707,12,106,597,571,609,577,300,81,11,2866,74,162,1196,971,843,565,253,37,6,4098,32,198,1118,992,785,602,256,49,8,4033,11,56,238,161,106,100,46,14,0,738,68,165,464,349,238,164,62,12,0,1520,3,8,8,12,14,11,5,0,0,56,5,33,105,119,76,54,30,3,0,420,919,922,2319,1738,1563,1367,731,234,62,9853,1267,2316,9016,7413,6222,5203,2487,649,119,34698
