GCCSA_CODE_2021,C21_F_CL_C_I_II_15_19,C21_F_CL_C_I_II_20_24,C21_F_CL_C_I_II_25_34,C21_F_CL_C_I_II_35_44,C21_F_CL_C_I_II_45_54,C21_F_CL_C_I_II_55_64,C21_F_CL_C_I_II_65_74,C21_F_CL_C_I_II_75_84,C21_F_CL_C_I_II_85over,C21_F_CL_C_I_II_Tot,C21_F_CL_CL_nfd_15_19,C21_F_CL_CL_nfd_20_24,C21_F_CL_CL_nfd_25_34,C21_F_CL_CL_nfd_35_44,C21_F_CL_CL_nfd_45_54,C21_F_CL_CL_nfd_55_64,C21_F_CL_CL_nfd_65_74,C21_F_CL_CL_nfd_75_84,C21_F_CL_CL_nfd_85over,C21_F_CL_CL_nfd_Tot,C21_F_CL_Tot_15_19,C21_F_CL_Tot_20_24,C21_F_CL_Tot_25_34,C21_F_CL_Tot_35_44,C21_F_CL_Tot_45_54,C21_F_CL_Tot_55_64,C21_F_CL_Tot_65_74,C21_F_CL_Tot_75_84,C21_F_CL_Tot_85over,C21_F_CL_Tot_Tot,C21_F_LE_ID_15_19,C21_F_LE_ID_20_24,C21_F_LE_ID_25_34,C21_F_LE_ID_35_44,C21_F_LE_ID_45_54,C21_F_LE_ID_55_64,C21_F_LE_ID_65_74,C21_F_LE_ID_75_84,C21_F_LE_ID_85over,C21_F_LE_ID_Tot,C21_F_LE_NS_15_19,C21_F_LE_NS_20_24,C21_F_LE_NS_25_34,C21_F_LE_NS_35_44,C21_F_LE_NS_45_54,C21_F_LE_NS_55_64,C21_F_LE_NS_65_74,C21_F_LE_NS_75_84,C21_F_LE_NS_85over,C21_F_LE_NS_Tot,C21_F_Tot_15_19_yrs,C21_F_Tot_20_24_yrs,C21_F_Tot_25_34_yrs,C21_F_Tot_35_44_yrs,C21_F_Tot_45_54_yrs,C21_F_Tot_55_64_yrs,C21_F_Tot_65_74_yrs,C21_F_Tot_75_84_yrs,C21_F_Tot_85over,C21_F_Tot_Tot,C11_P_Post_Deg_15_19_yrs,C11_P_Post_Deg_20_24_yrs,C11_P_Post_Deg_25_34_yrs,C11_P_Post_Deg_35_44_yrs,C11_P_Post_Deg_45_54_yrs,C11_P_Post_Deg_55_64_yrs,C11_P_Post_Deg_65_74_yrs,C11_P_Post_Deg_75_84_yrs,C11_P_Post_Deg_85over,C11_P_Post_Deg_Tot,C11_P_GrDip_GrCe_15_19,C11_P_GrDip_GrCe_20_24,C11_P_GrDip_GrCe_25_34,C11_P_GrDip_GrCe_35_44,C11_P_GrDip_GrCe_45_54,C11_P_GrDip_GrCe_55_64,C11_P_GrDip_GrCe_65_74,C11_P_GrDip_GrCe_75_84,C11_P_GrDip_GrCe_85over,C11_P_GrDip_GrCe_Tot,C11_P_BD_15_19,C11_P_BD_20_24,C11_P_BD_25_34,C11_P_BD_35_44,C11_P_BD_45_54,C11_P_BD_55_64,C11_P_BD_65_74,C11_P_BD_75_84,C11_P_BD_85over,C11_P_BD_Tot,C11_P_AdD_DL_15_19,C11_P_AdD_DL_20_24,C11_P_AdD_DL_25_34,C11_P_AdD_DL_35_44,C11_P_AdD_DL_45_54,C11_P_AdD_DL_55_64,C11_P_AdD_DL_65_74,C11_P_AdD_DL_75_84,C11_P_AdD_DL_85over,C11_P_AdD_DL_Tot,C11_P_CL_C_III_IV_15_19,C11_P_CL_C_III_IV_20_24,C11_P_CL_C_III_IV_25_34,C11_P_CL_C_III_IV_35_44,C11_P_CL_C_III_IV_45_54,C11_P_CL_C_III_IV_55_64,C11_P_CL_C_III_IV_65_74,C11_P_CL_C_III_IV_75_84,C11_P_CL_C_III_IV_85over,C11_P_CL_C_III_IV_Tot,C11_P_CL_C_I_II_15_19,C11_P_CL_C_I_II_20_24,C11_P_CL_C_I_II_25_34,C11_P_CL_C_I_II_35_44,C11_P_CL_C_I_II_45_54,C11_P_CL_C_I_II_55_64,C11_P_CL_C_I_II_65_74,C11_P_CL_C_I_II_75_84,C11_P_CL_C_I_II_85over,C11_P_CL_C_I_II_Tot,C11_P_CL_CL_nfd_15_19,C11_P_CL_CL_nfd_20_24,C11_P_CL_CL_nfd_25_34,C11_P_CL_CL_nfd_35_44,C11_P_CL_CL_nfd_45_54,C11_P_CL_CL_nfd_55_64,C11_P_CL_CL_nfd_65_74,C11_P_CL_CL_nfd_75_84,C11_P_CL_CL_nfd_85over,C11_P_CL_CL_nfd_Tot,C11_P_CL_Tot_15_19,C11_P_CL_Tot_20_24,C11_P_CL_Tot_25_34,C11_P_CL_Tot_35_44,C11_P_CL_Tot_45_54,C11_P_CL_Tot_55_64,C11_P_CL_Tot_65_74,C11_P_CL_Tot_75_84,C11_P_CL_Tot_85over,C11_P_CL_Tot_Tot,C11_P_LE_ID_15_19,C11_P_LE_ID_20_24,C11_P_LE_ID_25_34,C11_P_LE_ID_35_44,C11_P_LE_ID_45_54,C11_P_LE_ID_55_64,C11_P_LE_ID_65_74,C11_P_LE_ID_75_84,C11_P_LE_ID_85over,C11_P_LE_ID_Tot,C11_P_LE_NS_15_19,C11_P_LE_NS_20_24,C11_P_LE_NS_25_34,C11_P_LE_NS_35_44,C11_P_LE_NS_45_54,C11_P_LE_NS_55_64,C11_P_LE_NS_65_74,C11_P_LE_NS_75_84,C11_P_LE_NS_85over,C11_P_LE_NS_Tot,C11_P_Tot_15_19_yrs,C11_P_Tot_20_24_yrs,C11_P_Tot_25_34_yrs,C11_P_Tot_35_44_yrs,C11_P_Tot_45_54_yrs,C11_P_Tot_55_64_yrs,C11_P_Tot_65_74_yrs,C11_P_Tot_75_84_yrs,C11_P_Tot_85over,C11_P_Tot_Tot,C16_P_Post_Deg_15_19_yrs,C16_P_Post_Deg_20_24_yrs,C16_P_Post_Deg_25_34_yrs,C16_P_Post_Deg_35_44_yrs,C16_P_Post_Deg_45_54_yrs,C16_P_Post_Deg_55_64_yrs,C16_P_Post_Deg_65_74_yrs,C16_P_Post_Deg_75_84_yrs,C16_P_Post_Deg_85over,C16_P_Post_Deg_Tot,C16_P_GrDip_GrCe_15_19,C16_P_GrDip_GrCe_20_24,C16_P_GrDip_GrCe_25_34,C16_P_GrDip_GrCe_35_44,C16_P_GrDip_GrCe_45_54,C16_P_GrDip_GrCe_55_64,C16_P_GrDip_GrCe_65_74,C16_P_GrDip_GrCe_75_84,C16_P_GrDip_GrCe_85over,C16_P_GrDip_GrCe_Tot,C16_P_BD_15_19,C16_P_BD_20_24,C16_P_BD_25_34,C16_P_BD_35_44,C16_P_BD_45_54,C16_P_BD_55_64,C16_P_BD_65_74,C16_P_BD_75_84,C16_P_BD_85over,C16_P_BD_Tot
39499,13,18,24,15,11,21,10,0,0,114,0,7,18,13,20,31,21,0,0,112,33,96,187,162,167,239,111,12,0,1003,0,4,11,3,8,5,8,4,0,37,60,132,382,276,230,200,141,37,7,1481,105,325,1099,721,647,778,458,79,13,4217,0,13,87,39,42,42,11,3,0,233,0,5,27,14,26,29,12,3,0,108,0,160,411,174,118,160,72,13,4,1100,0,49,126,115,139,207,75,10,0,717,38,152,330,269,300,504,266,51,3,1912,17,24,27,15,21,28,7,0,0,144,8,19,32,21,28,48,22,3,0,178,66,192,388,304,350,575,293,58,7,2229,0,8,32,22,30,34,25,4,0,163,131,210,374,347,320,375,228,69,17,2077,197,636,1447,1010,1018,1424,708,163,27,6637,0,12,105,38,38,41,32,4,0,266,0,4,23,15,19,35,15,3,0,118,0,197,451,127,102,129,116,22,0,1148
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,5,0,0,0,0,0,24,0,9,13,7,0,4,0,0,0,28,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,7,5,0,4,6,0,0,28,0,0,8,3,7,3,4,0,0,26,0,14,15,7,24,9,8,9,0,87,0,0,5,3,0,0,0,0,0,13,0,0,0,0,0,5,0,0,0,8,0,13,22,11,27,9,5,6,0,102,0,0,0,3,0,0,0,0,0,11,4,13,12,14,25,16,9,14,8,99,10,32,49,35,63,37,24,18,6,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
4GADE,607,888,1942,1661,1348,1136,776,230,63,8655,235,551,1181,1654,2479,2416,2007,1007,377,11902,3276,8142,18574,17542,16974,14556,8203,2893,966,91125,68,184,517,537,511,582,612,414,153,3574,1651,2068,4612,4069,4004,4167,4960,5068,3550,34143,5151,22382,78042,75795,62440,50991,36083,16587,6856,354337,9,571,8978,8155,7050,5446,2362,751,155,33487,0,259,2884,4185,4479,3930,1282,311,49,17378,74,11180,39279,30401,22640,17618,7548,3029,986,132754,248,4367,13310,17308,17733,14618,7073,2873,1028,78565,2788,13699,30707,30801,30208,22693,12798,7086,2114,152887,1473,2408,3569,2341,1767,1089,452,174,49,13323,406,1290,2822,3425,3240,2991,1542,676,232,16623,4666,17399,37094,36564,35215,26774,14789,7937,2396,182830,204,647,1622,1933,2015,1867,1335,817,343,10779,6817,5715,10208,10359,11222,10941,10719,11958,8001,85936,12013,40134,113384,108908,100359,81186,45110,27674,12959,541731,10,652,12926,12651,8877,6808,4019,1297,302,47542,13,390,3611,4877,4835,4721,2488,567,115,21619,79,12162,44628,37310,25336,20314,12394,4195,1564,157983
4RSAU,195,300,675,688,536,480,333,78,14,3297,74,137,345,493,696,684,550,227,63,3268,983,2329,5915,5926,6063,5660,3147,819,209,31055,5,34,82,85,123,129,164,143,49,818,905,626,1552,1597,1941,2375,2798,2444,1316,15555,1918,4345,14369,15079,15388,15556,11972,5487,2007,86126,0,16,446,532,509,546,302,74,18,2445,0,24,348,606,757,798,282,44,15,2875,8,1063,4862,4313,3339,3249,1657,538,155,19195,41,450,1967,3428,4156,4034,2045,681,174,16974,949,4293,9621,10542,11130,8526,4924,2078,496,52560,511,790,1433,953,708,405,173,37,8,5016,96,299,832,1111,969,886,441,154,44,4846,1561,5382,11887,12607,12812,9825,5532,2268,545,62421,47,112,356,550,589,585,407,261,80,2972,2280,1425,2928,3691,4158,4531,4579,4319,2043,29958,3942,8479,22792,25731,26319,23574,14806,8182,3027,136839,0,52,633,711,645,697,514,131,21,3392,0,59,433,584,773,998,511,116,15,3483,9,1083,5083,4912,3674,3789,2582,828,217,22187
49499,3,6,8,7,0,6,0,0,0,30,0,0,0,8,6,0,9,0,0,21,17,22,55,46,27,31,18,0,0,214,0,3,0,0,0,0,0,0,0,4,17,18,74,86,45,35,31,6,4,314,36,61,214,187,122,116,75,11,5,826,0,4,31,13,11,3,7,0,0,70,0,0,11,5,0,11,0,0,0,20,0,27,107,52,22,22,6,0,0,239,0,13,34,31,37,26,11,0,0,151,6,36,96,62,76,79,36,5,0,398,0,15,13,4,7,9,0,0,0,47,5,7,8,13,10,9,4,0,0,58,16,55,122,78,96,94,42,5,0,504,0,3,7,4,5,11,0,0,6,35,20,34,94,88,114,81,61,68,63,616,39,136,399,277,280,243,123,68,68,1634,0,0,25,13,7,11,0,0,0,59,0,0,3,6,5,6,3,0,0,23,0,29,91,38,21,20,15,0,4,214
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,2529,2699,2571,2216,1935,1699,1127,429,93,15297,454,853,1847,2961,4237,4159,3102,1546,555,19727,7292,14520,28276,26139,24645,19793,10992,3926,1175,136758,100,333,1022,1245,1173,1203,1378,897,315,7668,2687,3755,9711,8486,7330,7189,7732,7371,5544,59800,10652,37657,123684,124780,99160,74324,48502,22912,9936,551599,6,787,12367,12614,10456,7145,2903,827,163,47273,12,604,5445,6942,6186,3980,1339,366,64,24934,105,17548,61910,48924,34737,23428,10120,3916,1070,201758,1116,8787,23093,26442,25846,19711,10054,4167,1180,120404,6540,22232,45522,44559,43422,31449,17207,8274,2242,221447,1915,2588,3723,2793,2254,1538,633,236,62,15747,569,1681,3617,4639,4577,3813,2028,840,265,22020,9024,26496,52865,51987,50255,36808,19865,9345,2569,259215,418,1602,3938,4644,5173,5213,4086,2301,915,28288,10112,10296,20685,18487,16422,14995,12610,12617,7547,123780,20790,66121,180306,170040,149077,111280,60980,33550,13500,805651,7,947,19034,20156,14246,9345,4923,1482,325,70474,23,768,7034,8215,7825,5854,2432,629,133,32921,138,20643,78366,62782,43246,28857,15971,5839,1617,257461
5RWAU,766,939,1101,874,727,584,339,95,18,5442,109,179,476,702,1015,1034,714,271,60,4551,2011,3765,8199,8118,7538,6133,3145,863,169,39939,18,52,161,201,210,232,294,171,66,1412,1573,1487,3934,3860,3771,3800,3445,2499,1318,25690,3689,7207,23732,25547,23081,19957,13133,5798,2067,124202,0,54,858,1057,1000,812,344,83,14,4212,0,85,925,1235,1094,844,226,48,7,4467,5,1656,8748,8571,5922,4262,1949,624,129,31869,157,1094,4119,5877,6163,4844,2222,743,169,25397,2059,7163,16911,16824,15791,10689,4910,2067,594,77019,925,1061,1510,1090,826,509,189,49,11,6155,173,417,1126,1460,1294,1028,453,174,34,6163,3161,8640,19546,19374,17912,12225,5552,2287,644,89338,116,313,900,1132,1424,1488,995,463,140,6973,3647,3956,9089,8914,8044,5974,3922,2932,1202,47680,7086,15805,44180,46168,41559,30439,15205,7175,2311,209928,0,38,1269,1564,1266,1083,653,160,29,6059,7,117,1053,1407,1264,1179,470,96,12,5603,19,1495,9442,9482,6937,5412,2965,1031,228,37011
59499,6,16,12,3,4,4,0,0,0,49,0,0,0,4,4,19,8,0,0,42,15,45,82,75,63,71,31,0,0,376,0,0,6,0,0,4,4,0,0,15,59,106,262,283,227,164,100,22,7,1234,76,196,590,509,363,340,179,25,7,2290,0,8,55,41,25,12,6,0,0,142,0,5,19,18,19,13,0,0,0,75,0,90,301,150,80,112,23,0,0,755,5,30,112,65,89,111,46,0,0,455,21,107,298,200,205,237,141,9,6,1219,9,14,28,10,10,14,0,0,0,84,0,4,13,16,22,21,7,0,0,85,25,132,340,229,229,275,149,9,0,1389,0,10,38,23,18,42,15,5,0,158,64,110,300,285,254,200,77,34,10,1325,91,378,1159,811,716,763,321,56,12,4307,0,3,50,21,19,10,8,0,0,119,0,0,15,8,6,16,4,4,0,50,0,51,229,90,48,58,40,7,0,522
59799,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,3,3,8,0,0,0,0,20,3,8,12,6,7,3,5,0,0,48,0,0,6,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,8,4,4,3,0,0,0,19,0,0,12,13,5,0,0,0,0,28,0,6,42,33,27,8,3,0,0,134,0,0,6,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,6,0,15,45,40,31,10,3,0,0,150,0,0,6,5,5,0,0,0,0,23,0,3,30,14,9,9,5,0,0,72,0,25,107,75,55,23,8,0,0,300,0,0,4,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,13,10,8,4,0,3,0,36
6GHOB,138,244,412,311,239,245,138,63,12,1799,35,106,204,208,295,466,414,173,93,1999,355,1592,3539,3136,2798,2618,1438,474,169,16113,4,42,107,104,81,102,127,98,39,712,352,411,1071,821,756,898,1134,1111,620,7177,742,3889,16446,13130,10966,9757,7378,3422,1337,67058,0,82,1115,1417,1454,1207,542,196,47,6064,0,83,618,853,906,719,206,67,22,3472,4,1589,5668,5073,4404,3555,1513,661,245,22706,38,476,1621,2560,2778,2493,1401,679,225,12273,559,2741,5613,5452,5498,3928,2240,1077,309,27420,303,523,702,367,365,198,93,56,25,2623,34,136,291,388,494,461,257,123,44,2239,904,3397,6602,6208,6362,4583,2597,1253,382,32285,33,90,210,279,325,368,252,164,57,1779,1243,1027,1735,1791,2084,2329,2301,2156,1136,15804,2219,6747,17567,18182,18314,15263,8806,5176,2106,94379,4,100,2024,2010,1784,1471,899,276,88,8652,3,87,754,912,1078,913,480,116,25,4375,4,1564,6118,5705,4424,4197,2499,867,352,25733
6RTAS,192,441,697,526,465,451,257,74,24,3126,39,156,289,336,518,685,585,211,70,2886,515,2304,5266,4747,4708,4407,2341,599,168,25064,17,55,93,80,120,138,159,125,38,817,606,559,1247,1145,1320,1793,2131,1845,863,11512,1156,4032,13589,13082,13056,13366,9866,4556,1498,74194,0,28,483,701,836,852,428,102,22,3444,0,24,316,572,638,629,228,61,10,2480,3,933,4087,4149,3962,3353,1558,525,144,18711,26,396,1643,2940,3370,3180,1823,681,197,14260,913,3650,7623,8474,8947,6766,3583,1454,363,41772,409,660,942,619,543,344,141,33,14,3709,57,170,373,560,670,653,345,136,53,3015,1380,4479,8949,9647,10156,7759,4072,1632,424,48491,45,99,289,340,475,539,351,192,50,2371,1712,898,1656,2298,2790,3280,3596,3270,1493,20997,3166,6855,17417,20648,22228,19591,12051,6461,2338,110756,0,42,693,905,1004,1073,789,181,37,4726,7,43,408,565,743,798,455,101,21,3141,4,963,4160,4355,3983,4078,2546,792,232,21115
69499,0,3,7,4,3,4,0,0,0,26,0,0,0,0,0,0,0,0,0,4,0,10,18,25,17,12,3,0,0,94,0,0,0,0,0,4,0,0,0,5,8,5,16,23,16,21,32,7,4,131,11,22,68,68,56,63,47,8,4,347,0,0,11,3,6,3,3,0,0,29,0,0,0,0,0,0,0,0,0,8,0,3,36,11,10,25,0,0,0,93,0,0,6,11,14,15,9,5,0,61,3,12,36,30,25,16,13,0,0,130,0,0,6,3,0,0,0,0,0,13,0,0,3,3,3,3,0,0,0,15,6,18,38,38,30,21,11,0,0,167,0,0,3,7,0,0,0,0,0,12,13,16,48,27,21,24,20,9,0,180,19,39,148,102,88,92,47,10,0,541,0,0,11,3,5,9,0,0,0,29,0,0,4,3,0,0,0,0,0,11,0,0,29,17,8,18,6,0,0,72
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,8,0,0,0,0,0,0,7,0,3,3,6,3,0,0,0,0,12,0,3,10,0,7,6,0,0,0,31,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,9,3,7,6,0,0,0,31,0,0,0,0,0,0,0,0,0,4,0,0,0,6,4,4,3,0,0,18,0,8,20,16,15,15,7,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7
7GDAR,164,141,245,179,111,88,51,10,3,998,38,30,122,147,214,165,102,51,6,876,436,805,2185,1966,1560,1095,438,111,25,8622,8,29,94,69,51,43,33,8,5,345,358,430,1289,1099,883,719,518,268,101,5662,814,2233,10607,9076,6550,4610,2398,803,184,37272,0,31,715,743,743,549,191,24,8,3001,0,24,398,518,541,330,82,10,0,1909,14,772,3923,2867,1981,1365,440,109,23,11486,31,384,1532,1960,1670,1127,388,83,22,7183,363,1869,4371,3980,3322,2039,789,215,24,16971,193,321,424,236,178,106,27,7,0,1499,22,76,201,268,203,178,68,19,7,1038,582,2262,4991,4491,3705,2328,881,236,32,19506,21,84,202,214,202,173,91,33,3,1020,1390,1453,3224,2825,2449,1797,920,488,137,14693,2035,5001,14988,13615,11285,7671,2993,979,222,58796,4,50,1294,1295,925,720,306,53,8,4648,0,43,584,654,552,438,137,29,0,2427,3,886,5444,3851,2417,1635,741,178,41,15191
7RNTE,51,81,181,160,136,84,23,8,0,724,19,40,120,110,132,96,49,8,4,577,176,435,1096,940,856,585,227,40,13,4369,3,11,27,17,16,13,7,8,0,109,413,421,1059,805,730,649,361,104,37,4581,603,1159,4752,3698,3171,2536,1127,272,75,17392,0,12,282,325,317,255,67,8,0,1266,0,18,207,268,265,199,18,0,0,978,4,316,1698,1281,1040,743,156,23,3,5265,5,137,727,849,848,585,154,41,0,3350,221,839,2223,2124,1831,1150,356,63,9,8808,92,198,383,307,209,91,28,9,0,1317,25,64,153,191,152,83,37,0,0,712,334,1101,2755,2621,2199,1327,420,73,9,10833,13,50,107,111,136,107,34,11,0,565,1160,1061,2186,1963,1508,1074,572,223,82,9824,1514,2696,7970,7413,6303,4287,1417,374,105,32082,0,10,413,399,350,297,108,25,0,1607,0,16,238,263,274,200,52,11,0,1054,4,242,1758,1336,991,824,266,69,12,5507
79499,0,0,3,3,3,3,0,0,0,14,0,0,3,9,5,4,7,0,0,23,0,12,31,15,24,33,16,0,0,125,0,0,3,3,0,5,0,0,0,6,36,44,148,119,158,125,39,7,0,668,36,63,307,214,229,210,76,9,0,1144,0,4,14,14,7,5,0,0,0,45,0,0,11,0,4,12,0,0,0,30,0,24,79,29,23,32,13,0,0,204,0,9,18,21,21,31,17,3,0,109,8,33,66,48,51,80,49,0,0,336,0,0,9,0,3,0,4,0,0,28,0,0,7,4,7,5,0,0,0,17,3,34,83,53,59,88,54,0,0,381,0,5,8,4,0,8,4,0,0,24,5,17,62,46,61,76,32,0,0,295,10,96,268,164,173,252,121,5,0,1089,0,0,24,10,12,5,3,0,0,54,0,0,13,7,5,11,3,0,0,36,0,18,63,39,19,32,15,0,0,183
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,3,0,0,0,0,0,0,3,0,0,11,0,6,9,3,6,3,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,7,7,3,0,0,0,32,0,0,4,0,5,0,0,0,0,8,0,3,6,0,0,0,0,0,0,18,0,12,23,17,13,5,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,3,0,0,0,0,15
8ACTE,243,263,346,295,278,266,221,80,31,2031,69,136,255,348,658,792,817,404,142,3617,718,2042,4035,3653,3587,3056,2032,834,289,20247,20,68,166,193,122,153,179,134,55,1098,640,998,1965,1492,1121,990,1172,982,679,10040,1458,9120,33684,30894,23150,17130,12248,5789,1998,135466,0,344,6154,6659,5868,4192,1737,593,135,25690,0,177,2215,2705,2856,2307,724,130,17,11143,28,5558,19024,13364,10478,7816,3729,1406,431,61828,114,1747,5235,5984,5554,4194,2069,854,297,26046,636,3512,7446,6706,5741,3977,2164,1139,307,31634,374,587,736,514,397,299,137,43,16,3105,80,279,571,860,871,920,450,185,79,4293,1086,4380,8759,8081,7015,5195,2753,1364,398,39033,54,263,611,700,811,925,704,456,205,4720,1885,2173,3272,2581,2309,2003,1712,1644,1140,18712,3163,14646,45265,40076,34897,26626,13429,6443,2621,187168,3,388,8465,9752,7129,5058,2836,916,235,34785,5,234,2811,3008,2959,2625,1446,279,41,13404,33,6179,21189,16067,11223,8653,5497,2120,650,71606
89499,0,5,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,3,4,3,4,0,4,0,0,0,26,0,0,0,0,0,0,0,0,0,4,0,3,7,7,3,6,4,0,0,34,3,20,43,36,21,36,7,3,0,166,0,0,18,14,11,8,0,0,0,46,0,0,9,0,6,9,0,0,0,15,0,20,51,25,10,8,5,0,0,121,0,4,14,10,6,4,3,0,0,39,4,10,17,16,11,7,3,0,0,62,0,0,0,0,5,0,0,0,0,5,0,3,0,0,0,3,0,0,0,14,4,16,21,14,11,11,3,0,0,81,0,0,0,0,7,3,0,0,0,5,8,11,14,15,14,7,0,0,0,74,12,50,119,79,64,45,14,0,3,384,0,0,7,5,6,5,3,0,0,40,0,0,0,0,0,5,0,0,0,11,0,13,34,13,7,11,3,0,0,76
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,10,10,3,3,12,12,4,0,0,53,3,5,0,9,0,5,10,5,0,44,11,33,39,53,52,54,27,9,0,276,0,0,0,0,4,4,12,4,0,26,19,19,58,59,50,70,35,36,11,352,31,71,193,237,196,220,132,70,14,1170,0,0,7,13,10,5,0,0,0,30,0,0,9,9,8,0,0,0,0,31,0,12,39,60,31,17,0,0,0,157,0,5,26,30,38,18,3,0,0,127,6,21,60,61,74,47,14,0,0,280,5,3,9,0,8,0,0,0,0,36,0,0,3,4,0,0,0,0,0,12,14,27,67,68,90,51,14,0,0,327,0,0,6,7,10,3,0,0,0,22,57,157,464,156,76,58,15,14,4,986,70,200,619,339,254,155,34,13,4,1686,0,0,14,25,11,10,11,3,0,78,0,7,11,19,12,3,3,0,0,55,0,15,67,84,44,61,29,4,8,324
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,5,8,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,13
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
