GCCSA_CODE_2021,C11_Se_h_NPUR_1,C11_Se_h_NPUR_2,C11_Se_h_NPUR_3,C11_Se_h_NPUR_4,C11_Se_h_NPUR_5,C11_Se_h_NPUR_6more,C11_Se_h_Tot,C11_SDRTHT1S_NPUR_1,C11_SDRTHT1S_NPUR_2,C11_SDRTHT1S_NPUR_3,C11_SDRTHT1S_NPUR_4,C11_SDRTHT1S_NPUR_5,C11_SDRTHT1S_NPUR_6mor,C11_SDRTHT1S_Tot,C11_SDRTHT2S_NPUR_1,C11_SDRTHT2S_NPUR_2,C11_SDRTHT2S_NPUR_3,C11_SDRTHT2S_NPUR_4,C11_SDRTHT2S_NPUR_5,C11_SDRTHT2S_NPUR_6mor,C11_SDRTHT2S_Tot,C11_SDRTHT_NPUR_1,C11_SDRTHT_NPUR_2,C11_SDRTHT_NPUR_3,C11_SDRTHT_NPUR_4,C11_SDRTHT_NPUR_5,C11_SDRTHT_NPUR_6mor,C11_SDRTHT_Tot,C11_F_a_1_2SB_NPUR_1,C11_F_a_1_2SB_NPUR_2,C11_F_a_1_2SB_NPUR_3,C11_F_a_1_2SB_NPUR_4,C11_F_a_1_2SB_NPUR_5,C11_F_a_1_2SB_NPUR_6mor,C11_F_a_1_2SB_Tot,C11_F_a_I_a_3SB_NPUR_1,C11_F_a_I_a_3SB_NPUR_2,C11_F_a_I_a_3SB_NPUR_3,C11_F_a_I_a_3SB_NPUR_4,C11_F_a_I_a_3SB_NPUR_5,C11_F_a_I_a_3SB_NPUR_6mor,C11_F_a_In_a_3SB_Tot,C11_F_a_4_8SB_NPUR_1,C11_F_a_4_8SB_NPUR_2,C11_F_a_4_8SB_NPUR_3,C11_F_a_4_8SB_NPUR_4,C11_F_a_4_8SB_NPUR_5,C11_F_a_4_8SB_NPUR_6mor,C11_F_a_4_8SB_Tot,C11_F_a_9mor_s_b_NPUR_1,C11_F_a_9mor_s_b_NPUR_2,C11_F_a_9mor_s_b_NPUR_3,C11_F_a_9mor_s_b_NPUR_4,C11_F_a_9mor_s_b_NPUR_5,C11_F_a_9m_s_b_NPUR_6mor,C11_F_a_9mor_st_bl_Tot,C11_F_a_AH_NPUR_1,C11_F_a_AH_NPUR_2,C11_F_a_AH_NPUR_3,C11_F_a_AH_NPUR_4,C11_F_a_AH_NPUR_5,C11_F_a_AH_NPUR_6mor,C11_F_a_AH_Tot,C11_F_a_Tot_NPUR_1,C11_F_a_Tot_NPUR_2,C11_F_a_Tot_NPUR_3,C11_F_a_Tot_NPUR_4,C11_F_a_Tot_NPUR_5,C11_F_a_Tot_NPUR_6mor,C11_F_a_Tot_Tot,C11_OD_CCH_NPUR_1,C11_OD_CCH_NPUR_2,C11_OD_CCH_NPUR_3,C11_OD_CCH_NPUR_4,C11_OD_CCH_NPUR_5,C11_OD_CCH_NPUR_6mor,C11_OD_CCH_Tot,C11_OD_IHTSO_NPUR_1,C11_OD_IHTSO_NPUR_2,C11_OD_IHTSO_NPUR_3,C11_OD_IHTSO_NPUR_4,C11_OD_IHTSO_NPUR_5,C11_OD_IHTSO_NPUR_6mor,C11_OD_IHTSO_Tot,C11_OD_H_f_a_s_o_NPUR_1,C11_OD_H_f_a_s_o_NPUR_2,C11_OD_H_f_a_s_o_NPUR_3,C11_OD_H_f_a_s_o_NPUR_4,C11_OD_H_f_a_s_o_NPUR_5,C11_OD_H_f_a_s_o_NPUR_6mor,C11_OD_H_f_a_s_o_Tot,C11_OD_Tot_NPUR_1,C11_OD_Tot_NPUR_2,C11_OD_Tot_NPUR_3,C11_OD_Tot_NPUR_4,C11_OD_Tot_NPUR_5,C11_OD_Tot_NPUR_6mor,C11_OD_Tot_Tot,C11_DS_ns_NPUR_1,C11_DS_ns_NPUR_2,C11_DS_ns_NPUR_3,C11_DS_ns_NPUR_4,C11_DS_ns_NPUR_5,C11_DS_ns_NPUR_6more,C11_Dwg_st_NS_Tot,C11_Tot_NPUR_1,C11_Tot_NPUR_2,C11_Tot_NPUR_3,C11_Tot_NPUR_4,C11_Tot_NPUR_5,C11_Tot_NPUR_6more,C11_Tot_Tot,C16_Se_h_NPUR_1,C16_Se_h_NPUR_2,C16_Se_h_NPUR_3,C16_Se_h_NPUR_4,C16_Se_h_NPUR_5,C16_Se_h_NPUR_6more,C16_Se_h_Tot,C16_SDRTHT1S_NPUR_1,C16_SDRTHT1S_NPUR_2,C16_SDRTHT1S_NPUR_3,C16_SDRTHT1S_NPUR_4,C16_SDRTHT1S_NPUR_5,C16_SDRTHT1S_NPUR_6mor,C16_SDRTHT1S_Tot,C16_SDRTHT2S_NPUR_1,C16_SDRTHT2S_NPUR_2,C16_SDRTHT2S_NPUR_3,C16_SDRTHT2S_NPUR_4,C16_SDRTHT2S_NPUR_5,C16_SDRTHT2S_NPUR_6mor,C16_SDRTHT2S_Tot,C16_SDRTHT_Tot_NPUR_1,C16_SDRTHT_Tot_NPUR_2,C16_SDRTHT_Tot_NPUR_3,C16_SDRTHT_Tot_NPUR_4,C16_SDRTHT_Tot_NPUR_5,C16_SDRTHT_Tot_NPUR_6mor,C16_SDRTHT_Tot_Tot,C16_F_a_1_2SB_NPUR_1,C16_F_a_1_2SB_NPUR_2,C16_F_a_1_2SB_NPUR_3,C16_F_a_1_2SB_NPUR_4,C16_F_a_1_2SB_NPUR_5,C16_F_a_1_2SB_NPUR_6mor,C16_F_a_1_2SB_Tot,C16_F_a_I_a_3SB_NPUR_1,C16_F_a_I_a_3SB_NPUR_2,C16_F_a_I_a_3SB_NPUR_3,C16_F_a_I_a_3SB_NPUR_4,C16_F_a_I_a_3SB_NPUR_5,C16_F_a_I_a_3SB_NPUR_6mor,C16_F_a_In_a_3_st_b_Tot,C16_F_a_4_8SB_NPUR_1,C16_F_a_4_8SB_NPUR_2,C16_F_a_4_8SB_NPUR_3,C16_F_a_4_8SB_NPUR_4,C16_F_a_4_8SB_NPUR_5,C16_F_a_4_8SB_NPUR_6mor,C16_F_a_4_8SB_Tot,C16_F_a_9mor_s_b_NPUR_1,C16_F_a_9mor_s_b_NPUR_2,C16_F_a_9mor_s_b_NPUR_3,C16_F_a_9mor_s_b_NPUR_4,C16_F_a_9mor_s_b_NPUR_5,C16_F_a_9m_s_b_NPUR_6mor,C16_F_a_9mor_st_bl_Tot,C16_F_a_AH_NPUR_1,C16_F_a_AH_NPUR_2,C16_F_a_AH_NPUR_3,C16_F_a_AH_NPUR_4,C16_F_a_AH_NPUR_5,C16_F_a_AH_NPUR_6mor,C16_F_a_AH_Tot,C16_F_a_Tot_NPUR_1,C16_F_a_Tot_NPUR_2,C16_F_a_Tot_NPUR_3,C16_F_a_Tot_NPUR_4,C16_F_a_Tot_NPUR_5,C16_F_a_Tot_NPUR_6mor,C16_F_a_Tot_Tot,C16_OD_CCH_NPUR_1,C16_OD_CCH_NPUR_2,C16_OD_CCH_NPUR_3,C16_OD_CCH_NPUR_4,C16_OD_CCH_NPUR_5,C16_OD_CCH_NPUR_6mor,C16_OD_CCH_Tot,C16_OD_IHTSO_NPUR_1,C16_OD_IHTSO_NPUR_2,C16_OD_IHTSO_NPUR_3,C16_OD_IHTSO_NPUR_4,C16_OD_IHTSO_NPUR_5,C16_OD_IHTSO_NPUR_6mor,C16_OD_IHTSO_Tot,C16_OD_H_f_a_s_o_NPUR_1,C16_OD_H_f_a_s_o_NPUR_2,C16_OD_H_f_a_s_o_NPUR_3,C16_OD_H_f_a_s_o_NPUR_4
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,75335,128731,63463,65349,24311,9724,366909,22262,14797,4367,2419,795,427,45057,4095,5012,2029,1120,296,84,12637,26356,19807,6397,3535,1085,517,57697,24257,11653,3366,1319,319,87,40996,1955,1096,357,147,32,6,3588,2204,1642,400,176,27,12,4459,..,..,..,..,..,..,..,216,98,38,20,0,0,372,28633,14483,4155,1655,384,105,49414,565,247,21,3,0,0,838,17,12,0,0,3,0,37,147,111,40,32,10,12,352,735,373,62,42,16,12,1223,90,50,22,17,8,0,183,131150,163445,74093,70588,25801,10353,475428,76220,126780,63784,66116,24659,10690,368249,30309,19227,6681,4046,1246,602,62106,6369,7626,3629,2368,642,250,20887,36679,26854,10315,6420,1885,848,83003,15940,8080,2833,1371,300,90,28621,2075,1235,422,202,41,8,3973,2602,2228,541,203,38,11,5620,..,..,..,..,..,..,..,38,25,10,9,0,0,91,20652,11573,3809,1782,386,106,38309,509,218,33,23,10,6,791,34,15,0,3,0,4,65,157,189,74,65
4RSAU,32218,50778,16984,16749,7716,3125,127560,4231,2593,754,424,205,112,8314,140,200,57,37,19,4,454,4374,2792,813,461,221,110,8766,3721,1093,200,80,28,10,5135,93,29,0,5,0,0,124,159,53,12,3,0,0,226,..,..,..,..,..,..,..,49,7,6,0,0,0,64,4022,1183,214,91,30,10,5552,664,339,22,25,6,3,1065,84,50,16,12,5,7,170,103,142,53,37,14,9,354,860,534,101,68,17,12,1587,50,58,8,13,5,4,143,41517,55337,18122,17378,7984,3269,143609,34039,51339,16788,15916,7356,3118,128556,6145,3083,899,593,250,140,11107,142,174,33,37,8,0,400,6281,3254,933,631,260,147,11510,2610,730,150,78,21,5,3593,43,20,4,0,0,0,62,17,7,0,0,0,0,26,..,..,..,..,..,..,..,4,4,3,0,0,0,9,2668,764,157,75,21,5,3694,659,382,27,23,3,3,1093,110,31,8,8,9,0,173,134,149,48,24
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,86363,166475,87644,95725,39235,17525,492965,24796,18723,6327,3492,1122,474,54932,6322,7689,3086,1752,547,189,19590,31122,26414,9410,5246,1663,660,74519,16521,10227,3047,1470,436,173,31866,6088,4266,992,349,82,23,11797,5991,4988,1110,370,83,19,12565,..,..,..,..,..,..,..,283,150,51,25,6,3,525,28877,19627,5200,2221,606,216,56753,1380,693,56,14,9,0,2150,36,27,3,10,13,6,84,130,122,44,32,17,7,346,1547,839,103,56,25,11,2587,108,100,35,24,13,4,284,148017,213460,102391,103271,41545,18420,627097,90984,174565,96663,105583,43112,19922,530834,34687,27008,10417,6418,2021,903,81445,8831,10963,4737,3060,831,281,28708,43520,37971,15150,9475,2850,1190,110152,9352,5410,1359,752,184,67,17120,5767,4073,1031,416,91,32,11412,7523,7006,1611,558,93,37,16833,..,..,..,..,..,..,..,31,17,4,0,0,0,55,22678,16498,4006,1729,371,144,45421,1026,488,54,30,7,3,1605,29,47,11,17,5,7,120,133,170,91,59
5RWAU,29934,53552,22336,23325,10748,5915,145808,4413,2592,805,407,155,123,8502,412,513,191,135,46,22,1314,4822,3107,993,543,204,144,9813,3302,1650,466,225,96,38,5777,130,75,17,8,0,0,230,64,46,13,8,4,4,138,..,..,..,..,..,..,..,52,20,10,5,4,0,98,3550,1792,510,251,107,36,6238,1938,1542,203,128,40,19,3874,169,124,37,29,20,9,381,171,228,71,44,12,16,539,2273,1890,313,207,75,43,4794,165,144,42,24,14,11,406,40749,60487,24191,24339,11149,6146,167063,33801,57019,23382,23942,11107,5733,154988,5910,3105,942,501,193,110,10755,575,635,224,148,54,17,1658,6484,3739,1159,646,248,127,12411,1961,951,231,111,42,22,3315,88,70,15,8,0,0,182,63,53,15,5,4,0,139,..,..,..,..,..,..,..,20,8,0,0,0,0,30,2130,1081,258,125,41,24,3661,1845,1060,82,66,23,6,3082,219,147,30,27,18,9,450,180,200,80,62
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,15341,24396,11543,10763,4099,1792,67940,2016,1146,308,146,40,21,3671,636,612,237,115,25,12,1641,2652,1760,546,257,65,33,5313,4128,2063,586,229,48,32,7083,486,258,56,24,10,8,839,282,177,40,15,0,0,517,..,..,..,..,..,..,..,134,61,23,17,0,0,238,5027,2566,705,285,58,42,8680,76,27,4,7,4,0,118,15,9,4,3,0,0,21,82,69,35,21,11,7,221,168,96,46,30,13,10,362,17,16,9,9,8,0,52,23209,28827,12845,11344,4247,1873,82352,17626,25857,12016,11054,4239,1816,72616,1832,809,234,102,33,18,3027,897,740,254,113,47,13,2070,2733,1549,492,215,75,35,5100,3322,1642,450,214,52,25,5713,531,296,71,31,9,0,933,363,194,51,14,0,0,628,..,..,..,..,..,..,..,33,15,5,4,0,0,69,4251,2150,580,257,64,28,7339,78,51,9,5,0,0,146,18,11,3,3,0,0,33,47,57,35,12
6RTAS,23391,38132,14722,13959,5800,2573,98577,2834,1259,265,111,57,20,4537,200,170,76,30,5,8,484,3032,1431,331,140,67,25,5017,3633,1418,280,89,16,10,5447,86,35,8,3,0,0,129,57,48,3,0,0,0,111,..,..,..,..,..,..,..,90,35,9,3,0,0,139,3871,1532,302,92,19,11,5825,338,147,34,10,3,0,534,53,21,3,6,4,0,94,138,143,40,30,3,3,369,525,320,74,53,10,8,990,14,16,9,13,0,0,53,30826,41428,15438,14253,5900,2615,110474,26378,39020,14407,12936,5189,2451,100385,3521,1250,248,110,31,13,5169,490,379,122,76,32,12,1116,4009,1631,379,182,67,20,6284,2275,905,196,62,27,19,3483,108,27,8,0,0,0,147,156,24,7,0,0,0,191,..,..,..,..,..,..,..,59,25,7,0,0,5,102,2606,990,217,74,28,18,3927,302,139,19,12,7,4,484,36,23,4,5,3,0,69,102,107,44,20
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,3214,7553,5011,5191,2419,1471,24867,1163,1053,398,228,86,39,2963,545,808,342,236,63,19,2023,1710,1859,741,466,149,61,4981,1431,1232,471,250,79,41,3509,559,701,261,112,33,18,1687,753,1072,358,163,42,14,2393,..,..,..,..,..,..,..,26,19,8,3,0,0,65,2769,3026,1104,529,153,74,7651,325,316,51,47,16,14,774,161,57,15,13,3,12,261,44,30,10,3,0,0,99,524,409,73,68,24,28,1122,39,29,13,18,4,0,104,8260,12886,6946,6271,2746,1629,38729,3532,8203,5385,5719,2727,1663,27237,970,927,376,238,88,31,2626,561,757,362,227,73,31,2016,1533,1687,737,464,163,61,4642,1455,1285,582,372,118,39,3841,563,716,282,141,46,8,1756,1423,1849,670,365,93,48,4453,..,..,..,..,..,..,..,3,0,3,0,0,0,14,3446,3851,1542,875,251,102,10060,278,272,26,17,18,13,623,26,26,10,3,3,6,84,40,55,21,20
7RNTE,2397,4030,2467,2576,1572,3282,16318,632,449,173,99,40,26,1412,193,183,63,32,14,4,487,825,628,231,126,54,30,1896,1129,791,229,132,59,46,2391,21,11,0,0,0,0,36,0,0,0,0,0,0,0,..,..,..,..,..,..,..,3,0,4,0,0,0,12,1157,803,234,133,59,50,2434,431,368,75,50,24,37,985,153,74,26,8,7,19,285,39,26,3,5,0,0,80,619,467,100,64,37,58,1352,60,54,21,10,9,10,158,5061,5988,3050,2910,1730,3417,22158,2486,4074,2327,2498,1495,2980,15858,986,720,295,202,116,196,2522,277,198,127,53,23,9,688,1261,920,420,256,143,205,3210,607,286,106,48,31,21,1096,83,35,5,4,0,0,133,42,13,0,3,0,0,64,..,..,..,..,..,..,..,11,5,0,0,0,0,13,746,348,121,53,32,24,1307,435,246,30,30,6,8,750,105,63,18,15,7,19,229,106,98,63,46
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,15480,30773,18026,19361,7598,3026,94261,5162,4065,1460,872,243,81,11879,1769,2618,1497,742,225,82,6933,6928,6685,2956,1618,463,165,18811,2768,1829,540,199,46,10,5389,2757,2302,581,155,29,7,5827,1978,1989,428,107,16,0,4518,..,..,..,..,..,..,..,183,110,26,16,3,0,334,7679,6228,1577,470,94,17,16069,123,51,13,0,0,0,192,3,3,0,0,0,0,7,13,10,4,4,4,3,29,138,61,19,8,3,3,233,16,18,9,12,0,0,50,30249,43764,22578,21460,8169,3206,129431,15811,30360,17946,20299,7833,3266,95516,6050,4315,1858,1219,311,118,13874,3275,4013,2171,1362,402,179,11410,9326,8326,4032,2581,713,300,25282,2361,1512,400,234,60,25,4598,3333,2709,858,319,68,22,7310,4241,3825,876,305,39,19,9300,..,..,..,..,..,..,..,114,55,18,10,0,3,193,10042,8103,2153,862,167,73,21405,87,25,12,3,3,0,134,6,0,0,0,0,0,11,15,10,11,9
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,34,121,81,68,41,41,396,19,21,9,8,3,0,62,0,4,3,0,0,0,3,20,23,13,8,3,0,67,49,16,19,3,5,0,94,23,41,24,15,8,3,113,3,0,3,3,0,0,8,..,..,..,..,..,..,..,0,0,0,0,0,0,0,74,54,44,22,7,8,211,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,6,3,10,0,0,0,0,13,138,209,146,91,59,50,694,286,407,169,139,80,58,1129,16,21,8,10,6,4,54,12,12,3,3,0,0,35,26,30,16,14,5,5,87,34,8,6,5,3,0,52,8,21,13,5,9,5,54,5,0,0,0,0,0,4,..,..,..,..,..,..,..,0,0,0,0,0,0,5,41,31,17,12,8,4,116,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,5,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
