GCCSA_CODE_2021,C11_Aus_BP_B_OS,C11_Aus_Fa_O_B_OS,C11_Aus_Mo_O_B_OS,C11_Aus_BP_B_Aus,C11_Aus_Bplace_NS,C11_Aus_Tot_resp,C11_Aus_Ab_BP_B_OS,C11_Aus_Ab_Fa_O_B_OS,C11_Aus_Ab_Mo_O_B_OS,C11_Aus_Ab_BP_B_Aus,C11_Aus_Abor_Bplace_NS,C11_Aus_Abor_Tot_respons,C11_Chi_BP_B_OS,C11_Chi_Fa_O_B_OS,C11_Chi_Mo_O_B_OS,C11_Chi_BP_B_Aus,C11_Chi_Bplace_NS,C11_Chi_Tot_resp,C11_Cro_BP_B_OS,C11_Cro_Fa_O_B_OS,C11_Cro_Mo_O_B_OS,C11_Cro_BP_B_Aus,C11_Cro_Bplace_NS,C11_Cro_Tot_resp,C11_Dut_BP_B_OS,C11_Dut_Fa_O_B_OS,C11_Dut_Mo_O_B_OS,C11_Dut_BP_B_Aus,C11_Dut_Bplace_NS,C11_Dut_Tot_resp,C11_Eng_BP_B_OS,C11_Eng_Fa_O_B_OS,C11_Eng_Mo_O_B_OS,C11_Eng_BP_B_Aus,C11_Eng_Bplace_NS,C11_Eng_Tot_resp,C11_Fil_BP_B_OS,C11_Fil_Fa_O_B_OS,C11_Fil_Mo_O_B_OS,C11_Fil_BP_B_Aus,C11_Fil_Bplace_NS,C11_Fil_Tot_resp,C11_Fre_BP_B_OS,C11_Fre_Fa_O_B_OS,C11_Fre_Mo_O_B_OS,C11_Fre_BP_B_Aus,C11_Fre_Bplace_NS,C11_Fre_Tot_resp,C11_Ger_BP_B_OS,C11_Ger_Fa_O_B_OS,C11_Ger_Mo_O_B_OS,C11_Ger_BP_B_Aus,C11_Ger_Bplace_NS,C11_Ger_Tot_resp,C11_Gre_BP_B_OS,C11_Gre_Fa_O_B_OS,C11_Gre_Mo_O_B_OS,C11_Gre_BP_B_Aus,C11_Gre_Bplace_NS,C11_Gre_Tot_resp,C11_Hun_BP_B_OS,C11_Hun_Fa_O_B_OS,C11_Hun_Mo_O_B_OS,C11_Hun_BP_B_Aus,C11_Hun_Bplace_NS,C11_Hun_Tot_resp,C11_Ind_BP_B_OS,C11_Ind_Fa_O_B_OS,C11_Ind_Mo_O_B_OS,C11_Ind_BP_B_Aus,C11_Ind_Bplace_NS,C11_Ind_Tot_resp,C11_Iri_BP_B_OS,C11_Iri_Fa_O_B_OS,C11_Iri_Mo_O_B_OS,C11_Iri_BP_B_Aus,C11_Iri_Bplace_NS,C11_Iri_Tot_resp,C11_Ita_BP_B_OS,C11_Ita_Fa_O_B_OS,C11_Ita_Mo_O_B_OS,C11_Ita_BP_B_Aus,C11_Ita_Bplace_NS,C11_Ita_Tot_resp,C11_Kor_BP_B_OS,C11_Kor_Fa_O_B_OS,C11_Kor_Mo_O_B_OS,C11_Kor_BP_B_Aus,C11_Kor_Bplace_NS,C11_Kor_Tot_resp,C11_Leb_BP_B_OS,C11_Leb_Fa_O_B_OS,C11_Leb_Mo_O_B_OS,C11_Leb_BP_B_Aus,C11_Leb_Bplace_NS,C11_Leb_Tot_resp,C11_Mac_BP_B_OS,C11_Mac_Fa_O_B_OS,C11_Mac_Mo_O_B_OS,C11_Mac_BP_B_Aus,C11_Mac_Bplace_NS,C11_Mac_Tot_resp,C11_Mal_BP_B_OS,C11_Mal_Fa_O_B_OS,C11_Mal_Mo_O_B_OS,C11_Mal_BP_B_Aus,C11_Mal_Bplace_NS,C11_Mal_Tot_resp,C11_Mao_BP_B_OS,C11_Mao_Fa_O_B_OS,C11_Mao_Mo_O_B_OS,C11_Mao_BP_B_Aus,C11_Mao_Bplace_NS,C11_Mao_Tot_resp,C11_NZ_BP_B_OS,C11_NZ_Fa_O_B_OS,C11_NZ_Mo_O_B_OS,C11_NZ_BP_B_Aus,C11_NZ_Bplace_NS,C11_NZ_Tot_resp,C11_Pol_BP_B_OS,C11_Pol_Fa_O_B_OS,C11_Pol_Mo_O_B_OS,C11_Pol_BP_B_Aus,C11_Pol_Bplace_NS,C11_Pol_Tot_resp,C11_Rus_BP_B_OS,C11_Rus_Fa_O_B_OS,C11_Rus_Mo_O_B_OS,C11_Rus_BP_B_Aus,C11_Rus_Birthplac_ns,C11_Rus_Tot_resp,C11_Sam_BP_B_OS,C11_Sam_Fa_O_B_OS,C11_Sam_Mo_O_B_OS,C11_Sam_BP_B_Aus,C11_Sam_Birthplac_ns,C11_Sam_Tot_resp,C11_Sco_BP_B_OS,C11_Sco_Fa_O_B_OS,C11_Sco_Mo_O_B_OS,C11_Sco_BP_B_Aus,C11_Sco_Birthplac_ns,C11_Sco_Tot_resp,C11_Ser_BP_B_OS,C11_Ser_Fa_O_B_OS,C11_Ser_Mo_O_B_OS,C11_Ser_BP_B_Aus,C11_Ser_Bplace_NS,C11_Ser_Tot_resp,C11_SAf_BP_B_OS,C11_SAf_Fa_O_B_OS,C11_SAf_Mo_O_B_OS,C11_SAf_BP_B_Aus,C11_SAf_Bplace_NS,C11_SAf_Tot_resp,C11_Span_BP_B_OS,C11_Span_Fa_O_B_OS,C11_Span_Mo_O_B_OS,C11_Span_BP_B_Aus,C11_Span_Bplace_NS,C11_Span_Tot_resp,C11_SriL_BP_B_OS,C11_SriL_Fa_O_B_OS,C11_SriL_Mo_O_B_OS,C11_SriL_BP_B_Aus,C11_SriL_Bplace_NS,C11_SriL_Tot_resp,C11_Viet_BP_B_OS,C11_Viet_Fa_O_B_OS,C11_Viet_Mo_O_B_OS,C11_Viet_BP_B_Aus,C11_Viet_Bplace_NS,C11_Viet_Tot_resp,C11_Wel_BP_B_OS,C11_Wel_Fa_O_B_OS,C11_Wel_Mo_O_B_OS,C11_Wel_BP_B_Aus,C11_Wel_Bplace_NS,C11_Wel_Tot_resp,C11_Oth_BP_B_OS,C11_Oth_Fa_O_B_OS,C11_Oth_Mo_O_B_OS,C11_Oth_BP_B_Aus,C11_Oth_Bplace_NS,C11_Oth_Tot_resp,C11_Anc_ns_BP_B_OS,C11_Anc_ns_Fa_O_B_OS,C11_Anc_ns_Mo_O_B_OS,C11_Anc_ns_BP_B_Aus,C11_Anc_ns_Bplace_NS,C11_Anc_NS_Tot_resp,C11_Tot_P_BP_B_OS,C11_Tot_P_Fa_O_B_OS,C11_Tot_P_Mo_O_B_OS,C11_Tot_P_BP_B_Aus,C11_Tot_P_Bplace_NS,C11_Tot_P_Tot_resp,C16_Aus_BP_B_OS,C16_Aus_Fa_O_B_OS
39499,65,338,261,3091,104,3858,3,4,0,71,0,84,138,0,5,24,4,175,18,5,0,4,0,32,149,29,13,33,0,220,1427,304,224,2434,110,4506,58,0,13,0,3,78,66,0,5,21,0,90,176,32,29,433,14,684,19,4,0,22,0,57,19,0,0,4,0,24,56,0,0,3,0,64,364,66,42,857,30,1364,89,19,8,98,6,224,20,0,0,0,0,25,0,0,0,0,0,5,3,0,0,0,0,3,20,7,0,10,0,37,117,15,12,0,4,145,207,24,18,12,4,262,39,11,5,12,0,67,21,4,0,6,0,34,30,0,0,0,0,33,346,74,70,679,14,1181,8,4,0,0,0,12,41,0,3,0,0,48,27,0,3,19,0,51,0,0,0,0,0,8,21,0,0,0,0,22,55,10,10,32,0,109,556,62,26,155,34,838,64,15,9,176,1715,1976,3480,623,449,6008,1982,12544,62,365
39799,3,11,16,103,0,142,0,0,0,0,0,0,3,0,0,3,0,4,0,0,0,0,0,0,13,0,0,0,0,13,60,10,15,101,6,193,4,0,0,0,0,4,0,0,0,0,0,4,8,4,0,15,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,4,32,0,44,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,3,0,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,18,3,0,23,0,43,0,0,0,0,0,0,0,0,9,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,13,0,0,0,0,12,9,0,0,4,67,78,124,22,28,217,81,470,0,5
4GADE,7576,43482,31877,303678,8673,395290,14,181,114,2462,152,2926,32290,712,815,1093,619,35525,4456,669,322,1010,124,6592,10717,3385,2022,4527,305,20969,124714,42624,33314,246761,9621,457036,8219,220,1052,120,248,9861,2148,466,316,2262,120,5309,16763,6372,4134,55214,1334,83816,20207,3527,1423,8772,770,34693,3075,636,220,759,86,4779,18219,422,275,329,367,19611,17823,6927,4658,61596,1723,92728,43456,9762,3596,25481,1640,83927,3205,54,93,101,52,3504,2586,647,264,920,123,4535,1010,132,71,277,13,1508,2944,806,450,1539,102,5850,1326,366,249,197,76,2220,2866,1137,776,277,111,5170,10475,1457,778,3106,254,16065,3744,393,287,667,77,5167,194,62,25,3,8,292,24655,8783,6646,54349,1555,95985,4376,377,189,370,110,5417,3255,262,243,96,61,3923,2296,304,207,686,72,3560,1963,113,90,73,41,2282,14118,373,296,160,499,15448,4303,912,642,2822,115,8794,68379,7437,4591,9920,2228,92564,7557,1169,975,11730,44832,66269,413641,88385,61330,591911,69967,1225238,10754,46143
4RSAU,1158,9585,7439,133110,3490,154774,7,49,23,4526,124,4731,923,45,70,362,30,1431,656,143,39,252,20,1113,3174,952,615,1508,95,6348,24414,9646,8072,104856,3328,150312,1304,30,218,38,60,1649,395,90,73,732,30,1321,3702,1738,1231,33345,608,40616,1567,283,100,949,57,2960,425,110,23,129,8,693,1001,48,46,79,27,1193,3080,1433,961,22273,539,28281,2858,1004,373,3517,127,7884,209,3,23,6,0,239,93,27,12,121,3,260,35,8,8,13,3,76,239,101,51,223,15,637,628,144,79,118,36,1000,670,338,190,103,19,1328,819,209,105,708,38,1887,224,44,39,137,0,449,34,0,4,0,0,37,5172,2184,1662,22308,503,31828,156,37,10,40,8,248,536,59,44,31,12,685,297,61,25,201,23,604,153,14,13,18,6,206,224,30,27,15,4,303,817,241,138,953,31,2180,6053,1242,776,2867,287,11211,942,312,223,6478,15466,23425,53069,18530,13857,259725,23082,368261,1556,9898
49499,26,102,72,797,36,1024,0,0,0,23,0,28,58,0,0,5,6,67,6,0,0,0,0,6,29,9,12,12,0,54,261,84,87,539,29,1000,9,0,3,0,0,12,8,0,0,5,0,20,48,16,7,111,6,192,11,4,0,4,0,24,0,0,0,5,0,3,28,0,0,3,0,35,63,14,10,153,5,244,31,8,3,34,6,76,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,0,8,11,0,0,0,0,9,17,7,0,0,0,20,18,0,0,7,0,27,9,0,0,0,0,4,0,0,0,0,0,0,66,25,9,124,6,230,0,0,0,0,0,6,8,0,0,0,0,8,3,0,0,5,0,7,3,0,0,0,0,8,23,0,0,9,0,28,11,7,4,7,0,27,151,15,5,40,4,214,19,4,0,23,487,537,782,174,141,1400,568,3067,22,82
49799,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,5,4,0,0
5GPER,15445,77667,59425,356598,11448,520578,18,200,117,3051,213,3606,66042,1399,1991,1659,1170,72255,8685,1983,887,4017,238,15814,19573,5298,3293,7132,506,35801,268807,68264,53213,246146,13191,649615,14058,242,1220,141,407,16059,6313,717,627,2079,170,9898,18566,4388,3186,19381,831,46354,5906,1725,762,3790,206,12389,2642,430,239,479,61,3854,34087,1390,946,840,600,37866,49356,11957,8481,71823,2637,144262,42555,12692,5594,31193,1824,93857,3961,41,122,73,79,4275,1781,311,193,296,68,2649,5921,738,400,1424,190,8670,1929,584,286,798,71,3663,13826,1234,888,324,510,16783,14061,3817,2377,599,396,21251,10493,1370,915,2430,247,15457,2771,278,288,539,60,3934,1188,105,43,20,47,1409,57667,14185,10675,58189,2398,143112,4979,302,145,265,103,5804,19471,1094,875,223,273,21936,4380,436,366,1236,137,6548,4033,327,191,148,59,4761,14306,223,273,122,391,15311,9283,1615,1090,2987,233,15214,137485,12479,9824,11373,3897,175060,12923,1944,1708,12093,90704,119373,744303,139189,102634,618058,124677,1728868,20612,84851
5RWAU,2865,19805,15994,157970,4991,201630,25,209,47,15242,217,15740,2403,163,220,663,111,3560,723,213,97,584,29,1641,4603,1424,911,2290,132,9359,49352,18647,14878,108518,4485,195880,3674,50,357,79,127,4289,973,129,113,645,34,1897,4195,1381,1120,9381,301,16376,445,198,95,665,27,1423,331,100,49,112,11,593,1890,152,120,173,37,2377,8203,2984,2265,27653,850,41953,5128,2280,866,9255,362,17894,380,0,32,14,17,438,152,25,18,66,5,262,340,83,48,172,10,647,233,131,51,147,11,571,4962,474,396,159,206,6200,3928,1158,812,221,111,6225,1671,370,248,807,37,3137,363,59,71,181,12,689,248,33,13,12,9,319,11109,3908,3025,23922,693,42648,215,28,18,35,5,305,3229,184,181,67,30,3690,516,99,65,455,23,1157,222,38,21,20,4,314,553,21,24,3,19,617,1555,395,251,1129,44,3373,13942,2409,1913,4346,478,23094,1790,609,479,6668,39928,49467,107230,35673,27150,282084,50453,502593,3374,20696
59499,33,224,177,1574,52,2060,0,0,0,52,4,55,104,7,0,6,4,117,10,9,0,9,0,24,86,24,7,19,0,147,1061,229,159,1099,47,2595,47,0,0,0,0,54,37,3,0,7,0,45,125,17,11,125,6,279,8,3,3,3,0,14,8,0,0,0,0,12,46,0,3,6,0,59,308,50,21,389,15,775,61,21,7,43,0,133,7,0,0,0,0,7,5,0,0,0,0,3,5,0,0,0,0,5,8,0,0,0,0,5,59,6,6,0,0,72,110,10,13,3,0,138,36,4,5,13,0,58,7,0,0,0,0,10,7,0,0,0,0,6,259,54,34,298,13,663,3,0,0,0,0,3,51,0,0,0,0,59,19,0,0,8,0,26,7,0,0,0,0,9,13,0,0,0,4,23,34,5,4,12,0,57,395,32,28,52,5,516,29,8,9,62,1236,1338,2435,431,292,2795,1343,7294,40,170
59799,4,5,10,67,0,89,0,0,0,0,0,0,3,0,0,0,0,5,6,0,0,0,0,7,5,0,3,0,0,7,53,10,11,73,0,150,6,0,0,0,0,0,0,0,0,0,0,5,0,6,0,5,0,10,0,0,0,0,0,0,3,0,0,0,0,3,6,0,0,0,0,6,14,3,0,28,0,47,5,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,5,17,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,0,6,3,0,41,0,0,0,0,62,68,138,25,19,167,70,415,4,9
6GHOB,642,7070,4744,74974,1995,89423,4,22,7,385,8,433,2632,119,119,295,54,3220,328,106,20,120,10,589,1856,656,396,1253,43,4209,12705,6597,4560,65199,2284,91347,519,33,160,20,14,744,318,70,56,397,4,848,1921,675,376,4470,126,7562,843,208,56,487,40,1635,246,89,18,98,6,455,980,61,45,79,14,1186,1996,1331,777,18144,460,22707,1308,571,159,1465,76,3578,334,6,15,22,8,388,82,40,3,50,0,181,22,10,8,4,0,43,91,57,12,62,0,232,198,104,44,90,5,438,538,278,197,113,13,1146,1125,327,99,566,20,2135,214,35,41,96,5,394,26,18,11,14,3,76,2859,1511,1016,12673,276,18339,121,28,5,30,3,179,456,71,50,15,9,593,282,41,15,153,9,498,109,20,3,14,0,152,177,5,14,4,0,203,485,147,85,491,7,1224,6493,1346,800,1892,235,10758,413,155,152,3513,8331,12561,34080,13094,8459,143047,12979,211657,731,7478
6RTAS,656,7285,5484,112342,2971,128736,3,15,9,702,35,761,1111,65,62,499,44,1791,169,83,6,84,0,338,2850,902,668,1782,80,6289,16356,6980,5204,93589,3147,125271,706,22,200,31,22,978,290,52,29,384,17,776,1996,768,423,6100,174,9459,221,94,32,195,9,546,258,105,22,89,15,484,693,57,52,56,7,865,2291,1202,739,22598,587,27417,869,513,115,1500,57,3060,228,9,12,19,5,269,53,18,4,46,0,124,19,4,0,4,0,29,138,65,35,129,8,369,307,126,81,97,21,625,732,307,253,122,32,1453,582,186,55,391,18,1234,200,37,26,78,9,354,43,19,10,15,0,83,3747,1651,1117,17776,455,24747,54,18,3,14,3,95,385,50,37,23,7,502,184,37,14,199,6,442,109,14,3,17,0,146,76,10,8,5,5,108,610,174,88,564,27,1468,5067,1086,754,1891,223,9020,516,221,179,5902,9828,16640,34999,13483,9551,208189,16289,282508,817,7504
69499,0,22,13,344,13,388,0,0,0,8,0,6,9,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,10,76,34,13,277,10,403,6,0,0,0,0,3,5,0,0,0,0,3,8,0,0,26,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,3,85,3,120,6,0,0,8,0,6,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,9,0,0,0,0,0,4,4,0,0,0,0,3,0,0,0,0,0,0,29,0,3,54,6,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,4,0,7,33,6,0,6,3,48,4,0,0,17,136,159,198,48,26,642,160,1075,4,20
69799,0,3,0,19,6,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,4,23,6,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,0,12,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,13,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,8,0,0,0,7,7,16,29,7,3,63,15,115,0,4
7GDAR,774,4058,3773,32756,1099,42466,6,69,24,1972,96,2170,2913,205,270,828,83,4295,114,39,18,62,3,236,831,311,225,516,26,1907,7523,3292,2719,21046,769,35354,2996,57,287,98,101,3533,276,62,47,220,23,621,1251,474,364,3406,101,5598,1873,492,169,777,99,3404,148,50,20,38,3,264,1485,62,58,57,30,1687,1678,782,602,7872,191,11124,861,375,138,1180,54,2601,178,5,9,13,5,208,54,9,4,37,0,106,39,3,5,12,4,63,82,40,15,81,0,223,480,106,68,70,27,750,669,237,205,75,32,1217,241,70,35,163,12,526,103,23,20,51,6,197,49,14,7,9,3,84,1865,805,631,5825,134,9254,51,5,0,11,0,73,298,27,29,22,4,379,286,29,23,108,16,458,215,29,17,19,4,280,677,24,24,7,19,753,254,89,69,255,9,668,7785,815,942,1390,331,11256,766,124,149,1422,13528,15982,31331,7787,6619,58743,16107,120586,1172,4328
7RNTE,249,1578,1397,16971,542,20733,25,111,34,36601,212,36987,346,17,35,214,18,623,43,9,4,23,0,84,401,111,84,197,11,808,3048,1239,1056,9963,351,15657,690,6,94,21,24,828,149,19,10,114,6,297,650,170,152,1651,36,2661,86,43,10,81,4,227,41,5,5,28,0,87,661,13,14,19,12,722,801,289,227,3727,98,5139,332,138,76,456,27,1033,101,0,0,0,0,106,18,5,7,18,0,46,7,0,0,9,0,11,23,30,15,36,0,106,395,52,40,23,14,526,411,84,96,39,10,636,119,32,16,65,4,231,52,12,9,49,0,109,72,0,0,4,0,85,763,287,258,2795,71,4182,12,4,0,4,3,22,199,20,16,8,0,238,98,8,5,47,0,164,89,7,0,11,0,103,114,4,3,4,10,133,88,38,13,179,3,315,2635,368,321,1072,74,4478,200,49,50,1464,6652,8402,10756,2901,2442,65401,7882,89372,284,1478
79499,14,63,42,525,13,655,0,0,0,32,0,32,17,0,0,4,0,23,0,0,0,0,0,0,34,7,0,8,0,52,185,56,29,340,9,619,5,0,0,0,0,5,20,0,0,0,0,21,36,7,9,62,3,108,3,3,4,0,0,9,4,0,0,0,0,9,9,0,0,0,0,9,63,14,6,136,8,220,12,4,0,13,0,34,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,6,0,0,4,0,6,15,0,0,0,0,15,20,0,0,0,0,25,9,3,0,0,0,10,3,0,0,0,0,3,0,0,0,0,0,4,38,12,11,97,0,162,0,0,0,0,0,0,4,0,0,0,0,7,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,10,73,4,6,23,3,117,7,0,0,21,238,264,489,114,70,930,271,1870,12,69
79799,3,6,0,30,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,7,0,21,3,40,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,14,0,0,0,0,11,11,34,8,0,49,12,105,0,0
8ACTE,2349,14882,11869,97533,1818,128457,6,40,16,612,24,693,12936,374,622,725,249,14912,3042,445,167,757,96,4504,2728,1096,695,1805,86,6405,22192,12227,9425,70782,1866,116493,2717,85,369,85,71,3322,977,212,185,738,27,2137,4430,1494,1019,8363,194,15506,2456,526,230,1251,79,4549,989,224,136,272,16,1633,7488,180,184,98,114,8054,4652,3022,2305,33803,629,44417,4988,1549,623,4291,158,11610,1638,30,86,53,33,1835,674,146,62,228,33,1142,661,72,44,114,21,907,625,226,147,461,9,1470,536,146,116,98,23,915,1423,585,444,170,47,2664,2436,390,344,824,50,4037,966,133,114,243,20,1467,435,70,37,8,21,559,5907,3256,2581,22494,453,34684,1276,160,70,139,18,1664,971,148,121,48,19,1297,1520,216,134,341,19,2236,1608,70,72,43,28,1822,3746,54,165,39,87,4087,917,332,212,1120,17,2591,26691,3293,2986,3731,720,37419,1812,335,253,2991,13891,19278,108703,27299,21000,180239,19337,356591,3016,15421
89499,9,27,17,156,6,213,0,0,0,11,0,11,34,0,0,0,0,39,4,0,3,0,0,6,3,3,0,7,0,9,42,22,17,115,5,197,0,0,0,0,0,3,0,0,0,0,0,0,12,0,7,13,0,26,4,0,0,7,0,8,0,0,0,0,0,6,3,0,0,0,0,4,15,6,3,39,0,65,3,4,0,13,0,22,4,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,5,3,0,0,0,0,9,3,0,0,0,0,3,6,0,0,0,0,6,0,0,0,0,0,0,10,9,6,29,0,51,7,0,0,0,0,9,0,0,0,0,0,0,6,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,10,59,5,6,10,4,80,0,0,0,0,57,64,184,48,36,286,73,631,10,25
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,12,51,44,380,8,497,0,0,0,189,0,194,396,9,15,11,0,429,0,0,0,0,0,5,5,3,5,11,0,18,97,34,32,182,10,347,10,0,3,0,5,11,0,0,0,0,0,3,22,7,4,21,0,46,4,0,0,0,0,7,0,0,0,3,0,3,15,3,0,0,0,22,17,9,3,59,0,78,0,4,0,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,0,0,10,0,9,0,3,0,0,0,4,7,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,30,3,3,32,0,69,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,241,54,61,242,44,644,33,0,5,44,857,944,840,135,132,977,921,3002,35,128
99499,0,0,0,11,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,0,12,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,18,0,30,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
