GCCSA_CODE_2021,CFNC_FI_H_MI_C11_Fam,CFNC_FI_H_MI_C11_Per,CFNC_FI_H_MI_C16_Fam,CFNC_FI_H_MI_C16_Per,CFNC_FI_H_MI_C21_Fam,CFNC_FI_H_MI_C21_Per,CFNC_FI_S_MI_C11_Fam,CFNC_FI_S_MI_C11_Per,CFNC_FI_S_MI_C16_Fam,CFNC_FI_S_MI_C16_Per,CFNC_FI_S_MI_C21_Fam,CFNC_FI_S_MI_C21_Per,CFNC_FI_L_MI_C11_Fam,CFNC_FI_L_MI_C11_Per,CFNC_FI_L_MI_C16_Fam,CFNC_FI_L_MI_C16_Per,CFNC_FI_L_MI_C21_Fam,CFNC_FI_L_MI_C21_Per,CF_CU15_DS_FI_H_MI_C11_Fam,CF_CU15_DS_FI_H_MI_C11_Per,CF_CU15_DS_FI_H_MI_C16_Fam,CF_CU15_DS_FI_H_MI_C16_Per,CF_CU15_DS_FI_H_MI_C21_Fam,CF_CU15_DS_FI_H_MI_C21_Per,CF_CU15_DS_FI_S_MI_C11_Fam,CF_CU15_DS_FI_S_MI_C11_Per,CF_CU15_DS_FI_S_MI_C16_Fam,CF_CU15_DS_FI_S_MI_C16_Per,CF_CU15_DS_FI_S_MI_C21_Fam,CF_CU15_DS_FI_S_MI_C21_Per,CF_CU15_DS_FI_L_MI_C11_Fam,CF_CU15_DS_FI_L_MI_C11_Per,CF_CU15_DS_FI_L_MI_C16_Fam,CF_CU15_DS_FI_L_MI_C16_Per,CF_CU15_DS_FI_L_MI_C21_Fam,CF_CU15_DS_FI_L_MI_C21_Per,CF_CU15noDS_FI_H_MI_C11_Fam,CF_CU15noDS_FI_H_MI_C11_Per,CF_CU15noDS_FI_H_MI_C16_Fam,CF_CU15noDS_FI_H_MI_C16_Per,CF_CU15noDS_FI_H_MI_C21_Fam,CF_CU15noDS_FI_H_MI_C21_Per,CF_CU15noDS_FI_S_MI_C11_Fam,CF_CU15noDS_FI_S_MI_C11_Per,CF_CU15noDS_FI_S_MI_C16_Fam,CF_CU15noDS_FI_S_MI_C16_Per,CF_CU15noDS_FI_S_MI_C21_Fam,CF_CU15noDS_FI_S_MI_C21_Per,CF_CU15noDS_FI_L_MI_C11_Fam,CF_CU15noDS_FI_L_MI_C11_Per,CF_CU15noDS_FI_L_MI_C16_Fam,CF_CU15noDS_FI_L_MI_C16_Per,CF_CU15noDS_FI_L_MI_C21_Fam,CF_CU15noDS_FI_L_MI_C21_Per,CFNCU15_DS_FI_H_MI_C11_Fam,CFNCU15_DS_FI_H_MI_C11_Per,CFNCU15_DS_FI_H_MI_C16_Fam,CFNCU15_DS_FI_H_MI_C16_Per,CFNCU15_DS_FI_H_MI_C21_Fam,CFNCU15_DS_FI_H_MI_C21_Per,CFNCU15_DS_FI_S_MI_C11_Fam,CFNCU15_DS_FI_S_MI_C11_Per,CFNCU15_DS_FI_S_MI_C16_Fam,CFNCU15_DS_FI_S_MI_C16_Per,CFNCU15_DS_FI_S_MI_C21_Fam,CFNCU15_DS_FI_S_MI_C21_Per,CFNCU15_DS_FI_L_MI_C11_Fam,CFNCU15_DS_FI_L_MI_C11_Per,CFNCU15_DS_FI_L_MI_C16_Fam,CFNCU15_DS_FI_L_MI_C16_Per,CFNCU15_DS_FI_L_MI_C21_Fam,CFNCU15_DS_FI_L_MI_C21_Per,CF_nonDC_FI_H_MI_C11_Fam,CF_nonDC_FI_H_MI_C11_Per,CF_nonDC_FI_H_MI_C16_Fam,CF_nonDC_FI_H_MI_C16_Per,CF_nonDC_FI_H_MI_C21_Fam,CF_nonDC_FI_H_MI_C21_Per,CF_nonDC_FI_S_MI_C11_Fam,CF_nonDC_FI_S_MI_C11_Per,CF_nonDC_FI_S_MI_C16_Fam,CF_nonDC_FI_S_MI_C16_Per,CF_nonDC_FI_S_MI_C21_Fam,CF_nonDC_FI_S_MI_C21_Per,CF_nonDC_FI_L_MI_C11_Fam,CF_nonDC_FI_L_MI_C11_Per,CF_nonDC_FI_L_MI_C16_Fam,CF_nonDC_FI_L_MI_C16_Per,CF_nonDC_FI_L_MI_C21_Fam,CF_nonDC_FI_L_MI_C21_Per,Tot_CF_FI_H_MI_C11_Fam,Tot_CF_FI_H_MI_C11_Per,Tot_CF_FI_H_MI_C16_Fam,Tot_CF_FI_H_MI_C16_Per,Tot_CF_FI_H_MI_C21_Fam,Tot_CF_FI_H_MI_C21_Per,Tot_CF_FI_S_MI_C11_Fam,Tot_CF_FI_S_MI_C11_Per,Tot_CF_FI_S_MI_C16_Fam,Tot_CF_FI_S_MI_C16_Per,Tot_CF_FI_S_MI_C21_Fam,Tot_CF_FI_S_MI_C21_Per,Tot_CF_FI_L_MI_C11_Fam,Tot_CF_FI_L_MI_C11_Per,Tot_CF_FI_L_MI_C16_Fam,Tot_CF_FI_L_MI_C16_Per,Tot_CF_FI_L_MI_C21_Fam,Tot_CF_FI_L_MI_C21_Per,Tot_CF_Tot_C11_Fam,Tot_CF_Tot_C11_Per,Tot_CF_Tot_C16_Fam,Tot_CF_Tot_C16_Per,Tot_CF_Tot_C21_Fam,Tot_CF_Tot_C21_Per
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39799,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
4GADE,19257,16.5,23129,19.4,28565,21.2,46710,39.9,41874,35.2,44745,33.1,50990,43.6,53990,45.4,61729,45.7,2198,15,2694,18.1,3338,19.6,2985,20.3,2617,17.6,2806,16.5,9492,64.7,9580,64.3,10870,63.9,9983,13.8,13307,17.3,15229,18.1,11392,15.7,10450,13.6,12002,14.3,51059,70.5,52956,69,56960,67.7,3268,17,4480,21.1,4857,21.7,4308,22.4,4035,19,4203,18.8,11649,60.6,12686,59.8,13303,59.5,3629,15.2,4710,19,5871,21,8069,33.8,7355,29.7,7694,27.5,12191,51,12660,51.2,14365,51.4,38322,15.5,48326,18.8,57861,20.2,73467,29.7,66331,25.9,71454,24.9,135379,54.8,141867,55.3,157233,54.9,247171,100,256524,100,286544,100
4RSAU,6116,14.4,6955,16.1,8582,18.1,20313,47.8,19709,45.6,20308,42.9,16024,37.7,16546,38.3,18428,38.9,742,17.3,691,17.4,858,20.5,1043,24.3,816,20.6,806,19.3,2504,58.5,2453,61.9,2522,60.2,2872,13.8,3051,15.8,3219,16.9,3892,18.7,3179,16.4,3134,16.5,14009,67.4,13117,67.8,12655,66.6,656,17.9,781,20.5,734,21.1,967,26.5,905,23.6,795,22.7,2024,55.6,2144,55.9,1963,56.2,864,16.1,1050,17.9,1311,20,2015,37.6,2074,35.3,2152,32.8,2480,46.3,2750,46.8,3098,47.2,11247,14.7,12529,16.4,14709,18.3,28228,36.9,26687,35,27187,33.7,37041,48.4,37002,48.6,38662,48,76519,100,76223,100,80554,100
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,22660,14.6,31225,18.3,37270,19.4,56126,36.1,53825,31.5,59048,30.7,76645,49.3,85915,50.3,96205,50,2161,10.4,3346,14.1,3783,14.3,3600,17.3,3379,14.2,3699,14,15105,72.4,16972,71.6,18996,71.8,10188,9.4,15658,12.6,18618,13.5,14623,13.5,14216,11.4,16249,11.8,83538,77.1,94746,76,102821,74.7,3152,12.4,5078,16.9,5457,16.8,5110,20.2,4984,16.6,5285,16.2,17104,67.4,19954,66.5,21822,67,4123,13,5968,16.9,7011,18,9079,28.7,8959,25.4,9629,24.7,18445,58.3,20308,57.6,22385,57.4,42289,12.4,61280,15.9,72141,16.8,88547,25.9,85359,22.2,93906,21.9,210839,61.7,237894,61.9,262240,61.2,341671,100,384536,100,428286,100
5RWAU,6041,13.3,7587,15.7,8931,17.2,18173,40,18405,38.1,19078,36.8,21263,46.8,22281,46.2,23874,46,610,12.8,729,14.1,753,14.2,898,19,862,16.8,935,17.7,3235,68.2,3559,69.1,3614,68.1,3278,10.6,3716,12.2,3822,12.8,4798,15.5,4279,14,4078,13.7,22901,73.9,22569,73.8,21866,73.5,439,12.4,652,15.3,662,15.5,865,24.4,853,20,818,19.2,2245,63.2,2754,64.7,2787,65.3,798,11.9,1147,16,1212,16.5,2107,31.4,2103,29.4,2078,28.3,3799,56.7,3899,54.5,4042,55.2,11172,12.2,13827,14.5,15380,15.6,26844,29.4,26503,27.8,26995,27.4,53438,58.4,55054,57.7,56180,57,91454,100,95389,100,98558,100
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,3854,18.9,4422,20.9,5853,22.9,7528,36.9,6821,32.3,7791,30.5,9014,44.2,9904,46.8,11880,46.5,455,18.7,454,18.9,587,21.5,463,19.1,433,17.9,441,16.1,1508,62.1,1522,63.1,1697,62.4,2040,16.5,2377,19,2878,20.1,2010,16.2,1749,14,2134,14.9,8335,67.3,8382,67,9338,65.1,564,18.9,706,23.7,720,23.9,621,20.9,533,17.9,569,18.8,1787,60.2,1737,58.4,1721,57.3,651,18,732,20,915,21.1,1094,30.3,1018,27.9,1185,27.3,1866,51.7,1906,52.2,2238,51.6,7562,18.1,8686,20.3,10955,21.9,11722,28,10553,24.7,12120,24.3,22513,53.9,23442,54.9,26875,53.8,41801,100,42678,100,49945,100
6RTAS,5034,16.3,5655,18.1,7385,20.3,13824,44.8,12973,41.6,14086,38.6,12013,38.9,12546,40.2,14977,41.1,619,18.3,694,21.5,697,21.4,659,19.3,524,16.4,549,16.8,2122,62.4,1995,62.1,2006,61.7,2567,15.8,2543,17.3,2942,18.6,2638,16.3,2222,15.1,2296,14.5,11023,67.9,9935,67.6,10590,66.9,635,19.4,675,20.7,709,22.3,785,24,680,21,664,20.8,1855,56.7,1891,58.2,1808,56.9,760,16,920,19.1,1159,20.5,1693,35.4,1505,31.4,1651,29.3,2322,48.6,2383,49.6,2834,50.2,9627,16.4,10478,18.3,12894,20,19596,33.5,17910,31.3,19248,29.9,29328,50.1,28747,50.3,32220,50.1,58554,100,57143,100,64355,100
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,1866,20.2,2195,20.4,2852,25.5,2671,28.9,2518,23.4,2895,25.9,4715,50.9,6057,56.2,5451,48.7,191,16,255,17.9,359,23.4,272,22.6,244,16.9,292,19,744,61.5,936,65.2,889,57.6,1080,14.3,1348,14.7,1766,19.1,1390,18.4,1330,14.5,1543,16.7,5092,67.3,6507,70.8,5926,64.2,202,18.7,284,20.8,296,22.1,241,22.4,291,21.2,274,20.7,635,58.9,789,58,764,57.2,349,21,413,22.8,508,25.4,448,27.1,452,25.2,505,25.1,861,51.8,932,52,989,49.4,3698,17.8,4484,18.3,5783,22.8,5030,24.2,4840,19.7,5513,21.8,12046,58,15221,62,14014,55.4,20771,100,24544,100,25313,100
7RNTE,963,19.6,1091,22.1,1224,22.7,1865,38,1809,36.5,2147,39.8,2085,42.4,2051,41.4,2026,37.5,173,20.6,220,29.2,195,25.3,273,32.7,227,29.4,291,37.6,391,46.7,318,41.4,287,37.1,1334,21.6,1352,24.1,1321,23,1894,30.7,1734,30.9,2035,35.4,2936,47.6,2526,45,2394,41.7,81,20.4,69,17.8,89,22.3,99,25.8,129,33.5,149,37.3,205,53.7,188,48.7,164,40.5,159,19.7,194,23.8,218,21.6,319,38.8,303,36.7,413,41,342,41.6,321,39.5,379,37.5,2707,20.6,2935,23.4,3049,22.9,4455,34,4195,33.5,5027,37.8,5959,45.4,5409,43.1,5246,39.4,13119,100,12533,100,13317,100
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
