GCCSA_CODE_2021,C16_AP_45_49_NCB_2,C16_AP_45_49_NCB_3,C16_AP_45_49_NCB_4,C16_AP_45_49_NCB_5,C16_AP_45_49_NCB_6mor,C16_AP_45_49_NCB_NS,C16_AP_45_49_Tot,C16_AP_50_54_NCB_0,C16_AP_50_54_NCB_1,C16_AP_50_54_NCB_2,C16_AP_50_54_NCB_3,C16_AP_50_54_NCB_4,C16_AP_50_54_NCB_5,C16_AP_50_54_NCB_6mor,C16_AP_50_54_NCB_NS,C16_AP_50_54_Tot,C16_AP_55_59_NCB_0,C16_AP_55_59_NCB_1,C16_AP_55_59_NCB_2,C16_AP_55_59_NCB_3,C16_AP_55_59_NCB_4,C16_AP_55_59_NCB_5,C16_AP_55_59_NCB_6mor,C16_AP_55_59_NCB_NS,C16_AP_55_59_Tot,C16_AP_60_64_NCB_0,C16_AP_60_64_NCB_1,C16_AP_60_64_NCB_2,C16_AP_60_64_NCB_3,C16_AP_60_64_NCB_4,C16_AP_60_64_NCB_5,C16_AP_60_64_NCB_6mor,C16_AP_60_64_NCB_NS,C16_AP_60_64_Tot,C16_AP_65_69_NCB_0,C16_AP_65_69_NCB_1,C16_AP_65_69_NCB_2,C16_AP_65_69_NCB_3,C16_AP_65_69_NCB_4,C16_AP_65_69_NCB_5,C16_AP_65_69_NCB_6mor,C16_AP_65_69_NCB_NS,C16_AP_65_69_Tot,C16_AP_70_74_NCB_0,C16_AP_70_74_NCB_1,C16_AP_70_74_NCB_2,C16_AP_70_74_NCB_3,C16_AP_70_74_NCB_4,C16_AP_70_74_NCB_5,C16_AP_70_74_NCB_6mor,C16_AP_70_74_NCB_NS,C16_AP_70_74_Tot,C16_AP_75_79_NCB_0,C16_AP_75_79_NCB_1,C16_AP_75_79_NCB_2,C16_AP_75_79_NCB_3,C16_AP_75_79_NCB_4,C16_AP_75_79_NCB_5,C16_AP_75_79_NCB_6mor,C16_AP_75_79_NCB_NS,C16_AP_75_79_Tot,C16_AP_80_84_NCB_0,C16_AP_80_84_NCB_1,C16_AP_80_84_NCB_2,C16_AP_80_84_NCB_3,C16_AP_80_84_NCB_4,C16_AP_80_84_NCB_5,C16_AP_80_84_NCB_6mor,C16_AP_80_84_NCB_NS,C16_AP_80_84_Tot,C16_AP_85over_N_c_b_0,C16_AP_85over_N_c_b_1,C16_AP_85over_N_c_b_2,C16_AP_85over_N_c_b_3,C16_AP_85over_N_c_b_4,C16_AP_85over_N_c_b_5,C16_AP_85over_N_c_b_6mor,C16_AP_85over_N_c_b_NS,C16_AP_85over_Tot,C16_AP_Tot_NCB_0,C16_AP_Tot_NCB_1,C16_AP_Tot_NCB_2,C16_AP_Tot_NCB_3,C16_AP_Tot_NCB_4,C16_AP_Tot_NCB_5,C16_AP_Tot_N_c_b_6mor,C16_AP_Tot_NCB_NS,C16_AP_Tot_Tot,C21_AP_15_19_NCB_0,C21_AP_15_19_NCB_1,C21_AP_15_19_NCB_2,C21_AP_15_19_NCB_3,C21_AP_15_19_NCB_4,C21_AP_15_19_NCB_5,C21_AP_15_19_NCB_6mor,C21_AP_15_19_NCB_NS,C21_AP_15_19_Tot,C21_AP_20_24_NCB_0,C21_AP_20_24_NCB_1,C21_AP_20_24_NCB_2,C21_AP_20_24_NCB_3,C21_AP_20_24_NCB_4,C21_AP_20_24_NCB_5,C21_AP_20_24_NCB_6mor,C21_AP_20_24_NCB_NS,C21_AP_20_24_Tot,C21_AP_25_29_NCB_0,C21_AP_25_29_NCB_1,C21_AP_25_29_NCB_2,C21_AP_25_29_NCB_3,C21_AP_25_29_NCB_4,C21_AP_25_29_NCB_5,C21_AP_25_29_NCB_6mor,C21_AP_25_29_NCB_NS,C21_AP_25_29_Tot,C21_AP_30_34_NCB_0,C21_AP_30_34_NCB_1,C21_AP_30_34_NCB_2,C21_AP_30_34_NCB_3,C21_AP_30_34_NCB_4,C21_AP_30_34_NCB_5,C21_AP_30_34_NCB_6mor,C21_AP_30_34_NCB_NS,C21_AP_30_34_Tot,C21_AP_35_39_NCB_0,C21_AP_35_39_NCB_1,C21_AP_35_39_NCB_2,C21_AP_35_39_NCB_3,C21_AP_35_39_NCB_4,C21_AP_35_39_NCB_5,C21_AP_35_39_NCB_6mor,C21_AP_35_39_NCB_NS,C21_AP_35_39_Tot,C21_AP_40_44_NCB_0,C21_AP_40_44_NCB_1,C21_AP_40_44_NCB_2,C21_AP_40_44_NCB_3,C21_AP_40_44_NCB_4,C21_AP_40_44_NCB_5,C21_AP_40_44_NCB_6mor,C21_AP_40_44_NCB_NS,C21_AP_40_44_Tot,C21_AP_45_49_NCB_0,C21_AP_45_49_NCB_1,C21_AP_45_49_NCB_2,C21_AP_45_49_NCB_3,C21_AP_45_49_NCB_4,C21_AP_45_49_NCB_5,C21_AP_45_49_NCB_6mor,C21_AP_45_49_NCB_NS,C21_AP_45_49_Tot,C21_AP_50_54_NCB_0,C21_AP_50_54_NCB_1,C21_AP_50_54_NCB_2,C21_AP_50_54_NCB_3,C21_AP_50_54_NCB_4,C21_AP_50_54_NCB_5,C21_AP_50_54_NCB_6mor,C21_AP_50_54_NCB_NS,C21_AP_50_54_Tot,C21_AP_55_59_NCB_0,C21_AP_55_59_NCB_1,C21_AP_55_59_NCB_2,C21_AP_55_59_NCB_3,C21_AP_55_59_NCB_4,C21_AP_55_59_NCB_5,C21_AP_55_59_NCB_6mor,C21_AP_55_59_NCB_NS,C21_AP_55_59_Tot,C21_AP_60_64_NCB_0,C21_AP_60_64_NCB_1,C21_AP_60_64_NCB_2,C21_AP_60_64_NCB_3,C21_AP_60_64_NCB_4,C21_AP_60_64_NCB_5,C21_AP_60_64_NCB_6mor,C21_AP_60_64_NCB_NS,C21_AP_60_64_Tot,C21_AP_65_69_NCB_0,C21_AP_65_69_NCB_1,C21_AP_65_69_NCB_2,C21_AP_65_69_NCB_3,C21_AP_65_69_NCB_4,C21_AP_65_69_NCB_5,C21_AP_65_69_NCB_6mor,C21_AP_65_69_NCB_NS,C21_AP_65_69_Tot,C21_AP_70_74_NCB_0,C21_AP_70_74_NCB_1,C21_AP_70_74_NCB_2,C21_AP_70_74_NCB_3,C21_AP_70_74_NCB_4,C21_AP_70_74_NCB_5,C21_AP_70_74_NCB_6mor,C21_AP_70_74_NCB_NS,C21_AP_70_74_Tot,C21_AP_75_79_NCB_0,C21_AP_75_79_NCB_1,C21_AP_75_79_NCB_2,C21_AP_75_79_NCB_3
39499,60,32,15,8,10,69,297,85,27,97,56,21,12,6,84,390,89,54,162,112,47,14,13,103,592,49,42,203,155,67,19,9,91,637,46,37,173,131,52,13,6,78,538,20,21,62,60,37,12,5,37,257,9,7,32,21,24,4,10,32,120,10,5,6,6,3,0,0,3,27,4,4,5,4,0,0,0,12,21,1727,371,959,652,303,88,78,1008,5178,210,4,0,0,0,0,0,66,291,288,31,16,3,5,0,0,139,493,411,57,28,29,11,0,3,224,762,253,51,67,33,19,7,6,149,582,100,48,88,48,27,8,8,130,454,79,46,59,47,25,18,13,139,425,87,55,60,52,27,12,4,116,408,94,61,92,58,27,15,12,114,484,87,47,151,87,31,11,10,102,521,79,58,216,122,59,20,12,92,652,50,43,159,130,54,12,8,77,535,22,17,129,71,30,14,3,41,330,12,9,40,29
39799,3,0,0,0,0,0,9,0,0,5,0,0,0,0,0,4,0,0,5,3,0,0,0,0,10,0,0,3,0,0,0,0,0,3,3,0,0,0,3,0,0,5,15,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,15,7,18,18,7,4,0,11,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,3,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,17481,7962,2385,657,554,2167,44699,6879,5958,16936,7995,2701,784,538,2156,43940,6183,5412,16724,8402,2856,761,485,2265,43099,5033,4752,15447,7953,2662,704,394,2011,38953,3871,3832,14840,8003,2646,685,415,2044,36320,2416,2290,10457,6844,2497,766,461,1755,27483,1560,1444,6500,5712,2866,1056,706,1533,21372,1038,1176,4221,4238,2544,1079,897,1486,16669,1571,1894,5456,4796,2866,1436,1224,2557,21799,168393,68023,155562,79489,29181,9550,6844,34734,551770,35353,168,18,3,0,0,8,2568,38114,39106,1743,662,120,20,5,6,2809,44468,33997,6234,3525,1037,268,64,28,2644,47798,21162,11015,10387,3269,822,259,155,2233,49299,11503,9853,17560,6152,1715,540,382,1916,49624,7481,7345,17336,7103,2031,666,534,1604,44106,6927,6858,17404,7462,2259,739,592,1597,43833,7141,6745,17762,8117,2385,684,566,1596,44995,6974,6136,17329,8131,2702,793,539,1529,44139,6266,5608,16930,8564,2839,791,477,1545,43024,4946,4844,15630,8059,2669,694,429,1533,38801,3694,3814,14852,8092,2618,685,416,1683,35856,2150,2128,9936,6590
4RSAU,4383,2937,1073,330,238,841,12640,1606,1373,4572,3117,1087,391,219,939,13298,1518,1296,5039,3291,1291,387,229,992,14048,1342,1142,5021,3249,1296,313,190,928,13487,1051,997,4953,3383,1313,370,209,977,13249,753,624,3301,2853,1312,416,285,832,10384,454,377,1776,2024,1283,547,368,674,7491,291,230,980,1272,1023,495,442,524,5260,359,369,1166,1307,977,523,566,1058,6332,32916,14963,43738,30393,13040,4506,3203,12518,155284,8605,93,11,5,0,0,0,1107,9815,6496,811,348,58,10,3,3,719,8451,5078,1754,1528,551,139,38,13,780,9890,2805,1899,2797,1441,467,129,66,725,10331,1638,1484,3538,2169,764,241,138,702,10678,1259,1179,3434,2297,833,271,181,671,10132,1443,1288,4045,2501,924,299,186,860,11541,1678,1431,4496,2971,1087,321,240,845,13063,1810,1438,4929,3203,1153,352,226,919,14030,1688,1448,5431,3465,1333,400,231,1005,14999,1458,1209,5319,3394,1323,326,166,963,14156,1059,1012,4966,3317,1214,344,171,1042,13130,691,546,3040,2627
49499,16,7,3,3,5,38,100,23,7,25,14,6,0,0,10,96,20,3,25,7,4,0,0,14,84,11,10,30,16,5,0,0,13,85,3,9,34,9,5,3,3,6,70,0,4,5,7,3,0,0,13,29,3,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,13,368,90,179,98,32,18,11,209,1015,83,8,0,0,0,0,0,22,112,64,4,5,0,0,0,0,21,95,79,23,16,0,0,0,0,36,153,52,21,17,18,3,3,5,40,149,23,13,22,13,12,0,0,51,137,17,10,10,12,8,5,0,42,101,15,10,7,17,6,3,4,24,80,20,10,17,15,4,0,3,25,99,15,11,33,16,0,7,0,16,97,12,9,34,29,7,0,0,16,106,6,10,27,18,8,0,0,9,83,3,0,20,10,8,0,0,9,58,0,0,7,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,26354,12632,3950,1137,844,3893,67714,8298,7749,23862,12929,4381,1196,828,3684,62922,6807,6430,21712,13050,4576,1255,706,3531,58060,5347,5482,19395,12061,4400,1126,697,3250,51764,3850,4159,17616,11009,4133,1154,641,3082,45645,2451,2522,11242,8549,3627,1085,686,2575,32742,1662,1645,6924,6876,3840,1363,966,2453,25726,1176,1138,4236,4710,3103,1378,1119,2318,19169,1271,1505,4553,4442,3005,1446,1424,4328,21971,246916,95761,211896,116416,43763,13697,9590,62110,800147,55550,292,20,4,0,0,14,4301,60176,56138,3022,1076,247,31,3,10,4814,65344,48737,9791,6111,1903,476,114,49,5108,72285,33584,18114,17906,5859,1700,447,241,4502,82350,18749,15929,28943,10750,3039,893,526,3915,82738,12045,11318,28342,12269,3610,1072,743,2925,72329,10435,10223,27582,12958,3920,1210,824,2906,70055,9898,9652,27136,13000,4129,1268,868,2743,68693,8606,8117,24777,13342,4515,1231,837,2561,63977,6915,6838,22722,13603,4761,1310,710,2303,59167,5428,5754,20526,12683,4546,1195,720,2285,53135,3793,4337,18212,11342,4254,1129,656,2446,46169,2285,2437,11156,8417
5RWAU,5998,3727,1552,521,397,1707,18083,2072,1685,5701,3985,1669,562,394,1720,17784,1699,1420,5624,4185,1882,613,388,1682,17496,1328,1181,4991,3884,1641,543,346,1421,15322,929,835,4307,3388,1531,463,283,1297,13043,580,525,2626,2447,1328,482,296,941,9230,332,298,1353,1757,1237,532,400,792,6697,213,171,715,1069,911,473,410,633,4600,228,226,769,917,783,405,463,804,4598,46522,20308,51500,35661,16198,5730,4220,21503,201651,12074,174,16,0,5,0,4,1974,14251,8503,1313,522,109,10,4,10,1611,12084,7812,2508,2077,770,225,62,21,1858,15324,5169,3117,4345,2115,666,215,94,1979,17709,3009,2508,5918,3292,1141,335,231,1875,18303,2217,1984,5572,3315,1334,402,316,1631,16769,2220,1930,5885,3456,1336,447,345,1645,17268,2267,2038,5988,3671,1471,501,368,1715,18016,2154,1678,5720,4043,1644,521,337,1669,17759,1779,1461,5684,4302,1853,557,333,1472,17441,1337,1104,4992,3827,1616,473,295,1339,14987,879,831,4183,3277,1469,437,246,1177,12505,526,477,2419,2256
59499,22,9,0,3,0,55,141,33,12,51,28,5,0,0,54,186,38,19,66,36,15,6,0,45,219,33,18,59,58,19,4,7,31,221,12,9,67,36,16,7,0,32,174,11,0,25,16,13,3,5,21,85,0,4,4,4,7,3,0,0,20,0,0,6,0,3,0,0,4,18,0,0,0,0,0,0,0,0,12,750,138,377,237,86,38,18,589,2223,79,7,0,0,0,0,0,62,147,127,14,11,0,0,0,0,108,256,180,7,19,13,0,0,3,131,358,120,22,37,13,6,0,3,136,339,51,28,50,31,10,7,3,137,315,44,21,31,24,17,5,9,138,298,24,15,38,19,12,5,9,127,244,22,22,42,25,11,3,4,96,228,29,22,56,30,7,0,3,75,226,26,18,58,50,17,4,0,81,250,18,16,46,37,12,10,3,55,204,6,5,24,22,11,0,0,33,112,0,0,7,5
59799,3,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,7,4,0,0,0,6,27,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,5,11,3,0,0,0,0,0,0,3,7,5,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,2770,1386,502,170,100,396,7624,1156,1024,2793,1470,505,168,124,446,7691,1137,998,2822,1689,621,202,114,492,8083,938,826,2554,1623,607,170,103,457,7274,729,635,2385,1538,569,184,98,447,6595,476,433,1613,1250,549,164,121,398,5008,289,263,1043,975,530,243,177,326,3846,197,168,624,688,475,236,178,287,2852,266,302,745,680,497,248,240,392,3369,27272,11467,25257,14663,6023,2149,1485,6608,94930,5872,42,7,0,0,0,3,529,6453,6170,430,165,32,3,0,0,546,7341,6983,1235,712,206,61,20,8,653,9877,4616,2224,1735,635,178,47,18,503,9956,2175,1706,2787,1121,342,119,71,426,8753,1371,1270,2731,1167,416,135,105,316,7499,1357,1164,2810,1321,456,151,98,290,7649,1312,1155,2856,1387,495,163,103,315,7782,1208,1059,2887,1444,493,177,110,323,7709,1172,983,2844,1702,606,194,97,351,7959,934,852,2637,1637,612,163,95,370,7301,724,611,2392,1577,544,175,85,395,6506,426,389,1541,1177
6RTAS,3586,2101,769,264,174,593,10213,1456,1181,3669,2202,850,302,201,703,10561,1517,1103,3736,2528,1037,310,183,781,11199,1189,999,3555,2428,1050,312,167,774,10470,1028,889,3331,2443,1072,361,182,846,10145,678,499,2187,1917,974,389,232,648,7519,422,306,1132,1368,926,422,303,543,5424,261,212,730,855,630,365,301,438,3799,320,301,784,834,585,341,362,522,4048,28901,13060,32390,21518,9582,3665,2518,9565,121199,7179,78,4,0,0,0,0,781,8039,6070,759,282,67,12,0,7,631,7822,5194,1635,1220,439,109,31,9,615,9243,2941,1892,2259,944,341,113,54,576,9116,1762,1376,2951,1564,581,185,115,522,9048,1357,1163,3058,1599,618,230,162,457,8656,1479,1241,3246,1834,691,289,181,489,9451,1679,1431,3773,2183,784,261,169,627,10899,1689,1312,3940,2349,926,312,186,633,11351,1650,1200,4034,2682,1066,344,204,736,11910,1304,1046,3686,2460,1048,305,142,696,10684,989,851,3256,2386,1011,338,141,803,9780,605,454,1982,1740
69499,3,0,0,0,0,10,31,7,0,8,3,0,0,0,8,32,3,3,5,6,0,0,0,4,26,3,3,8,7,0,0,0,6,28,6,0,7,4,0,0,0,6,27,5,0,6,4,4,0,0,0,9,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,40,61,48,15,8,0,57,351,44,3,0,0,0,0,0,10,48,36,4,0,0,0,0,0,7,53,24,11,4,0,0,0,0,8,45,19,5,6,5,3,0,0,8,43,13,5,8,7,0,0,0,10,42,10,11,9,9,4,0,0,15,56,12,4,4,3,3,0,0,6,26,13,11,4,9,0,0,3,7,47,9,3,12,3,8,0,0,11,57,7,4,12,0,3,0,0,10,42,8,0,5,10,0,0,0,14,34,3,5,6,3,0,0,0,14,36,0,0,6,3
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,3,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,1500,822,326,104,84,492,4693,708,499,1237,794,303,112,55,451,4163,478,447,1105,758,340,102,59,439,3730,320,304,905,569,256,96,58,366,2877,221,214,626,458,232,80,56,253,2134,127,99,366,265,159,40,52,155,1256,73,58,175,177,95,56,64,102,804,31,27,75,67,65,36,72,53,421,24,34,57,60,46,26,54,65,358,16907,6589,11206,6248,2595,878,714,6343,51479,3239,34,5,0,0,0,0,458,3735,3199,312,93,19,10,0,0,512,4144,4074,871,532,161,51,6,6,683,6377,2911,1455,1185,473,131,45,29,593,6821,1504,1117,1773,740,248,69,57,535,6052,962,806,1701,812,306,97,65,484,5230,783,696,1489,759,313,90,92,404,4615,707,590,1417,820,335,107,74,378,4428,645,461,1172,782,297,106,57,319,3842,427,399,1020,710,310,93,59,280,3301,284,263,798,568,251,94,53,218,2525,187,205,588,445,226,90,56,196,1993,112,83,328,243
7RNTE,648,515,296,177,121,521,3124,441,290,620,475,284,159,136,471,2884,314,241,540,492,243,124,129,390,2457,221,194,418,341,209,107,110,313,1912,122,103,249,231,109,89,81,185,1159,69,56,125,115,77,60,80,117,698,39,29,59,52,49,35,49,57,374,27,14,35,29,35,30,41,47,261,23,17,28,18,33,12,32,36,191,8681,4270,5895,4126,2250,1212,1069,6211,33720,2080,157,15,0,0,4,0,806,3057,1730,609,197,41,10,0,3,633,3225,1863,674,568,269,66,14,13,644,4104,1368,740,813,451,193,77,30,606,4287,757,541,852,530,298,122,77,511,3696,469,354,624,460,287,144,121,451,2910,477,301,561,452,282,133,118,385,2711,432,346,642,500,295,153,118,399,2888,364,252,541,416,243,109,119,373,2426,261,197,493,386,223,123,107,299,2086,186,133,310,255,159,83,72,247,1446,96,74,185,157,94,52,65,133,858,41,30,87,83
79499,19,9,8,3,0,26,95,16,0,27,16,4,0,4,34,106,18,5,35,14,10,0,0,18,104,16,12,31,19,8,0,3,20,108,7,4,33,14,4,0,3,8,71,6,4,3,7,7,0,0,7,32,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,70,202,107,51,17,18,300,1042,31,4,0,0,0,0,0,30,64,39,13,9,0,0,0,0,36,99,94,10,13,0,0,0,0,70,185,58,15,10,12,4,0,0,72,175,26,7,30,12,8,6,0,62,145,14,6,27,15,6,0,3,45,122,18,8,4,12,5,3,0,84,139,21,5,27,10,8,5,0,67,142,18,9,23,18,8,3,3,61,138,7,14,25,17,11,6,0,54,139,6,5,28,10,4,3,3,24,89,0,0,7,0,0,3,0,8,25,0,0,8,4
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,5143,2340,714,163,102,689,13381,2068,1639,4681,2436,789,210,98,647,12578,1723,1500,4121,2399,827,206,133,639,11540,1238,1145,3618,2266,837,229,91,606,10018,972,968,3336,2144,789,227,129,496,9072,592,548,2240,1612,654,226,124,438,6432,352,358,1274,1187,630,250,183,384,4623,230,239,791,793,488,212,194,351,3294,213,319,796,761,494,242,243,774,3836,59001,20271,41807,21557,7678,2399,1517,11248,165484,11847,36,3,3,0,0,0,1009,12899,15142,439,134,18,7,0,0,1391,17132,15096,1968,905,257,64,16,8,1197,19514,9522,4286,3477,919,231,63,35,941,19487,4981,3851,6546,2093,498,117,74,739,18905,3166,2643,6351,2498,613,178,100,559,16102,2582,2238,5903,2525,737,190,113,498,14789,2340,2030,5294,2397,739,172,118,463,13559,2003,1707,4645,2415,802,192,99,382,12249,1606,1533,4170,2374,825,203,127,381,11212,1174,1180,3677,2267,844,215,100,404,9866,976,991,3445,2191,833,214,133,375,9154,542,559,2253,1580
89499,3,3,0,0,0,0,15,0,0,10,6,0,0,0,3,17,4,5,3,3,0,0,0,3,21,5,0,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,6,101,12,34,18,10,6,0,26,208,32,0,0,0,0,0,0,4,37,34,5,4,0,0,0,0,4,40,18,5,4,0,0,0,0,9,33,10,0,0,0,0,0,0,0,19,5,0,7,0,4,0,0,0,15,11,5,3,0,0,0,0,4,26,5,0,0,6,0,0,0,0,12,6,0,4,0,0,0,0,0,14,6,0,0,7,0,0,0,0,15,3,4,8,4,4,0,0,3,21,0,0,0,5,0,0,0,4,8,0,0,0,0,0,0,0,0,5,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,53,24,10,3,8,18,163,23,12,51,30,14,3,0,26,171,18,17,57,43,18,7,0,25,178,22,14,54,28,14,10,0,22,159,19,15,31,24,9,0,3,14,123,12,13,23,21,9,7,0,6,86,4,6,11,13,6,7,3,8,53,0,3,6,4,4,3,3,11,35,3,4,0,5,4,0,4,7,26,410,193,419,272,114,42,30,225,1702,81,0,0,0,0,0,0,24,103,71,13,0,0,0,0,0,21,108,64,16,8,3,0,0,0,24,113,33,12,25,26,3,0,0,29,126,35,21,57,23,10,0,0,25,166,13,15,40,37,6,0,0,28,140,24,21,45,23,6,3,4,15,140,30,17,49,16,19,4,3,26,171,36,14,60,30,13,7,3,31,193,23,23,61,43,15,0,6,27,187,31,14,44,18,21,7,6,17,155,14,12,24,18,6,4,5,16,108,10,5,20,15
99499,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,6,0,4,0,0,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
