GCCSA_CODE_2021,C11_15_19_Mar_RegM_M,C11_15_19_Mar_RegM_F,C11_15_19_Mar_RegM_P,C11_15_19_Mar_DFM_M,C11_15_19_Mar_DFM_F,C11_15_19_Mar_DFM_P,C11_15_19_N_mar_M,C11_15_19_N_mar_F,C11_15_19_N_mar_P,C11_15_19_Tot_M,C11_15_19_Tot_F,C11_15_19_Tot_P,C11_20_24_Mar_RegM_M,C11_20_24_Mar_RegM_F,C11_20_24_Mar_RegM_P,C11_20_24_Mar_DFM_M,C11_20_24_Mar_DFM_F,C11_20_24_Mar_DFM_P,C11_20_24_N_mar_M,C11_20_24_N_mar_F,C11_20_24_N_mar_P,C11_20_24_Tot_M,C11_20_24_Tot_F,C11_20_24_Tot_P,C11_25_29_Mar_RegM_M,C11_25_29_Mar_RegM_F,C11_25_29_Mar_RegM_P,C11_25_29_Mar_DFM_M,C11_25_29_Mar_DFM_F,C11_25_29_Mar_DFM_P,C11_25_29_N_mar_M,C11_25_29_N_mar_F,C11_25_29_N_mar_P,C11_25_29_Tot_M,C11_25_29_Tot_F,C11_25_29_Tot_P,C11_30_34_Mar_RegM_M,C11_30_34_Mar_RegM_F,C11_30_34_Mar_RegM_P,C11_30_34_Mar_DFM_M,C11_30_34_Mar_DFM_F,C11_30_34_Mar_DFM_P,C11_30_34_N_mar_M,C11_30_34_N_mar_F,C11_30_34_N_mar_P,C11_30_34_Tot_M,C11_30_34_Tot_F,C11_30_34_Tot_P,C11_35_39_Mar_RegM_M,C11_35_39_Mar_RegM_F,C11_35_39_Mar_RegM_P,C11_35_39_Mar_DFM_M,C11_35_39_Mar_DFM_F,C11_35_39_Mar_DFM_P,C11_35_39_N_mar_M,C11_35_39_N_mar_F,C11_35_39_N_mar_P,C11_35_39_Tot_M,C11_35_39_Tot_F,C11_35_39_Tot_P,C11_40_44_Mar_RegM_M,C11_40_44_Mar_RegM_F,C11_40_44_Mar_RegM_P,C11_40_44_Mar_DFM_M,C11_40_44_Mar_DFM_F,C11_40_44_Mar_DFM_P,C11_40_44_N_mar_M,C11_40_44_N_mar_F,C11_40_44_N_mar_P,C11_40_44_Tot_M,C11_40_44_Tot_F,C11_40_44_Tot_P,C11_45_49_Mar_RegM_M,C11_45_49_Mar_RegM_F,C11_45_49_Mar_RegM_P,C11_45_49_Mar_DFM_M,C11_45_49_Mar_DFM_F,C11_45_49_Mar_DFM_P,C11_45_49_N_mar_M,C11_45_49_N_mar_F,C11_45_49_N_mar_P,C11_45_49_Tot_M,C11_45_49_Tot_F,C11_45_49_Tot_P,C11_50_54_Mar_RegM_M,C11_50_54_Mar_RegM_F,C11_50_54_Mar_RegM_P,C11_50_54_Mar_DFM_M,C11_50_54_Mar_DFM_F,C11_50_54_Mar_DFM_P,C11_50_54_N_mar_M,C11_50_54_N_mar_F,C11_50_54_N_mar_P,C11_50_54_Tot_M,C11_50_54_Tot_F,C11_50_54_Tot_P,C11_55_59_Mar_RegM_M,C11_55_59_Mar_RegM_F,C11_55_59_Mar_RegM_P,C11_55_59_Mar_DFM_M,C11_55_59_Mar_DFM_F,C11_55_59_Mar_DFM_P,C11_55_59_N_mar_M,C11_55_59_N_mar_F,C11_55_59_N_mar_P,C11_55_59_Tot_M,C11_55_59_Tot_F,C11_55_59_Tot_P,C11_60_64_Mar_RegM_M,C11_60_64_Mar_RegM_F,C11_60_64_Mar_RegM_P,C11_60_64_Mar_DFM_M,C11_60_64_Mar_DFM_F,C11_60_64_Mar_DFM_P,C11_60_64_N_mar_M,C11_60_64_N_mar_F,C11_60_64_N_mar_P,C11_60_64_Tot_M,C11_60_64_Tot_F,C11_60_64_Tot_P,C11_65_69_Mar_RegM_M,C11_65_69_Mar_RegM_F,C11_65_69_Mar_RegM_P,C11_65_69_Mar_DFM_M,C11_65_69_Mar_DFM_F,C11_65_69_Mar_DFM_P,C11_65_69_N_mar_M,C11_65_69_N_mar_F,C11_65_69_N_mar_P,C11_65_69_Tot_M,C11_65_69_Tot_F,C11_65_69_Tot_P,C11_70_74_Mar_RegM_M,C11_70_74_Mar_RegM_F,C11_70_74_Mar_RegM_P,C11_70_74_Mar_DFM_M,C11_70_74_Mar_DFM_F,C11_70_74_Mar_DFM_P,C11_70_74_N_mar_M,C11_70_74_N_mar_F,C11_70_74_N_mar_P,C11_70_74_Tot_M,C11_70_74_Tot_F,C11_70_74_Tot_P,C11_75_79_Mar_RegM_M,C11_75_79_Mar_RegM_F,C11_75_79_Mar_RegM_P,C11_75_79_Mar_DFM_M,C11_75_79_Mar_DFM_F,C11_75_79_Mar_DFM_P,C11_75_79_N_mar_M,C11_75_79_N_mar_F,C11_75_79_N_mar_P,C11_75_79_Tot_M,C11_75_79_Tot_F,C11_75_79_Tot_P,C11_80_84_Mar_RegM_M,C11_80_84_Mar_RegM_F,C11_80_84_Mar_RegM_P,C11_80_84_Mar_DFM_M,C11_80_84_Mar_DFM_F,C11_80_84_Mar_DFM_P,C11_80_84_N_mar_M,C11_80_84_N_mar_F,C11_80_84_N_mar_P,C11_80_84_Tot_M,C11_80_84_Tot_F,C11_80_84_Tot_P,C11_85_over_Mar_RegM_M,C11_85_over_Mar_RegM_F,C11_85_over_Mar_RegM_P,C11_85_over_Mar_DFM_M,C11_85_over_Mar_DFM_F,C11_85_over_Mar_DFM_P,C11_85_over_N_mar_M,C11_85_over_N_mar_F,C11_85_over_N_mar_P,C11_85_over_Tot_M,C11_85_over_Tot_F,C11_85_over_Tot_P,C11_Tot_Marr_reg_marr_M,C11_Tot_Marr_reg_marr_F,C11_Tot_Marr_reg_marr_P,C11_Tot_Mar_de_fa_mar_M,C11_Tot_Mar_de_fa_mar_F,C11_Tot_Mar_de_fa_mar_P,C11_Tot_N_mar_M,C11_Tot_N_mar_F,C11_Tot_N_mar_P,C11_Tot_Tot_M,C11_Tot_Tot_F,C11_Tot_Tot_P,C16_15_19_Mar_RegM_M,C16_15_19_Mar_RegM_F,C16_15_19_Mar_RegM_P,C16_15_19_Mar_DFM_M,C16_15_19_Mar_DFM_F,C16_15_19_Mar_DFM_P,C16_15_19_N_mar_M,C16_15_19_N_mar_F
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,19,97,118,297,777,1070,37531,35196,72732,37849,36071,73922,1151,2883,4034,3916,6181,10096,34152,29764,63919,39224,38825,78047,8644,13406,22048,8104,8911,17019,21409,16910,38319,38157,39231,77381,16858,20209,37068,6220,5796,12011,12523,10939,23462,35596,36947,72542,21436,23629,45065,5131,4865,9997,10828,10701,21529,37388,39199,76593,23447,25213,48656,4732,4574,9303,11236,12157,23392,39408,41939,81352,24207,25061,49266,3929,3918,7845,11120,12849,23973,39256,41825,81081,23967,24659,48626,3292,3165,6456,10650,13024,23674,37908,40843,78756,22365,22760,45123,2475,2268,4744,8740,11861,20599,33579,36889,70467,22571,21484,44053,1826,1381,3209,7227,11237,18466,31622,34109,65732,17302,15862,33168,910,685,1598,4862,9015,13875,23079,25561,48640,13546,11757,25302,476,284,758,3624,8584,12210,17651,20621,38272,10668,7982,18652,210,144,356,3135,8844,11977,14022,16967,30987,7790,4917,12716,155,73,225,3045,9619,12665,10997,14606,25597,4276,2051,6334,63,38,107,3248,10349,13595,7596,12442,20037,218258,221965,440220,41741,43061,84800,183342,211043,394382,443339,476066,919407,24,70,93,268,545,817,36947,34885
4RSAU,16,44,58,181,487,668,10529,9165,19696,10728,9696,20419,328,762,1093,1591,2346,3935,6123,4240,10361,8049,7342,15390,2077,3319,5396,2206,2265,4474,3670,2983,6652,7951,8570,16524,3897,4780,8683,1696,1653,3344,2545,2315,4864,8138,8747,16889,5037,6042,11078,1565,1642,3208,2635,2545,5179,9243,10226,19469,6490,7142,13629,1585,1582,3168,3142,2955,6102,11214,11682,22903,6776,7395,14175,1451,1440,2889,3571,3149,6727,11802,11983,23786,7417,7926,15343,1204,1176,2384,3539,3044,6585,12168,12145,24315,7700,7780,15477,913,816,1733,3032,2706,5747,11648,11307,22956,8033,7820,15860,680,540,1222,2668,2761,5427,11376,11131,22510,6684,6063,12743,420,279,704,2072,2652,4727,9180,8988,18174,5232,4461,9691,204,135,334,1573,2545,4114,7012,7137,14146,3753,2764,6513,110,67,179,1297,2603,3906,5163,5431,10593,2533,1501,4026,49,34,90,1109,2830,3941,3694,4369,8062,1217,601,1815,26,14,36,986,2812,3796,2224,3431,5656,67196,68397,135595,13888,14479,28363,48512,49316,97822,129593,132188,261779,18,29,43,132,318,450,9693,8711
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,30,157,189,485,1246,1731,54725,50987,105713,55245,52387,107633,1766,4571,6330,6576,10929,17501,48012,40676,88687,56345,56170,112518,12493,20285,32782,13182,14740,27927,31500,23265,54765,57177,58293,115474,24847,31310,56156,10018,9661,19682,17581,14752,32334,52445,55728,108173,32554,37339,69891,7666,7343,15011,13617,13645,27262,53845,58325,112167,35823,39520,75347,6529,6498,13025,13083,14646,27727,55434,60663,116100,35429,37519,72949,5212,5355,10565,12658,15146,27802,53300,58016,111317,33148,34560,67714,4209,4046,8258,11924,15278,27205,49283,53890,103174,30434,31059,61495,3128,2759,5889,10361,14203,24559,43926,48024,91950,29694,27453,57144,2257,1692,3951,8788,13444,22234,40741,42588,83326,21968,18801,40773,1138,813,1946,6186,10605,16796,29290,30218,59508,16815,13900,30711,602,384,988,4572,10085,14653,21993,24365,46355,12104,9122,21223,273,168,438,3692,9932,13621,16065,19225,35293,8224,5067,13287,154,90,243,3053,9721,12772,11434,14875,26308,4474,2081,6555,68,30,101,2956,10048,13003,7490,12164,19655,299806,312747,612556,61504,65751,127255,242703,266432,509130,604016,644928,1248940,21,80,102,421,938,1365,55954,52551
5RWAU,20,64,83,259,702,962,12871,11175,24044,13152,11940,25090,522,1244,1767,2339,3562,5903,7802,6003,13802,10660,10812,21477,2925,4736,7660,3717,4194,7914,5168,4261,9429,11812,13193,25004,5715,7369,13088,3046,2983,6033,3585,3386,6972,12350,13742,26096,7886,9293,17176,2686,2745,5428,3458,3380,6838,14036,15410,29447,8833,9846,18675,2410,2501,4908,3744,3819,7557,14975,16162,31140,8864,9426,18293,2099,2114,4213,4002,3640,7644,14965,15185,30146,9006,9404,18405,1759,1720,3478,3991,3638,7624,14752,14764,29516,8386,8518,16902,1298,1101,2398,3482,3259,6748,13166,12882,26048,8005,7346,15356,854,597,1450,3071,2988,6065,11939,10926,22862,6046,5155,11201,417,293,704,2144,2443,4587,8613,7889,16495,4458,3572,8037,214,145,361,1614,2314,3928,6291,6034,12327,2995,2193,5190,93,68,164,1133,2156,3286,4220,4418,8641,1930,1131,3060,36,22,60,921,2066,2984,2884,3219,6104,936,386,1320,24,10,34,724,2009,2731,1682,2401,4089,76539,79692,156225,21265,22759,44019,57700,56532,114236,155504,158977,314477,30,58,85,206,470,679,12862,11437
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,5,18,24,99,213,313,6311,5821,12131,6419,6050,12467,180,377,559,1003,1392,2393,5103,4581,9686,6278,6355,12637,1260,1769,3029,1583,1767,3349,3004,2717,5721,5846,6252,12106,2261,2819,5084,1309,1264,2573,1853,1929,3779,5425,6014,11435,3180,3703,6884,1132,1115,2243,1633,1908,3542,5946,6725,12667,3585,3957,7546,1017,995,2010,1703,2105,3807,6304,7058,13370,3822,4042,7866,888,833,1721,1760,2248,4009,6467,7120,13591,4144,4405,8553,710,692,1405,1806,2336,4140,6657,7443,14101,3994,4044,8036,543,465,1012,1573,2142,3717,6115,6649,12762,3942,3581,7524,380,294,673,1351,2022,3374,5672,5899,11568,2818,2574,5398,236,149,382,952,1660,2608,4010,4380,8390,2303,1871,4171,111,63,174,743,1655,2396,3150,3587,6738,1640,1235,2874,45,26,71,584,1589,2172,2271,2853,5120,1202,728,1926,18,8,28,545,1630,2172,1759,2362,4120,659,332,989,8,5,10,506,1688,2191,1173,2025,3192,35003,35460,70466,9074,9278,18355,29416,36030,65440,73488,80774,154262,0,4,9,82,152,241,6165,5709
6RTAS,5,24,27,157,342,497,8606,7661,16267,8772,8024,16796,256,564,823,1207,1770,2978,4966,4178,9144,6428,6513,12941,1511,2325,3832,1810,2013,3823,2792,2559,5355,6116,6896,13012,2862,3632,6493,1480,1453,2931,1924,2081,4006,6262,7173,13434,3945,4696,8634,1477,1478,2956,2028,2233,4256,7444,8408,15856,4962,5653,10612,1343,1329,2671,2202,2582,4777,8499,9561,18058,5308,5861,11171,1204,1101,2303,2497,2700,5199,9012,9667,18670,5946,6283,12229,954,927,1883,2507,2734,5245,9406,9944,19354,5851,5996,11843,721,609,1331,2235,2478,4720,8808,9090,17894,6086,5747,11830,571,414,984,2016,2562,4575,8667,8727,17396,4987,4324,9309,315,232,543,1608,2209,3810,6902,6762,13668,3709,2955,6664,155,90,245,1234,2150,3380,5096,5194,10288,2520,1832,4354,81,46,130,980,2112,3094,3582,3988,7574,1580,941,2525,29,12,42,789,1982,2771,2401,2935,5341,834,384,1219,14,9,20,659,2019,2681,1505,2412,3916,50363,51210,101573,11506,11833,23340,37030,42251,79277,98898,105291,204185,9,12,23,127,252,380,7878,7133
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,4,24,29,60,159,218,3309,2900,6206,3376,3079,6454,196,409,605,715,1045,1759,2590,1965,4553,3498,3421,6920,927,1467,2397,1105,1262,2368,2129,1693,3826,4162,4432,8590,1641,2155,3795,897,922,1815,1369,1238,2615,3912,4313,8223,2107,2282,4391,821,789,1611,1107,1115,2219,4033,4192,8223,2104,2394,4503,703,671,1373,1131,1071,2199,3947,4141,8082,2019,2022,4040,591,588,1176,1058,1066,2126,3667,3673,7339,1869,1922,3794,455,467,918,1048,1011,2055,3367,3403,6771,1690,1582,3271,350,301,641,900,890,1791,2935,2774,5713,1545,1208,2751,222,142,369,783,819,1602,2552,2173,4717,929,678,1604,98,73,170,468,535,1008,1496,1285,2785,585,355,939,34,16,52,350,424,772,972,796,1760,290,163,451,17,3,21,169,274,449,473,442,924,143,60,208,4,3,3,122,220,342,276,284,562,56,24,76,0,3,4,57,142,207,118,167,284,16105,16759,32863,6081,6441,12521,16597,15378,31975,38779,38575,77354,3,7,13,49,129,184,3331,2893
7RNTE,111,220,328,51,107,158,2777,2418,5193,2936,2744,5676,573,768,1335,382,542,924,1847,1754,3604,2800,3065,5866,1046,1293,2343,578,647,1225,1386,1438,2822,3008,3377,6389,1282,1485,2769,508,520,1023,1039,1094,2131,2832,3094,5925,1390,1486,2878,444,474,921,847,962,1809,2690,2921,5608,1315,1422,2734,410,405,811,825,1017,1841,2553,2835,5388,1275,1234,2509,339,300,643,790,881,1675,2408,2422,4830,1170,1111,2285,274,291,565,760,870,1629,2210,2275,4481,960,877,1839,195,164,361,690,796,1486,1845,1836,3681,824,568,1391,112,77,188,524,621,1141,1461,1264,2720,414,260,673,79,45,120,328,394,725,816,696,1517,240,139,380,23,22,49,233,283,518,496,442,941,94,46,138,12,4,20,105,196,300,212,249,459,56,19,78,6,3,12,79,145,224,146,168,311,21,10,28,0,0,0,44,117,154,64,119,186,10771,10927,21705,3416,3599,7013,12283,12975,25257,26468,27502,53975,79,150,228,33,87,122,2624,2208
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,3,23,23,70,197,265,10468,9764,20236,10543,9977,20522,325,857,1187,1392,2134,3527,10238,9036,19271,11955,12025,23978,2963,4624,7581,3093,3266,6359,7153,5832,12991,13211,13720,26924,6091,7198,13289,2260,2120,4380,3987,3585,7572,12334,12899,25235,7420,7937,15352,1682,1586,3274,3054,3221,6270,12153,12749,24897,7503,7770,15274,1425,1401,2826,2732,3218,5954,11665,12392,24053,7193,7441,14635,1157,1126,2281,2575,3353,5928,10925,11924,22852,6959,6934,13893,958,886,1838,2443,3452,5897,10358,11269,21626,6250,6078,12325,694,637,1326,2013,3027,5045,8955,9745,18701,6012,5401,11413,517,339,857,1586,2853,4441,8113,8600,16712,4210,3504,7712,228,165,391,1023,2165,3185,5452,5839,11297,2925,2396,5322,101,53,157,732,1790,2522,3759,4240,8000,2010,1487,3498,38,31,67,608,1649,2259,2659,3171,5826,1375,836,2214,25,5,34,499,1571,2072,1896,2421,4319,810,390,1196,15,3,17,483,1718,2197,1306,2108,3417,62038,62887,124922,13651,13938,27591,49595,56253,105844,125288,133075,258361,3,12,14,70,161,229,10491,9934
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,0,0,0,0,0,66,41,103,65,42,104,0,15,17,3,4,7,35,32,66,39,48,88,29,28,58,3,12,15,33,13,43,65,56,113,28,38,63,8,6,9,15,15,34,56,56,111,37,46,86,6,5,9,15,18,33,62,65,131,43,57,101,4,4,11,23,14,41,72,81,157,73,66,138,7,4,16,11,11,25,102,80,180,56,67,121,8,3,8,19,15,37,88,82,167,61,62,116,0,4,5,27,12,43,91,76,166,62,22,86,0,0,5,29,14,41,90,42,132,23,26,47,0,0,0,6,5,12,31,29,53,23,15,33,0,0,0,15,3,17,38,12,54,3,4,9,0,0,0,5,7,9,8,7,20,0,0,4,0,0,0,0,3,5,5,9,12,0,0,0,0,0,0,4,0,5,4,0,5,442,441,881,49,46,91,321,201,523,808,687,1494,0,0,0,0,0,5,78,88
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
