GCCSA_CODE_2021,C21_1PF_Cu15DS_MR_4000over,C21_1PF_Cu15DS_MR_NS,C21_1PF_Cu15DS_Tot,C21_1PF_CU15_NDS_MR_0_299,C21_1PF_CU15_NDS_MR_300_449,C21_1PF_CU15_NDS_MR_450_599,C21_1PF_CU15_NDS_MR_600_799,C21_1PF_CU15_NDS_MR_800_999,C21_1PF_CU15_NDS_MR_1000_1399,C21_1PF_CU15_NDS_MR_1400_1799,C21_1PF_CU15_NDS_MR_1800_2399,C21_1PF_CU15_NDS_MR_2400_2999,C21_1PF_CU15_NDS_MR_3000_3999,C21_1PF_CU15_NDS_MR_4000over,C21_1PF_CU15_NDS_MR_NS,C21_1PF_CU15_NDS_Tot,C21_1PF_NCu15DS_MR_0_299,C21_1PF_NCu15DS_MR_300_449,C21_1PF_NCu15DS_MR_450_599,C21_1PF_NCu15DS_MR_600_799,C21_1PF_NCu15DS_MR_800_999,C21_1PF_NCu15DS_MR_1000_1399,C21_1PF_NCu15DS_MR_1400_1799,C21_1PF_NCu15DS_MR_1800_2399,C21_1PF_NCu15DS_MR_2400_2999,C21_1PF_NCu15DS_MR_3000_3999,C21_1PF_NCu15DS_MR_4000over,C21_1PF_NCu15DS_MR_NS,C21_1PF_NCu15DS_Tot,C21_1PF_NDCO_MR_0_299,C21_1PF_NDCO_MR_300_449,C21_1PF_NDCO_MR_450_599,C21_1PF_NDCO_MR_600_799,C21_1PF_NDCO_MR_800_999,C21_1PF_NDCO_MR_1000_1399,C21_1PF_NDCO_MR_1400_1799,C21_1PF_NDCO_MR_1800_2399,C21_1PF_NDCO_MR_2400_2999,C21_1PF_NDCO_MR_3000_3999,C21_1PF_NDCO_MR_4000over,C21_1PF_NDCO_MR_NS,C21_1PF_NDCO_Tot,C21_1PF_Tot_MR_0_299,C21_1PF_Tot_MR_300_449,C21_1PF_Tot_MR_450_599,C21_1PF_Tot_MR_600_799,C21_1PF_Tot_MR_800_999,C21_1PF_Tot_MR_1000_1399,C21_1PF_Tot_MR_1400_1799,C21_1PF_Tot_MR_1800_2399,C21_1PF_Tot_MR_2400_2999,C21_1PF_Tot_MR_3000_3999,C21_1PF_Tot_MR_4000over,C21_1PF_Tot_MR_NS,C21_1PF_Tot_Tot,C21_Tot_MR_0_299,C21_Tot_MR_300_449,C21_Tot_MR_450_599,C21_Tot_MR_600_799,C21_Tot_MR_800_999,C21_Tot_MR_1000_1399,C21_Tot_MR_1400_1799,C21_Tot_MR_1800_2399,C21_Tot_MR_2400_2999,C21_Tot_MR_3000_3999,C21_Tot_MR_4000over,C21_Tot_MR_NS,C21_Tot_Tot
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,57,87,1982,234,132,129,361,677,2037,1946,1315,360,270,176,394,8040,153,101,98,250,362,984,845,562,194,154,133,204,4047,468,345,311,632,758,1773,1283,790,227,188,111,422,7293,919,609,566,1329,1955,5295,4540,2992,867,695,476,1106,21359,6793,3093,2914,5723,8858,29035,34138,34241,13641,11047,7872,7538,164894
4RSAU,4,17,448,79,84,98,286,325,573,275,126,46,23,14,97,2014,19,38,26,74,129,194,82,49,15,9,6,29,672,112,116,126,244,234,352,166,72,29,19,11,107,1597,228,254,264,653,777,1255,595,277,100,49,37,243,4734,1874,1443,1543,3280,4443,9361,6785,4612,1370,1030,697,1817,38256
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,136,163,2778,408,148,156,316,557,1970,2814,3062,1139,730,524,685,12509,229,115,92,214,267,953,1051,1126,410,357,273,323,5412,658,271,260,461,645,1842,1763,1737,612,485,345,718,9804,1404,573,534,1060,1607,5212,6171,6580,2423,1766,1277,1891,30500,10088,3328,3059,5385,8158,30638,47277,70064,33426,27442,21637,14774,275290
5RWAU,7,33,540,95,58,51,143,207,602,537,402,154,89,58,140,2536,24,26,28,53,65,172,141,92,27,19,14,35,700,124,80,78,126,158,371,257,220,80,55,34,109,1712,268,169,174,345,470,1290,1051,821,294,180,122,314,5484,2116,1016,963,1980,2685,8415,9688,10441,4139,3203,2040,2607,49291
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,11,14,412,44,32,38,101,151,483,412,242,62,50,27,83,1719,31,24,16,37,66,167,168,66,31,23,26,27,684,91,61,47,119,120,282,189,123,20,30,12,78,1162,185,123,107,279,369,1028,873,498,136,116,68,198,3977,1177,637,550,1126,1649,5198,5630,5406,2007,1456,1017,1085,26944
6RTAS,6,11,422,63,41,81,178,236,591,325,143,37,27,13,93,1829,36,24,28,65,72,195,94,51,9,14,4,35,624,104,97,92,151,174,340,167,79,18,10,9,98,1337,209,179,227,431,552,1257,656,308,69,60,29,230,4203,1457,1049,1126,2275,3262,8288,6336,4297,1275,954,597,1497,32401
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,11,8,167,29,3,8,19,19,108,148,226,96,77,38,40,814,13,0,4,6,12,31,47,47,26,20,12,21,239,17,17,4,14,36,63,104,133,55,39,28,42,553,57,17,16,42,70,231,341,454,200,145,91,105,1776,382,120,122,255,360,1351,1951,3713,2280,1861,1165,712,14282
7RNTE,0,4,44,0,0,5,17,11,35,51,45,21,14,6,12,220,0,0,6,0,6,9,19,17,6,0,0,4,66,12,0,0,0,15,21,26,35,7,0,0,15,147,8,0,7,18,35,80,98,107,40,28,8,30,471,104,49,33,87,165,483,740,917,402,271,164,172,3579
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,33,27,608,72,30,29,51,83,300,529,774,346,240,138,111,2703,42,15,28,35,50,158,224,300,103,102,74,56,1184,90,38,29,61,90,274,329,415,157,99,54,89,1737,222,87,97,161,240,785,1211,1650,698,507,295,283,6233,2049,570,520,917,1250,4591,7365,13758,8763,7859,5454,2159,55247
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,5,6,3,0,0,0,0,29,10,7,6,14,16,56,39,42,10,8,3,9,215
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
