GCCSA_CODE_2021,Age_37_C16_F,Age_37_C16_P,Age_37_C21_M,Age_37_C21_F,Age_37_C21_P,Age_38_C11_M,Age_38_C11_F,Age_38_C11_P,Age_38_C16_M,Age_38_C16_F,Age_38_C16_P,Age_38_C21_M,Age_38_C21_F,Age_38_C21_P,Age_39_C11_M,Age_39_C11_F,Age_39_C11_P,Age_39_C16_M,Age_39_C16_F,Age_39_C16_P,Age_39_C21_M,Age_39_C21_F,Age_39_C21_P,Age_35_39_C11_M,Age_35_39_C11_F,Age_35_39_C11_P,Age_35_39_C16_M,Age_35_39_C16_F,Age_35_39_C16_P,Age_35_39_C21_M,Age_35_39_C21_F,Age_35_39_C21_P,Age_40_C11_M,Age_40_C11_F,Age_40_C11_P,Age_40_C16_M,Age_40_C16_F,Age_40_C16_P,Age_40_C21_M,Age_40_C21_F,Age_40_C21_P,Age_41_C11_M,Age_41_C11_F,Age_41_C11_P,Age_41_C16_M,Age_41_C16_F,Age_41_C16_P,Age_41_C21_M,Age_41_C21_F,Age_41_C21_P,Age_42_C11_M,Age_42_C11_F,Age_42_C11_P,Age_42_C16_M,Age_42_C16_F,Age_42_C16_P,Age_42_C21_M,Age_42_C21_F,Age_42_C21_P,Age_43_C11_M,Age_43_C11_F,Age_43_C11_P,Age_43_C16_M,Age_43_C16_F,Age_43_C16_P,Age_43_C21_M,Age_43_C21_F,Age_43_C21_P,Age_44_C11_M,Age_44_C11_F,Age_44_C11_P,Age_44_C16_M,Age_44_C16_F,Age_44_C16_P,Age_44_C21_M,Age_44_C21_F,Age_44_C21_P,Age_40_44_C11_M,Age_40_44_C11_F,Age_40_44_C11_P,Age_40_44_C16_M,Age_40_44_C16_F,Age_40_44_C16_P,Age_40_44_C21_M,Age_40_44_C21_F,Age_40_44_C21_P,Age_45_C11_M,Age_45_C11_F,Age_45_C11_P,Age_45_C16_M,Age_45_C16_F,Age_45_C16_P,Age_45_C21_M,Age_45_C21_F,Age_45_C21_P,Age_46_C11_M,Age_46_C11_F,Age_46_C11_P,Age_46_C16_M,Age_46_C16_F,Age_46_C16_P,Age_46_C21_M,Age_46_C21_F,Age_46_C21_P,Age_47_C11_M,Age_47_C11_F,Age_47_C11_P,Age_47_C16_M,Age_47_C16_F,Age_47_C16_P,Age_47_C21_M,Age_47_C21_F,Age_47_C21_P,Age_48_C11_M,Age_48_C11_F,Age_48_C11_P,Age_48_C16_M,Age_48_C16_F,Age_48_C16_P,Age_48_C21_M,Age_48_C21_F,Age_48_C21_P,Age_49_C11_M,Age_49_C11_F,Age_49_C11_P,Age_49_C16_M,Age_49_C16_F,Age_49_C16_P,Age_49_C21_M,Age_49_C21_F,Age_49_C21_P,Age_45_49_C11_M,Age_45_49_C11_F,Age_45_49_C11_P,Age_45_49_C16_M,Age_45_49_C16_F,Age_45_49_C16_P,Age_45_49_C21_M,Age_45_49_C21_F,Age_45_49_C21_P,Age_50_C11_M,Age_50_C11_F,Age_50_C11_P,Age_50_C16_M,Age_50_C16_F,Age_50_C16_P,Age_50_C21_M,Age_50_C21_F,Age_50_C21_P,Age_51_C11_M,Age_51_C11_F,Age_51_C11_P,Age_51_C16_M,Age_51_C16_F,Age_51_C16_P,Age_51_C21_M,Age_51_C21_F,Age_51_C21_P,Age_52_C11_M,Age_52_C11_F,Age_52_C11_P,Age_52_C16_M,Age_52_C16_F,Age_52_C16_P,Age_52_C21_M,Age_52_C21_F,Age_52_C21_P,Age_53_C11_M,Age_53_C11_F,Age_53_C11_P,Age_53_C16_M,Age_53_C16_F,Age_53_C16_P,Age_53_C21_M,Age_53_C21_F,Age_53_C21_P,Age_54_C11_M,Age_54_C11_F,Age_54_C11_P,Age_54_C16_M,Age_54_C16_F,Age_54_C16_P,Age_54_C21_M,Age_54_C21_F,Age_54_C21_P,Age_50_54_C11_M,Age_50_54_C11_F,Age_50_54_C11_P,Age_50_54_C16_M,Age_50_54_C16_F,Age_50_54_C16_P,Age_50_54_C21_M,Age_50_54_C21_F,Age_50_54_C21_P,Age_55_C11_M,Age_55_C11_F,Age_55_C11_P,Age_55_C16_M,Age_55_C16_F,Age_55_C16_P
39499,64,144,117,89,211,68,60,127,89,45,140,131,82,217,107,56,166,84,38,122,113,89,204,483,300,788,482,256,737,617,454,1077,112,67,181,123,61,185,124,102,228,82,77,158,96,37,138,104,93,191,105,52,155,101,45,145,139,76,217,94,51,147,80,71,144,79,79,165,89,46,137,89,48,135,132,71,204,485,287,772,487,256,741,575,425,1005,101,65,163,97,62,156,112,84,194,100,52,145,87,49,141,106,79,186,81,54,141,84,40,130,120,76,193,106,65,173,98,60,162,106,79,187,125,68,194,82,78,160,126,89,217,511,294,817,456,297,750,567,408,976,104,88,188,115,80,195,102,111,213,88,82,176,83,72,156,93,104,198,91,86,177,107,70,178,99,92,193,88,97,186,110,74,181,102,88,190,96,79,176,100,88,192,82,86,164,471,432,898,517,390,913,478,484,959,122,99,221,77,112,193
39799,0,0,7,0,13,0,0,0,3,0,3,0,3,3,4,5,16,0,0,0,12,0,12,21,12,31,9,0,9,33,3,34,0,0,6,0,0,0,10,0,10,9,0,9,0,0,0,3,0,3,0,0,0,0,0,4,4,0,6,0,0,4,0,7,4,3,0,8,4,3,7,0,0,4,0,0,0,18,7,29,5,5,6,26,6,26,3,0,3,0,5,5,8,0,8,5,5,7,0,0,0,0,0,0,4,4,7,0,0,4,7,0,7,10,0,10,0,0,0,8,0,8,0,4,3,3,0,3,3,0,3,21,10,32,8,9,9,26,0,26,6,9,15,0,0,0,5,0,5,3,8,7,0,0,0,0,0,5,6,4,8,5,0,5,4,0,4,11,0,10,0,3,0,0,0,0,5,3,11,0,0,5,4,0,4,26,17,48,10,4,12,16,0,18,8,3,12,0,6,6
4GADE,8253,16433,9711,10091,19801,8320,8452,16769,7897,8090,15990,9663,9905,19566,8819,9099,17921,8187,8343,16527,9186,9550,18739,40782,41323,82106,41186,41854,83038,47838,49624,97466,9003,9173,18177,8090,7998,16089,9135,9377,18513,8730,8854,17587,8157,8246,16408,8717,8869,17590,8535,8873,17410,8244,8402,16648,8586,8749,17332,8392,8688,17083,8386,8683,17070,8184,8509,16696,8145,8429,16571,8924,9087,18014,8462,8603,17061,42804,44024,86830,41798,42421,84219,43080,44106,87190,8404,8623,17029,9103,9329,18433,8295,8289,16587,8409,8794,17198,8823,9071,17896,8445,8479,16925,8633,8883,17514,8612,8927,17537,8447,8734,17175,8614,8756,17367,8519,8919,17435,8625,8921,17540,8483,8956,17435,8190,8449,16643,9036,9415,18454,42540,44004,86545,43252,44699,87945,42847,43833,86685,8765,9010,17774,8376,8716,17094,9250,9483,18739,8385,8734,17122,8309,8672,16977,8865,9057,17923,8258,8768,17031,8562,8881,17444,8672,9030,17703,8082,8363,16441,8626,8847,17471,8462,8844,17307,7748,8393,16143,8318,8828,17146,8137,8574,16711,41231,43270,84508,42191,43940,86135,43389,44995,88386,7542,8231,15772,8590,8903,17491
4RSAU,1902,3839,2109,2141,4252,2209,2317,4523,1974,1978,3954,2126,2101,4226,2317,2417,4732,1919,1952,3869,2080,2114,4200,10673,10944,21610,9796,9762,19560,10557,10678,21228,2645,2648,5295,2102,2152,4259,2040,2070,4108,2502,2530,5029,2125,2056,4180,2004,2037,4041,2634,2538,5174,2172,2106,4279,1994,1914,3914,2543,2394,4935,2305,2341,4641,2069,2030,4097,2487,2425,4912,2429,2440,4870,2001,2085,4086,12809,12535,25350,11130,11095,22229,10110,10132,20243,2449,2451,4899,2616,2693,5309,2115,2207,4319,2620,2472,5096,2506,2580,5087,2148,2165,4310,2726,2541,5271,2602,2517,5118,2234,2193,4426,2795,2730,5527,2589,2428,5021,2310,2400,4710,2800,2741,5545,2487,2413,4903,2450,2573,5029,13391,12941,26332,12793,12640,25433,11254,11541,22798,2889,2804,5695,2506,2446,4953,2726,2757,5484,2763,2717,5473,2651,2534,5185,2540,2670,5213,2715,2693,5404,2696,2656,5359,2718,2593,5307,2725,2570,5295,2856,2842,5695,2667,2528,5201,2673,2561,5237,2881,2825,5709,2577,2508,5087,13761,13346,27105,13597,13298,26899,13229,13063,26292,2724,2570,5294,2971,2958,5933
49499,18,44,42,27,70,27,21,46,29,21,48,34,17,56,46,23,71,25,4,31,35,27,52,152,92,253,137,80,219,157,137,295,36,20,58,27,10,35,41,23,66,42,13,57,32,15,49,23,12,35,25,12,44,28,18,41,28,14,48,15,18,33,22,15,35,21,18,37,27,11,40,35,12,39,23,25,50,151,81,225,139,63,205,134,101,237,33,13,47,31,27,59,30,21,53,31,15,45,25,35,57,36,20,51,24,18,42,16,8,24,24,18,37,21,12,30,35,14,53,33,16,49,27,16,41,33,16,44,23,14,38,141,74,213,145,100,240,151,80,229,24,32,55,41,22,59,48,20,62,18,23,43,29,11,44,28,30,55,32,25,57,28,30,59,22,17,37,23,17,38,12,13,30,25,19,44,17,28,45,28,16,45,22,24,46,126,118,246,140,96,232,151,99,246,34,19,50,19,19,38
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0
5GPER,13767,27226,16124,16714,32835,12454,12615,25067,13415,13259,26673,16232,16476,32712,13210,13439,26646,13021,13160,26180,15757,15822,31581,61442,62448,123893,68748,68877,137621,80691,82738,163435,13434,13825,27264,13199,13407,26602,15313,15552,30868,12773,13032,25809,13092,13243,26337,14518,14699,29218,12643,13104,25742,13028,13484,26516,14059,14443,28497,12035,12451,24484,13391,13647,27042,13868,13857,27722,12031,12197,24227,14013,14471,28487,13397,13783,27177,62919,64605,127525,66729,68258,134982,71155,72329,143484,11763,12209,23973,14253,14618,28871,13593,13748,27339,11759,12315,24077,13475,13642,27123,13409,13848,27261,12225,12400,24627,13433,13658,27087,13414,13753,27172,12255,12610,24870,12794,13050,25850,13717,14006,27723,12037,12285,24327,12521,12744,25263,14325,14700,29020,60035,61830,121868,66479,67714,134190,68465,70055,138515,11683,12185,23872,12323,12584,24901,14579,14905,29489,11424,11792,23211,12187,12542,24722,13650,13929,27579,11105,11531,22639,12520,12718,25228,13701,13895,27596,10733,11139,21867,12326,12693,25026,12876,13117,25996,10487,11060,21549,12231,12389,24621,12557,12839,25395,55430,57706,113137,61583,62922,124500,67358,68693,136051,10615,10987,21602,11684,12291,23977
5RWAU,3350,6968,3720,3637,7359,4005,3484,7489,3559,3310,6863,3700,3670,7369,4277,3784,8062,3602,3241,6844,3600,3595,7202,19458,17530,36987,18200,16704,34906,18307,18303,36610,4367,3950,8318,3560,3302,6857,3671,3520,7187,4100,3653,7752,3556,3433,6986,3492,3397,6889,4044,3662,7706,3805,3477,7281,3486,3434,6922,4063,3505,7569,3976,3478,7452,3401,3227,6629,3811,3448,7264,4221,3692,7912,3431,3189,6621,20389,18213,38604,19118,17378,36492,17476,16769,34251,3964,3377,7340,4165,3937,8101,3462,3251,6709,4021,3440,7464,3939,3649,7585,3424,3445,6869,4026,3435,7456,3966,3660,7630,3525,3446,6971,4112,3568,7687,3882,3470,7353,3744,3397,7140,3938,3530,7467,3779,3367,7151,3965,3734,7696,20058,17356,37414,19738,18083,37816,18113,17268,35382,4170,3637,7806,3934,3453,7385,4068,3913,7983,3800,3520,7318,3848,3509,7351,3823,3570,7395,3933,3466,7402,3921,3502,7426,3686,3602,7288,3822,3307,7124,4048,3689,7734,3694,3565,7259,3808,3183,6990,3847,3638,7481,3589,3365,6953,19524,17115,36642,19601,17784,37383,18866,18016,36883,3678,3294,6976,4073,3769,7837
59499,27,85,78,54,128,65,38,109,62,40,103,85,61,145,69,31,102,61,32,91,69,43,113,368,212,584,295,156,450,449,315,769,75,39,116,58,27,86,169,111,277,83,50,138,54,38,96,64,56,126,60,31,95,50,29,83,80,39,118,79,42,123,79,21,99,75,47,117,63,36,95,69,28,97,95,38,135,364,200,562,308,149,454,476,298,770,73,36,108,66,35,105,145,55,195,73,32,110,66,22,91,64,58,118,74,41,114,83,30,107,65,46,107,59,26,87,44,28,71,75,60,131,83,34,118,48,24,77,99,35,132,368,180,543,315,141,454,433,244,680,69,51,123,72,39,104,134,65,202,66,37,106,54,32,93,68,24,97,54,45,100,61,42,97,80,44,121,60,48,111,71,36,107,68,54,118,75,49,121,69,38,110,55,43,94,314,236,553,321,186,509,404,228,631,71,75,142,70,54,126
59799,0,17,25,9,34,18,0,18,13,3,11,26,0,26,12,0,12,15,0,15,8,0,8,62,3,61,59,3,62,85,10,92,8,0,8,20,0,20,22,0,22,14,0,14,10,0,10,14,0,14,10,0,10,14,0,14,13,0,18,6,0,6,10,3,15,22,0,22,6,0,8,9,0,9,13,0,13,41,5,42,62,3,63,79,0,82,14,0,14,14,0,14,5,0,5,7,0,9,9,0,6,17,0,17,4,0,4,10,0,10,13,4,17,3,0,3,16,0,18,8,0,8,9,0,9,6,0,8,13,0,11,33,5,33,47,3,57,51,3,57,9,0,14,12,0,12,9,0,8,5,0,5,4,0,4,13,0,13,3,0,3,7,0,7,10,0,10,5,0,5,8,0,11,9,0,9,3,0,3,11,0,11,3,4,3,35,0,37,44,0,45,48,3,54,4,0,4,8,0,8
6GHOB,1333,2628,1607,1747,3351,1292,1457,2753,1279,1380,2654,1629,1652,3288,1388,1563,2950,1231,1294,2531,1594,1668,3258,6536,7149,13678,6403,6923,13334,8374,8753,17128,1479,1589,3073,1305,1380,2681,1474,1613,3091,1379,1511,2887,1315,1447,2756,1431,1567,3001,1448,1492,2943,1379,1502,2882,1433,1438,2872,1331,1444,2775,1335,1526,2860,1347,1467,2809,1264,1431,2696,1435,1628,3063,1350,1411,2757,6909,7461,14375,6763,7483,14247,7027,7499,14528,1229,1346,2575,1550,1603,3150,1365,1474,2836,1299,1492,2796,1451,1530,2977,1363,1466,2836,1549,1553,3102,1488,1513,3000,1463,1560,3023,1450,1596,3046,1390,1485,2876,1379,1543,2917,1563,1600,3156,1281,1488,2775,1496,1609,3105,7094,7580,14674,7166,7624,14783,7068,7649,14715,1528,1689,3212,1253,1335,2590,1557,1659,3212,1488,1602,3091,1348,1495,2835,1427,1595,3021,1422,1625,3047,1517,1623,3138,1496,1550,3052,1443,1552,2996,1487,1643,3130,1390,1484,2872,1430,1546,2975,1518,1604,3124,1282,1497,2776,7311,8003,15317,7120,7691,14817,7148,7782,14934,1419,1494,2910,1531,1710,3238
6RTAS,1581,3038,1712,1831,3544,1669,1875,3547,1401,1597,3000,1645,1752,3397,1851,2023,3868,1419,1541,2958,1682,1810,3496,8207,8939,17145,7065,7852,14912,8436,9048,17486,1866,2099,3967,1497,1552,3049,1599,1814,3415,1894,1983,3874,1574,1711,3286,1549,1650,3201,1950,2124,4068,1610,1721,3335,1635,1780,3422,1851,1963,3819,1727,1908,3633,1596,1726,3324,1790,1948,3744,1855,2013,3868,1558,1678,3240,9355,10115,19469,8264,8910,17175,7946,8656,16602,1837,1970,3803,1915,2168,4086,1699,1724,3426,1915,1946,3858,1930,1978,3912,1710,1806,3512,2031,2131,4166,1925,2074,3999,1745,1777,3517,2003,2112,4122,1860,2016,3873,1845,2032,3874,2141,2167,4310,1806,1970,3781,1970,2123,4093,9929,10326,20256,9439,10213,19656,8973,9451,18425,2151,2261,4416,1845,2030,3878,2044,2328,4370,2068,2229,4301,1891,1958,3853,2046,2117,4164,2078,2103,4185,2100,2190,4292,2001,2203,4205,2116,2055,4172,2077,2124,4202,1975,2117,4094,1972,2096,4069,2170,2252,4427,1945,2132,4080,10392,10742,21134,10085,10561,20650,10016,10899,20913,2089,2055,4145,2218,2366,4579
69499,6,14,11,14,20,8,0,13,20,10,32,6,5,6,9,9,19,12,4,14,13,11,24,56,21,77,51,34,84,47,42,86,16,6,24,8,8,15,11,11,29,12,9,15,4,4,7,12,13,27,7,3,10,5,3,12,8,10,20,3,8,15,5,0,12,16,11,19,8,9,16,11,7,22,5,9,14,50,33,86,38,25,64,52,56,114,13,8,15,11,9,16,12,8,23,3,9,17,10,4,15,11,5,20,11,3,16,8,8,13,3,4,7,14,10,26,5,9,12,10,11,20,4,8,18,7,3,12,15,4,17,49,33,84,39,31,70,53,26,86,11,3,14,4,4,6,31,11,35,8,5,13,6,3,9,14,8,16,7,4,6,5,9,15,14,8,22,9,6,15,7,7,11,18,14,29,3,9,14,17,6,22,7,11,15,37,34,65,38,32,71,75,47,123,7,4,15,7,6,11
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,8,0,0,0,0,0,4,5,0,5,0,0,0,0,0,0,4,0,4,4,0,4,0,0,0,5,0,6,5,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,20,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,3,0,3,3,0,9,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,13,8,0,9,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,12,6,3,7,0,0,0,0,0,0,0,0,0
7GDAR,1085,2311,1219,1217,2431,1002,936,1932,1128,1056,2186,1144,1174,2318,1021,948,1965,1138,985,2127,1078,1123,2200,5032,4828,9863,6035,5402,11438,5793,6052,11849,1078,1039,2112,1124,1071,2193,1056,1099,2158,1033,996,2031,1040,953,1995,1026,1092,2124,963,938,1900,1127,997,2125,1031,1064,2091,909,895,1808,1081,891,1971,897,1055,1952,954,880,1834,1068,998,2067,1014,925,1937,4936,4750,9683,5439,4913,10345,5029,5230,10257,898,894,1791,1233,1021,2251,929,949,1878,908,840,1751,1067,949,2017,945,910,1854,879,859,1736,1043,943,1985,917,926,1843,910,873,1786,991,926,1913,974,910,1887,957,825,1783,1037,861,1895,962,916,1878,4554,4292,8846,5369,4693,10068,4727,4615,9343,944,867,1806,944,908,1852,1048,970,2015,850,811,1656,920,780,1701,972,922,1900,832,789,1616,960,813,1772,928,870,1799,824,762,1584,959,855,1818,816,864,1687,747,738,1485,941,805,1746,868,796,1663,4197,3966,8157,4722,4163,8889,4633,4428,9066,755,696,1453,930,837,1760
7RNTE,634,1240,716,728,1444,696,736,1432,595,629,1223,707,702,1403,685,671,1353,587,601,1186,604,638,1242,3411,3418,6828,3137,3258,6393,3536,3696,7233,783,798,1579,703,671,1375,798,765,1558,629,686,1318,545,518,1057,541,557,1095,632,637,1270,619,638,1259,615,560,1174,625,604,1224,539,577,1116,503,542,1045,555,587,1143,607,628,1232,517,491,1007,3222,3310,6535,3011,3031,6039,2971,2910,5885,656,588,1245,720,676,1393,575,578,1153,566,541,1115,569,675,1238,510,474,984,555,566,1122,572,586,1158,545,528,1077,612,579,1191,601,590,1190,522,568,1094,593,569,1155,579,596,1174,550,562,1113,2989,2842,5829,3033,3124,6154,2705,2711,5411,609,616,1222,669,667,1336,634,664,1298,513,504,1011,534,502,1031,547,568,1115,549,526,1081,544,566,1111,505,576,1084,535,565,1103,578,559,1141,481,548,1033,548,484,1032,524,586,1114,488,528,1017,2757,2704,5458,2843,2884,5733,2655,2888,5546,558,500,1062,576,525,1101
79499,13,22,28,34,60,13,4,18,27,24,49,24,16,44,21,9,26,18,13,34,37,28,65,83,45,128,93,83,179,155,145,303,11,8,19,45,28,70,32,22,54,16,6,20,18,20,42,31,37,69,13,9,22,14,10,28,23,19,45,11,8,20,19,18,32,36,24,56,17,10,27,22,13,41,28,16,46,64,45,108,120,92,215,149,122,270,15,12,26,44,25,73,32,31,64,11,0,12,25,8,41,36,14,45,10,12,16,26,16,37,25,34,62,13,15,28,16,21,40,25,31,55,14,17,36,18,19,38,42,22,69,62,57,118,129,95,227,156,139,295,15,24,31,43,26,72,25,34,61,8,11,20,15,17,34,31,28,62,10,14,24,23,20,43,34,25,57,14,27,41,13,18,33,30,31,62,19,20,37,21,28,52,31,20,55,72,86,156,124,106,233,151,142,298,14,19,32,23,19,38
79799,0,5,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,5,0,5,3,0,3,11,0,9,7,0,7,10,0,10,0,0,0,0,0,0,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,7,0,7,5,0,5,0,0,0,0,0,0,5,0,5,6,0,6,12,0,12,12,0,12,11,0,11,0,0,0,0,0,0,5,0,5,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,10,0,9,7,0,6,14,0,12,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,7,0,7,10,5,10,0,0,0,4,0,4
8ACTE,3007,6077,3666,3830,7492,2667,2787,5453,2837,2839,5682,3671,3649,7320,2703,2875,5579,2837,2863,5696,3590,3708,7294,13324,13579,26902,14983,15147,30129,18292,18905,37197,2781,2884,5662,2766,2736,5504,3510,3544,7056,2658,2635,5293,2802,2782,5584,3172,3412,6583,2493,2694,5193,2793,2841,5631,3215,3202,6417,2448,2541,4995,2717,2941,5664,3095,2939,6034,2372,2409,4777,2808,2977,5781,2986,3011,5999,12761,13156,25917,13891,14276,28165,15984,16102,32085,2318,2550,4867,2919,2969,5889,2882,2831,5709,2391,2465,4848,2741,2730,5471,2972,2987,5962,2354,2600,4954,2569,2764,5332,2843,2910,5756,2397,2424,4815,2537,2516,5050,2846,3040,5884,2472,2604,5081,2383,2408,4788,2904,3025,5927,11936,12638,24571,13145,13381,26527,14457,14789,29240,2395,2534,4929,2369,2597,4968,3018,3027,6047,2360,2420,4783,2281,2483,4762,2743,2803,5547,2203,2454,4660,2372,2552,4925,2598,2745,5344,2211,2344,4557,2391,2386,4778,2554,2538,5090,2136,2298,4430,2401,2562,4954,2418,2440,4857,11307,12049,23352,11815,12578,24389,13331,13559,26885,2049,2229,4285,2330,2444,4775
89499,3,14,5,3,9,3,5,11,0,5,4,5,4,4,5,7,9,9,7,14,3,0,4,34,24,57,34,30,61,34,15,45,10,5,15,8,0,12,6,0,14,5,5,11,10,0,10,3,3,7,3,5,9,11,0,6,8,7,19,5,5,10,3,0,6,3,3,6,6,7,11,8,6,17,12,4,17,31,25,53,35,11,48,30,26,54,5,0,3,3,3,7,9,3,15,6,3,9,3,0,7,11,0,10,0,9,10,0,4,7,3,0,3,0,5,4,3,0,3,5,0,6,0,6,8,3,0,5,4,5,13,13,17,30,14,15,26,29,12,40,7,9,14,7,0,5,7,0,5,10,7,13,5,4,11,5,5,15,0,6,3,7,6,6,9,5,6,3,4,11,6,7,11,6,3,11,5,4,9,6,9,15,0,0,0,27,25,51,29,17,48,22,14,40,9,0,10,0,0,7
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,34,83,34,41,81,20,18,39,30,25,55,46,31,82,43,16,55,35,19,53,27,41,69,148,78,223,182,135,316,176,166,350,35,23,54,29,26,54,32,24,61,37,17,51,26,23,52,34,26,62,13,29,41,40,26,64,27,33,63,23,12,32,32,42,73,29,30,58,24,17,36,47,29,72,25,20,46,125,93,222,167,148,318,145,140,288,30,18,49,44,33,76,27,24,51,22,17,46,37,35,72,22,25,47,25,18,45,27,44,69,39,29,73,24,21,40,27,25,50,37,32,68,28,22,44,38,23,61,38,37,70,127,94,220,170,163,334,165,140,310,18,25,40,31,42,69,42,38,78,26,14,44,40,35,73,44,36,74,25,13,36,37,35,66,37,39,76,14,15,31,40,27,66,30,31,65,20,18,35,55,36,94,34,26,61,107,87,197,205,171,377,180,171,354,16,16,34,33,36,73
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,3,3,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,4,3,0,3,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
