GCCSA_CODE_2021,C16_OD_H_f_a_s_o_NPUR_5,C16_OD_H_f_a_s_o_NPUR_6mor,C16_OD_H_f_a_s_o_Tot,C16_OD_Tot_NPUR_1,C16_OD_Tot_NPUR_2,C16_OD_Tot_NPUR_3,C16_OD_Tot_NPUR_4,C16_OD_Tot_NPUR_5,C16_OD_Tot_NPUR_6mor,C16_OD_Tot_Tot,C16_DS_ns_NPUR_1,C16_DS_ns_NPUR_2,C16_DS_ns_NPUR_3,C16_DS_ns_NPUR_4,C16_DS_ns_NPUR_5,C16_DS_ns_NPUR_6more,C16_Dwg_st_NS_Tot,C16_Tot_NPUR_1,C16_Tot_NPUR_2,C16_Tot_NPUR_3,C16_Tot_NPUR_4,C16_Tot_NPUR_5,C16_Tot_NPUR_6more,C16_Tot_Tot,C21_Se_h_NPUR_1,C21_Se_h_NPUR_2,C21_Se_h_NPUR_3,C21_Se_h_NPUR_4,C21_Se_h_NPUR_5,C21_Se_h_NPUR_6more,C21_Se_h_Tot,C21_SDRTHT1S_NPUR_1,C21_SDRTHT1S_NPUR_2,C21_SDRTHT1S_NPUR_3,C21_SDRTHT1S_NPUR_4,C21_SDRTHT1S_NPUR_5,C21_SDRTHT1S_NPUR_6mor,C21_SDRTHT1S_Tot,C21_SDRTHT2S_NPUR_1,C21_SDRTHT2S_NPUR_2,C21_SDRTHT2S_NPUR_3,C21_SDRTHT2S_NPUR_4,C21_SDRTHT2S_NPUR_5,C21_SDRTHT2S_NPUR_6mor,C21_SDRTHT2S_Tot,C21_SDRTHT_Tot_NPUR_1,C21_SDRTHT_Tot_NPUR_2,C21_SDRTHT_Tot_NPUR_3,C21_SDRTHT_Tot_NPUR_4,C21_SDRTHT_Tot_NPUR_5,C21_SDRTHT_Tot_NPUR_6mor,C21_SDRTHT_Tot_Tot,C21_F_a_1_2SB_NPUR_1,C21_F_a_1_2SB_NPUR_2,C21_F_a_1_2SB_NPUR_3,C21_F_a_1_2SB_NPUR_4,C21_F_a_1_2SB_NPUR_5,C21_F_a_1_2SB_NPUR_6mor,C21_F_a_1_2SB_Tot,C21_F_a_I_a_3SB_NPUR_1,C21_F_a_I_a_3SB_NPUR_2,C21_F_a_I_a_3SB_NPUR_3,C21_F_a_I_a_3SB_NPUR_4,C21_F_a_I_a_3SB_NPUR_5,C21_F_a_I_a_3SB_NPUR_6mor,C21_F_a_In_a_3_st_b_Tot,C21_F_a_4_8SB_NPUR_1,C21_F_a_4_8SB_NPUR_2,C21_F_a_4_8SB_NPUR_3,C21_F_a_4_8SB_NPUR_4,C21_F_a_4_8SB_NPUR_5,C21_F_a_4_8SB_NPUR_6mor,C21_F_a_4_8SB_Tot,C21_F_a_9mor_s_b_NPUR_1,C21_F_a_9mor_s_b_NPUR_2,C21_F_a_9mor_s_b_NPUR_3,C21_F_a_9mor_s_b_NPUR_4,C21_F_a_9mor_s_b_NPUR_5,C21_F_a_9m_s_b_NPUR_6mor,C21_F_a_9mor_st_bl_Tot,C21_F_a_AH_NPUR_1,C21_F_a_AH_NPUR_2,C21_F_a_AH_NPUR_3,C21_F_a_AH_NPUR_4,C21_F_a_AH_NPUR_5,C21_F_a_AH_NPUR_6mor,C21_F_a_AH_Tot,C21_F_a_Tot_NPUR_1,C21_F_a_Tot_NPUR_2,C21_F_a_Tot_NPUR_3,C21_F_a_Tot_NPUR_4,C21_F_a_Tot_NPUR_5,C21_F_a_Tot_NPUR_6mor,C21_F_a_Tot_Tot,C21_OD_CCH_NPUR_1,C21_OD_CCH_NPUR_2,C21_OD_CCH_NPUR_3,C21_OD_CCH_NPUR_4,C21_OD_CCH_NPUR_5,C21_OD_CCH_NPUR_6mor,C21_OD_CCH_Tot,C21_OD_IHTSO_NPUR_1,C21_OD_IHTSO_NPUR_2,C21_OD_IHTSO_NPUR_3,C21_OD_IHTSO_NPUR_4,C21_OD_IHTSO_NPUR_5,C21_OD_IHTSO_NPUR_6mor,C21_OD_IHTSO_Tot,C21_OD_H_f_a_s_o_NPUR_1,C21_OD_H_f_a_s_o_NPUR_2,C21_OD_H_f_a_s_o_NPUR_3,C21_OD_H_f_a_s_o_NPUR_4,C21_OD_H_f_a_s_o_NPUR_5,C21_OD_H_f_a_s_o_NPUR_6mor,C21_OD_H_f_a_s_o_Tot,C21_OD_Tot_NPUR_1,C21_OD_Tot_NPUR_2,C21_OD_Tot_NPUR_3,C21_OD_Tot_NPUR_4,C21_OD_Tot_NPUR_5,C21_OD_Tot_NPUR_6mor,C21_OD_Tot_Tot,C21_DS_ns_NPUR_1,C21_DS_ns_NPUR_2,C21_DS_ns_NPUR_3,C21_DS_ns_NPUR_4,C21_DS_ns_NPUR_5,C21_DS_ns_NPUR_6more,C21_Dwg_st_NS_Tot,C21_Tot_NPUR_1,C21_Tot_NPUR_2,C21_Tot_NPUR_3,C21_Tot_NPUR_4,C21_Tot_NPUR_5,C21_Tot_NPUR_6more,C21_Tot_Tot
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
4GADE,26,19,526,702,425,109,92,41,22,1383,583,472,197,173,52,38,1511,134827,166105,78212,74578,27024,11703,492450,84066,137323,70139,71417,26898,12295,402136,31601,19510,6637,4167,1256,621,63801,7902,8459,4016,2461,668,234,23740,39502,27971,10654,6628,1921,860,87535,16659,8473,2892,1417,319,79,29848,2402,1426,364,131,21,5,4352,2770,2177,451,170,25,7,5599,1746,1544,292,86,14,3,3677,104,91,35,34,13,4,289,23687,13719,4036,1840,384,106,43766,601,246,27,21,3,3,894,5,3,0,0,0,0,7,179,141,66,36,21,6,450,785,395,96,58,22,13,1356,601,348,132,117,42,14,1252,148641,179747,85059,80056,29259,13276,536048
4RSAU,16,0,372,904,558,82,53,30,6,1635,390,311,93,93,51,16,948,44289,56225,18059,16764,7709,3290,146339,37876,55072,17229,15814,7422,3448,136865,7136,3459,1021,557,262,148,12586,188,230,44,45,9,6,522,7327,3690,1063,600,272,156,13105,2287,583,109,62,19,4,3059,71,32,4,0,0,0,109,16,16,0,0,0,0,35,0,0,0,0,0,0,3,18,17,8,11,0,0,54,2394,645,128,65,17,4,3262,594,364,61,32,9,11,1073,29,22,3,8,4,5,73,100,86,34,21,18,3,257,731,474,102,62,30,15,1408,300,222,45,40,17,7,627,48627,60101,18564,16583,7754,3632,155264
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,39,21,516,1190,698,154,107,54,35,2233,623,500,215,191,71,36,1638,159004,230226,116192,117078,46448,21328,690278,111931,198512,108931,117779,46980,21316,605453,37386,24847,9126,5693,1635,662,79348,11481,11295,4531,2794,669,210,30979,48866,36151,13655,8484,2306,869,110325,10785,5662,1492,746,174,35,18894,7990,4755,1114,421,74,17,14370,8219,6131,1249,434,73,13,16121,4097,3909,915,320,44,11,9300,348,253,81,70,28,25,808,31438,20710,4864,1998,394,97,59492,1326,632,31,23,9,8,2025,48,23,12,6,4,6,95,153,157,57,28,19,8,419,1525,817,101,56,23,17,2537,411,227,80,56,23,19,820,194168,256410,127629,128371,49733,22318,778620
5RWAU,19,11,556,2240,1404,190,157,57,29,4082,554,445,124,120,69,35,1343,45207,63693,25123,24991,11531,5948,176496,38614,60650,23672,23869,11101,5678,163583,7376,3451,1044,625,218,131,12837,925,840,254,179,67,21,2285,8301,4287,1295,801,281,151,15123,1337,550,147,66,35,12,2147,175,100,14,8,0,0,293,71,57,8,9,0,0,155,98,59,3,6,0,0,169,42,38,5,7,0,4,108,1733,804,184,88,39,19,2871,1566,956,115,76,39,25,2766,122,72,24,13,3,4,240,103,107,46,30,20,9,319,1788,1139,187,119,64,34,3325,589,369,89,78,56,26,1207,51026,67245,25425,24957,11535,5915,186111
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
6GHOB,10,8,176,152,116,48,20,9,5,355,94,67,30,18,5,7,226,24847,29750,13161,11575,4400,1891,85627,19082,28291,13694,12451,4954,2366,80846,1898,846,283,142,61,12,3240,1004,894,358,192,60,26,2530,2901,1741,644,333,118,33,5768,3074,1778,653,286,115,56,5960,569,318,87,44,11,3,1030,276,214,74,23,4,0,593,16,9,4,0,0,0,31,59,51,12,8,5,0,147,4000,2370,829,362,139,55,7759,117,66,12,4,3,0,197,3,5,0,3,0,0,8,62,70,26,13,9,12,194,180,136,37,20,16,13,396,97,60,17,21,9,6,205,26263,32599,15229,13194,5226,2478,94980
6RTAS,3,5,287,441,278,66,33,18,9,845,224,152,47,42,25,13,506,33662,42066,15109,13267,5327,2516,111950,29439,43305,15801,13676,5659,2843,110713,4037,1549,402,160,56,21,6231,565,494,177,111,36,14,1399,4608,2041,582,270,89,33,7632,2142,917,219,112,30,12,3433,106,29,11,3,4,0,154,51,19,5,0,0,0,80,3,6,4,0,0,0,9,73,36,14,10,0,3,145,2371,1006,256,130,31,16,3817,418,209,23,25,10,6,694,24,11,6,3,0,0,46,105,91,31,11,9,7,256,548,316,61,36,16,19,994,140,82,21,22,9,8,283,37100,46758,16720,14133,5808,2911,123432
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,10,7,150,338,353,61,45,28,19,845,102,82,26,30,13,9,258,8955,14178,7749,7132,3178,1854,43044,4369,9081,5968,6061,2745,1709,29937,1216,880,365,200,74,21,2755,704,787,377,220,75,22,2187,1922,1669,743,424,145,44,4950,1668,1290,586,336,115,41,4037,727,596,336,185,48,15,1919,1110,1193,545,283,90,29,3253,949,1028,356,210,47,10,2592,15,11,0,0,3,0,27,4466,4119,1826,1016,302,102,11824,190,141,15,21,6,0,370,19,14,3,0,0,0,40,3,9,4,3,0,0,22,212,166,22,26,12,0,429,87,43,10,7,0,0,151,11060,15077,8571,7528,3209,1855,47297
7RNTE,23,12,345,646,407,111,89,36,39,1325,133,83,35,31,18,22,314,5267,5825,3007,2927,1718,3263,22016,3011,4406,2573,2575,1651,3061,17274,1248,789,381,254,142,190,2998,392,314,163,103,32,16,1019,1637,1101,543,355,169,212,4016,419,210,66,33,13,17,765,16,8,3,0,0,0,24,5,3,0,0,0,4,15,0,0,0,0,0,0,0,3,3,0,0,3,0,12,445,224,74,32,20,24,821,304,193,32,19,14,7,566,69,45,6,6,3,13,141,15,14,3,5,0,0,42,385,254,38,32,18,21,745,267,145,40,27,12,13,511,5754,6133,3261,3026,1868,3326,23364
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3
8ACTE,0,3,47,111,40,24,18,7,8,191,126,89,23,19,12,3,269,35416,46916,24174,23781,8723,3653,142660,17682,33158,19875,23033,8879,3811,106433,6103,4239,1750,1180,357,124,13757,4431,5244,2781,1910,585,212,15164,10536,9480,4526,3088,950,336,28921,2745,1815,613,336,95,37,5628,3476,2841,851,444,101,40,7745,5810,4925,1266,515,101,32,12642,2697,2584,638,229,44,16,6206,198,148,41,34,6,4,442,14932,12302,3410,1555,340,121,32669,86,44,11,5,4,0,152,0,0,0,0,0,0,0,3,4,0,0,0,0,7,92,46,7,12,0,0,168,90,61,27,22,4,7,213,43338,55046,27850,27707,10173,4280,168400
