GCCSA_CODE_2021,C16_5_9_Indig_st_ns_P,C16_5_9_Tot_M,C16_5_9_Tot_F,C16_5_9_Tot_P,C16_10_14_Indigen_M,C16_10_14_Indigen_F,C16_10_14_Indigen_P,C16_10_14_NonInd_M,C16_10_14_NonInd_F,C16_10_14_NonInd_P,C16_10_14_Ind_st_ns_M,C16_10_14_Ind_st_ns_F,C16_10_14_Ind_st_ns_P,C16_10_14_Tot_M,C16_10_14_Tot_F,C16_10_14_Tot_P,C16_15_19_Indigen_M,C16_15_19_Indigen_F,C16_15_19_Indigen_P,C16_15_19_NonInd_M,C16_15_19_NonInd_F,C16_15_19_NonInd_P,C16_15_19_Ind_st_ns_M,C16_15_19_Ind_st_ns_F,C16_15_19_Ind_st_ns_P,C16_15_19_Tot_M,C16_15_19_Tot_F,C16_15_19_Tot_P,C16_20_24_Indigen_M,C16_20_24_Indigen_F,C16_20_24_Indigen_P,C16_20_24_NonInd_M,C16_20_24_NonInd_F,C16_20_24_NonInd_P,C16_20_24_Ind_st_ns_M,C16_20_24_Ind_st_ns_F,C16_20_24_Ind_st_ns_P,C16_20_24_Tot_M,C16_20_24_Tot_F,C16_20_24_Tot_P,C16_25_29_Indigen_M,C16_25_29_Indigen_F,C16_25_29_Indigen_P,C16_25_29_NonInd_M,C16_25_29_NonInd_F,C16_25_29_NonInd_P,C16_25_29_Ind_st_ns_M,C16_25_29_Ind_st_ns_F,C16_25_29_Ind_st_ns_P,C16_25_29_Tot_M,C16_25_29_Tot_F,C16_25_29_Tot_P,C16_30_34_Indigen_M,C16_30_34_Indigen_F,C16_30_34_Indigen_P,C16_30_34_NonInd_M,C16_30_34_NonInd_F,C16_30_34_NonInd_P,C16_30_34_Ind_st_ns_M,C16_30_34_Ind_st_ns_F,C16_30_34_Ind_st_ns_P,C16_30_34_Tot_M,C16_30_34_Tot_F,C16_30_34_Tot_P,C16_35_39_Indigen_M,C16_35_39_Indigen_F,C16_35_39_Indigen_P,C16_35_39_NonInd_M,C16_35_39_NonInd_F,C16_35_39_NonInd_P,C16_35_39_Ind_st_ns_M,C16_35_39_Ind_st_ns_F,C16_35_39_Ind_st_ns_P,C16_35_39_Tot_M,C16_35_39_Tot_F,C16_35_39_Tot_P,C16_40_44_Indigen_M,C16_40_44_Indigen_F,C16_40_44_Indigen_P,C16_40_44_NonInd_M,C16_40_44_NonInd_F,C16_40_44_NonInd_P,C16_40_44_Ind_st_ns_M,C16_40_44_Ind_st_ns_F,C16_40_44_Ind_st_ns_P,C16_40_44_Tot_M,C16_40_44_Tot_F,C16_40_44_Tot_P,C16_45_49_Indigen_M,C16_45_49_Indigen_F,C16_45_49_Indigen_P,C16_45_49_NonInd_M,C16_45_49_NonInd_F,C16_45_49_NonInd_P,C16_45_49_Ind_st_ns_M,C16_45_49_Ind_st_ns_F,C16_45_49_Ind_st_ns_P,C16_45_49_Tot_M,C16_45_49_Tot_F,C16_45_49_Tot_P,C16_50_54_Indigen_M,C16_50_54_Indigen_F,C16_50_54_Indigen_P,C16_50_54_NonInd_M,C16_50_54_NonInd_F,C16_50_54_NonInd_P,C16_50_54_Ind_st_ns_M,C16_50_54_Ind_st_ns_F,C16_50_54_Ind_st_ns_P,C16_50_54_Tot_M,C16_50_54_Tot_F,C16_50_54_Tot_P,C16_55_59_Indigen_M,C16_55_59_Indigen_F,C16_55_59_Indigen_P,C16_55_59_NonInd_M,C16_55_59_NonInd_F,C16_55_59_NonInd_P,C16_55_59_Ind_st_ns_M,C16_55_59_Ind_st_ns_F,C16_55_59_Ind_st_ns_P,C16_55_59_Tot_M,C16_55_59_Tot_F,C16_55_59_Tot_P,C16_60_64_Indigen_M,C16_60_64_Indigen_F,C16_60_64_Indigen_P,C16_60_64_NonInd_M,C16_60_64_NonInd_F,C16_60_64_NonInd_P,C16_60_64_Ind_st_ns_M,C16_60_64_Ind_st_ns_F,C16_60_64_Ind_st_ns_P,C16_60_64_Tot_M,C16_60_64_Tot_F,C16_60_64_Tot_P,C16_65_over_Indigen_M,C16_65_over_Indigen_F,C16_65_over_Indigen_P,C16_65over_NonInd_M,C16_65over_NonInd_F,C16_65over_NonInd_P,C16_65over_Indig_st_ns_M,C16_65over_Indig_st_ns_F,C16_65over_Indig_st_ns_P,C16_65_over_Tot_M,C16_65_over_Tot_F,C16_65_over_Tot_P,C16_Tot_Indig_M,C16_Tot_Indig_F,C16_Tot_Indig_P,C16_Tot_NonInd_M,C16_Tot_NonInd_F,C16_Tot_NonInd_P,C16_Tot_Indig_st_ns_M,C16_Tot_Indig_st_ns_F,C16_Tot_Indig_st_ns_P,C16_Tot_Tot_M,C16_Tot_Tot_F,C16_Tot_Tot_P,C21_0_4_Indig_M,C21_0_4_Indig_F,C21_0_4_Indig_P,C21_0_4_NonInd_M,C21_0_4_NonInd_F,C21_0_4_NonInd_P,C21_0_4_Indig_st_ns_M,C21_0_4_Indig_st_ns_F,C21_0_4_Indig_st_ns_P,C21_0_4_Tot_M,C21_0_4_Tot_F,C21_0_4_Tot_P,C21_5_9_Indig_M,C21_5_9_Indig_F,C21_5_9_Indig_P,C21_5_9_NonInd_M,C21_5_9_NonInd_F,C21_5_9_NonInd_P,C21_5_9_Indig_st_ns_M,C21_5_9_Indig_st_ns_F,C21_5_9_Indig_st_ns_P,C21_5_9_Tot_M,C21_5_9_Tot_F,C21_5_9_Tot_P,C21_10_14_Indigen_M,C21_10_14_Indigen_F,C21_10_14_Indigen_P,C21_10_14_NonInd_M,C21_10_14_NonInd_F,C21_10_14_NonInd_P,C21_10_14_Ind_st_ns_M,C21_10_14_Ind_st_ns_F,C21_10_14_Ind_st_ns_P,C21_10_14_Tot_M,C21_10_14_Tot_F,C21_10_14_Tot_P,C21_15_19_Indigen_M,C21_15_19_Indigen_F,C21_15_19_Indigen_P,C21_15_19_NonInd_M
39499,43,148,140,291,7,12,22,81,67,147,17,8,26,105,95,200,28,28,49,155,152,305,26,19,52,210,200,408,28,37,70,437,439,882,88,93,184,562,573,1130,57,25,82,538,507,1039,121,96,217,716,631,1348,40,26,67,438,299,737,93,54,148,568,373,941,50,33,85,357,196,552,72,30,109,482,256,737,70,36,106,333,187,520,85,35,119,487,256,741,63,26,82,325,231,563,72,40,108,456,297,750,47,28,75,384,317,702,85,53,132,517,390,913,17,19,36,396,490,880,76,85,163,492,592,1081,21,8,30,540,544,1088,99,80,179,659,637,1297,22,9,33,1164,821,1986,179,133,313,1365,968,2335,488,309,801,5387,4499,9883,1060,769,1829,6939,5576,12515,52,43,96,197,155,344,34,35,68,277,229,504,32,44,75,206,177,383,27,25,56,260,249,509,34,33,70,155,143,302,24,27,52,219,207,424,55,43,98,177
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,0,0,0,4,4,12,0,0,0,3,3,3,0,0,0,6,3,6,0,0,0,4,5,6,0,0,0,4,5,6,0,0,0,3,5,4,0,0,0,3,5,4,0,0,0,5,0,5,0,0,0,9,0,9,0,0,0,5,7,7,0,0,0,5,5,6,0,0,0,8,9,9,0,0,0,8,9,9,0,0,0,3,4,11,0,0,0,10,4,12,0,0,0,5,12,17,0,0,0,5,10,16,0,0,0,8,4,10,0,0,0,8,3,11,0,0,0,21,23,45,0,7,9,26,31,55,0,5,5,61,71,128,3,12,13,69,83,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,3173,39373,37899,77273,989,979,1969,34795,32923,67719,1494,1348,2841,37283,35246,72532,1050,1013,2063,37862,36277,74143,1575,1599,3178,40488,38889,79384,839,875,1715,42597,41210,83808,2059,1950,4011,45497,44038,89531,723,753,1477,40615,41490,82105,2141,2082,4222,43489,44322,87812,564,597,1158,41803,43266,85068,2217,2047,4262,44579,45915,90497,433,500,936,38755,39597,78357,1990,1756,3745,41186,41854,83038,457,557,1009,39386,40174,79563,1957,1692,3650,41798,42421,84219,427,525,956,40729,42309,83038,2092,1865,3958,43252,44699,87945,359,453,814,39782,41616,81404,2049,1871,3922,42191,43940,86135,315,395,708,37948,40740,78692,2046,1959,4007,40308,43099,83408,262,277,539,33315,36902,70220,1789,1771,3555,35363,38953,74318,334,443,777,93965,115936,209899,5546,7269,12812,99842,123646,223492,8978,9426,18404,594606,622017,1216619,30307,30381,60684,633894,661822,1295712,1354,1195,2555,36009,34000,70007,1076,1112,2182,38441,36305,74749,1358,1293,2648,39253,36972,76224,1287,1270,2557,41903,39532,81431,1386,1293,2679,38949,37233,76181,1324,1167,2494,41658,39695,81359,1203,1147,2353,37715
4RSAU,1350,12021,11105,23134,852,838,1692,10217,9605,19823,697,659,1355,11767,11106,22871,754,710,1465,9553,8898,18450,630,587,1216,10933,10202,21131,632,632,1263,8310,7451,15762,617,552,1166,9559,8629,18189,568,555,1126,8616,8295,16909,644,567,1213,9830,9414,19251,525,513,1035,8858,8872,17729,641,589,1230,10023,9976,19999,395,414,810,8749,8795,17543,648,556,1207,9796,9762,19560,440,462,904,9981,10001,19975,714,636,1343,11130,11095,22229,451,494,947,11452,11375,22830,889,774,1660,12793,12640,25433,435,425,860,12219,12062,24286,941,811,1755,13597,13298,26899,331,345,675,12955,12754,25706,952,952,1900,14236,14048,28284,230,269,500,12818,12360,25180,968,860,1826,14017,13487,27512,378,423,797,36767,39222,75992,2882,3075,5960,40027,42724,82750,7773,7754,15524,170026,168067,338096,12565,11883,24444,190370,187702,378070,990,973,1961,8329,8043,16369,519,499,1015,9835,9511,19344,1007,960,1968,9627,9233,18853,686,651,1339,11325,10844,22167,996,1027,2022,10463,9711,20173,757,731,1486,12213,11467,23690,906,812,1714,9292
49499,9,34,31,66,0,8,6,21,26,46,3,4,9,25,33,60,15,14,26,74,59,136,7,4,15,94,75,170,13,19,32,136,69,209,16,11,22,165,102,262,16,5,23,157,95,250,13,18,34,185,115,300,18,17,32,128,77,200,21,11,25,165,90,254,15,8,27,109,62,170,18,6,26,137,80,219,14,11,28,109,46,158,13,6,20,139,63,205,13,16,23,107,63,168,23,28,49,145,100,240,15,8,19,106,78,183,19,11,31,140,96,232,4,3,10,98,73,170,19,11,25,121,84,202,7,0,7,89,71,164,23,12,34,117,85,203,3,0,4,197,113,310,20,8,36,223,130,347,137,112,248,1398,885,2281,200,131,330,1738,1127,2862,18,13,29,48,40,91,16,4,21,77,56,140,17,9,23,43,50,94,17,11,27,73,71,147,11,14,24,30,45,77,11,11,25,52,70,119,14,15,30,50
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,5869,65141,61692,126831,1773,1721,3489,55513,52547,108054,2688,2547,5236,59967,56816,116785,1719,1586,3302,56823,54482,111302,2850,2671,5526,61397,58736,120131,1615,1441,3051,62622,59724,122344,4121,3917,8035,68350,65082,133428,1420,1208,2632,67851,69298,137153,5611,4939,10543,74881,75447,150333,1108,1018,2129,71677,72328,144002,5528,4689,10219,78314,78040,156351,858,836,1692,63411,64450,127855,4478,3589,8070,68748,68877,137621,819,867,1691,61755,63851,125608,4147,3540,7693,66729,68258,134982,765,873,1641,61554,63484,125036,4153,3358,7514,66479,67714,134190,636,701,1343,57115,58992,116103,3827,3231,7060,61583,62922,124500,509,602,1115,51048,54378,105426,3398,3075,6474,54956,58060,113021,359,459,808,44837,48482,93321,2995,2825,5818,48184,51764,99948,479,670,1156,115516,135359,250870,7768,9226,16998,123767,145255,269025,15703,15517,31216,889805,911224,1801031,58028,53581,111613,963540,980320,1943861,2439,2264,4706,62134,58684,120819,2127,1950,4072,66701,62896,129598,2492,2243,4737,65018,61960,126980,2379,2323,4698,69895,66521,136414,2398,2351,4748,64886,61077,125963,2345,2168,4513,69632,65588,135222,2122,2015,4138,58923
5RWAU,2867,19067,18110,37186,2404,2394,4798,13547,13036,26582,1326,1219,2546,17279,16641,33922,2115,1969,4091,12312,11045,23352,1204,1065,2270,15631,14084,29712,1841,1718,3558,10826,9618,20442,1271,1110,2385,13934,12443,26381,1754,1691,3445,13734,12937,26670,2174,1549,3717,17651,16176,33836,1530,1600,3127,15365,14831,30195,2317,1590,3905,19212,18014,37228,1325,1375,2698,14828,13925,28753,2042,1406,3454,18200,16704,34906,1339,1297,2644,15665,14664,30331,2108,1413,3522,19118,17378,36492,1183,1377,2565,16432,15176,31611,2117,1530,3649,19738,18083,37816,1028,1194,2220,16463,15055,31512,2114,1538,3649,19601,17784,37383,849,949,1801,15985,15015,30998,2018,1532,3553,18849,17496,36346,623,727,1352,14181,13326,27508,1568,1273,2842,16380,15322,31707,885,1139,2026,33750,33439,67184,3609,3586,7199,38245,38164,76408,21975,22199,44170,222161,209494,431658,26801,21539,48341,270941,253227,524170,2380,2105,4488,12732,12177,24914,1285,1172,2458,16402,15458,31859,2485,2264,4747,14475,13549,28028,1627,1567,3196,18591,17389,35974,2403,2448,4851,14396,13580,27973,1601,1519,3119,18396,17547,35939,2200,2124,4325,11939
59499,19,66,69,136,8,12,21,35,25,61,6,8,10,53,44,96,12,12,24,64,53,114,10,3,13,87,65,153,21,26,48,201,181,381,34,40,74,257,245,503,32,28,57,293,232,527,62,50,112,387,310,701,37,24,59,283,161,446,63,43,104,381,223,608,27,19,49,228,116,345,33,23,59,295,156,450,51,32,86,215,100,320,38,15,56,308,149,454,43,30,72,225,94,320,42,9,61,315,141,454,35,17,56,238,138,376,47,34,81,321,186,509,21,8,34,225,170,397,39,33,73,280,219,503,21,4,28,203,188,385,31,26,59,254,221,473,4,6,12,372,253,619,66,46,114,446,304,748,342,244,587,2692,1808,4501,501,365,867,3535,2417,5950,36,37,69,92,91,188,25,16,42,149,153,300,17,30,48,103,86,193,8,11,20,132,127,259,18,14,30,83,76,159,13,7,25,116,101,212,28,42,68,74
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,19,3,6,6,16,0,23,4,0,4,36,0,34,7,0,10,44,3,49,0,0,0,61,3,63,16,0,19,77,6,83,0,0,0,47,3,50,10,0,10,59,3,62,0,0,0,57,3,54,6,0,6,62,3,63,0,0,0,41,4,43,11,6,12,47,3,57,0,0,0,33,0,39,6,0,6,44,0,45,0,0,0,25,0,20,3,0,3,27,0,26,0,0,0,11,4,19,0,0,0,12,4,15,0,0,0,9,0,9,0,0,0,6,0,6,11,0,11,328,23,349,69,6,72,405,27,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
6GHOB,695,7158,6831,13986,468,465,936,5980,5566,11544,333,298,631,6780,6329,13108,448,395,840,6119,5936,12054,318,357,671,6881,6684,13566,398,358,750,6326,6225,12548,364,373,741,7087,6953,14046,302,359,658,6265,6481,12746,416,373,789,6981,7209,14196,278,325,600,6298,6625,12924,387,379,768,6966,7329,14292,203,231,436,5878,6359,12232,328,334,661,6403,6923,13334,199,235,430,6197,6884,13083,368,365,734,6763,7483,14247,224,246,472,6513,7018,13534,420,360,777,7166,7624,14783,189,227,415,6539,7073,13611,393,395,786,7120,7691,14817,200,191,385,6753,7444,14197,425,439,872,7375,8083,15458,143,138,278,6147,6752,12895,417,394,807,6701,7274,13981,196,233,429,16431,19923,36353,1250,1513,2764,17880,21668,39549,4225,4309,8535,97593,103874,201462,6114,6238,12358,107929,114421,222356,585,500,1085,5818,5503,11327,225,214,445,6632,6216,12856,593,578,1170,6223,6034,12264,305,306,610,7121,6921,14043,671,638,1315,6613,6191,12803,301,264,565,7591,7091,14682,563,518,1080,6028
6RTAS,1024,9024,8483,17504,831,795,1625,7367,7063,14432,512,527,1033,8707,8386,17097,807,723,1536,7724,7185,14903,516,487,1010,9048,8399,17447,573,586,1157,7052,6539,13591,525,458,980,8140,7579,15722,451,464,914,6109,6430,12537,473,470,941,7033,7360,14394,372,486,860,6398,6781,13178,458,454,909,7218,7723,14943,331,440,770,6289,6960,13246,442,457,897,7065,7852,14912,369,433,800,7361,7977,15335,534,506,1041,8264,8910,17175,419,491,910,8391,9150,17541,632,567,1198,9439,10213,19656,342,413,759,9047,9507,18558,696,639,1338,10085,10561,20650,334,401,737,9590,10062,19652,745,723,1470,10662,11199,21860,310,278,587,9234,9513,18748,714,684,1402,10263,10470,20736,519,500,1017,25481,27965,53449,2167,2458,4625,28163,30931,59095,7318,7661,14983,124276,128568,252847,9381,9411,18796,140980,145647,286626,929,854,1790,6556,6283,12838,386,374,752,7871,7515,15385,1002,978,1984,7287,6956,14238,432,393,829,8722,8331,17057,1087,1067,2157,7938,7457,15396,483,456,939,9514,8977,18493,930,839,1777,7204
69499,0,9,10,18,0,0,0,7,14,14,0,0,0,7,13,20,3,4,6,25,30,51,0,0,4,31,30,62,7,4,11,41,26,71,9,0,11,61,33,91,6,0,9,52,33,82,13,3,20,64,42,102,0,0,0,42,24,71,8,3,12,50,32,80,8,0,7,43,30,73,3,0,3,51,34,84,8,0,9,26,28,52,7,0,7,38,25,64,4,4,3,32,20,55,3,9,9,39,31,70,6,4,5,27,27,50,3,4,7,38,32,71,0,0,0,25,26,48,9,0,5,27,26,56,0,0,0,23,27,49,5,6,7,24,28,52,0,0,3,44,35,81,12,6,14,54,48,102,32,21,54,421,341,758,67,35,97,518,393,911,0,0,4,14,19,37,0,0,0,21,19,42,0,0,4,21,19,37,6,0,12,29,23,52,3,3,8,13,9,31,0,0,3,23,16,42,15,14,28,24
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,7,0,0,0,6,5,7,0,0,0,7,0,7,0,0,0,12,0,12,0,0,0,5,4,9,0,0,3,9,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,6,0,6,0,0,0,5,0,6,0,0,0,8,0,9,0,0,0,6,3,7,0,0,0,6,3,7,0,0,0,3,0,4,0,0,0,3,0,4,0,0,0,4,4,5,0,0,0,4,4,5,0,0,0,4,0,0,0,0,0,4,0,4,0,0,0,45,18,63,7,3,6,52,19,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,843,4771,4454,9223,674,630,1302,3115,3012,6131,370,344,717,4160,3990,8154,601,540,1135,3056,2677,5730,382,347,724,4040,3559,7600,604,462,1067,3988,3409,7394,613,486,1098,5204,4352,9552,537,442,981,5554,5238,10799,985,705,1692,7085,6388,13470,480,375,855,5599,5404,11001,888,646,1531,6967,6426,13392,408,368,769,4847,4531,9382,781,502,1283,6035,5402,11438,391,379,769,4392,4074,8461,656,463,1116,5439,4913,10345,335,365,702,4336,3880,8213,697,447,1144,5369,4693,10068,282,307,589,3869,3442,7310,578,415,990,4722,4163,8889,221,234,453,3326,3109,6434,499,389,886,4050,3730,7773,173,199,371,2790,2351,5143,429,328,750,3385,2877,6266,197,282,472,4722,4210,8931,613,485,1100,5536,4970,10508,6191,5774,11959,57280,52722,110004,8419,6443,14866,71889,64941,136831,755,709,1470,3827,3620,7444,319,323,639,4900,4653,9555,741,736,1480,3744,3709,7454,381,418,803,4865,4864,9728,782,754,1533,3521,3256,6785,362,329,689,4663,4342,9009,652,675,1329,2976
7RNTE,458,3880,3624,7501,2412,2152,4563,940,894,1839,242,198,441,3598,3246,6842,2309,2154,4465,882,684,1573,223,182,407,3420,3025,6439,2205,2150,4354,1020,951,1971,323,258,578,3548,3353,6903,2008,1956,3968,1522,1684,3203,396,415,804,3924,4055,7976,1816,1886,3707,1598,1704,3306,362,340,704,3778,3934,7715,1466,1567,3033,1395,1401,2795,273,285,560,3137,3258,6393,1427,1534,2958,1326,1248,2577,255,245,500,3011,3031,6039,1254,1442,2701,1435,1365,2803,342,312,652,3033,3124,6154,997,1205,2202,1513,1396,2905,334,285,619,2843,2884,5733,716,900,1617,1409,1301,2717,308,258,569,2441,2457,4894,520,674,1193,1205,1017,2221,275,222,492,1999,1912,3912,691,1020,1716,1782,1357,3138,384,306,691,2858,2684,5549,22549,23040,45588,18491,17371,35860,4247,3747,7991,45291,44156,89446,1991,1830,3826,1265,1067,2332,196,148,345,3457,3048,6503,2238,2013,4255,1173,1117,2290,192,204,398,3606,3331,6941,2306,2140,4442,971,920,1888,209,173,380,3484,3229,6711,2376,2133,4511,801
79499,15,37,60,89,0,3,6,13,6,19,0,5,3,20,11,31,13,4,17,5,7,10,0,0,0,21,13,31,33,28,62,52,47,95,13,17,30,103,87,188,32,29,56,66,67,131,27,34,60,120,129,254,33,32,67,52,57,110,17,19,30,102,105,208,36,37,72,40,38,79,13,10,27,93,83,179,51,48,97,57,36,89,15,8,27,120,92,215,63,50,114,50,39,92,18,6,28,129,95,227,56,38,91,55,52,106,15,19,31,124,106,233,34,20,54,58,73,127,17,17,33,110,104,211,15,13,30,85,84,169,19,11,25,116,108,225,18,3,19,144,98,240,37,22,50,197,112,314,391,305,701,736,666,1402,202,184,383,1334,1155,2485,43,25,75,33,40,78,13,7,20,89,69,164,34,25,58,58,38,101,8,5,14,93,77,169,20,21,42,43,19,61,6,8,10,70,48,117,17,28,52,3
79799,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,7,3,6,0,0,0,7,3,7,0,0,0,12,5,19,3,0,3,16,5,17,0,0,0,7,0,7,0,0,0,7,0,7,0,0,0,7,0,7,3,0,3,12,0,12,0,0,0,7,0,6,0,0,0,7,0,6,0,0,0,7,0,7,0,0,0,7,0,7,0,0,0,0,0,0,4,0,4,6,0,6,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,47,10,59,8,5,15,58,12,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
8ACTE,967,13217,12213,25429,312,310,621,10677,10153,20827,395,382,776,11390,10840,22234,331,347,676,11522,11269,22787,496,513,1007,12350,12122,24472,378,312,685,14568,14363,28933,881,848,1732,15824,15525,31354,281,301,575,14628,15272,29898,1006,947,1951,15911,16513,32426,208,247,451,15222,16000,31224,1027,881,1907,16456,17129,33581,177,206,387,14022,14230,28253,776,715,1494,14983,15147,30129,169,195,367,12961,13426,26385,762,658,1413,13891,14276,28165,190,173,360,12250,12595,24838,710,613,1328,13145,13381,26527,156,172,331,11022,11807,22833,630,590,1225,11815,12578,24389,107,128,237,10101,10823,20923,568,588,1153,10778,11540,22318,97,80,173,8519,9409,17930,473,535,1008,9086,10018,19110,92,118,206,21258,25549,46807,1337,1590,2921,22686,27253,49936,3253,3220,6473,181940,188354,370298,10237,9851,20085,195430,201426,396853,460,429,883,12912,12106,25017,378,378,754,13746,12907,26660,492,450,944,14062,13277,27337,446,432,877,15000,14154,29156,477,360,838,13125,12320,25446,404,388,795,14007,13077,27079,443,440,887,12392
89499,0,6,9,22,0,0,0,0,0,4,0,0,0,5,0,3,0,0,7,12,14,27,0,5,5,15,16,33,0,0,0,34,32,64,0,3,7,36,40,78,0,0,0,34,19,52,5,0,9,36,22,63,3,0,4,24,15,36,0,0,3,29,18,47,0,0,6,29,21,46,5,4,11,34,30,61,3,0,3,25,11,40,8,0,8,35,11,48,0,0,6,12,9,21,0,0,0,14,15,26,0,0,0,27,15,40,6,0,0,29,17,48,0,0,0,14,17,31,0,0,6,18,21,37,0,0,0,20,12,28,9,0,4,23,12,38,0,0,0,20,18,32,6,0,6,22,18,37,20,12,27,256,194,453,37,21,59,313,232,541,3,0,4,8,4,11,0,0,0,18,9,19,0,0,0,3,0,6,0,0,0,3,4,9,0,0,0,7,5,12,0,3,3,7,9,14,0,5,10,22
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,23,154,130,285,16,8,25,99,121,217,14,3,20,127,134,261,11,13,22,86,76,163,6,10,24,105,107,208,8,3,12,112,57,167,16,7,24,134,65,196,3,3,8,134,84,218,19,11,29,158,96,260,6,6,10,144,122,262,19,15,34,164,142,308,8,8,16,160,122,283,11,5,17,182,135,316,6,14,18,145,125,276,11,13,20,167,148,318,9,12,22,144,132,277,17,16,34,170,163,334,9,6,12,171,144,313,24,25,51,205,171,377,7,11,20,167,148,309,19,26,46,195,178,370,5,0,10,140,136,273,20,21,40,169,159,322,8,14,23,324,282,601,43,36,81,373,325,701,111,119,231,2074,1763,3844,249,208,459,2433,2089,4523,4,7,13,110,87,202,16,13,30,132,109,243,5,12,14,133,120,252,11,13,27,150,141,292,8,14,19,128,99,231,27,18,42,167,130,295,9,4,14,72
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,4,5,0,0,0,4,0,4,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,5,5,0,0,0,3,4,6,0,0,0,3,4,6,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,3,3,5,0,0,0,10,4,13,0,0,0,10,9,9,0,0,0,22,26,48,0,0,0,21,29,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
