GCCSA_CODE_2021,C16_45_49_Sep_F,C16_45_49_Sep_P,C16_45_49_Div_M,C16_45_49_Div_F,C16_45_49_Div_P,C16_45_49_Wid_M,C16_45_49_Wid_F,C16_45_49_Wid_P,C16_45_49_Nvr_marrd_M,C16_45_49_Nvr_marrd_F,C16_45_49_Nvr_marrd_P,C16_45_49_Tot_M,C16_45_49_Tot_F,C16_45_49_Tot_P,C16_50_54_Married_M,C16_50_54_Married_F,C16_50_54_Married_P,C16_50_54_Sep_M,C16_50_54_Sep_F,C16_50_54_Sep_P,C16_50_54_Div_M,C16_50_54_Div_F,C16_50_54_Div_P,C16_50_54_Wid_M,C16_50_54_Wid_F,C16_50_54_Wid_P,C16_50_54_Nvr_marrd_M,C16_50_54_Nvr_marrd_F,C16_50_54_Nvr_marrd_P,C16_50_54_Tot_M,C16_50_54_Tot_F,C16_50_54_Tot_P,C16_55_59_Married_M,C16_55_59_Married_F,C16_55_59_Married_P,C16_55_59_Sep_M,C16_55_59_Sep_F,C16_55_59_Sep_P,C16_55_59_Div_M,C16_55_59_Div_F,C16_55_59_Div_P,C16_55_59_Wid_M,C16_55_59_Wid_F,C16_55_59_Wid_P,C16_55_59_Nvr_marrd_M,C16_55_59_Nvr_marrd_F,C16_55_59_Nvr_marrd_P,C16_55_59_Tot_M,C16_55_59_Tot_F,C16_55_59_Tot_P,C16_60_64_Married_M,C16_60_64_Married_F,C16_60_64_Married_P,C16_60_64_Sep_M,C16_60_64_Sep_F,C16_60_64_Sep_P,C16_60_64_Div_M,C16_60_64_Div_F,C16_60_64_Div_P,C16_60_64_Wid_M,C16_60_64_Wid_F,C16_60_64_Wid_P,C16_60_64_Nvr_marrd_M,C16_60_64_Nvr_marrd_F,C16_60_64_Nvr_marrd_P,C16_60_64_Tot_M,C16_60_64_Tot_F,C16_60_64_Tot_P,C16_65_69_Married_M,C16_65_69_Married_F,C16_65_69_Married_P,C16_65_69_Sep_M,C16_65_69_Sep_F,C16_65_69_Sep_P,C16_65_69_Div_M,C16_65_69_Div_F,C16_65_69_Div_P,C16_65_69_Wid_M,C16_65_69_Wid_F,C16_65_69_Wid_P,C16_65_69_Nvr_marrd_M,C16_65_69_Nvr_marrd_F,C16_65_69_Nvr_marrd_P,C16_65_69_Tot_M,C16_65_69_Tot_F,C16_65_69_Tot_P,C16_70_74_Married_M,C16_70_74_Married_F,C16_70_74_Married_P,C16_70_74_Sep_M,C16_70_74_Sep_F,C16_70_74_Sep_P,C16_70_74_Div_M,C16_70_74_Div_F,C16_70_74_Div_P,C16_70_74_Wid_M,C16_70_74_Wid_F,C16_70_74_Wid_P,C16_70_74_Nvr_marrd_M,C16_70_74_Nvr_marrd_F,C16_70_74_Nvr_marrd_P,C16_70_74_Tot_M,C16_70_74_Tot_F,C16_70_74_Tot_P,C16_75_79_Married_M,C16_75_79_Married_F,C16_75_79_Married_P,C16_75_79_Sep_M,C16_75_79_Sep_F,C16_75_79_Sep_P,C16_75_79_Div_M,C16_75_79_Div_F,C16_75_79_Div_P,C16_75_79_Wid_M,C16_75_79_Wid_F,C16_75_79_Wid_P,C16_75_79_Nvr_marrd_M,C16_75_79_Nvr_marrd_F,C16_75_79_Nvr_marrd_P,C16_75_79_Tot_M,C16_75_79_Tot_F,C16_75_79_Tot_P,C16_80_84_Married_M,C16_80_84_Married_F,C16_80_84_Married_P,C16_80_84_Sep_M,C16_80_84_Sep_F,C16_80_84_Sep_P,C16_80_84_Div_M,C16_80_84_Div_F,C16_80_84_Div_P,C16_80_84_Wid_M,C16_80_84_Wid_F,C16_80_84_Wid_P,C16_80_84_Nvr_marrd_M,C16_80_84_Nvr_marrd_F,C16_80_84_Nvr_marrd_P,C16_80_84_Tot_M,C16_80_84_Tot_F,C16_80_84_Tot_P,C16_85_over_Married_M,C16_85_over_Married_F,C16_85_over_Married_P,C16_85_over_Seprtd_M,C16_85_over_Seprtd_F,C16_85_over_Seprtd_P,C16_85_over_Divorce_M,C16_85_over_Divorce_F,C16_85_over_Divorce_P,C16_85_over_Wid_M,C16_85_over_Wid_F,C16_85_over_Wid_P,C16_85_over_Nvr_mard_M,C16_85_over_Nvr_mard_F,C16_85_over_Nvr_mard_P,C16_85_over_Tot_M,C16_85_over_Tot_F,C16_85_over_Tot_P,C16_Tot_Married_M,C16_Tot_Married_F,C16_Tot_Married_P,C16_Tot_Sep_M,C16_Tot_Sep_F,C16_Tot_Sep_P,C16_Tot_Div_M,C16_Tot_Div_F,C16_Tot_Div_P,C16_Tot_Wid_M,C16_Tot_Wid_F,C16_Tot_Wid_P,C16_Tot_nver_marrie_M,C16_Tot_nver_marrie_F,C16_Tot_nver_marrie_P,C16_Tot_Tot_M,C16_Tot_Tot_F,C16_Tot_Tot_P,C21_15_19_Married_M,C21_15_19_Married_F,C21_15_19_Married_P,C21_15_19_Sep_M,C21_15_19_Sep_F,C21_15_19_Sep_P,C21_15_19_Div_M,C21_15_19_Div_F,C21_15_19_Div_P,C21_15_19_Wid_M,C21_15_19_Wid_F,C21_15_19_Wid_P,C21_15_19_Nvr_marrd_M,C21_15_19_Nvr_marrd_F,C21_15_19_Nvr_marrd_P,C21_15_19_Tot_M,C21_15_19_Tot_F,C21_15_19_Tot_P,C21_20_24_Married_M,C21_20_24_Married_F,C21_20_24_Married_P,C21_20_24_Sep_M,C21_20_24_Sep_F,C21_20_24_Sep_P
39499,36,102,75,57,130,3,4,10,217,101,323,456,297,750,133,199,334,67,21,97,138,85,215,0,11,16,177,74,250,517,390,913,204,338,538,48,31,82,124,131,255,9,15,24,105,73,180,492,592,1081,339,443,780,73,28,99,149,125,277,19,21,40,80,19,99,659,637,1297,380,390,766,56,11,71,195,96,293,27,20,44,56,21,70,714,538,1253,226,172,399,31,7,35,93,43,137,37,30,62,24,4,29,403,257,662,98,77,179,14,0,20,35,16,51,16,16,37,15,7,19,173,120,293,27,9,32,7,0,7,5,0,11,5,21,28,9,3,9,47,27,85,10,0,9,0,0,0,3,0,3,6,15,24,0,0,0,23,21,38,1789,2016,3804,546,221,765,932,628,1562,131,168,303,3111,2146,5254,6507,5178,11690,0,0,3,0,0,0,0,0,0,0,5,5,271,288,556,272,291,566,11,15,22,4,9,9
39799,0,0,0,0,0,0,0,0,0,0,0,8,9,9,7,4,8,0,0,0,0,0,0,0,0,0,0,0,0,10,4,12,7,7,14,0,0,0,0,4,4,0,0,0,0,0,0,5,10,16,0,3,3,0,0,0,3,3,5,0,0,0,4,0,4,8,3,11,0,3,6,0,0,0,3,0,3,0,6,6,0,0,0,5,15,17,6,0,4,0,0,0,3,3,5,0,0,3,0,0,0,10,3,12,0,0,3,0,0,0,0,0,0,0,5,5,0,0,0,4,5,7,3,4,3,0,0,0,0,0,0,0,0,5,0,0,0,3,6,7,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,31,28,63,0,0,0,13,17,28,3,18,16,16,17,35,65,79,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,2701,4903,4655,6664,11319,234,669,908,10685,8476,19163,43252,44699,87945,25413,25492,50910,2143,2450,4593,5789,8316,14103,341,1112,1452,8510,6566,15078,42191,43940,86135,25245,25266,50510,1765,2079,3847,6492,9011,15504,555,1816,2373,6253,4922,11178,40308,43099,83408,23452,23266,46715,1519,1530,3051,5744,8181,13921,791,2769,3557,3862,3206,7066,35363,38953,74318,23325,21968,45298,1175,1102,2277,4895,7022,11914,1200,4338,5538,2366,1893,4256,32956,36320,69277,17784,15740,33527,678,681,1357,2995,4452,7450,1340,5491,6836,1259,1117,2379,24058,27483,51540,13188,10625,23816,389,340,728,1709,2450,4160,1726,7315,9046,689,642,1332,17709,21372,39080,9091,6022,15112,241,188,425,861,1505,2366,2131,8513,10641,426,443,867,12749,16669,29423,6918,3657,10580,180,123,305,561,1099,1659,4314,16245,20559,398,675,1068,12373,21799,34171,251006,251339,502345,14936,18155,33087,40034,58281,98320,12931,49106,62038,199088,174894,373980,517994,551770,1069765,22,52,77,13,13,23,11,9,18,12,6,19,40115,38034,78147,40172,38114,78280,892,2105,2996,62,171,233
4RSAU,794,1425,1437,1727,3165,81,230,310,3494,2486,5976,12793,12640,25433,7666,8042,15704,757,764,1514,1975,2235,4203,104,391,499,3099,1876,4971,13597,13298,26899,8588,9063,17645,768,670,1434,2441,2500,4945,200,590,791,2236,1232,3468,14236,14048,28284,9254,9079,18326,672,505,1178,2373,2253,4625,375,955,1328,1347,697,2043,14017,13487,27512,9557,8965,18527,580,391,973,2075,1813,3886,488,1630,2117,874,446,1322,13578,13249,26828,7670,6586,14258,362,199,559,1318,1163,2478,656,2149,2809,547,290,835,10555,10384,20940,5318,4147,9462,203,102,310,672,573,1246,717,2516,3238,354,155,510,7271,7491,14767,3162,2047,5209,84,45,134,364,312,681,850,2758,3611,198,100,301,4669,5260,9931,2222,1148,3368,69,32,94,171,216,383,1325,4801,6123,177,137,316,3956,6332,10291,79002,77663,156665,5518,5367,10885,14327,14951,29277,4914,16261,21176,52188,41038,93233,155951,155284,311231,31,40,74,0,0,4,0,0,0,3,3,4,10838,9766,20604,10870,9815,20686,302,467,771,18,41,61
49499,17,38,28,18,46,0,0,0,69,33,101,145,100,240,27,36,63,14,13,27,34,21,57,0,0,0,67,23,90,140,96,232,46,37,80,19,13,32,29,11,46,7,3,11,24,15,35,121,84,202,34,60,90,16,3,20,32,17,49,4,0,7,26,5,33,117,85,203,54,51,100,6,5,6,40,13,46,6,3,10,6,10,14,112,70,184,37,21,48,0,3,8,17,6,20,6,3,10,5,0,5,59,29,88,11,7,14,8,0,8,9,0,9,7,0,11,4,0,6,28,11,40,3,3,9,0,0,0,0,0,3,3,0,9,0,0,3,16,10,22,0,0,0,0,0,0,3,0,0,6,7,12,6,0,6,10,13,25,312,304,620,140,88,222,222,106,326,40,28,69,919,486,1408,1632,1015,2648,0,0,0,0,0,0,0,0,0,0,0,0,74,112,186,74,112,186,0,4,7,0,3,3
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,3774,6919,6365,9398,15755,273,908,1178,13290,10435,23726,66479,67714,134190,40424,39835,80262,2960,3344,6307,7801,10866,18672,478,1417,1897,9910,7449,17362,61583,62922,124500,36990,36486,73478,2483,2758,5241,7933,11343,19270,691,2373,3066,6860,5104,11965,54956,58060,113021,33522,32441,65962,2003,2085,4086,7368,10264,17636,954,3660,4615,4344,3308,7649,48184,51764,99948,31301,28077,59383,1597,1587,3180,6117,8640,14754,1379,5371,6749,2735,1968,4709,43125,45645,88769,22806,18809,41614,1077,894,1971,3777,5427,9201,1612,6448,8061,1587,1168,2752,30862,32742,63602,16657,12718,29371,544,475,1025,2236,3378,5620,1928,8355,10279,941,808,1745,22312,25726,48040,10524,7186,17705,298,239,540,1132,1776,2906,2321,9469,11795,519,505,1020,14788,19169,33961,7379,3713,11093,203,135,334,632,1224,1856,4004,16279,20284,461,634,1087,12676,21971,34648,385295,385063,770357,21614,25949,47567,52780,76620,129401,14119,55430,69546,299585,257083,556665,773391,800147,1573532,70,62,135,14,21,33,16,14,28,18,22,35,63028,60061,123086,63138,60176,123315,1347,2950,4297,80,215,297
5RWAU,1089,2161,2047,2398,4442,102,247,352,4992,3742,8731,19738,18083,37816,11562,10614,22176,1142,1036,2176,2692,2929,5620,183,458,650,4013,2746,6763,19601,17784,37383,11591,10773,22363,949,896,1845,3155,3265,6420,295,750,1046,2861,1810,4675,18849,17496,36346,10534,9856,20387,807,632,1436,2821,2723,5540,393,1088,1484,1821,1034,2856,16380,15322,31707,9851,8472,18324,681,463,1144,2385,2040,4418,554,1515,2065,1035,553,1591,14505,13043,27542,6951,5646,12592,383,263,647,1378,1197,2576,600,1824,2426,573,298,864,9888,9230,19114,4711,3432,8139,188,121,308,765,670,1436,656,2298,2953,379,179,560,6692,6697,13396,2733,1726,4462,95,50,146,333,319,652,649,2393,3044,191,107,294,3999,4600,8599,1797,846,2639,68,24,92,150,202,350,1017,3417,4436,134,101,232,3155,4598,7749,105382,97605,202986,7880,7368,15249,18337,18834,37171,4598,14360,18959,80364,63479,143848,216556,201651,418203,59,77,135,6,4,10,10,0,12,12,5,11,15337,14161,29498,15418,14251,29670,492,686,1172,40,64,105
59499,7,57,63,26,91,0,7,3,160,66,229,315,141,454,78,73,150,36,22,55,88,40,128,8,4,6,115,48,163,321,186,509,102,116,216,24,19,36,91,49,145,5,11,15,63,24,92,280,219,503,118,147,263,20,14,34,68,44,114,11,10,17,34,11,45,254,221,473,147,121,266,35,7,38,71,36,107,8,8,17,18,0,20,274,174,440,59,52,108,10,0,10,29,23,51,6,6,9,10,6,11,105,85,185,27,17,42,4,0,4,11,3,9,3,5,12,8,0,9,44,20,66,10,10,17,0,0,0,0,0,4,3,3,3,0,0,0,7,18,28,0,0,7,0,0,0,0,0,0,0,8,9,3,0,3,9,12,22,784,729,1514,269,107,374,495,262,760,45,70,113,1736,1054,2793,3338,2223,5558,0,0,0,0,0,0,0,0,0,0,0,0,114,145,259,118,147,261,4,13,10,3,0,3
59799,0,3,8,6,10,0,0,0,10,0,15,47,3,57,31,0,31,3,0,3,3,0,3,0,0,0,4,0,4,44,0,45,15,0,17,0,0,0,6,0,6,0,0,0,3,0,3,27,0,26,10,4,11,0,0,0,6,0,6,0,0,0,4,0,4,12,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,9,207,9,0,12,26,9,29,0,0,0,170,16,181,405,27,431,0,0,0,0,0,0,0,0,0,0,0,0,7,3,6,7,3,6,0,0,0,0,0,0
6GHOB,470,827,872,1280,2151,31,99,124,1948,1711,3665,7166,7624,14783,4054,4209,8268,414,492,909,1065,1602,2668,74,198,271,1510,1191,2705,7120,7691,14817,4417,4626,9040,380,446,824,1259,1725,2984,138,317,448,1189,969,2157,7375,8083,15458,4332,4218,8548,283,292,578,1117,1637,2751,157,536,692,809,597,1410,6701,7274,13981,4334,3847,8177,212,249,460,971,1347,2321,219,785,1007,466,367,831,6203,6595,12795,3066,2738,5807,165,127,291,621,866,1489,279,1056,1339,250,216,469,4380,5008,9389,2311,1749,4063,78,60,140,364,515,871,372,1369,1740,147,149,299,3266,3846,7116,1447,951,2394,44,28,72,146,262,413,402,1522,1924,81,92,175,2129,2852,4975,1037,528,1565,26,12,40,83,155,235,694,2538,3233,61,137,199,1906,3369,5274,40229,40215,80447,2743,3350,6092,7567,10998,18567,2418,8588,11008,34371,31772,66151,87328,94930,182260,5,4,6,4,0,4,0,3,3,0,6,7,6863,6434,13300,6871,6453,13323,187,419,604,12,18,28
6RTAS,635,1182,1175,1641,2815,48,188,243,2447,1997,4443,9439,10213,19656,5735,6172,11912,569,633,1202,1572,1886,3460,108,345,451,2096,1530,3624,10085,10561,20650,6595,6853,13442,559,521,1082,1870,2197,4069,165,538,701,1477,1086,2567,10662,11199,21860,6668,6643,13308,484,429,911,1803,1993,3801,262,782,1040,1045,625,1667,10263,10470,20736,6862,6354,13215,437,339,774,1515,1756,3266,451,1276,1727,676,426,1106,9942,10145,20086,5351,4389,9738,236,165,409,956,1059,2014,553,1652,2203,402,245,652,7505,7519,15019,3595,2596,6195,143,87,230,507,518,1029,577,2063,2646,235,160,393,5067,5424,10487,2106,1341,3449,80,25,104,235,280,512,663,2048,2711,139,103,239,3211,3799,7010,1275,657,1935,44,27,69,124,168,297,869,3052,3916,130,150,275,2443,4048,6490,56325,56392,112719,4134,4383,8511,11073,13500,24576,3775,12168,15940,40083,34755,74841,115391,121199,236588,4,16,17,4,0,9,0,0,3,0,0,0,8601,8026,16623,8613,8039,16655,239,446,687,14,32,49
69499,5,8,11,12,21,0,0,0,17,11,32,39,31,70,10,6,18,5,3,8,11,11,18,0,0,0,16,12,24,38,32,71,7,8,14,3,3,6,6,13,15,0,0,0,15,5,16,27,26,56,11,14,23,0,0,8,6,5,17,0,5,6,7,0,9,24,28,52,15,12,29,5,0,3,10,8,18,0,0,3,3,3,6,28,27,61,8,3,10,0,0,4,3,5,6,0,6,6,0,0,0,13,9,26,0,5,5,0,0,0,0,0,5,0,0,0,4,0,4,3,7,11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,85,77,162,31,26,65,61,59,121,9,13,13,297,172,471,482,351,836,0,0,0,0,0,0,0,0,0,0,0,0,43,48,95,43,48,95,3,0,5,0,0,0
69799,0,0,6,0,6,0,0,0,0,0,0,8,0,9,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,3,7,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,10,32,0,0,0,4,3,8,0,0,0,23,10,32,52,20,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,252,505,581,597,1180,37,90,127,1448,1044,2498,5369,4693,10068,2675,2271,4945,250,238,488,683,698,1383,36,161,196,1071,801,1873,4722,4163,8889,2338,2067,4404,181,214,402,700,753,1447,48,179,228,781,516,1293,4050,3730,7773,2004,1568,3570,200,163,363,623,587,1205,59,268,335,501,295,796,3385,2877,6266,1519,1134,2651,144,102,247,485,446,932,110,301,414,288,147,437,2540,2134,4669,932,610,1542,96,47,140,225,240,468,69,311,377,159,52,217,1483,1256,2741,507,284,791,51,23,66,134,139,275,98,335,428,68,27,97,861,804,1660,230,106,331,4,4,9,60,59,113,61,245,305,33,7,39,383,421,804,119,62,179,11,6,16,29,39,70,90,235,328,23,12,33,269,358,630,25046,22885,47929,1762,1716,3479,4364,4630,8998,664,2211,2872,25990,20038,46027,57822,51479,109301,24,16,37,0,0,0,0,0,0,0,0,0,3893,3724,7614,3914,3735,7651,216,346,567,7,24,33
7RNTE,169,333,229,283,516,37,123,164,939,914,1855,3033,3124,6154,1583,1464,3048,157,148,303,325,326,648,58,248,310,714,698,1414,2843,2884,5733,1381,1234,2622,152,143,298,316,380,698,59,219,280,529,479,1008,2441,2457,4894,1124,903,2027,117,104,222,299,307,608,96,302,406,363,288,652,1999,1912,3912,748,480,1227,83,69,147,243,195,442,89,283,373,185,129,314,1344,1159,2502,376,270,647,65,33,96,124,102,225,93,209,301,112,91,201,773,698,1469,227,111,337,22,8,31,70,52,120,66,160,225,58,47,105,442,374,821,69,56,124,5,9,15,21,20,40,45,151,197,37,32,65,178,261,445,49,22,68,4,0,4,9,22,27,37,134,171,20,17,44,119,191,309,15007,14552,29556,1183,1297,2481,2045,2173,4212,656,2032,2689,15089,13667,28757,33986,33720,67701,188,284,471,10,9,15,4,3,9,0,4,3,3168,2757,5921,3375,3057,6424,745,883,1630,41,39,75
79499,0,8,18,15,32,0,6,9,69,46,112,129,95,227,50,47,89,9,4,17,10,11,23,4,8,4,55,34,95,124,106,233,39,59,103,4,3,9,25,14,45,0,3,8,32,20,55,110,104,211,61,84,152,11,0,12,29,6,37,4,3,14,14,3,19,116,108,225,60,44,112,9,0,15,27,8,34,7,8,18,12,4,13,120,71,191,34,23,49,9,0,10,13,8,23,4,0,3,5,0,4,58,32,89,10,8,22,6,0,6,5,3,6,3,0,3,0,0,0,23,10,32,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,403,812,60,29,89,140,87,226,31,31,59,604,494,1099,1238,1042,2286,0,0,0,0,0,0,0,0,0,0,0,0,30,64,95,30,64,95,9,9,16,0,0,3
79799,0,0,0,0,0,0,0,0,0,0,0,7,0,6,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,37,0,0,0,3,0,5,0,0,0,24,8,32,58,14,70,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,0,3,3,0,0,0
8ACTE,620,1188,1255,1886,3143,70,150,222,2720,2446,5170,13145,13381,26527,7754,7620,15373,481,595,1079,1460,2250,3707,91,268,362,2018,1842,3867,11815,12578,24389,7211,7015,14223,464,471,936,1487,2212,3697,126,468,597,1503,1371,2873,10778,11540,22318,6432,6110,12540,320,371,699,1234,2041,3271,172,659,831,931,837,1767,9086,10018,19110,6049,5469,11522,245,304,549,1093,1776,2867,259,1020,1285,548,501,1052,8198,9072,17267,4375,3563,7939,145,146,293,590,1137,1724,318,1284,1604,301,291,594,5732,6432,12163,2959,2295,5246,88,89,172,374,632,1007,354,1467,1824,135,138,272,3896,4623,8519,1853,1226,3074,45,43,88,181,332,510,396,1583,1977,74,112,186,2542,3294,5835,1368,705,2069,27,15,34,108,226,339,740,2777,3518,78,107,188,2319,3836,6157,77380,77148,154526,3669,4446,8115,9755,15519,25273,2630,9896,12528,63496,58475,121971,156933,165484,322413,5,11,15,0,0,0,0,6,8,0,4,0,13374,12887,26258,13386,12899,26286,378,893,1269,12,35,45
89499,5,5,4,3,6,0,0,0,8,3,13,14,15,26,3,4,9,9,0,10,10,0,11,0,0,0,7,6,11,29,17,48,4,4,7,4,0,7,6,10,15,0,0,0,4,5,3,18,21,37,6,4,3,6,0,3,6,7,18,0,0,0,10,0,10,23,12,38,3,0,3,0,0,0,3,6,7,0,0,0,3,0,0,15,4,19,0,0,4,0,0,0,0,3,3,0,0,0,3,0,4,4,5,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,6,34,26,61,30,12,46,41,36,81,5,9,13,178,129,311,295,208,506,0,0,0,0,0,0,0,0,0,0,0,0,23,37,58,23,37,58,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,9,24,19,16,35,0,6,7,59,40,97,170,163,334,129,109,243,5,9,12,27,16,47,0,5,3,43,28,68,205,171,377,111,112,222,13,3,19,35,24,60,3,9,18,32,24,58,195,178,370,108,101,206,9,6,13,32,22,54,0,15,15,19,18,35,169,159,322,134,74,208,6,6,8,11,17,33,8,18,20,9,7,13,163,123,287,68,56,119,3,0,0,7,7,16,8,19,23,3,3,8,91,86,175,47,27,74,0,0,0,10,5,14,9,21,25,0,3,3,68,53,116,19,10,27,0,0,0,5,5,9,7,18,25,5,3,0,27,35,68,12,7,19,0,0,0,0,3,0,5,23,24,6,0,5,21,26,54,1016,897,1910,70,54,123,174,145,314,41,134,177,713,473,1187,2014,1702,3720,0,0,0,0,0,0,0,0,0,0,0,0,88,105,187,88,103,189,14,18,27,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,4,3,9,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,16,0,4,4,5,3,11,0,0,0,9,10,14,23,26,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
