GCCSA_CODE_2021,C11_M_Post_Deg_15_19_yrs,C11_M_Post_Deg_20_24_yrs,C11_M_Post_Deg_25_34_yrs,C11_M_Post_Deg_35_44_yrs,C11_M_Post_Deg_45_54_yrs,C11_M_Post_Deg_55_64_yrs,C11_M_Post_Deg_65_74_yrs,C11_M_Post_Deg_75_84_yrs,C11_M_Post_Deg_85over,C11_M_Post_Deg_Tot,C11_M_GrDip_GrCe_15_19,C11_M_GrDip_GrCe_20_24,C11_M_GrDip_GrCe_25_34,C11_M_GrDip_GrCe_35_44,C11_M_GrDip_GrCe_45_54,C11_M_GrDip_GrCe_55_64,C11_M_GrDip_GrCe_65_74,C11_M_GrDip_GrCe_75_84,C11_M_GrDip_GrCe_85over,C11_M_GrDip_GrCe_Tot,C11_M_BD_15_19,C11_M_BD_20_24,C11_M_BD_25_34,C11_M_BD_35_44,C11_M_BD_45_54,C11_M_BD_55_64,C11_M_BD_65_74,C11_M_BD_75_84,C11_M_BD_85over,C11_M_BD_Tot,C11_M_AdD_DL_15_19,C11_M_AdD_DL_20_24,C11_M_AdD_DL_25_34,C11_M_AdD_DL_35_44,C11_M_AdD_DL_45_54,C11_M_AdD_DL_55_64,C11_M_AdD_DL_65_74,C11_M_AdD_DL_75_84,C11_M_AdD_DL_85over,C11_M_AdD_DL_Tot,C11_M_CL_C_III_IV_15_19,C11_M_CL_C_III_IV_20_24,C11_M_CL_C_III_IV_25_34,C11_M_CL_C_III_IV_35_44,C11_M_CL_C_III_IV_45_54,C11_M_CL_C_III_IV_55_64,C11_M_CL_C_III_IV_65_74,C11_M_CL_C_III_IV_75_84,C11_M_CL_C_III_IV_85over,C11_M_CL_C_III_IV_Tot,C11_M_CL_C_I_II_15_19,C11_M_CL_C_I_II_20_24,C11_M_CL_C_I_II_25_34,C11_M_CL_C_I_II_35_44,C11_M_CL_C_I_II_45_54,C11_M_CL_C_I_II_55_64,C11_M_CL_C_I_II_65_74,C11_M_CL_C_I_II_75_84,C11_M_CL_C_I_II_85over,C11_M_CL_C_I_II_Tot,C11_M_CL_CL_nfd_15_19,C11_M_CL_CL_nfd_20_24,C11_M_CL_CL_nfd_25_34,C11_M_CL_CL_nfd_35_44,C11_M_CL_CL_nfd_45_54,C11_M_CL_CL_nfd_55_64,C11_M_CL_CL_nfd_65_74,C11_M_CL_CL_nfd_75_84,C11_M_CL_CL_nfd_85over,C11_M_CL_CL_nfd_Tot,C11_M_CL_Tot_15_19,C11_M_CL_Tot_20_24,C11_M_CL_Tot_25_34,C11_M_CL_Tot_35_44,C11_M_CL_Tot_45_54,C11_M_CL_Tot_55_64,C11_M_CL_Tot_65_74,C11_M_CL_Tot_75_84,C11_M_CL_Tot_85over,C11_M_CL_Tot_Tot,C11_M_LE_ID_15_19,C11_M_LE_ID_20_24,C11_M_LE_ID_25_34,C11_M_LE_ID_35_44,C11_M_LE_ID_45_54,C11_M_LE_ID_55_64,C11_M_LE_ID_65_74,C11_M_LE_ID_75_84,C11_M_LE_ID_85over,C11_M_LE_ID_Tot,C11_M_LE_NS_15_19,C11_M_LE_NS_20_24,C11_M_LE_NS_25_34,C11_M_LE_NS_35_44,C11_M_LE_NS_45_54,C11_M_LE_NS_55_64,C11_M_LE_NS_65_74,C11_M_LE_NS_75_84,C11_M_LE_NS_85over,C11_M_LE_NS_Tot,C11_M_Tot_15_19_yrs,C11_M_Tot_20_24_yrs,C11_M_Tot_25_34_yrs,C11_M_Tot_35_44_yrs,C11_M_Tot_45_54_yrs,C11_M_Tot_55_64_yrs,C11_M_Tot_65_74_yrs,C11_M_Tot_75_84_yrs,C11_M_Tot_85over,C11_M_Tot_Tot,C16_M_Post_Deg_15_19_yrs,C16_M_Post_Deg_20_24_yrs,C16_M_Post_Deg_25_34_yrs,C16_M_Post_Deg_35_44_yrs,C16_M_Post_Deg_45_54_yrs,C16_M_Post_Deg_55_64_yrs,C16_M_Post_Deg_65_74_yrs,C16_M_Post_Deg_75_84_yrs,C16_M_Post_Deg_85over,C16_M_Post_Deg_Tot,C16_M_GrDip_GrCe_15_19,C16_M_GrDip_GrCe_20_24,C16_M_GrDip_GrCe_25_34,C16_M_GrDip_GrCe_35_44,C16_M_GrDip_GrCe_45_54,C16_M_GrDip_GrCe_55_64,C16_M_GrDip_GrCe_65_74,C16_M_GrDip_GrCe_75_84,C16_M_GrDip_GrCe_85over,C16_M_GrDip_GrCe_Tot,C16_M_BD_15_19,C16_M_BD_20_24,C16_M_BD_25_34,C16_M_BD_35_44,C16_M_BD_45_54,C16_M_BD_55_64,C16_M_BD_65_74,C16_M_BD_75_84,C16_M_BD_85over,C16_M_BD_Tot,C16_M_AdD_DL_15_19,C16_M_AdD_DL_20_24,C16_M_AdD_DL_25_34,C16_M_AdD_DL_35_44,C16_M_AdD_DL_45_54,C16_M_AdD_DL_55_64,C16_M_AdD_DL_65_74,C16_M_AdD_DL_75_84,C16_M_AdD_DL_85over,C16_M_AdD_DL_Tot,C16_M_CL_C_III_IV_15_19,C16_M_CL_C_III_IV_20_24,C16_M_CL_C_III_IV_25_34,C16_M_CL_C_III_IV_35_44,C16_M_CL_C_III_IV_45_54,C16_M_CL_C_III_IV_55_64,C16_M_CL_C_III_IV_65_74,C16_M_CL_C_III_IV_75_84,C16_M_CL_C_III_IV_85over,C16_M_CL_C_III_IV_Tot,C16_M_CL_C_I_II_15_19,C16_M_CL_C_I_II_20_24,C16_M_CL_C_I_II_25_34,C16_M_CL_C_I_II_35_44,C16_M_CL_C_I_II_45_54,C16_M_CL_C_I_II_55_64,C16_M_CL_C_I_II_65_74,C16_M_CL_C_I_II_75_84,C16_M_CL_C_I_II_85over,C16_M_CL_C_I_II_Tot,C16_M_CL_CL_nfd_15_19,C16_M_CL_CL_nfd_20_24,C16_M_CL_CL_nfd_25_34,C16_M_CL_CL_nfd_35_44,C16_M_CL_CL_nfd_45_54,C16_M_CL_CL_nfd_55_64,C16_M_CL_CL_nfd_65_74,C16_M_CL_CL_nfd_75_84,C16_M_CL_CL_nfd_85over,C16_M_CL_CL_nfd_Tot,C16_M_CL_Tot_15_19,C16_M_CL_Tot_20_24,C16_M_CL_Tot_25_34,C16_M_CL_Tot_35_44,C16_M_CL_Tot_45_54,C16_M_CL_Tot_55_64,C16_M_CL_Tot_65_74,C16_M_CL_Tot_75_84,C16_M_CL_Tot_85over,C16_M_CL_Tot_Tot,C16_M_LE_ID_15_19,C16_M_LE_ID_20_24,C16_M_LE_ID_25_34,C16_M_LE_ID_35_44,C16_M_LE_ID_45_54,C16_M_LE_ID_55_64,C16_M_LE_ID_65_74,C16_M_LE_ID_75_84,C16_M_LE_ID_85over,C16_M_LE_ID_Tot
39499,0,3,42,14,27,24,3,3,0,122,0,0,6,3,7,12,5,0,0,37,0,58,168,86,57,60,32,10,0,471,0,23,54,45,53,100,42,7,0,329,22,92,253,205,220,407,243,52,3,1495,11,9,12,6,8,11,0,0,0,66,0,3,17,10,6,14,5,0,0,66,24,102,287,224,239,432,251,58,7,1629,0,5,15,13,16,11,16,0,0,82,76,132,256,240,220,225,151,47,7,1352,102,321,833,635,609,876,510,126,8,4023,0,4,51,25,18,24,21,0,0,142,0,0,11,4,4,12,8,0,0,50,0,69,174,46,48,47,54,9,0,443,4,24,52,48,49,80,64,12,0,326,20,74,245,190,211,298,299,53,4,1390,6,9,12,8,7,6,5,0,0,46,0,8,13,7,8,30,27,4,0,93,25,94,277,207,227,328,321,55,5,1538,0,6,10,7,10,9,5,3,0,56
39799,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,5,3,0,0,17,0,0,6,3,7,3,5,0,0,19,0,14,10,8,13,3,9,4,0,67,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,8,0,9,15,10,17,9,10,9,0,78,0,0,0,3,0,0,0,0,0,8,0,6,8,11,21,5,0,0,0,61,3,23,38,29,43,24,14,8,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,3,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,3,0,17,0,0,0,0,0,0,0,0,0,0
4GADE,4,231,4343,4270,3893,3184,1601,591,123,18248,0,70,965,1476,1658,1533,541,146,20,6406,35,4441,16223,13095,10149,8694,3917,1556,519,58626,85,1890,5694,7290,7600,6773,3570,1442,448,34792,1353,7886,18735,20676,21059,17173,10863,6084,1773,105606,612,994,1330,800,543,382,205,85,23,4968,144,514,1005,1034,1132,1251,669,344,88,6183,2109,9393,21066,22515,22730,18816,11733,6506,1881,116755,106,306,839,950,861,899,635,357,150,5092,3614,3221,5844,5565,5763,5047,4451,4605,2359,40472,5956,19556,54986,55155,52653,44935,26448,15207,5493,280394,5,251,5543,6233,4649,3702,2445,948,235,24006,3,102,1180,1685,1813,1796,1019,242,50,7891,34,4841,18089,15698,11115,9256,6278,2042,763,68114,124,1790,7011,8018,8706,7492,5309,1897,616,40967,1811,7833,21681,19138,21361,18473,13299,7315,2356,113271,585,1127,1436,954,678,479,298,95,31,5677,176,467,1090,1302,1475,1566,1377,652,214,8321,2572,9426,24204,21393,23519,20513,14976,8059,2600,127269,78,236,702,712,673,653,628,376,163,4213
4RSAU,0,9,174,235,254,290,203,55,12,1221,0,9,81,153,252,287,105,22,7,920,3,308,1541,1584,1179,1350,688,198,44,6895,10,123,694,1184,1441,1743,938,334,67,6528,516,2699,6023,7051,7677,6399,4245,1844,434,36892,191,315,506,277,225,161,76,14,0,1770,41,126,283,363,359,391,218,89,18,1873,744,3135,6807,7692,8263,6950,4541,1951,452,40533,24,51,190,248,237,277,197,123,34,1381,1210,874,1789,2182,2351,2388,2140,1781,682,15410,1989,4511,11276,13286,13977,13287,8807,4451,1301,72889,0,16,205,290,283,333,300,88,18,1528,0,3,102,159,215,348,197,47,7,1078,4,302,1560,1646,1330,1428,1110,319,77,7776,22,149,819,1266,1648,1873,1520,476,127,7911,524,2630,6904,6653,7579,7421,5472,2476,642,40301,184,329,496,336,255,214,130,36,11,1995,61,131,378,455,550,577,511,189,48,2901,772,3097,7775,7445,8384,8208,6116,2700,700,45198,18,42,121,144,155,216,191,92,47,1025
49499,0,0,12,10,3,3,3,0,0,36,0,0,6,0,0,0,0,0,0,10,0,10,50,31,8,8,0,0,0,112,0,3,8,17,21,12,5,0,0,72,5,25,73,46,56,69,33,5,0,312,0,4,11,4,0,0,0,0,0,22,0,0,3,6,5,3,4,0,0,12,6,29,81,56,60,76,34,5,0,347,0,0,3,4,8,3,0,0,6,16,11,21,59,65,77,57,28,28,25,373,15,66,226,174,171,160,81,32,29,963,0,0,11,6,12,9,0,0,0,36,0,0,3,0,5,0,0,0,0,10,0,18,49,17,9,12,4,0,0,105,0,9,12,10,11,4,14,4,0,63,3,21,76,39,49,49,53,8,5,306,0,5,6,4,0,0,0,0,0,14,0,0,10,4,0,10,0,0,0,23,4,28,89,48,50,57,53,8,5,345,0,5,3,0,0,6,0,0,0,11
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,3,344,5997,6765,6137,4424,2070,622,132,26489,0,173,1726,2575,2337,1635,610,177,25,9259,49,6972,26445,21688,16550,11833,5140,1883,520,91082,358,3693,9895,10818,10522,9304,5055,2126,558,52315,3470,13581,30059,30937,31942,24610,14664,6928,1719,157905,925,1000,1364,888,614,460,207,86,16,5568,188,562,1173,1278,1224,1196,675,309,75,6686,4581,15147,32598,33104,33777,26269,15548,7319,1817,170155,180,804,2028,2084,1955,1936,1497,928,351,11760,5344,6111,12353,10500,8932,7478,5546,4794,2281,63343,10515,33246,91049,87533,80208,62874,35454,17836,5681,424396,5,375,8386,10312,7844,5465,3234,1090,246,36943,4,211,2239,2797,2915,2231,1090,258,51,11809,56,8340,32281,26935,19676,13908,8089,2776,805,112863,458,3745,13406,13389,12760,10370,7176,2878,738,64913,2849,13563,38134,32389,33635,27449,18096,9047,2245,177409,1373,1330,1557,977,717,467,259,69,26,6766,251,653,1779,1968,2095,1823,1481,772,208,11028,4476,15541,41473,35328,36445,29733,19838,9889,2480,195200,125,356,1235,1247,1085,885,811,406,144,6291
5RWAU,0,26,402,551,558,462,242,69,13,2318,0,19,216,387,371,295,90,21,7,1420,3,582,3130,3251,2418,1857,780,247,50,12315,35,347,1484,2314,2470,2182,1025,339,57,10241,1169,4767,11835,12299,11990,8411,4111,1596,367,56547,352,403,485,354,266,147,76,17,5,2106,68,139,351,448,396,384,194,83,8,2066,1579,5318,12670,13096,12652,8943,4385,1693,378,60717,53,153,491,518,580,585,415,203,53,3056,2025,2632,6075,5686,5074,3499,1980,1307,454,28737,3705,9073,24464,25813,24131,17823,8921,3879,1010,118803,0,14,521,744,622,544,423,119,24,3000,0,26,258,402,385,401,191,43,4,1705,4,454,3308,3389,2704,2257,1295,393,97,13904,47,339,1836,2550,2780,2524,1599,536,116,12327,948,4167,13052,12254,12056,9899,5534,2073,451,60435,459,463,557,371,316,229,95,36,0,2526,89,180,500,668,645,657,535,205,54,3524,1501,4809,14111,13288,13014,10785,6165,2308,500,66487,22,61,180,223,223,212,208,95,38,1249
59499,0,4,33,27,20,0,6,0,0,83,0,0,0,0,3,6,0,0,0,15,0,36,117,67,41,50,5,0,0,318,0,14,48,38,38,54,20,0,0,225,10,76,222,164,149,196,121,9,0,955,3,8,10,8,5,4,0,0,0,38,0,0,6,12,5,11,6,0,0,36,12,86,246,184,158,207,126,9,0,1029,0,4,17,11,11,21,15,3,0,84,38,73,206,187,186,124,50,23,0,896,48,217,674,514,466,458,224,43,3,2644,0,0,24,12,6,9,6,0,0,66,0,0,3,5,0,5,3,0,0,12,0,18,93,38,14,33,15,6,0,219,0,11,29,23,31,35,26,0,0,152,9,44,178,135,138,144,85,10,3,750,0,6,10,7,0,4,0,0,0,31,0,0,10,3,11,8,10,0,0,46,8,49,195,148,148,159,93,13,3,825,0,3,3,9,0,0,3,0,0,26
59799,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,4,3,0,0,0,15,0,0,10,13,5,0,0,0,0,29,0,9,43,34,31,7,3,0,0,125,0,0,6,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,6,0,9,44,41,29,12,3,0,0,139,0,0,9,5,5,0,0,0,0,22,0,3,21,17,3,9,0,0,0,67,0,19,95,73,54,21,4,3,0,276,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,8,10,5,4,0,3,0,31,0,0,8,14,13,11,0,0,0,51,0,0,44,39,35,7,3,0,0,130,0,0,4,3,0,0,0,0,0,5,0,0,3,3,0,0,0,0,0,10,0,0,46,43,36,9,3,0,0,142,0,0,0,0,0,0,0,0,0,0
6GHOB,0,34,500,687,753,676,359,140,30,3172,0,26,182,318,337,269,86,28,6,1253,0,583,2366,2134,1820,1677,719,336,113,9759,12,208,672,1074,1245,1137,690,336,95,5460,290,1595,3410,3607,3828,2960,1927,920,255,18797,116,181,249,104,85,68,36,28,6,875,4,48,92,110,139,166,98,48,12,725,413,1819,3750,3822,4049,3198,2065,995,284,20391,11,36,92,119,137,136,108,61,20,718,632,588,978,949,1032,1059,982,803,354,7382,1071,3292,8535,9107,9372,8151,5001,2699,910,48144,4,21,813,887,870,749,529,190,67,4129,0,28,227,305,404,331,187,53,10,1547,8,590,2588,2357,1868,1800,1193,395,173,10970,10,195,807,1104,1284,1256,981,419,130,6183,225,1437,3838,3355,3652,3460,2202,1170,346,19696,88,199,249,134,86,90,55,18,11,927,24,73,165,174,223,255,195,107,28,1240,328,1715,4254,3670,3954,3810,2447,1298,385,21857,11,37,81,74,93,94,107,74,26,600
6RTAS,0,20,202,315,387,445,306,71,18,1765,0,4,107,194,219,222,94,22,8,868,0,326,1423,1527,1505,1403,669,245,63,7162,5,166,656,1189,1399,1398,766,300,81,5947,488,2179,4544,5564,6281,5135,3146,1322,313,28978,155,208,320,158,166,98,59,18,5,1168,23,54,134,164,150,205,140,53,14,931,662,2442,5001,5882,6590,5441,3344,1386,332,31080,12,44,128,141,209,214,149,83,16,988,904,521,877,1187,1407,1569,1529,1342,528,9865,1589,3527,8393,10431,11714,10674,6853,3460,1038,57675,0,13,278,392,438,523,473,135,24,2275,0,11,127,167,256,289,193,36,6,1096,0,332,1403,1551,1457,1596,1110,360,99,7900,12,190,712,1146,1509,1610,1167,402,104,6851,370,2125,5007,4871,5829,5794,3903,1809,427,30134,151,302,312,216,151,119,70,25,7,1359,42,101,184,291,309,344,314,166,38,1790,561,2528,5510,5379,6289,6258,4288,1997,469,33283,5,17,74,88,101,122,141,92,23,662
69499,0,0,8,0,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,3,16,4,5,11,5,0,0,39,0,0,5,4,6,7,4,0,0,20,3,3,23,27,20,7,8,0,0,100,0,3,3,3,0,0,0,0,0,11,0,0,3,0,3,0,0,0,0,11,3,6,32,32,27,9,8,0,0,119,0,0,3,0,0,0,0,0,0,6,3,10,38,24,18,13,10,5,0,121,5,21,96,66,56,47,27,8,0,322,0,0,5,0,0,0,0,0,0,11,0,0,5,0,0,0,0,0,0,0,0,0,14,8,4,0,5,0,0,34,0,4,9,7,0,4,3,0,0,21,4,10,14,13,16,14,11,3,0,92,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,4,0,0,6,4,14,20,17,16,18,11,3,0,109,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,6,0,0,0,0,0,6,0,0,7,0,7,6,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,7,6,0,0,0,29,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,4,3,0,0,11,0,5,13,13,13,9,8,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,5,6,4,7,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,6,3,7,0,0,0,21,0,0,0,0,0,0,0,0,0,0
7GDAR,0,9,334,349,356,298,111,11,4,1477,0,9,118,155,203,135,35,6,0,656,3,286,1408,1132,802,634,224,50,14,4550,7,168,667,883,753,575,195,41,7,3296,192,1185,2840,2809,2430,1658,693,187,19,12011,81,137,152,78,56,41,10,3,0,561,14,32,88,104,67,76,34,3,0,424,285,1354,3085,2993,2560,1767,741,192,21,12991,13,40,119,109,89,86,40,16,5,512,825,952,2005,1617,1397,1011,507,262,52,8628,1126,2814,7738,7236,6146,4507,1853,585,102,32112,0,18,573,608,426,351,180,30,4,2190,0,5,139,193,205,159,60,13,0,777,5,351,2103,1512,1015,721,345,91,21,6173,3,156,917,1070,1060,670,293,78,9,4250,208,1166,4254,3192,2910,1953,920,278,47,14934,96,120,141,122,67,31,18,5,0,600,35,59,165,179,147,125,90,17,9,822,335,1343,4567,3489,3116,2112,1023,304,56,16354,3,30,80,95,65,63,29,16,0,385
7RNTE,0,10,122,140,146,114,36,7,0,565,0,4,56,83,86,73,3,0,0,312,0,99,567,498,386,323,77,4,0,1961,0,58,347,384,354,272,73,20,0,1507,118,534,1491,1506,1359,876,309,55,3,6260,42,88,151,130,89,33,9,6,0,553,12,28,71,74,70,39,19,0,0,320,174,657,1713,1717,1508,951,341,60,3,7130,9,26,50,45,51,43,18,5,0,247,598,577,1257,1069,836,613,293,94,27,5353,775,1429,4112,3919,3377,2394,840,192,30,17073,0,5,152,162,149,111,62,15,0,650,0,9,62,80,77,65,23,3,0,323,4,79,622,502,365,330,118,21,4,2044,3,63,357,361,390,304,110,31,6,1611,81,441,1334,1134,1213,942,394,92,18,5649,47,72,160,117,106,50,18,3,0,561,16,47,130,123,110,73,34,10,0,547,143,554,1624,1366,1433,1068,445,105,17,6755,4,10,48,25,36,26,12,6,3,176
79499,0,0,10,6,0,3,0,0,0,17,0,0,4,0,4,8,0,0,0,18,0,3,21,17,9,15,8,0,0,75,0,10,7,8,6,16,6,0,0,48,3,17,49,32,39,65,40,0,0,248,0,0,9,3,0,0,0,0,0,15,0,0,0,0,4,0,0,0,0,12,3,17,56,37,40,66,45,0,0,271,0,3,5,0,0,3,0,0,0,15,3,13,39,30,31,40,14,0,0,170,8,40,135,98,97,143,73,6,0,609,0,0,9,4,8,5,3,0,0,14,0,0,4,0,5,0,0,0,0,8,0,3,25,14,7,10,4,0,0,65,0,4,7,6,17,8,11,0,0,55,0,12,42,34,46,60,49,4,0,253,3,3,0,0,4,0,3,0,0,12,4,3,0,0,0,0,5,0,0,17,7,21,43,40,48,62,53,5,0,278,0,3,0,0,0,0,0,0,0,13
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,6,8,6,6,3,0,0,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,12,8,7,3,0,0,0,28,0,0,0,0,5,0,0,0,0,3,0,3,6,3,0,0,0,0,0,12,0,7,21,8,13,5,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,0,0,0,0,16,0,3,7,0,0,0,0,0,0,5,0,0,6,9,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,11,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,4
8ACTE,5,147,3040,3600,3455,2628,1220,458,114,14671,0,61,726,1061,1234,1009,301,45,10,4448,12,2313,8305,6025,4786,3965,1996,791,257,28451,40,771,2448,2701,2415,1770,870,372,97,11483,312,2067,4761,4418,3911,2915,1760,945,245,21331,168,270,292,162,118,95,47,9,4,1180,34,110,243,257,225,268,152,63,13,1367,513,2442,5297,4835,4252,3277,1961,1024,263,23875,28,164,324,353,271,302,235,164,61,1900,987,1265,1910,1458,1272,978,750,598,316,9521,1582,7169,22049,20038,17676,13935,7335,3450,1123,94355,8,131,3836,5106,3939,3032,1853,664,190,18762,5,77,994,1104,1211,1168,596,107,18,5279,15,2621,9135,7034,5085,4091,2844,1102,369,32302,45,677,2832,3082,2782,2010,1225,444,158,13268,334,1929,5474,4420,3949,2993,2084,1141,343,22668,153,259,307,187,125,77,45,26,10,1180,31,115,261,344,300,311,261,100,41,1758,516,2300,6039,4951,4374,3377,2389,1268,391,25606,26,81,227,206,196,175,164,116,49,1237
89499,0,0,8,7,3,8,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,6,19,11,3,8,4,0,0,53,0,0,5,0,3,5,0,0,0,20,4,3,12,10,3,5,3,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,11,15,8,3,6,3,0,0,46,0,0,0,0,0,0,0,0,0,4,4,10,10,9,11,7,0,0,0,51,10,21,60,40,30,30,6,0,4,200,0,0,4,7,5,5,4,0,0,15,0,0,0,0,0,0,0,0,0,3,0,5,12,7,4,3,0,0,0,28,0,5,0,11,4,0,0,0,0,16,0,5,6,3,3,8,4,0,0,35,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,8,10,9,3,10,4,0,0,42,0,0,0,0,0,0,0,0,0,4
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,0,6,4,3,3,0,0,0,22,0,0,0,3,9,0,0,0,0,4,0,9,19,26,15,9,0,0,0,77,0,4,10,16,22,11,0,0,0,69,3,11,36,40,56,40,13,0,0,194,0,0,8,0,0,0,0,0,0,11,0,0,3,0,0,0,0,0,0,5,3,11,44,42,58,44,13,0,0,213,0,0,0,0,4,0,0,0,0,12,52,145,443,136,52,37,14,3,4,884,54,166,522,228,157,108,26,3,4,1278,0,0,5,6,0,5,11,4,0,35,0,0,0,4,3,0,4,0,0,20,0,5,28,37,24,28,14,0,3,130,0,0,11,27,28,16,8,6,0,105,5,14,61,88,107,118,51,18,4,451,7,0,8,9,7,6,6,0,0,28,0,4,6,7,4,4,5,0,0,37,12,14,72,97,118,124,62,16,4,520,0,4,0,0,7,0,0,0,0,14
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
