GCCSA_CODE_2021,C21_P_35_39_Tot_LF,C21_P_35_39_Not_LF,C21_P_35_39_LF_NS,C21_P_35_39_Tot,C21_P_40_44_Em_FT,C21_P_40_44_Em_PT,C21_P_40_44_Em_AFW,C21_P_40_44_Em_Hrs_NS,C21_P_40_44_Em_Tot,C21_P_40_44_Unem_Look_FT,C21_P_40_44_Unem_Look_PT,C21_P_40_44_Unem_Tot,C21_P_40_44_Tot_LF,C21_P_40_44_Not_LF,C21_P_40_44_LF_NS,C21_P_40_44_Tot,C21_P_45_49_Em_FT,C21_P_45_49_Em_PT,C21_P_45_49_Em_AFW,C21_P_45_49_Em_Hrs_NS,C21_P_45_49_Em_Tot,C21_P_45_49_Unem_Look_FT,C21_P_45_49_Unem_Look_PT,C21_P_45_49_Unem_Tot,C21_P_45_49_Tot_LF,C21_P_45_49_Not_LF,C21_P_45_49_LF_NS,C21_P_45_49_Tot,C21_P_50_54_Em_FT,C21_P_50_54_Em_PT,C21_P_50_54_Em_AFW,C21_P_50_54_Em_Hrs_NS,C21_P_50_54_Em_Tot,C21_P_50_54_Unem_Look_FT,C21_P_50_54_Unem_Look_PT,C21_P_50_54_Unem_Tot,C21_P_50_54_Tot_LF,C21_P_50_54_Not_LF,C21_P_50_54_LF_NS,C21_P_50_54_Tot,C21_P_55_59_Em_FT,C21_P_55_59_Em_PT,C21_P_55_59_Em_AFW,C21_P_55_59_Em_Hrs_NS,C21_P_55_59_Em_Tot,C21_P_55_59_Unem_Look_FT,C21_P_55_59_Unem_Look_PT,C21_P_55_59_Unem_Tot,C21_P_55_59_Tot_LF,C21_P_55_59_Not_LF,C21_P_55_59_LF_NS,C21_P_55_59_Tot,C21_P_60_64_Em_FT,C21_P_60_64_Em_PT,C21_P_60_64_Em_AFW,C21_P_60_64_Em_Hrs_NS,C21_P_60_64_Em_Tot,C21_P_60_64_Unem_Look_FT,C21_P_60_64_Unem_Look_PT,C21_P_60_64_Unem_Tot,C21_P_60_64_Tot_LF,C21_P_60_64_Not_LF,C21_P_60_64_LF_NS,C21_P_60_64_Tot,C21_P_65_69_Em_FT,C21_P_65_69_Em_PT,C21_P_65_69_Em_AFW,C21_P_65_69_Em_Hrs_NS,C21_P_65_69_Em_Tot,C21_P_65_69_Unem_Look_FT,C21_P_65_69_Unem_Look_PT,C21_P_65_69_Unem_Tot,C21_P_65_69_Tot_LF,C21_P_65_69_Not_LF,C21_P_65_69_LF_NS,C21_P_65_69_Tot,C21_P_70_74_Em_FT,C21_P_70_74_Em_PT,C21_P_70_74_Em_AFW,C21_P_70_74_Em_Hrs_NS,C21_P_70_74_Em_Tot,C21_P_70_74_Unem_Look_FT,C21_P_70_74_Unem_Look_PT,C21_P_70_74_Unem_Tot,C21_P_70_74_Tot_LF,C21_P_70_74_Not_LF,C21_P_70_74_LF_NS,C21_P_70_74_Tot,C21_P_75over_Emp_Wor_ft,C21_P_75over_Em_Work_pt,C21_P_75over_Em_Aw_fr_w,C21_P_75over_Emp_Hou_w_ns,C21_P_75over_Em_Tot,C21_P_75over_Unem_Lo_ft_w,C21_P_75over_Unem_Lo_pt_w,C21_P_75over_Unemp_Tot,C21_P_75over_Tot_lab_for,C21_P_75over_N_lab_forc,C21_P_75over_LF_NS,C21_P_75over_Tot,C21_P_Tot_Em_FT,C21_P_Tot_Em_PT,C21_P_Tot_Em_AFW,C21_P_Tot_Em_Hrs_NS,C21_P_Tot_Em_Tot,C21_P_Tot_Unem_Look_FT,C21_P_Tot_Unem_Look_PT,C21_P_Tot_Unem_Tot,C21_P_Tot_Tot_labo_for,C21_P_Tot_Not_LF,C21_P_Tot_LF_NS,C21_P_Tot_Tot
39499,433,293,354,1077,146,89,38,16,294,41,21,63,357,281,364,1005,129,90,23,6,251,50,31,77,329,308,340,976,133,77,29,10,250,53,23,73,327,353,276,959,128,84,43,8,260,38,25,63,317,504,275,1101,97,72,34,6,213,35,30,65,274,861,226,1367,38,40,10,3,92,9,11,16,117,954,201,1269,7,14,4,0,22,4,0,3,28,715,115,854,0,4,3,0,8,0,0,0,10,394,86,489,1610,1119,371,124,3219,565,286,851,4069,5780,3387,13234
39799,6,0,27,34,5,0,0,3,5,0,0,0,5,3,18,26,9,0,0,0,11,0,0,0,11,0,20,26,4,0,0,0,4,0,0,0,4,0,15,18,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,4,5,29,3,0,3,35,11,135,183
4GADE,80746,13060,3657,97466,45256,21383,2036,752,69432,1781,1097,2875,72300,11760,3121,87190,45927,20294,1816,706,68740,1872,956,2833,71573,12046,3068,86685,44924,20081,2170,644,67825,1732,983,2715,70541,14861,2991,88386,37942,19616,2505,564,60627,1572,947,2512,63142,19921,2838,85906,24699,17638,2393,391,45126,1181,963,2143,47269,32622,2606,82505,8833,9901,1123,222,20075,316,377,688,20763,50119,2454,73340,2300,4622,372,147,7434,37,121,159,7598,57290,2522,67407,785,2295,226,187,3496,20,53,75,3573,106953,7292,117821,385420,248849,27964,8721,670956,20321,18684,39010,709968,395473,44315,1149752
4RSAU,16333,3528,1373,21228,9584,4825,523,262,15198,369,216,591,15788,3138,1319,20243,10785,5192,623,339,16937,475,255,725,17664,3580,1548,22798,11981,6002,774,329,19091,512,267,784,19878,4724,1689,26292,10953,6541,996,306,18791,528,320,849,19639,6783,1733,28157,8250,6425,962,271,15914,435,397,837,16752,11584,1732,30074,3637,3515,580,158,7888,90,131,222,8115,18935,1710,28759,1256,1924,197,126,3502,7,27,31,3535,21313,1636,26480,673,1140,150,194,2153,11,15,29,2179,36214,3686,42081,94320,61546,8243,3609,167723,5000,3512,8513,176233,127714,21694,325639
49499,117,90,85,295,32,23,11,0,64,13,12,22,90,72,78,237,31,18,12,0,58,14,6,23,78,80,71,229,47,20,4,0,67,17,5,16,88,85,71,246,28,20,7,3,62,14,10,18,85,92,67,241,15,15,12,4,42,15,9,20,62,143,51,265,4,15,0,0,23,0,0,3,20,148,35,205,0,3,3,0,9,0,0,0,14,112,28,150,0,0,0,0,4,0,0,0,4,67,8,79,351,264,70,38,724,152,112,266,989,1266,719,2975
49799,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,5,12
5GPER,133281,21568,8583,163435,76219,32938,3510,1445,114117,2740,1832,4570,118694,17787,7006,143484,75551,30341,3224,1365,110477,2859,1562,4421,114900,16973,6643,138515,72562,28645,3818,1251,106272,2835,1418,4254,110522,19213,6318,136051,59674,26958,4211,1007,91847,2430,1405,3837,95682,24465,5569,125717,38727,24504,3663,700,67587,2027,1458,3486,71071,38674,4728,114471,14531,15425,1790,353,32097,578,724,1303,33401,63636,4085,101124,3761,7522,590,189,12068,99,262,360,12423,72592,3808,88828,1188,3608,287,253,5341,44,96,143,5476,126303,12155,143934,634850,363404,44335,16303,1058890,30335,28586,58919,1117807,509895,87706,1715415
5RWAU,27387,5138,4090,36610,16585,7178,1097,453,25307,571,335,903,26211,4259,3781,34251,17833,6978,1198,427,26432,564,303,866,27296,4274,3807,35382,17919,7077,1478,437,26909,575,310,887,27799,5176,3916,36883,15952,7071,1663,383,25066,550,304,855,25920,6924,3629,36478,11705,7030,1535,300,20568,452,371,823,21390,11067,3113,35576,4874,4323,789,157,10149,137,172,305,10455,17614,2506,30573,1690,2154,277,131,4253,14,50,65,4316,19579,2179,26084,830,1264,171,206,2466,9,30,39,2506,30436,4166,37109,150334,76083,14073,4979,245471,6210,4472,10691,256160,129971,44906,431032
59499,236,167,364,769,90,45,22,0,163,35,13,46,208,126,435,770,78,29,20,0,125,38,8,47,168,122,390,680,84,25,10,3,126,24,10,35,161,132,339,631,71,34,12,0,124,16,9,24,145,165,248,552,47,37,14,0,94,17,7,22,123,230,236,588,16,16,6,0,35,5,0,5,40,296,137,478,4,7,0,0,10,0,6,6,13,176,96,281,0,0,0,0,0,0,0,0,3,101,79,189,915,484,181,33,1614,274,117,392,2000,1955,3326,7285
59799,52,0,39,92,36,0,0,0,40,0,0,0,43,0,39,82,30,0,0,0,29,0,0,0,29,3,29,57,24,0,0,0,29,0,0,0,29,5,18,54,8,0,4,0,13,0,0,5,15,0,11,26,12,0,5,0,15,0,0,0,15,3,14,34,3,0,0,0,3,0,0,0,3,9,3,13,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,243,18,13,5,277,5,0,3,277,18,220,516
6GHOB,14159,2237,734,17128,7085,3971,405,120,11580,313,163,481,12060,1913,550,14528,7578,3739,370,115,11795,242,150,399,12196,1973,550,14715,7431,3476,501,110,11526,222,169,388,11909,2463,563,14934,6257,3555,514,97,10419,201,149,349,10770,3480,540,14789,4116,3468,470,83,8133,160,153,314,8451,6148,555,15150,1340,2028,248,47,3657,39,64,108,3765,9444,556,13773,374,943,77,30,1422,10,25,32,1456,10310,602,12375,122,421,43,25,616,0,8,6,624,18172,1431,20224,65150,46560,5288,1723,118720,4010,3811,7818,126541,70007,8955,205506
6RTAS,13773,2754,966,17486,7552,4416,456,186,12612,352,214,565,13177,2566,862,16602,8432,4492,532,233,13694,416,240,656,14346,3156,920,18425,9280,5015,704,240,15243,386,222,600,15846,4006,1065,20913,8390,5278,805,190,14657,356,264,623,15279,5685,1130,22099,5689,5012,822,170,11699,331,305,632,12334,9634,1186,23156,2180,2697,353,103,5339,82,95,184,5518,14595,1164,21274,660,1266,100,65,2085,8,21,32,2117,16101,1198,19414,296,677,78,104,1157,6,15,24,1176,25551,2656,29382,74535,51911,6696,2540,135680,4623,3475,8099,143777,99363,15014,258158
69499,39,26,22,86,19,7,0,0,32,9,3,11,42,38,33,114,14,14,0,0,27,8,4,11,39,26,18,86,16,17,0,3,32,13,6,14,52,44,24,123,9,12,0,0,22,4,3,6,32,54,23,111,7,7,4,0,16,0,6,3,25,42,32,91,3,4,0,0,9,0,0,0,13,47,38,91,0,0,0,0,0,0,0,0,0,34,37,68,0,0,0,0,0,4,0,4,4,19,13,33,149,126,26,10,309,94,46,139,445,485,314,1248
69799,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,12,0,0,0,12,4,3,19
7GDAR,9549,1286,1012,11849,5992,1638,304,117,8045,159,78,239,8285,1053,918,10257,5614,1294,291,104,7300,141,58,201,7501,964,873,9343,5345,1269,326,116,7056,145,72,218,7274,1024,767,9066,4248,1088,316,83,5734,138,59,202,5933,1305,686,7923,2761,981,263,74,4079,120,55,170,4259,1908,550,6714,1164,628,138,43,1975,50,29,70,2047,2782,428,5252,365,340,45,13,760,4,19,25,788,2967,364,4120,113,137,21,13,281,4,5,12,292,3705,444,4438,51101,18528,3611,1401,74631,1873,1258,3131,77762,23923,9927,111611
7RNTE,4247,2296,692,7233,2211,746,121,82,3158,195,98,293,3455,1820,614,5885,2192,562,121,76,2951,167,54,218,3172,1675,570,5411,2263,589,171,66,3081,138,56,196,3277,1677,594,5546,2036,522,151,64,2768,86,39,126,2897,1375,583,4855,1507,442,115,35,2100,55,34,92,2194,1496,448,4140,679,277,66,27,1050,17,15,38,1087,1531,354,2966,190,146,26,10,371,5,9,12,385,1263,196,1836,76,65,3,12,162,9,7,11,175,1432,222,1826,22130,7199,1623,897,31846,2167,937,3095,34941,26866,7144,68943
79499,83,101,120,303,27,13,14,7,57,10,3,11,68,96,109,270,18,8,11,0,37,7,4,11,44,104,148,295,21,12,13,0,49,10,4,13,62,103,129,298,11,5,0,0,25,3,0,4,31,136,126,296,9,10,0,0,25,6,8,9,35,154,98,289,4,6,5,0,17,4,0,0,19,131,57,215,0,0,0,0,5,0,0,0,5,81,25,103,0,0,0,0,0,0,0,0,0,37,15,56,252,132,92,27,500,85,37,127,633,1251,1174,3052
79799,3,5,4,10,4,0,0,0,4,0,0,0,4,0,3,11,3,0,0,0,7,0,0,0,7,5,6,12,7,0,0,0,6,0,0,0,6,0,0,10,3,0,0,0,3,0,0,0,3,0,0,4,6,0,0,0,6,0,0,0,10,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,6,5,3,56,4,0,4,63,8,21,94
8ACTE,32725,3065,1407,37197,20498,6152,946,236,27828,405,201,606,28435,2555,1105,32085,19241,4924,744,189,25103,373,189,563,25664,2613,965,29240,17117,4370,877,169,22537,333,164,501,23036,2989,859,26885,12403,4067,835,107,17413,305,197,501,17908,5227,757,23892,6777,3654,664,68,11159,225,181,413,11569,9183,684,21438,2488,2367,341,39,5233,67,105,172,5403,12426,659,18496,743,1298,127,29,2190,17,46,65,2248,14234,666,17150,211,657,61,25,951,3,24,25,976,23866,1675,26519,163473,71301,10985,2632,248388,4706,5202,9905,258296,97350,15345,370996
89499,25,11,13,45,10,8,4,0,19,3,0,3,25,11,23,54,8,0,0,0,20,0,3,3,25,6,15,40,10,0,4,0,19,0,0,0,14,13,10,40,5,0,0,0,9,0,0,0,12,14,12,32,4,8,0,0,13,0,0,0,16,15,14,45,0,0,0,0,0,0,0,0,0,14,3,20,0,0,0,0,0,0,0,0,0,3,4,14,0,0,0,0,0,0,0,0,0,9,6,11,108,83,16,3,216,32,17,48,264,169,129,560
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,231,66,49,350,134,50,12,3,198,6,3,8,204,41,44,288,152,48,15,4,223,0,0,3,223,43,36,310,162,63,8,3,240,0,5,0,244,50,65,354,183,63,16,8,271,10,4,11,282,53,46,391,139,89,12,0,238,4,6,8,246,84,44,378,72,56,10,6,139,0,0,0,143,135,40,320,39,40,9,0,86,0,0,0,87,147,30,264,13,29,4,0,42,0,0,0,46,220,53,321,1347,719,131,47,2243,25,32,53,2297,1086,574,3953
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,3,4,0,4,8,0,3,11
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
