GCCSA_CODE_2021,C21_20_24_Div_M,C21_20_24_Div_F,C21_20_24_Div_P,C21_20_24_Wid_M,C21_20_24_Wid_F,C21_20_24_Wid_P,C21_20_24_Nvr_marrd_M,C21_20_24_Nvr_marrd_F,C21_20_24_Nvr_marrd_P,C21_20_24_Tot_M,C21_20_24_Tot_F,C21_20_24_Tot_P,C21_25_29_Married_M,C21_25_29_Married_F,C21_25_29_Married_P,C21_25_29_Sep_M,C21_25_29_Sep_F,C21_25_29_Sep_P,C21_25_29_Div_M,C21_25_29_Div_F,C21_25_29_Div_P,C21_25_29_Wid_M,C21_25_29_Wid_F,C21_25_29_Wid_P,C21_25_29_Nvr_marrd_M,C21_25_29_Nvr_marrd_F,C21_25_29_Nvr_marrd_P,C21_25_29_Tot_M,C21_25_29_Tot_F,C21_25_29_Tot_P,C21_30_34_Married_M,C21_30_34_Married_F,C21_30_34_Married_P,C21_30_34_Sep_M,C21_30_34_Sep_F,C21_30_34_Sep_P,C21_30_34_Div_M,C21_30_34_Div_F,C21_30_34_Div_P,C21_30_34_Wid_M,C21_30_34_Wid_F,C21_30_34_Wid_P,C21_30_34_Nvr_marrd_M,C21_30_34_Nvr_marrd_F,C21_30_34_Nvr_marrd_P,C21_30_34_Tot_M,C21_30_34_Tot_F,C21_30_34_Tot_P,C21_35_39_Married_M,C21_35_39_Married_F,C21_35_39_Married_P,C21_35_39_Sep_M,C21_35_39_Sep_F,C21_35_39_Sep_P,C21_35_39_Div_M,C21_35_39_Div_F,C21_35_39_Div_P,C21_35_39_Wid_M,C21_35_39_Wid_F,C21_35_39_Wid_P,C21_35_39_Nvr_marrd_M,C21_35_39_Nvr_marrd_F,C21_35_39_Nvr_marrd_P,C21_35_39_Tot_M,C21_35_39_Tot_F,C21_35_39_Tot_P,C21_40_44_Married_M,C21_40_44_Married_F,C21_40_44_Married_P,C21_40_44_Sep_M,C21_40_44_Sep_F,C21_40_44_Sep_P,C21_40_44_Div_M,C21_40_44_Div_F,C21_40_44_Div_P,C21_40_44_Wid_M,C21_40_44_Wid_F,C21_40_44_Wid_P,C21_40_44_Nvr_marrd_M,C21_40_44_Nvr_marrd_F,C21_40_44_Nvr_marrd_P,C21_40_44_Tot_M,C21_40_44_Tot_F,C21_40_44_Tot_P,C21_45_49_Married_M,C21_45_49_Married_F,C21_45_49_Married_P,C21_45_49_Sep_M,C21_45_49_Sep_F,C21_45_49_Sep_P,C21_45_49_Div_M,C21_45_49_Div_F,C21_45_49_Div_P,C21_45_49_Wid_M,C21_45_49_Wid_F,C21_45_49_Wid_P,C21_45_49_Nvr_marrd_M,C21_45_49_Nvr_marrd_F,C21_45_49_Nvr_marrd_P,C21_45_49_Tot_M,C21_45_49_Tot_F,C21_45_49_Tot_P,C21_50_54_Married_M,C21_50_54_Married_F,C21_50_54_Married_P,C21_50_54_Sep_M,C21_50_54_Sep_F,C21_50_54_Sep_P,C21_50_54_Div_M,C21_50_54_Div_F,C21_50_54_Div_P,C21_50_54_Wid_M,C21_50_54_Wid_F,C21_50_54_Wid_P,C21_50_54_Nvr_marrd_M,C21_50_54_Nvr_marrd_F,C21_50_54_Nvr_marrd_P,C21_50_54_Tot_M,C21_50_54_Tot_F,C21_50_54_Tot_P,C21_55_59_Married_M,C21_55_59_Married_F,C21_55_59_Married_P,C21_55_59_Sep_M,C21_55_59_Sep_F,C21_55_59_Sep_P,C21_55_59_Div_M,C21_55_59_Div_F,C21_55_59_Div_P,C21_55_59_Wid_M,C21_55_59_Wid_F,C21_55_59_Wid_P,C21_55_59_Nvr_marrd_M,C21_55_59_Nvr_marrd_F,C21_55_59_Nvr_marrd_P,C21_55_59_Tot_M,C21_55_59_Tot_F,C21_55_59_Tot_P,C21_60_64_Married_M,C21_60_64_Married_F,C21_60_64_Married_P,C21_60_64_Sep_M,C21_60_64_Sep_F,C21_60_64_Sep_P,C21_60_64_Div_M,C21_60_64_Div_F,C21_60_64_Div_P,C21_60_64_Wid_M,C21_60_64_Wid_F,C21_60_64_Wid_P,C21_60_64_Nvr_marrd_M,C21_60_64_Nvr_marrd_F,C21_60_64_Nvr_marrd_P,C21_60_64_Tot_M,C21_60_64_Tot_F,C21_60_64_Tot_P,C21_65_69_Married_M,C21_65_69_Married_F,C21_65_69_Married_P,C21_65_69_Sep_M,C21_65_69_Sep_F,C21_65_69_Sep_P,C21_65_69_Div_M,C21_65_69_Div_F,C21_65_69_Div_P,C21_65_69_Wid_M,C21_65_69_Wid_F,C21_65_69_Wid_P,C21_65_69_Nvr_marrd_M,C21_65_69_Nvr_marrd_F,C21_65_69_Nvr_marrd_P,C21_65_69_Tot_M,C21_65_69_Tot_F,C21_65_69_Tot_P,C21_70_74_Married_M,C21_70_74_Married_F,C21_70_74_Married_P,C21_70_74_Sep_M,C21_70_74_Sep_F,C21_70_74_Sep_P,C21_70_74_Div_M,C21_70_74_Div_F,C21_70_74_Div_P,C21_70_74_Wid_M,C21_70_74_Wid_F,C21_70_74_Wid_P,C21_70_74_Nvr_marrd_M,C21_70_74_Nvr_marrd_F,C21_70_74_Nvr_marrd_P,C21_70_74_Tot_M,C21_70_74_Tot_F,C21_70_74_Tot_P,C21_75_79_Married_M,C21_75_79_Married_F,C21_75_79_Married_P,C21_75_79_Sep_M,C21_75_79_Sep_F,C21_75_79_Sep_P,C21_75_79_Div_M,C21_75_79_Div_F
39499,0,0,0,0,0,0,426,466,894,444,493,934,38,64,98,14,20,33,6,8,17,0,0,0,589,674,1260,642,762,1404,103,110,213,40,44,85,18,16,32,0,0,0,494,416,912,660,582,1242,125,140,264,56,39,90,18,42,62,4,7,11,417,234,649,617,454,1077,107,110,217,62,46,111,64,56,122,3,0,9,336,210,548,575,425,1005,124,116,242,61,46,109,109,74,185,0,5,9,276,164,440,567,408,976,117,163,283,74,39,116,88,123,207,0,9,17,195,139,340,478,484,959,192,255,447,70,29,101,142,147,289,10,19,26,165,69,241,582,521,1101,384,389,774,54,33,93,157,147,309,11,21,30,108,56,159,715,652,1367,400,320,720,74,31,106,159,130,299,24,29,53,72,23,93,730,535,1269,240,184,425,57,14,73,149,89,235,37,40,75,37,8,47,525,330,854,117,63,189,20,4,23,43,27
39799,0,0,0,0,0,0,4,9,16,4,9,16,5,0,5,0,0,0,0,0,0,0,0,0,16,11,23,15,11,25,3,0,3,0,0,0,0,0,0,0,0,0,15,0,15,17,4,24,19,0,19,0,0,0,0,0,0,0,0,0,5,3,17,33,3,34,21,0,19,6,0,6,0,0,0,0,0,0,5,0,3,26,6,26,18,0,18,0,0,0,5,0,5,0,0,0,7,0,7,26,0,26,10,0,14,0,0,0,0,0,0,0,0,0,0,0,0,16,0,18,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,33,60,88,14,14,28,45597,42117,87724,46599,44468,91070,8131,12390,20520,294,639,935,277,505,788,22,38,56,40327,34230,74550,49054,47798,96852,20076,24795,44879,891,1399,2285,1020,1662,2680,31,92,117,25540,21349,46896,47559,49299,96859,27337,29639,56977,1482,2154,3633,2120,3128,5248,58,225,279,16852,14478,31329,47838,49624,97466,26241,26656,52896,1747,2303,4054,2910,4202,7115,97,327,424,12083,10610,22697,43080,44106,87190,25478,25476,50955,2069,2582,4645,4164,6126,10297,207,575,775,10937,9074,20009,42847,43833,86685,25206,25495,50706,2149,2609,4755,5602,7755,13358,323,1008,1332,10108,8120,18228,43389,44995,88386,25048,25043,50086,1977,2256,4232,6280,8791,15067,499,1677,2172,7974,6374,14346,41765,44139,85906,24778,24537,49310,1670,1939,3606,6437,9204,15642,787,2634,3424,5810,4708,10519,39480,43024,82505,22859,22205,45065,1423,1497,2918,5548,8196,13744,1167,3920,5084,3546,2982,6528,34533,38801,73340,22262,20207,42475,1047,933,1984,4506,6728,11231,1668,6202,7870,2069,1780,3847,31552,35856,67407,16098,13130,29226,582,521,1103,2630,3944
4RSAU,12,10,16,6,4,11,9115,7932,17045,9450,8451,17897,1740,2543,4280,109,192,298,53,85,139,7,12,17,8235,7055,15295,10141,9890,20035,4049,4668,8721,233,412,649,220,327,545,11,32,42,6073,4889,10962,10590,10331,20918,5274,5896,11173,417,580,994,467,644,1111,23,44,69,4376,3508,7886,10557,10678,21228,5462,5769,11228,509,603,1119,663,920,1581,43,74,116,3433,2763,6192,10110,10132,20243,5931,6392,12321,612,724,1335,1126,1513,2638,57,190,245,3537,2720,6256,11254,11541,22798,7164,7457,14621,707,771,1481,1798,2078,3870,121,339,461,3441,2418,5860,13229,13063,26292,7844,8256,16101,759,751,1518,2291,2554,4847,168,605,770,3063,1864,4924,14128,14030,28157,8982,9321,18305,763,661,1422,2725,2790,5511,346,911,1258,2261,1317,3577,15076,14999,30074,9459,9128,18591,701,524,1223,2542,2374,4917,586,1444,2021,1308,690,2000,14601,14156,28759,9161,8230,17391,575,362,932,2077,1790,3871,763,2316,3075,782,432,1212,13354,13130,26480,6642,5333,11970,291,179,469,1139,993
49499,0,0,0,0,3,3,111,88,199,108,95,206,6,12,24,3,3,0,3,0,3,0,0,0,141,136,282,152,153,309,19,26,44,3,9,14,9,12,17,0,0,0,131,105,239,166,149,318,29,33,64,19,18,35,14,16,23,0,0,0,88,81,170,157,137,295,22,15,41,13,13,22,16,11,26,0,0,0,84,57,147,134,101,237,29,17,45,19,10,24,28,7,35,3,0,3,78,37,117,151,80,229,23,20,37,20,19,39,25,22,49,3,3,11,75,32,110,151,99,246,25,40,69,21,15,33,49,21,69,4,3,5,51,13,62,152,97,241,50,53,101,27,13,44,43,21,69,7,3,13,35,15,48,161,106,265,56,49,102,16,7,21,27,20,44,7,4,9,17,9,27,121,83,205,39,30,76,9,5,16,31,14,48,5,6,14,5,0,5,94,58,150,19,9,20,4,0,4,12,5
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,43,82,120,34,34,63,65781,62067,127848,67284,65344,132631,11229,18359,29583,512,1100,1609,399,802,1203,53,56,110,59377,51967,111341,71559,72285,143850,31758,41230,72984,1521,2648,4170,1744,2807,4556,71,146,216,42607,35516,78123,77701,82350,160051,46804,51082,97885,2615,3677,6294,3441,4975,8415,79,329,405,27751,22685,50431,80691,82738,163435,44887,46007,90890,2982,3769,6750,4571,6450,11020,134,526,660,18583,15577,34162,71155,72329,143484,43620,43579,87196,3297,4133,7430,6245,8894,15135,282,873,1156,15012,12582,27593,68465,70055,138515,42930,42181,85109,3476,3889,7363,7982,11249,19228,475,1393,1869,12496,9985,22483,67358,68693,136051,40023,39152,79172,2930,3316,6249,8736,12123,20863,737,2198,2943,9304,7194,16493,61737,63977,125717,37179,35966,73143,2292,2674,4967,8261,12017,20281,1003,3659,4661,6565,4858,11422,55301,59167,114471,33343,31881,65221,1934,1995,3934,7297,10676,17974,1422,5451,6872,3991,3137,7127,47993,53135,101124,30679,26444,57125,1479,1425,2903,5976,8534,14514,2099,7893,9993,2430,1867,4292,42656,46169,88828,21144,16211,37356,924,736,1656,3488,5013
5RWAU,10,18,26,13,11,28,12962,11299,24263,13513,12084,25595,2629,3641,6277,156,250,403,95,155,252,17,25,46,13161,11257,24415,16061,15324,31391,6687,7909,14594,386,573,958,364,542,908,22,61,83,10265,8628,18889,17722,17709,35428,9374,10262,19635,662,859,1519,777,1012,1791,24,106,125,7475,6078,13546,18307,18303,36610,9722,9461,19177,853,986,1843,1180,1404,2580,66,168,236,5651,4751,10404,17476,16769,34251,10050,9828,19875,1028,1069,2094,1691,1959,3652,88,262,343,5261,4154,9413,18113,17268,35382,10623,10181,20808,1097,1079,2176,2394,2790,5184,146,412,554,4611,3547,8158,18866,18016,36883,10784,10440,21225,1069,971,2038,2857,3186,6044,285,655,942,3718,2510,6229,18715,17759,36478,11059,10626,21684,954,816,1774,3121,3251,6369,420,1075,1498,2580,1678,4255,18136,17441,35576,9993,9282,19275,753,563,1320,2677,2671,5350,597,1582,2177,1573,879,2460,15587,14987,30573,9084,7567,16654,622,404,1029,2227,1938,4172,770,2103,2875,865,491,1358,13572,12505,26084,5939,4574,10519,312,185,496,1143,1121
59499,0,0,0,0,0,0,294,248,539,295,256,562,20,30,53,11,13,17,4,5,6,0,0,0,351,306,666,385,358,744,56,80,130,22,18,36,27,24,45,0,0,0,330,223,550,433,339,773,102,78,184,45,24,66,30,28,54,0,0,5,275,189,456,449,315,769,87,66,154,44,31,72,35,29,68,0,8,9,305,163,470,476,298,770,68,61,126,59,16,76,47,43,94,3,5,13,256,117,377,433,244,680,59,53,113,64,24,89,72,50,122,7,4,9,197,93,295,404,228,631,83,88,174,33,23,63,81,61,141,11,4,16,118,47,160,330,226,552,124,138,265,51,15,65,68,60,132,3,16,13,87,26,115,339,250,588,126,122,249,16,5,24,74,53,132,16,10,22,35,12,49,268,204,478,73,39,116,10,12,21,41,30,76,20,15,38,25,7,34,176,112,281,40,11,52,7,0,8,20,0
59799,0,0,0,0,0,0,25,11,31,25,11,31,0,3,4,0,0,0,0,0,0,0,0,0,38,10,48,49,7,54,17,5,19,0,0,0,0,0,0,0,0,0,27,4,32,48,5,54,36,0,36,0,0,7,7,5,10,0,0,0,38,4,48,85,10,92,44,0,44,5,0,5,6,0,6,0,0,0,24,0,26,79,0,82,33,0,31,8,0,8,8,0,8,0,0,0,7,0,8,51,3,57,27,0,29,0,0,0,6,0,8,0,0,0,12,0,12,48,3,54,13,0,13,3,0,3,6,0,6,0,0,0,0,0,0,26,0,26,19,0,22,6,0,6,7,0,8,0,0,0,0,0,5,27,3,34,9,3,11,0,0,0,5,0,5,0,0,0,0,0,0,9,3,13,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
6GHOB,8,6,12,4,0,4,7265,6897,14167,7479,7341,14817,1889,2612,4503,75,137,224,46,98,144,13,6,15,8020,7019,15039,10044,9877,19919,3998,4443,8440,163,262,427,220,298,512,12,18,28,5491,4937,10430,9878,9956,19837,4370,4549,8918,246,372,613,346,537,887,8,36,44,3406,3256,6662,8374,8753,17128,3851,3922,7773,277,396,670,472,721,1190,19,46,61,2420,2416,4839,7027,7499,14528,3863,4088,7948,315,421,736,727,1034,1764,32,109,144,2125,2002,4126,7068,7649,14715,3878,4065,7943,385,471,852,1003,1430,2433,72,157,227,1815,1669,3484,7148,7782,14934,3960,4104,8063,371,441,808,1204,1708,2909,109,289,404,1444,1167,2609,7081,7709,14789,4379,4468,8844,319,370,686,1228,1727,2948,182,459,641,1088,940,2023,7192,7959,15150,4149,4054,8206,247,231,484,1094,1628,2719,225,804,1031,747,579,1330,6470,7301,13773,4051,3505,7559,157,213,368,872,1285,2163,352,1169,1522,428,331,764,5866,6506,12375,2673,2195,4866,129,84,211,519,785
6RTAS,6,19,27,6,5,8,7996,7319,15309,8257,7822,16081,1759,2469,4234,75,165,237,69,110,182,3,9,10,7564,6492,14056,9471,9243,18716,3489,4034,7523,198,357,558,210,330,544,10,24,31,4929,4369,9301,8833,9116,17955,4223,4675,8897,310,456,769,420,595,1017,11,55,67,3476,3269,6740,8436,9048,17486,4143,4595,8735,355,510,862,590,887,1476,25,75,101,2832,2592,5426,7946,8656,16602,4671,5034,9706,468,592,1054,1016,1276,2287,51,161,211,2765,2396,5163,8973,9451,18425,5443,5967,11410,560,634,1195,1446,2006,3448,95,276,369,2476,2013,4495,10016,10899,20913,6050,6430,12483,573,620,1189,1797,2181,3978,163,539,706,2162,1577,3742,10748,11351,22099,6843,7119,13957,529,523,1052,2039,2351,4389,279,789,1074,1554,1129,2686,11245,11910,23156,6779,6364,13142,480,420,901,1897,2045,3946,392,1184,1579,1040,665,1701,10591,10684,21274,6442,5642,12085,401,276,681,1499,1709,3208,642,1756,2401,648,393,1038,9635,9780,19414,4586,3471,8055,193,114,307,851,930
69499,0,0,0,0,0,0,61,50,118,71,53,119,0,6,10,0,0,0,0,0,0,0,0,0,64,36,102,64,45,111,8,4,11,8,0,6,0,0,0,0,0,0,55,37,90,72,43,114,5,9,12,5,4,5,7,0,8,0,0,0,31,31,59,47,42,86,5,9,21,7,7,18,3,8,9,0,0,3,30,24,62,52,56,114,4,5,10,7,6,12,15,0,12,0,0,0,33,17,49,53,26,86,12,9,20,13,11,18,12,9,27,0,0,0,37,17,57,75,47,123,15,15,33,11,8,17,16,20,31,0,0,0,15,12,23,57,57,111,12,13,26,13,6,15,14,16,29,0,0,0,10,5,21,54,42,91,16,6,18,10,7,14,24,15,37,0,3,7,16,3,20,61,34,91,14,8,19,7,3,8,10,16,25,3,10,12,0,5,4,31,36,68,4,0,6,3,3,3,6,3
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,4,5,14,0,4,5,4662,3767,8430,4903,4144,9046,1284,1848,3130,43,100,143,42,83,126,7,6,11,4831,4342,9175,6207,6377,12582,2745,3219,5967,104,176,281,146,218,361,0,14,14,3550,3190,6746,6545,6821,13367,3230,3366,6597,166,260,423,239,337,579,6,21,27,2152,2068,4221,5793,6052,11849,2961,2956,5916,204,278,482,318,465,782,12,52,64,1534,1482,3014,5029,5230,10257,2684,2526,5215,209,248,455,451,537,981,26,67,96,1360,1236,2591,4727,4615,9343,2542,2403,4950,263,254,515,561,688,1249,40,115,154,1226,971,2195,4633,4428,9066,2233,2010,4244,219,223,442,622,689,1310,67,199,267,950,714,1660,4082,3842,7923,1908,1739,3652,201,184,381,589,640,1226,69,276,347,642,463,1109,3416,3301,6714,1536,1258,2793,172,134,303,521,530,1053,98,345,443,410,261,670,2732,2525,5252,1233,914,2147,115,91,214,427,409,838,107,427,538,240,143,380,2133,1993,4120,748,455,1205,72,28,99,166,213
7RNTE,15,16,27,9,14,14,2523,2280,4801,3326,3225,6550,1174,1389,2563,61,107,162,31,52,83,14,29,42,2643,2530,5172,3924,4104,8025,1765,1964,3724,79,117,196,79,99,177,12,50,67,2010,2057,4071,3950,4287,8236,1892,1896,3784,101,159,258,98,133,236,7,57,64,1441,1451,2895,3536,3696,7233,1640,1472,3112,106,161,272,141,178,324,22,63,84,1060,1037,2097,2971,2910,5885,1429,1326,2751,154,129,286,214,219,432,28,107,135,880,931,1816,2705,2711,5411,1362,1376,2733,131,171,310,295,333,628,60,161,225,800,844,1650,2655,2888,5546,1301,1132,2434,141,130,274,302,327,628,47,221,271,638,607,1249,2433,2426,4855,1113,948,2066,140,103,244,259,301,559,102,303,405,442,428,867,2054,2086,4140,802,615,1417,113,83,191,248,225,470,86,287,374,278,227,513,1520,1446,2966,535,313,843,76,43,109,175,130,306,87,258,351,114,120,229,979,858,1836,258,139,393,28,21,50,91,67
79499,0,0,0,0,0,0,74,91,163,84,99,183,7,19,28,0,3,3,4,0,5,0,3,3,125,160,290,137,185,320,35,42,78,0,8,4,3,4,7,0,0,0,121,124,247,158,175,336,43,60,104,7,5,11,5,3,16,0,3,3,93,79,174,155,145,303,49,29,76,6,7,13,7,14,20,0,0,0,83,75,159,149,122,270,42,39,84,3,4,6,10,11,21,5,6,9,97,85,177,156,139,295,37,44,85,7,7,15,15,15,32,12,11,23,82,62,145,151,142,298,46,44,97,4,8,11,20,15,35,3,8,10,76,60,142,154,138,296,59,62,120,3,0,3,30,23,48,10,14,22,50,36,88,146,139,289,68,58,124,12,0,11,21,4,30,4,12,18,22,6,29,124,89,215,38,16,52,6,0,6,19,6,20,0,0,4,13,7,24,78,25,103,12,4,19,4,0,4,3,0
79799,0,0,0,0,0,0,6,0,6,6,3,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,4,0,4,5,0,5,0,0,0,0,0,0,11,4,12,14,4,17,5,0,5,0,0,0,0,0,0,0,0,0,9,0,9,10,0,10,0,0,0,0,0,0,4,0,4,0,0,0,3,0,3,11,0,11,4,0,4,0,0,0,0,0,0,0,0,0,3,0,3,14,0,12,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,5,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,4,6,0,6,0,0,0,15,0,15,0,0,0,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,9,31,44,4,4,9,16643,16173,32815,17042,17132,34174,3661,5315,8973,109,208,320,118,196,315,6,7,14,15813,13787,29593,19704,19514,39217,8458,10264,18716,302,440,733,423,619,1041,18,22,36,9743,8141,17885,18935,19487,38419,11311,12039,23352,449,632,1079,795,1087,1883,28,59,85,5706,5091,10793,18292,18905,37197,10584,10219,20808,544,692,1232,979,1384,2363,34,92,123,3841,3720,7562,15984,16102,32085,9336,9053,18391,619,729,1345,1300,1840,3136,45,192,232,3154,2980,6129,14457,14789,29240,8551,8191,16744,564,713,1277,1545,2151,3693,74,228,305,2601,2275,4873,13331,13559,26885,7620,7287,14904,500,545,1047,1543,2316,3861,109,401,510,1873,1709,3581,11645,12249,23892,6871,6638,13504,388,427,809,1422,2215,3634,173,667,846,1374,1266,2641,10224,11212,21438,6133,5841,11975,289,341,629,1143,1971,3111,255,981,1234,810,734,1538,8629,9866,18496,5897,5175,11075,206,257,466,996,1728,2721,406,1511,1919,487,479,964,7994,9154,17150,4086,3118,7197,129,122,255,535,1017
89499,0,0,0,0,0,0,43,42,83,44,40,82,0,11,10,0,0,0,0,0,0,0,0,0,30,26,58,32,33,63,5,3,4,0,0,0,0,0,0,0,0,0,24,14,42,30,19,45,0,0,7,0,0,6,0,0,3,0,0,0,25,8,29,34,15,45,0,5,5,5,6,5,0,4,4,0,0,0,27,14,43,30,26,54,0,0,3,8,0,3,4,4,10,0,0,0,16,3,23,29,12,40,7,3,6,0,0,0,9,5,12,0,0,4,11,5,21,22,14,40,3,3,5,5,0,3,6,4,10,0,0,5,0,3,9,17,15,32,9,6,16,0,5,6,5,7,11,0,3,3,5,0,13,20,21,45,3,5,5,3,0,3,5,4,9,0,0,0,4,0,4,11,8,20,4,0,9,0,0,0,3,0,8,0,0,4,0,0,0,9,5,14,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,0,0,0,0,0,101,88,186,108,108,218,43,34,82,3,0,3,0,0,0,0,0,0,117,80,195,163,113,277,51,53,110,5,12,14,5,0,8,0,0,0,110,60,171,170,126,299,89,96,182,8,3,12,14,15,21,3,0,3,67,57,127,176,166,350,85,91,172,4,4,10,6,8,13,0,0,0,52,38,92,145,140,288,87,84,168,16,3,21,22,23,42,0,0,0,40,36,80,165,140,310,102,81,183,9,19,29,21,33,51,0,4,4,51,33,84,180,171,354,116,115,228,8,16,27,39,36,73,3,0,5,28,23,54,190,193,391,110,107,220,13,9,19,41,40,83,0,11,12,22,21,43,189,187,378,109,92,196,10,4,15,24,25,53,5,16,18,14,25,36,165,155,320,119,69,189,9,0,11,15,12,26,7,20,22,12,4,19,157,108,264,46,44,92,6,0,9,9,10
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
