GCCSA_CODE_2021,C11_CF_1F1NW_800_1249,C11_CF_1F1NW_1250_1999,C11_CF_1F1NW_2000_2499,C11_CF_1F1NW_2500_2999,C11_CF_1F1NW_3000_3999,C11_CF_1F1NW_4000more,C11_CF_1F1NW_Ns,C11_CF_1F1NW_Tot,C11_CF_1P1NW_Neg_ni_inc,C11_CF_1P1NW_1_149,C11_CF_1P1NW_150_399,C11_CF_1P1NW_400_649,C11_CF_1P1NW_650_799,C11_CF_1P1NW_800_1249,C11_CF_1P1NW_1250_1999,C11_CF_1P1NW_2000_2499,C11_CF_1P1NW_2500_2999,C11_CF_1P1NW_3000_3999,C11_CF_1P1NW_4000more,C11_CF_1P1NW_Ns,C11_CF_1P1NW_Tot,C11_CF_1A1NW_Neg_ni_inc,C11_CF_1A1NW_1_149,C11_CF_1A1NW_150_399,C11_CF_1A1NW_400_649,C11_CF_1A1NW_650_799,C11_CF_1A1NW_800_1249,C11_CF_1A1NW_1250_1999,C11_CF_1A1NW_2000_2499,C11_CF_1A1NW_2500_2999,C11_CF_1A1NW_3000_3999,C11_CF_1A1NW_4000more,C11_CF_1A1NW_Ns,C11_CF_1A1NW_Tot,C11_CF_BA_Neg_ni_inc,C11_CF_BA_1_149,C11_CF_BA_150_399,C11_CF_BA_400_649,C11_CF_BA_650_799,C11_CF_BA_800_1249,C11_CF_BA_1250_1999,C11_CF_BA_2000_2499,C11_CF_BA_2500_2999,C11_CF_BA_3000_3999,C11_CF_BA_4000more,C11_CF_BA_Ns,C11_fc_BA_Tot,C11_CF_BNW_Neg_ni_inc,C11_CF_BNW_1_149,C11_CF_BNW_150_399,C11_CF_BNW_400_649,C11_CF_BNW_650_799,C11_CF_BNW_800_1249,C11_CF_BNW_1250_1999,C11_CF_BNW_2000_2499,C11_CF_BNW_2500_2999,C11_CF_BNW_3000_3999,C11_CF_BNW_4000more,C11_CF_BNW_Ns,C11_CF_BNW_Tot,C11_CF_LFns_Neg_ni_inc,C11_CF_LFns_1_149,C11_CF_LFns_150_399,C11_CF_LFns_400_649,C11_CF_LFns_650_799,C11_CF_LFns_800_1249,C11_CF_LFns_1250_1999,C11_CF_LFns_2000_2499,C11_CF_LFns_2500_2999,C11_CF_LFns_3000_3999,C11_CF_LFns_4000more,C11_CF_LFns_Ns,C11_CF_LFns_Tot,C11_CF_Tot_Neg_ni_inc,C11_CF_Tot_1_149,C11_CF_Tot_150_399,C11_CF_Tot_400_649,C11_CF_Tot_650_799,C11_CF_Tot_800_1249,C11_CF_Tot_1250_1999,C11_CF_Tot_2000_2499,C11_CF_Tot_2500_2999,C11_CF_Tot_3000_3999,C11_CF_Tot_4000more,C11_CF_TotFI_Ns,C11_CF_Tot_Tot,C11_1PF_F_Neg_ni_inc,C11_1PF_F_1_149,C11_1PF_F_150_399,C11_1PF_F_400_649,C11_1PF_F_650_799,C11_1PF_F_800_1249,C11_1PF_F_1250_1999,C11_1PF_F_2000_2499,C11_1PF_F_2500_2999,C11_1PF_F_3000_3999,C11_1PF_F_4000more,C11_1PF_F_Ns,C11_1PF_F_Tot,C11_1PF_P_Neg_ni_inc,C11_1PF_P_1_149,C11_1PF_P_150_399,C11_1PF_P_400_649,C11_1PF_P_650_799,C11_1PF_P_800_1249,C11_1PF_P_1250_1999,C11_1PF_P_2000_2499,C11_1PF_P_2500_2999,C11_1PF_P_3000_3999,C11_1PF_P_4000more,C11_1PF_P_Ns,C11_1PF_P_Tot,C11_1PF_A_Neg_ni_inc,C11_1PF_A_1_149,C11_1PF_A_150_399,C11_1PF_A_400_649,C11_1PF_A_650_799,C11_1PF_A_800_1249,C11_1PF_A_1250_1999,C11_1PF_A_2000_2499,C11_1PF_A_2500_2999,C11_1PF_A_3000_3999,C11_1PF_A_4000more,C11_1PF_A_Ns,C11_1PF_A_Tot,C11_1PF_U_Neg_ni_inc,C11_1PF_U_1_149,C11_1PF_U_150_399,C11_1PF_U_400_649,C11_1PF_U_650_799,C11_1PF_U_800_1249,C11_1PF_U_1250_1999,C11_1PF_U_2000_2499,C11_1PF_U_2500_2999,C11_1PF_U_3000_3999,C11_1PF_U_4000more,C11_1PF_U_Ns,C11_1PF_U_Tot,C11_1PF_N_lf_Fi_Neg_ni_inc,C11_1PF_N_lf_Fi_1_149,C11_1PF_N_lf_Fi_150_399,C11_1PF_N_lf_Fi_400_649,C11_1PF_N_lf_Fi_650_799,C11_1PF_N_lf_Fi_800_1249,C11_1PF_N_lf_Fi_1250_1999,C11_1PF_N_lf_Fi_2000_2499,C11_1PF_N_lf_Fi_2500_2999,C11_1PF_N_lf_Fi_3000_3999,C11_1PF_N_lf_Fi_4000more,C11_1PF_N_lf_Fi_Ns,C11_1PF_N_lf_Tot,C11_1PF_LFns_Neg_ni_inc,C11_1PF_LFns_1_149,C11_1PF_LFns_150_399,C11_1PF_LFns_400_649,C11_1PF_LFns_650_799,C11_1PF_LFns_800_1249,C11_1PF_LFns_1250_1999,C11_1PF_LFns_2000_2499,C11_1PF_LFns_2500_2999,C11_1PF_LFns_3000_3999,C11_1PF_LFns_4000more,C11_1PF_LFns_Ns,C11_1PF_LF_NS_Tot,C11_1PF_TotFI_Neg_ni_inc,C11_1PF_TotFI_1_149,C11_1PF_TotFI_150_399,C11_1PF_TotFI_400_649,C11_1PF_TotFI_650_799,C11_1PF_TotFI_800_1249,C11_1PF_TotFI_1250_1999,C11_1PF_TotFI_2000_2499,C11_1PF_TotFI_2500_2999,C11_1PF_TotFI_3000_3999,C11_1PF_TotFI_4000more,C11_1PF_TotFI_Ns,C11_1PF_TotFI_Tot,C11_TotFI_Neg_ni_inc,C11_TotFI_1_149,C11_TotFI_150_399,C11_TotFI_400_649,C11_TotFI_650_799,C11_TotFI_800_1249,C11_TotFI_1250_1999,C11_TotFI_2000_2499,C11_TotFI_2500_2999,C11_TotFI_3000_3999,C11_TotFI_4000more,C11_TotFI_Ns,C11_Tot_Tot,C16_CFNC_BF_Neg_ni_inc,C16_CFNC_BF_1_149,C16_CFNC_BF_150_399,C16_CFNC_BF_400_649,C16_CFNC_BF_650_799,C16_CFNC_BF_800_1249,C16_CFNC_BF_1250_1999,C16_CFNC_BF_2000_2499,C16_CFNC_BF_2500_2999,C16_CFNC_BF_3000_3999
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,6279,8595,1656,3854,1232,494,1737,26060,40,39,271,863,846,1905,1490,424,292,185,77,615,7049,17,11,47,124,173,523,553,120,190,84,31,265,2147,10,0,4,10,15,150,392,275,150,221,110,221,1570,293,75,661,1990,1344,2912,2453,576,279,210,99,1344,12229,6,4,22,46,41,106,102,27,20,5,3,7664,8044,586,290,1358,4084,4765,18913,36234,19751,14775,15399,6468,18217,140835,44,48,147,566,1378,4349,4780,1142,1073,341,55,1976,15888,34,117,977,2849,2565,3056,1528,283,159,72,18,1178,12843,14,19,100,249,205,355,326,59,52,18,0,212,1614,75,98,757,809,272,286,128,12,13,6,0,255,2714,479,351,3645,5413,3060,4123,1892,395,198,103,34,2162,21842,11,11,34,35,31,61,26,3,4,5,0,581,798,661,642,5663,9916,7508,12226,8666,1906,1500,536,106,6364,55698,2496,1156,10106,34791,24132,55173,70120,35909,23481,23474,9317,34279,324427,30,13,9,44,90,539,4889,6866,4927,4759
4RSAU,1996,2088,335,604,132,50,403,6355,6,11,64,294,265,566,355,63,31,25,3,160,1833,3,0,10,52,61,161,165,28,41,8,0,83,614,7,0,10,22,14,65,131,72,37,45,8,99,506,40,18,181,658,467,744,403,51,33,29,4,330,2957,0,0,4,10,16,30,34,0,0,3,0,2631,2736,171,85,485,1670,1770,6911,10587,4484,2795,2211,713,5731,37604,26,13,65,221,452,995,791,132,104,44,8,387,3236,14,53,363,994,780,669,252,30,19,7,3,299,3485,5,10,44,97,56,92,55,4,14,5,0,56,431,20,30,290,319,76,71,20,7,3,0,0,68,915,88,129,1253,1675,933,927,313,48,35,16,5,629,6041,4,0,15,14,7,21,4,0,0,0,0,229,286,149,240,2032,3315,2305,2779,1431,221,168,67,17,1669,14385,878,423,4070,14907,9082,19172,20734,8263,4556,3785,1324,11567,98757,51,20,7,122,128,517,2052,1785,1138,902
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,6971,14143,2769,13178,3292,1658,2982,47214,45,56,293,785,751,1930,1975,596,805,440,208,812,8693,27,18,60,106,169,598,979,226,812,246,110,520,3875,18,0,4,19,17,139,452,386,325,477,261,464,2566,387,111,677,1562,1083,2502,2376,733,567,449,229,1562,12242,11,3,18,32,42,130,162,47,72,27,19,19370,19934,930,406,1462,3472,4076,18156,42997,25084,31938,30435,15985,35170,210115,93,62,184,569,1464,4902,6362,1860,2264,957,227,2687,21633,39,177,1195,3079,2867,3806,2291,505,399,185,53,1505,16110,19,23,119,230,224,434,414,151,131,71,21,352,2203,146,118,813,879,295,353,184,35,27,16,0,313,3194,848,547,3740,4943,2734,3923,2415,637,436,214,86,2584,23096,25,5,50,39,31,76,31,5,3,4,0,820,1092,1173,926,6100,9744,7620,13500,11694,3202,3273,1454,385,8262,67333,4141,1632,11548,34375,23909,57101,85538,48793,49924,49572,24489,61387,452404,33,18,12,59,90,597,5512,9772,8585,10675
5RWAU,1921,3656,596,2735,543,219,808,11303,10,12,79,276,221,569,409,84,150,50,23,206,2092,11,9,25,50,57,200,326,62,251,47,21,166,1219,6,0,8,11,13,67,157,110,82,96,52,138,741,42,17,231,660,386,681,439,85,61,43,20,418,3085,3,0,5,13,15,43,50,9,25,9,7,5444,5620,300,106,615,1602,1555,5896,11802,5643,6918,5741,2546,10062,52775,22,25,90,224,468,1283,1264,269,401,170,52,620,4872,15,65,487,1024,819,799,344,66,36,21,3,410,4080,9,16,51,83,73,101,84,20,30,11,3,130,611,29,34,340,285,90,82,35,4,7,4,0,104,1018,182,156,1442,1717,874,891,414,80,66,24,7,814,6679,6,9,21,19,10,20,3,0,0,0,0,378,470,255,297,2434,3359,2328,3168,2147,440,542,230,70,2452,17733,1332,499,4578,12056,7606,16896,23366,11334,10984,10521,4503,18733,122422,83,41,18,105,101,478,2003,2361,1953,2584
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,938,1263,228,461,145,49,265,3657,4,5,34,160,145,394,260,74,41,32,12,105,1255,4,0,7,30,19,88,85,21,15,10,9,53,330,0,0,0,3,3,29,58,39,29,40,12,39,253,23,3,75,395,248,503,331,65,43,25,12,203,1928,0,0,0,9,11,20,29,12,11,4,4,1195,1287,56,34,175,758,780,3281,5944,3424,2236,2416,883,3056,23031,9,10,36,105,283,799,809,183,153,49,11,397,2830,4,16,188,609,545,610,270,41,28,11,3,231,2565,0,0,19,56,46,60,58,11,6,4,0,56,316,17,15,136,165,46,47,12,0,3,0,0,37,478,59,53,754,1052,614,723,308,57,28,6,0,390,4050,0,3,10,13,11,14,6,0,0,0,0,132,187,90,96,1151,1997,1539,2248,1468,300,225,69,13,1240,10426,310,158,1816,6214,4300,9919,12081,6184,3716,3798,1304,6136,55944,13,3,0,8,26,111,904,1256,796,844
6RTAS,1785,1903,296,440,102,37,426,5549,7,3,71,272,264,579,338,65,47,14,11,177,1841,3,4,11,44,59,157,138,24,31,14,3,65,555,0,0,0,5,9,35,86,33,23,28,9,61,287,38,15,185,683,480,789,399,70,36,19,17,322,3049,0,0,6,17,16,48,41,6,11,5,3,1861,2016,86,53,368,1335,1517,5770,8575,3605,2112,1702,558,4499,30190,13,6,47,175,357,849,765,105,90,30,3,399,2839,3,30,303,872,585,580,240,35,18,11,0,276,2954,3,0,35,61,45,66,38,7,7,0,0,76,332,13,19,269,267,58,58,18,0,0,0,0,80,801,63,72,1096,1547,796,854,289,37,19,12,10,458,5250,5,0,9,10,13,21,4,0,0,0,0,154,227,96,125,1761,2932,1858,2430,1352,194,137,52,10,1445,12403,487,266,3319,11925,6960,15090,16181,6354,3429,2787,888,8849,76537,21,16,15,49,66,292,1411,1308,819,587
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,392,762,182,383,139,48,143,2179,0,5,10,40,12,73,80,25,26,17,13,23,320,0,0,0,9,5,51,84,14,44,13,3,36,266,5,0,0,3,0,13,33,29,21,36,16,44,196,15,0,34,90,47,109,106,41,21,29,12,92,590,0,0,0,3,3,9,5,3,0,0,0,1297,1320,54,16,67,191,180,940,2530,1966,1708,2118,1107,2233,13101,9,13,20,42,136,508,677,177,192,80,9,244,2115,5,12,50,139,97,170,96,33,25,4,4,65,699,0,0,6,11,18,46,44,10,9,8,4,45,194,5,9,53,40,18,19,14,0,6,0,0,12,171,43,37,266,268,147,162,120,34,22,11,10,177,1295,0,0,4,0,0,6,0,0,0,0,0,85,99,65,69,396,502,422,905,954,255,256,104,22,625,4569,224,90,616,1209,990,2926,5626,4127,3092,3613,1669,4145,28335,9,3,0,10,5,45,507,983,955,1325
7RNTE,332,394,69,197,48,10,95,1377,0,8,73,175,83,139,81,19,16,7,0,55,661,0,0,16,30,18,28,52,10,19,3,0,23,201,0,0,5,19,8,19,23,16,6,21,3,30,153,30,30,530,523,173,243,125,35,12,8,3,149,1853,0,4,19,23,15,22,15,6,3,3,0,698,806,45,49,698,984,481,1173,1552,889,764,791,301,1412,9140,0,3,53,66,89,254,285,70,63,34,10,110,1040,0,15,111,109,68,100,58,14,3,0,0,51,528,0,4,27,23,12,38,17,4,3,0,0,35,167,10,34,99,32,5,20,9,3,0,0,0,27,244,44,213,625,343,159,169,99,24,11,5,0,169,1865,0,3,19,7,10,7,7,0,0,0,0,148,203,56,290,938,577,346,578,477,112,85,44,12,536,4037,167,364,1918,2162,1102,2359,3045,1815,1364,1397,519,2612,18830,6,4,0,7,10,54,297,432,403,407
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,885,2126,450,1791,657,325,423,6929,9,9,42,113,89,226,300,124,150,113,55,118,1346,0,0,8,21,20,72,113,48,99,42,33,70,513,0,0,0,0,5,21,58,88,57,173,101,75,587,42,15,85,192,124,336,423,222,147,148,68,221,2012,0,0,6,0,5,11,39,9,8,7,4,2389,2477,88,49,193,453,531,2325,6564,5520,6201,9404,6647,5223,43194,0,10,26,95,238,1030,2074,567,997,381,83,717,6217,0,24,183,372,393,631,483,126,108,47,16,212,2586,0,4,15,48,23,79,110,49,36,23,6,79,473,19,13,117,84,29,34,24,6,12,0,0,27,364,81,68,745,704,365,630,500,182,86,82,20,344,3821,0,0,10,0,5,9,3,0,0,0,0,108,143,113,114,1096,1301,1052,2410,3198,925,1235,539,124,1489,13604,446,209,1698,3795,3011,9129,16203,11772,11044,15562,9785,9298,91946,9,0,0,7,12,91,1049,2059,2335,3284
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,12,9,3,12,3,0,6,48,0,0,0,0,0,4,4,0,0,0,0,8,19,0,0,0,0,0,3,4,0,0,0,0,4,14,0,0,0,0,0,0,0,0,0,3,0,0,4,4,0,0,3,3,7,5,0,0,0,0,3,29,0,0,0,0,0,0,0,0,0,0,0,23,24,4,0,0,4,11,41,59,33,37,41,15,52,294,0,0,0,0,3,7,5,0,4,0,0,3,24,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,5,5,3,5,3,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,7,20,12,4,4,3,0,10,76,3,6,11,38,33,91,96,68,63,62,23,92,578,0,0,0,0,3,15,26,22,17,7
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
