GCCSA_CODE_2021,C21_Chr_Ch_nfd_0_14,C21_Chr_Ch_nfd_15_24,C21_Chr_Ch_nfd_25_34,C21_Chr_Ch_nfd_35_44,C21_Chr_Ch_nfd_45_54,C21_Chr_Ch_nfd_55_64,C21_Chr_Ch_nfd_65_74,C21_Chr_Ch_nfd_75_84,C21_Chr_Ch_nfd_85ov,C21_Chr_Ch_nfd_Tot,C21_Chr_Oth_Ch_0_14,C21_Chr_Oth_Ch_15_24,C21_Chr_Oth_Ch_25_34,C21_Chr_Oth_Ch_35_44,C21_Chr_Oth_Ch_45_54,C21_Chr_Oth_Ch_55_64,C21_Chr_Oth_Ch_65_74,C21_Chr_Oth_Ch_75_84,C21_Chr_Oth_Ch_85ov,C21_Chr_Oth_Ch_Tot,C21_Christ_Tot_0_14,C21_Christ_Tot_15_24,C21_Christ_Tot_25_34,C21_Christ_Tot_35_44,C21_Christ_Tot_45_54,C21_Christ_Tot_55_64,C21_Christ_Tot_65_74,C21_Christ_Tot_75_84,C21_Christ_Tot_85ov,C21_Christ_Tot_Tot,C21_Hinduism_0_14,C21_Hinduism_15_24,C21_Hinduism_25_34,C21_Hinduism_35_44,C21_Hinduism_45_54,C21_Hinduism_55_64,C21_Hinduism_65_74,C21_Hinduism_75_84,C21_Hinduism_85ov,C21_Hinduism_Tot,C21_Islam_0_14,C21_Islam_15_24,C21_Islam_25_34,C21_Islam_35_44,C21_Islam_45_54,C21_Islam_55_64,C21_Islam_65_74,C21_Islam_75_84,C21_Islam_85ov,C21_Islam_Tot,C21_Judaism_0_14,C21_Judaism_15_24,C21_Judaism_25_34,C21_Judaism_35_44,C21_Judaism_45_54,C21_Judaism_55_64,C21_Judaism_65_74,C21_Judaism_75_84,C21_Judaism_85ov,C21_Judaism_Tot,C21_OR_AusAborTrad_0_14,C21_OR_AusAborTrad15_24,C21_OR_AusAborTrad25_34,C21_OR_AusAborTrad35_44,C21_OR_AusAborTrad45_54,C21_OR_AusAborTrad55_64,C21_OR_AusAborTrad65_74,C21_OR_AusAborTrad75_84,C21_OR_AusAborTrad85ov,C21_OR_AusAborTrade_Tot,C21_OR_Sikhism_0_14,C21_OR_Sikhism_15_24,C21_OR_Sikhism_25_34,C21_OR_Sikhism_35_44,C21_OR_Sikhism_45_54,C21_OR_Sikhism_55_64,C21_OR_Sikhism_65_74,C21_OR_Sikhism_75_84,C21_OR_Sikhism_85ov,C21_OR_Sikhism_Tot,C21_OR_Ot_Re_Gr_0_14,C21_OR_Ot_Re_Gr_15_24,C21_OR_Ot_Re_Gr_25_34,C21_OR_Ot_Re_Gr_35_44,C21_OR_Ot_Re_Gr_45_54,C21_OR_Ot_Re_Gr_55_64,C21_OR_Ot_Re_Gr_65_74,C21_OR_Ot_Re_Gr_75_84,C21_OR_Ot_Re_Gr_85ov,C21_OR_Ot_Re_Gr_Tot,C21_Oth_Rel_Tot_0_14,C21_Oth_Rel_Tot_15_24,C21_Oth_Rel_Tot_25_34,C21_Oth_Rel_Tot_35_44,C21_Oth_Rel_Tot_45_54,C21_Oth_Rel_Tot_55_64,C21_Oth_Rel_Tot_65_74,C21_Oth_Rel_Tot_75_84,C21_Oth_Rel_Tot_85ov,C21_Oth_Rel_Tot_Tot,C21_SBOSB_No_RA_0_14,C21_SBOSB_No_RA_15_24,C21_SBOSB_No_RA_25_34,C21_SBOSB_No_RA_35_44,C21_SBOSB_No_RA_45_54,C21_SBOSB_No_RA_55_64,C21_SBOSB_No_RA_65_74,C21_SBOSB_No_RA_75_84,C21_SBOSB_No_RA_85ov,C21_SBOSB_No_RA_Tot,C21_Rel_aff_ns_0_14,C21_Rel_aff_ns_15_24,C21_Rel_aff_ns_25_34,C21_Rel_aff_ns_35_44,C21_Rel_aff_ns_45_54,C21_Rel_aff_ns_55_64,C21_Rel_aff_ns_65_74,C21_Rel_aff_ns_75_84,C21_Rel_aff_ns_85ov,C21_Rel_aff_ns_Tot,C21_Tot_0_14,C21_Tot_15_24,C21_Tot_25_34,C21_Tot_35_44,C21_Tot_45_54,C21_Tot_55_64,C21_Tot_65_74,C21_Tot_75_84,C21_Tot_85ov,C21_Tot_Tot
6RTAS,1785,1041,902,1098,1195,1217,1010,464,141,8861,34,41,28,34,45,50,70,43,13,353,12233,8754,7740,10173,16159,22947,23784,14885,5307,121993,382,291,1785,437,148,88,39,20,7,3192,461,198,682,258,117,63,39,9,0,1832,29,13,13,17,22,33,28,20,0,176,6,8,0,7,8,4,0,0,0,28,96,54,388,89,8,16,7,3,0,657,124,149,177,210,246,188,123,46,4,1263,227,206,566,304,261,202,132,50,9,1955,33650,20627,22585,19909,19353,18151,13217,5050,1262,153802,3704,2435,2720,2587,2924,3462,3197,1911,773,23715,50926,32736,36669,34094,39338,45251,40695,22020,7361,309087
69499,4,3,3,10,11,12,8,0,0,51,0,0,0,0,0,0,0,0,0,0,22,29,38,49,51,61,39,15,3,300,0,3,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,10,0,4,0,0,6,0,0,0,0,10,92,141,122,95,104,81,44,4,0,685,15,34,52,54,50,56,77,6,0,356,129,215,228,198,203,199,163,31,3,1377
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,4,4,7,0,0,0,0,19
7GDAR,713,325,543,511,401,266,168,46,7,2975,14,15,15,15,10,20,3,0,0,101,9491,5428,6672,7814,7854,6846,4925,2120,502,51666,949,573,2174,1018,257,138,71,26,6,5207,684,315,872,510,251,129,93,26,0,2890,3,7,18,17,11,19,12,4,0,91,22,15,13,19,14,10,3,0,0,99,199,67,468,159,21,23,14,3,0,959,67,47,96,111,79,60,38,17,6,520,290,125,575,285,116,99,51,21,7,1577,13568,7945,11615,9038,7159,5469,3030,940,166,58928,2753,1923,3114,2581,2128,1510,908,363,119,15404,28294,16701,25950,22108,18400,14637,9374,3608,833,139902
7RNTE,1122,762,776,660,500,314,160,51,10,4353,15,4,8,18,13,12,4,0,0,76,9635,6258,6322,5771,5351,4546,2601,883,216,41580,192,56,422,242,51,36,12,0,0,1015,107,22,154,92,41,24,10,0,0,446,8,7,12,12,9,5,3,0,0,67,843,728,579,455,367,221,96,37,10,3336,117,25,161,114,4,19,7,0,0,447,14,10,31,49,42,24,18,3,4,196,976,764,772,623,419,262,118,38,12,3980,6848,4206,6010,4318,3497,2750,1363,347,57,29402,2306,1632,2392,1896,1484,1259,657,218,37,11884,20154,12980,16263,13120,10954,8995,4809,1499,326,89103
79499,22,0,9,12,9,6,7,0,0,63,0,0,0,0,0,0,0,0,0,0,140,47,116,139,127,154,132,19,0,877,4,0,3,3,0,0,0,0,0,13,0,0,3,3,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,3,0,0,0,0,8,159,88,279,156,147,177,95,12,0,1121,144,137,251,265,306,243,87,15,0,1460,446,276,661,573,591,579,318,49,7,3500
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,11,4,8,0,0,0,46,0,3,7,4,3,3,0,0,0,24,0,15,23,22,19,17,0,0,0,99
8ACTE,2208,1253,1545,1799,1346,1169,837,355,108,10618,15,20,25,38,46,59,62,35,16,321,28780,19028,18535,22893,24613,22397,19422,12416,4976,173069,4237,2185,6647,4492,1440,768,496,181,50,20498,4345,1719,2847,3016,1407,716,394,129,25,14602,164,153,124,126,108,73,76,49,10,886,20,7,7,13,8,3,3,0,0,54,1064,399,1504,859,224,140,87,46,9,4323,127,241,301,314,288,216,131,41,25,1686,1209,640,1805,1188,512,362,222,89,29,6059,38599,31354,40141,31165,23312,17311,12136,5000,1406,200433,4098,4092,4874,3755,2923,2259,1898,1151,596,25656,82892,60460,77634,69285,56126,45328,35639,19340,7180,453890
89499,4,5,4,0,0,6,0,0,0,24,0,0,0,0,0,0,0,0,0,0,15,26,16,27,28,28,12,11,4,161,0,3,5,0,0,0,0,0,0,5,9,0,0,0,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,3,19,92,66,38,22,19,11,0,0,265,5,16,24,34,22,23,11,0,0,143,50,148,108,104,77,78,34,10,4,605
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,8,11,11,3,15,9,17,0,0,79,0,0,0,0,0,3,0,0,0,3,200,97,77,157,222,278,234,126,30,1426,3,0,0,8,0,0,0,0,0,12,202,82,108,106,64,106,69,29,9,765,0,0,0,0,5,0,0,0,0,3,3,0,0,3,3,0,5,0,0,14,0,0,0,4,0,0,0,0,0,5,3,0,0,6,0,3,6,0,0,17,7,0,0,7,4,4,0,0,0,31,283,130,161,178,189,200,110,34,12,1302,105,88,210,161,134,121,91,47,4,974,825,407,577,638,665,765,587,257,62,4778
