GCCSA_CODE_2021,C16_P_AdD_DL_15_19,C16_P_AdD_DL_20_24,C16_P_AdD_DL_25_34,C16_P_AdD_DL_35_44,C16_P_AdD_DL_45_54,C16_P_AdD_DL_55_64,C16_P_AdD_DL_65_74,C16_P_AdD_DL_75_84,C16_P_AdD_DL_85over,C16_P_AdD_DL_Tot,C16_P_CL_C_III_IV_15_19,C16_P_CL_C_III_IV_20_24,C16_P_CL_C_III_IV_25_34,C16_P_CL_C_III_IV_35_44,C16_P_CL_C_III_IV_45_54,C16_P_CL_C_III_IV_55_64,C16_P_CL_C_III_IV_65_74,C16_P_CL_C_III_IV_75_84,C16_P_CL_C_III_IV_85over,C16_P_CL_C_III_IV_Tot,C16_P_CL_C_I_II_15_19,C16_P_CL_C_I_II_20_24,C16_P_CL_C_I_II_25_34,C16_P_CL_C_I_II_35_44,C16_P_CL_C_I_II_45_54,C16_P_CL_C_I_II_55_64,C16_P_CL_C_I_II_65_74,C16_P_CL_C_I_II_75_84,C16_P_CL_C_I_II_85over,C16_P_CL_C_I_II_Tot,C16_P_CL_CL_nfd_15_19,C16_P_CL_CL_nfd_20_24,C16_P_CL_CL_nfd_25_34,C16_P_CL_CL_nfd_35_44,C16_P_CL_CL_nfd_45_54,C16_P_CL_CL_nfd_55_64,C16_P_CL_CL_nfd_65_74,C16_P_CL_CL_nfd_75_84,C16_P_CL_CL_nfd_85over,C16_P_CL_CL_nfd_Tot,C16_P_CL_Tot_15_19,C16_P_CL_Tot_20_24,C16_P_CL_Tot_25_34,C16_P_CL_Tot_35_44,C16_P_CL_Tot_45_54,C16_P_CL_Tot_55_64,C16_P_CL_Tot_65_74,C16_P_CL_Tot_75_84,C16_P_CL_Tot_85over,C16_P_CL_Tot_Tot,C16_P_LE_ID_15_19,C16_P_LE_ID_20_24,C16_P_LE_ID_25_34,C16_P_LE_ID_35_44,C16_P_LE_ID_45_54,C16_P_LE_ID_55_64,C16_P_LE_ID_65_74,C16_P_LE_ID_75_84,C16_P_LE_ID_85over,C16_P_LE_ID_Tot,C16_P_LE_NS_15_19,C16_P_LE_NS_20_24,C16_P_LE_NS_25_34,C16_P_LE_NS_35_44,C16_P_LE_NS_45_54,C16_P_LE_NS_55_64,C16_P_LE_NS_65_74,C16_P_LE_NS_75_84,C16_P_LE_NS_85over,C16_P_LE_NS_Tot,C16_P_Tot_15_19_yrs,C16_P_Tot_20_24_yrs,C16_P_Tot_25_34_yrs,C16_P_Tot_35_44_yrs,C16_P_Tot_45_54_yrs,C16_P_Tot_55_64_yrs,C16_P_Tot_65_74_yrs,C16_P_Tot_75_84_yrs,C16_P_Tot_85over,C16_P_Tot_Tot,C21_P_Post_Deg_15_19_yrs,C21_P_Post_Deg_20_24_yrs,C21_P_Post_Deg_25_34_yrs,C21_P_Post_Deg_35_44_yrs,C21_P_Post_Deg_45_54_yrs,C21_P_Post_Deg_55_64_yrs,C21_P_Post_Deg_65_74_yrs,C21_P_Post_Deg_75_84_yrs,C21_P_Post_Deg_85over,C21_P_Post_Deg_Tot,C21_P_GrDip_GrCe_15_19,C21_P_GrDip_GrCe_20_24,C21_P_GrDip_GrCe_25_34,C21_P_GrDip_GrCe_35_44,C21_P_GrDip_GrCe_45_54,C21_P_GrDip_GrCe_55_64,C21_P_GrDip_GrCe_65_74,C21_P_GrDip_GrCe_75_84,C21_P_GrDip_GrCe_85over,C21_P_GrDip_GrCe_Tot,C21_P_BD_15_19,C21_P_BD_20_24,C21_P_BD_25_34,C21_P_BD_35_44,C21_P_BD_45_54,C21_P_BD_55_64,C21_P_BD_65_74,C21_P_BD_75_84,C21_P_BD_85over,C21_P_BD_Tot,C21_P_AdD_DL_15_19,C21_P_AdD_DL_20_24,C21_P_AdD_DL_25_34,C21_P_AdD_DL_35_44,C21_P_AdD_DL_45_54,C21_P_AdD_DL_55_64,C21_P_AdD_DL_65_74,C21_P_AdD_DL_75_84,C21_P_AdD_DL_85over,C21_P_AdD_DL_Tot,C21_P_CL_C_III_IV_15_19,C21_P_CL_C_III_IV_20_24,C21_P_CL_C_III_IV_25_34,C21_P_CL_C_III_IV_35_44,C21_P_CL_C_III_IV_45_54,C21_P_CL_C_III_IV_55_64,C21_P_CL_C_III_IV_65_74,C21_P_CL_C_III_IV_75_84,C21_P_CL_C_III_IV_85over,C21_P_CL_C_III_IV_Tot,C21_P_CL_C_I_II_15_19,C21_P_CL_C_I_II_20_24,C21_P_CL_C_I_II_25_34,C21_P_CL_C_I_II_35_44,C21_P_CL_C_I_II_45_54,C21_P_CL_C_I_II_55_64,C21_P_CL_C_I_II_65_74,C21_P_CL_C_I_II_75_84,C21_P_CL_C_I_II_85over,C21_P_CL_C_I_II_Tot,C21_P_CL_CL_nfd_15_19,C21_P_CL_CL_nfd_20_24,C21_P_CL_CL_nfd_25_34,C21_P_CL_CL_nfd_35_44,C21_P_CL_CL_nfd_45_54,C21_P_CL_CL_nfd_55_64,C21_P_CL_CL_nfd_65_74,C21_P_CL_CL_nfd_75_84,C21_P_CL_CL_nfd_85over,C21_P_CL_CL_nfd_Tot,C21_P_CL_Tot_15_19,C21_P_CL_Tot_20_24,C21_P_CL_Tot_25_34,C21_P_CL_Tot_35_44,C21_P_CL_Tot_45_54,C21_P_CL_Tot_55_64,C21_P_CL_Tot_65_74,C21_P_CL_Tot_75_84,C21_P_CL_Tot_85over,C21_P_CL_Tot_Tot,C21_P_LE_ID_15_19,C21_P_LE_ID_20_24,C21_P_LE_ID_25_34,C21_P_LE_ID_35_44,C21_P_LE_ID_45_54,C21_P_LE_ID_55_64,C21_P_LE_ID_65_74,C21_P_LE_ID_75_84,C21_P_LE_ID_85over,C21_P_LE_ID_Tot,C21_P_LE_NS_15_19,C21_P_LE_NS_20_24,C21_P_LE_NS_25_34,C21_P_LE_NS_35_44,C21_P_LE_NS_45_54,C21_P_LE_NS_55_64,C21_P_LE_NS_65_74,C21_P_LE_NS_75_84,C21_P_LE_NS_85over,C21_P_LE_NS_Tot,C21_P_Tot_15_19_yrs,C21_P_Tot_20_24_yrs,C21_P_Tot_25_34_yrs,C21_P_Tot_35_44_yrs,C21_P_Tot_45_54_yrs,C21_P_Tot_55_64_yrs,C21_P_Tot_65_74_yrs,C21_P_Tot_75_84_yrs,C21_P_Tot_85over,C21_P_Tot_Tot
39499,13,80,127,98,109,213,129,16,0,781,46,112,341,257,313,418,356,54,5,1901,9,15,16,16,13,26,16,0,0,115,3,18,39,20,27,55,38,5,0,205,56,143,398,300,345,496,407,66,9,2217,5,17,20,13,14,18,19,7,0,113,84,242,580,473,451,485,332,102,15,2765,157,685,1708,1063,1080,1425,1046,211,24,7404,0,3,115,85,57,57,46,5,0,369,0,0,35,21,29,44,33,0,0,168,0,91,514,200,142,202,146,33,0,1322,5,39,152,136,156,246,194,29,0,959,37,128,379,378,331,509,408,59,4,2225,23,26,34,26,13,30,26,0,0,183,0,9,29,34,32,59,46,9,0,208,57,165,439,436,377,593,475,68,8,2617,0,4,8,6,17,14,10,7,0,72,137,291,801,750,645,528,371,97,18,3642,201,598,2066,1632,1417,1684,1277,239,26,9143
39799,0,0,3,0,3,4,4,0,0,15,0,3,0,4,7,0,0,3,0,23,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,3,3,4,0,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,10,4,4,25,0,7,7,11,8,14,10,10,4,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,10,0,6,0,0,0,0,14,0,0,0,6,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,4,0,0,10,8,9,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,14,34,52,29,8,0,0,0,136,0,16,45,64,42,5,3,0,0,170
4GADE,316,4337,16143,18536,20502,17561,10955,3933,1466,93763,3717,14193,35722,30588,32905,26401,16773,8391,2810,171500,1293,2413,3469,2549,2003,1482,781,229,68,14287,455,1082,2649,3567,3977,3870,3051,1322,554,20522,5466,17689,41840,36701,38883,31753,20608,9943,3433,206306,145,466,1355,1344,1428,1400,1434,843,405,8821,5129,5302,11220,10117,11026,11088,11120,9551,6674,81229,11158,41002,131718,121542,110896,93647,63014,30330,13969,617267,3,1195,19634,20230,12427,8905,6224,2351,488,71463,13,467,4763,6298,5915,5376,4186,1261,194,28468,46,15190,53652,47308,32787,22746,17567,7098,1853,198243,214,4240,15724,20079,21419,19840,14684,6019,1640,103858,4721,14168,38504,35108,34326,31092,20523,9777,3115,191331,1254,1875,3681,2752,2080,1718,1168,380,106,15003,377,903,2039,2866,3911,3947,3585,1831,633,20088,6349,16944,44216,40728,40317,36752,25273,11990,3853,226421,149,387,1082,1133,1027,1038,1082,810,301,7005,3343,4408,9877,8911,8566,8398,8754,8091,5360,65707,10115,42825,148951,144687,122459,103053,77772,37622,13683,701177
4RSAU,71,590,2548,3551,4728,5006,3387,1009,291,21188,1114,4456,11143,10533,11678,10505,6782,2787,747,59735,405,763,1267,1023,770,616,356,85,28,5309,156,352,848,1198,1325,1314,1008,349,103,6658,1671,5573,13259,12756,13770,12439,8138,3222,875,71707,34,72,230,269,299,389,385,208,106,1985,2462,1827,3930,4056,5141,5601,5843,4261,2483,35613,4256,9255,26119,26845,29031,28917,21360,9767,4007,159556,0,95,1104,1081,908,903,806,307,35,5241,0,67,559,756,846,1060,958,250,33,4527,5,1252,5687,5706,4694,3967,3811,1487,319,26928,24,477,2492,3544,4764,5509,4758,1772,340,23685,1322,4312,12367,11783,12244,12617,8796,3513,838,67788,404,562,1247,1067,830,728,507,130,24,5491,116,223,571,825,1176,1203,1119,501,119,5855,1840,5096,14187,13674,14243,14547,10425,4136,980,79133,21,70,183,238,245,290,333,268,87,1732,1916,1422,3405,3445,4201,4965,5311,4300,2039,31013,3807,8487,27616,28449,29901,31248,26399,12512,3833,172247
49499,0,14,29,27,38,22,23,4,0,145,12,23,99,53,71,79,63,9,5,406,7,7,8,4,3,0,0,0,0,26,0,5,9,7,10,14,8,0,0,48,18,37,116,60,89,89,62,9,5,476,0,7,5,0,5,5,3,0,0,22,31,52,115,123,150,93,49,14,6,649,48,131,389,261,314,249,156,29,11,1599,0,4,37,17,13,4,3,0,0,76,0,0,4,6,3,9,9,0,0,29,0,12,78,44,30,42,21,3,0,234,0,5,23,28,26,42,22,4,0,154,20,33,101,79,84,85,69,9,0,472,8,12,22,6,0,5,5,0,0,60,0,0,6,10,8,8,8,0,0,45,20,48,127,95,94,103,83,9,0,577,0,3,0,4,8,4,0,0,0,12,38,45,172,183,149,143,75,13,8,820,57,112,443,376,325,345,212,26,9,1909
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,3,6,0,0,0,0,9
5GPER,1303,8873,30072,30817,30016,23716,14436,5837,1663,146740,5687,22983,58518,48487,48499,37075,22139,10310,2721,256406,2877,2899,3906,2959,2444,1809,998,301,108,18306,609,1676,4522,5887,6372,5559,4122,1820,619,31181,9175,27553,66944,57330,57319,44441,27256,12427,3451,305892,233,754,2547,2400,2362,2193,2008,1040,412,13951,8417,10644,26962,21647,20272,18279,16741,14288,9509,146758,19302,70187,230954,203352,175297,132690,83776,41541,17112,974197,5,1701,24726,30420,19964,13117,7893,2824,559,101204,32,790,8282,10559,9741,7588,4478,1378,231,43076,74,21204,80990,80215,55761,35983,24234,9445,2352,310258,868,9069,28968,35353,33654,28515,19885,8694,2336,167344,8149,23253,61714,56622,51297,45104,28804,12648,3387,290986,5098,5463,4744,3427,2765,2307,1542,585,117,26049,748,1465,3205,4711,6214,6016,4798,2459,791,30407,13996,30182,69668,64754,60278,53433,35143,15686,4291,347434,246,702,2009,2544,2331,2140,2304,1581,555,14404,5486,8135,21511,19817,17157,15022,13557,12049,8320,121062,20719,71783,236157,243656,198878,155788,107495,51659,18647,1104787
5RWAU,155,1054,5067,6228,6747,6211,3537,1224,299,30528,1747,6617,19173,17498,16911,13138,6730,2347,534,84689,1093,1136,1590,1175,940,706,316,91,9,7060,206,502,1240,1730,1746,1732,1124,378,98,8758,3045,8247,22003,20408,19595,15571,8169,2814,649,100505,34,120,395,426,443,478,451,248,69,2664,4079,3482,10139,9313,9687,8862,6990,4483,2083,59116,7343,14556,49366,48830,45938,38800,23238,10052,3364,241489,0,122,1716,2149,1697,1433,1037,353,45,8556,4,101,1136,1592,1601,1402,916,215,31,6988,5,1616,9526,10426,8472,6293,4375,1660,365,42739,105,854,4553,6483,6779,6884,4949,1919,415,32946,2075,6145,18550,18610,17101,15103,9078,3168,667,90496,1482,1754,1765,1277,1020,844,495,140,24,8807,174,312,764,1133,1518,1603,1262,490,113,7373,3724,8212,21080,21021,19641,17553,10832,3798,808,106680,30,97,308,381,431,456,511,305,98,2619,3309,3375,9209,9094,9109,8497,6773,4496,2072,55925,7185,14371,47536,51145,47727,42516,29384,12746,3837,256450
59499,0,23,72,39,51,74,45,3,0,310,8,75,231,168,169,203,103,17,3,967,10,11,14,17,5,9,6,0,0,63,0,5,28,10,21,25,17,3,0,115,17,91,274,193,193,237,123,18,3,1148,0,5,8,4,5,9,3,3,0,42,45,132,388,319,362,221,137,24,8,1631,64,307,1027,670,678,635,368,57,8,3823,0,0,64,32,11,25,15,0,0,148,0,0,15,17,14,15,12,0,0,77,0,54,221,131,58,60,35,8,0,563,0,18,79,71,50,77,35,8,0,335,14,68,191,203,162,158,129,13,0,946,11,23,22,15,10,7,4,0,0,85,0,3,11,6,14,23,14,0,0,66,26,93,224,224,185,195,147,13,0,1105,4,0,10,0,8,10,6,0,0,32,99,233,659,809,752,507,257,72,22,3407,131,400,1270,1293,1073,876,505,105,20,5668
59799,0,0,12,14,17,11,0,0,0,59,0,4,44,39,35,14,3,0,0,133,0,0,4,3,0,0,0,0,0,6,0,0,3,3,0,0,0,0,0,10,0,3,46,44,36,10,3,0,0,144,0,0,0,0,0,0,0,0,0,0,0,5,31,21,18,8,0,0,0,83,0,14,106,98,83,31,4,3,0,341,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,4,14,13,8,10,0,0,0,39,0,0,7,11,4,0,4,0,0,35,0,8,26,39,15,7,0,0,0,100,0,0,4,0,0,0,0,0,0,4,0,0,6,4,0,3,0,0,0,7,0,12,29,36,21,9,0,0,0,117,0,0,0,3,4,0,0,0,0,11,3,15,49,74,49,21,3,0,0,224,3,32,97,145,92,48,15,0,0,428
6GHOB,39,498,1957,2640,3077,2859,2060,937,315,14373,440,2586,6403,5386,5587,4905,2693,1351,415,29783,223,496,653,407,321,281,155,45,20,2596,65,201,448,547,632,746,496,254,124,3509,739,3277,7506,6342,6541,5926,3347,1647,559,35891,21,59,164,151,204,234,287,195,68,1385,1111,1000,2104,1949,2208,2498,2498,2002,1046,16408,1919,6582,20621,19706,19324,18101,12070,6042,2450,106815,0,223,7410,3944,2537,1949,1417,504,115,18092,0,78,1058,1268,1229,1166,875,235,38,5943,8,2301,10275,7601,5617,4501,3742,1428,403,35878,33,570,2606,2877,3336,3172,2586,1214,371,16764,377,2511,7257,6415,5886,5532,3494,1615,449,33534,240,446,698,491,341,359,202,79,22,2874,58,166,359,387,486,684,650,304,133,3223,676,3120,8317,7292,6707,6576,4347,2000,605,39634,12,68,231,197,162,187,194,168,59,1285,718,812,2221,1709,1571,1710,1975,1803,910,13426,1444,7168,32123,24887,21163,19252,15133,7358,2496,131034
6RTAS,38,496,1933,2917,3800,3840,2705,1070,261,17053,727,3627,8194,7809,8727,8024,4769,1996,486,44344,387,765,925,658,586,426,216,59,24,4049,126,294,600,818,1000,1074,762,338,95,5103,1239,4682,9717,9292,10316,9519,5747,2392,599,53499,12,54,162,175,219,266,304,213,71,1477,1918,1294,2401,2584,3587,4235,4756,3323,1476,25570,3220,7571,19476,20793,23650,23807,17296,8069,2687,126583,0,76,2773,1747,1367,1465,1146,460,62,9083,6,52,597,761,887,965,804,240,36,4337,3,1207,6252,5800,4873,4707,3868,1377,273,28363,27,451,2188,3062,4091,4519,3585,1568,378,19863,612,3611,10192,9264,9706,9782,6184,2530,590,52470,332,742,1134,766,637,627,364,116,28,4751,63,233,452,535,755,1008,979,397,116,4545,1005,4587,11785,10562,11095,11414,7532,3044,734,61763,19,89,197,170,208,229,295,207,54,1463,1279,1203,2611,2376,2758,3423,3977,3160,1384,22162,2337,7664,26394,24484,25284,26724,21202,10052,2916,147043
69499,0,4,13,16,12,12,10,0,0,58,4,15,23,16,14,20,12,3,0,121,3,0,5,4,0,0,0,0,0,14,0,0,3,0,4,6,4,0,0,15,10,17,34,22,22,27,16,3,0,150,0,0,0,0,0,0,0,0,0,8,8,27,40,37,41,19,15,5,0,194,17,49,132,94,84,81,55,12,0,517,0,0,10,5,5,5,5,0,0,31,0,0,4,5,0,7,0,0,0,20,0,0,25,15,13,16,8,0,0,84,0,4,8,3,12,13,12,3,0,52,0,18,41,38,35,37,16,6,0,180,4,7,9,4,0,4,0,0,0,34,0,0,0,0,4,4,0,0,0,7,3,22,49,43,45,42,16,6,0,221,0,0,0,0,0,4,5,0,0,8,21,18,57,54,45,60,73,8,3,342,24,54,148,130,130,137,108,14,3,760
69799,0,0,0,0,0,0,0,0,0,7,0,4,5,6,4,7,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,6,3,7,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,18,7,4,4,4,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,3,0,0,0,0,14
7GDAR,21,425,2104,2259,2167,1413,573,162,13,9148,401,1913,6147,4585,3972,2528,1090,312,55,21001,203,254,359,259,184,113,47,5,3,1431,52,144,391,408,394,300,176,47,12,1917,657,2310,6904,5250,4546,2941,1303,363,69,24348,4,61,166,165,123,108,62,35,11,731,1066,1465,4121,3101,2699,2117,1208,472,165,16421,1756,5240,20607,16580,13428,9369,4339,1286,314,72909,0,85,2818,2128,1215,894,468,120,15,7745,0,57,708,788,711,534,234,53,3,3085,4,1098,6229,4711,2817,1811,1119,341,58,18186,23,399,2048,2318,2324,1648,836,272,32,9898,493,1626,4952,4531,3791,2930,1434,463,79,20299,382,285,401,271,174,117,79,20,4,1741,74,84,229,299,360,269,206,88,15,1624,949,1990,5587,5106,4328,3319,1719,576,91,23662,5,44,167,146,108,77,83,32,18,680,713,999,2690,2287,1993,1532,1071,507,175,11963,1696,4675,20239,17483,13493,9816,5524,1900,397,75220
7RNTE,6,132,776,783,901,685,220,67,7,3576,173,711,2041,1661,1755,1304,485,109,23,8256,104,181,367,255,236,120,31,5,3,1307,33,88,282,264,238,166,75,15,4,1158,309,977,2689,2181,2233,1593,593,128,25,10725,8,26,82,58,76,48,25,13,0,336,1581,1624,3301,2460,2298,1650,853,289,84,14134,1913,3022,9252,7481,7118,5306,2128,588,132,36936,0,23,792,693,377,360,161,37,0,2434,0,13,250,298,254,218,104,18,0,1156,4,291,2276,1512,1023,829,384,87,9,6420,10,155,780,805,838,711,312,81,15,3708,209,712,2161,1916,1761,1401,631,134,24,8945,114,157,315,273,221,140,48,9,0,1281,32,72,220,220,226,169,90,22,4,1055,355,942,2691,2414,2206,1711,768,168,25,11276,3,12,47,41,38,17,18,10,5,187,895,878,2183,1663,1488,1358,745,240,60,9514,1267,2316,9016,7413,6222,5203,2487,649,119,34698
79499,0,10,14,27,25,26,20,0,0,124,3,19,55,50,56,82,54,8,0,320,9,0,0,3,4,4,3,0,0,28,6,8,7,8,3,9,5,0,0,48,16,32,70,57,65,95,62,5,0,393,0,3,0,0,3,7,3,0,0,20,3,74,194,159,198,113,73,10,0,831,19,142,376,290,323,281,179,25,0,1635,0,0,30,18,18,10,9,0,0,84,0,0,14,11,10,13,9,0,0,60,0,15,112,53,27,29,18,3,0,259,0,3,31,38,30,35,21,0,0,157,4,11,62,52,49,78,58,6,0,324,0,5,15,4,3,3,0,0,0,30,0,0,4,5,5,9,13,0,0,39,4,20,81,68,59,92,71,6,0,389,0,0,0,3,0,5,0,0,0,11,47,95,269,262,333,262,102,22,0,1400,49,131,547,451,471,441,228,30,0,2351
79799,0,3,7,0,0,0,0,0,0,5,0,0,7,9,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,14,11,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,4,0,0,5,3,0,3,0,0,0,12,0,4,24,21,8,4,0,3,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,6,0,7,3,0,5,3,0,0,0,23,0,4,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,6,0,5,7,4,8,4,0,0,0,32,0,0,0,3,0,0,0,0,0,3,6,0,6,4,6,7,0,0,0,26,4,5,19,16,10,12,0,0,0,71
8ACTE,129,1622,6061,6570,6168,4643,2950,1196,395,29723,696,3521,8654,7105,6204,4526,2704,1336,425,35172,352,520,644,498,383,297,184,81,33,2986,83,285,549,854,1032,1103,953,379,155,5396,1133,4329,9847,8454,7619,5924,3840,1799,621,43558,57,130,410,379,409,402,422,230,109,2539,1371,2091,4578,3570,3158,2825,2533,2040,1511,23685,2738,14963,53359,47797,38664,30126,19528,8581,3556,219309,0,547,14435,14809,9912,6691,4209,1740,398,52739,4,294,3272,3864,3463,2880,2223,733,87,16812,7,7683,25787,20647,14113,9739,7429,3507,961,89879,122,1824,6133,7648,7075,5516,3716,1775,553,34370,761,3640,9475,8035,6899,5411,3250,1731,561,39764,481,554,713,526,421,368,300,108,41,3499,113,251,499,724,973,1136,1143,586,200,5621,1353,4434,10689,9282,8291,6910,4694,2421,803,48890,48,135,396,415,285,283,285,230,94,2176,1288,2096,4263,3223,2393,2039,2032,1657,1040,20031,2820,17017,64987,59884,45541,34056,24589,12068,3939,264899
89499,0,0,5,15,4,4,3,0,0,32,0,8,12,10,6,9,4,0,0,52,5,4,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,5,9,8,9,15,6,8,4,0,0,64,0,0,0,0,0,0,0,0,0,4,12,13,11,29,21,19,3,0,0,114,19,40,70,71,53,62,17,0,0,337,0,0,13,6,9,8,0,0,0,36,0,0,0,5,0,4,0,0,0,10,0,11,23,13,6,11,4,0,0,69,0,3,9,3,6,4,3,0,0,36,3,11,15,13,10,13,6,0,0,68,0,3,0,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,8,13,16,20,13,11,6,4,0,78,0,0,0,0,0,0,0,0,0,4,0,12,17,35,25,24,17,5,0,136,8,40,80,77,58,64,24,8,4,368
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,6,48,67,60,49,23,11,3,270,12,22,95,116,148,134,58,15,4,604,8,8,15,7,5,7,3,0,0,59,3,7,15,16,18,24,15,4,3,99,20,33,124,148,172,156,75,19,3,759,0,4,7,4,14,0,3,0,0,28,45,65,169,129,146,127,88,48,11,835,65,129,437,476,459,418,233,95,25,2337,0,0,17,29,22,19,12,6,0,101,0,0,4,17,15,25,4,0,0,71,0,13,66,90,72,44,45,14,4,348,0,6,39,58,56,65,45,20,5,299,12,37,92,120,130,168,90,24,13,685,8,20,15,13,15,13,9,0,0,84,3,5,7,16,12,9,14,7,0,59,25,58,110,140,152,188,112,32,13,834,0,0,5,3,6,5,19,4,0,38,33,62,223,169,143,131,89,64,11,917,55,145,465,502,459,471,330,133,34,2605
99499,0,0,0,0,5,0,0,0,0,9,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,6,0,4,7,3,4,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,4,0,0,3,0,0,0,11
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
