GCCSA_CODE_2021,C21_20_24_Mar_DFM_F,C21_20_24_Mar_DFM_P,C21_20_24_N_mar_M,C21_20_24_N_mar_F,C21_20_24_N_mar_P,C21_20_24_Tot_M,C21_20_24_Tot_F,C21_20_24_Tot_P,C21_25_29_Mar_RegM_M,C21_25_29_Mar_RegM_F,C21_25_29_Mar_RegM_P,C21_25_29_Mar_DFM_M,C21_25_29_Mar_DFM_F,C21_25_29_Mar_DFM_P,C21_25_29_N_mar_M,C21_25_29_N_mar_F,C21_25_29_N_mar_P,C21_25_29_Tot_M,C21_25_29_Tot_F,C21_25_29_Tot_P,C21_30_34_Mar_RegM_M,C21_30_34_Mar_RegM_F,C21_30_34_Mar_RegM_P,C21_30_34_Mar_DFM_M,C21_30_34_Mar_DFM_F,C21_30_34_Mar_DFM_P,C21_30_34_N_mar_M,C21_30_34_N_mar_F,C21_30_34_N_mar_P,C21_30_34_Tot_M,C21_30_34_Tot_F,C21_30_34_Tot_P,C21_35_39_Mar_RegM_M,C21_35_39_Mar_RegM_F,C21_35_39_Mar_RegM_P,C21_35_39_Mar_DFM_M,C21_35_39_Mar_DFM_F,C21_35_39_Mar_DFM_P,C21_35_39_N_mar_M,C21_35_39_N_mar_F,C21_35_39_N_mar_P,C21_35_39_Tot_M,C21_35_39_Tot_F,C21_35_39_Tot_P,C21_40_44_Mar_RegM_M,C21_40_44_Mar_RegM_F,C21_40_44_Mar_RegM_P,C21_40_44_Mar_DFM_M,C21_40_44_Mar_DFM_F,C21_40_44_Mar_DFM_P,C21_40_44_N_mar_M,C21_40_44_N_mar_F,C21_40_44_N_mar_P,C21_40_44_Tot_M,C21_40_44_Tot_F,C21_40_44_Tot_P,C21_45_49_Mar_RegM_M,C21_45_49_Mar_RegM_F,C21_45_49_Mar_RegM_P,C21_45_49_Mar_DFM_M,C21_45_49_Mar_DFM_F,C21_45_49_Mar_DFM_P,C21_45_49_N_mar_M,C21_45_49_N_mar_F,C21_45_49_N_mar_P,C21_45_49_Tot_M,C21_45_49_Tot_F,C21_45_49_Tot_P,C21_50_54_Mar_RegM_M,C21_50_54_Mar_RegM_F,C21_50_54_Mar_RegM_P,C21_50_54_Mar_DFM_M,C21_50_54_Mar_DFM_F,C21_50_54_Mar_DFM_P,C21_50_54_N_mar_M,C21_50_54_N_mar_F,C21_50_54_N_mar_P,C21_50_54_Tot_M,C21_50_54_Tot_F,C21_50_54_Tot_P,C21_55_59_Mar_RegM_M,C21_55_59_Mar_RegM_F,C21_55_59_Mar_RegM_P,C21_55_59_Mar_DFM_M,C21_55_59_Mar_DFM_F,C21_55_59_Mar_DFM_P,C21_55_59_N_mar_M,C21_55_59_N_mar_F,C21_55_59_N_mar_P,C21_55_59_Tot_M,C21_55_59_Tot_F,C21_55_59_Tot_P,C21_60_64_Mar_RegM_M,C21_60_64_Mar_RegM_F,C21_60_64_Mar_RegM_P,C21_60_64_Mar_DFM_M,C21_60_64_Mar_DFM_F,C21_60_64_Mar_DFM_P,C21_60_64_N_mar_M,C21_60_64_N_mar_F,C21_60_64_N_mar_P,C21_60_64_Tot_M,C21_60_64_Tot_F,C21_60_64_Tot_P,C21_65_69_Mar_RegM_M,C21_65_69_Mar_RegM_F,C21_65_69_Mar_RegM_P,C21_65_69_Mar_DFM_M,C21_65_69_Mar_DFM_F,C21_65_69_Mar_DFM_P,C21_65_69_N_mar_M,C21_65_69_N_mar_F,C21_65_69_N_mar_P,C21_65_69_Tot_M,C21_65_69_Tot_F,C21_65_69_Tot_P,C21_70_74_Mar_RegM_M,C21_70_74_Mar_RegM_F,C21_70_74_Mar_RegM_P,C21_70_74_Mar_DFM_M,C21_70_74_Mar_DFM_F,C21_70_74_Mar_DFM_P,C21_70_74_N_mar_M,C21_70_74_N_mar_F,C21_70_74_N_mar_P,C21_70_74_Tot_M,C21_70_74_Tot_F,C21_70_74_Tot_P,C21_75_79_Mar_RegM_M,C21_75_79_Mar_RegM_F,C21_75_79_Mar_RegM_P,C21_75_79_Mar_DFM_M,C21_75_79_Mar_DFM_F,C21_75_79_Mar_DFM_P,C21_75_79_N_mar_M,C21_75_79_N_mar_F,C21_75_79_N_mar_P,C21_75_79_Tot_M,C21_75_79_Tot_F,C21_75_79_Tot_P,C21_80_84_Mar_RegM_M,C21_80_84_Mar_RegM_F,C21_80_84_Mar_RegM_P,C21_80_84_Mar_DFM_M,C21_80_84_Mar_DFM_F,C21_80_84_Mar_DFM_P,C21_80_84_N_mar_M,C21_80_84_N_mar_F,C21_80_84_N_mar_P,C21_80_84_Tot_M,C21_80_84_Tot_F,C21_80_84_Tot_P,C21_85_over_Mar_RegM_M,C21_85_over_Mar_RegM_F,C21_85_over_Mar_RegM_P,C21_85_over_Mar_DFM_M,C21_85_over_Mar_DFM_F,C21_85_over_Mar_DFM_P,C21_85_over_N_mar_M,C21_85_over_N_mar_F,C21_85_over_N_mar_P,C21_85_over_Tot_M,C21_85_over_Tot_F,C21_85_over_Tot_P,C21_Tot_Marr_reg_marr_M,C21_Tot_Marr_reg_marr_F,C21_Tot_Marr_reg_marr_P,C21_Tot_Mar_de_fa_mar_M,C21_Tot_Mar_de_fa_mar_F,C21_Tot_Mar_de_fa_mar_P,C21_Tot_N_mar_M,C21_Tot_N_mar_F,C21_Tot_N_mar_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0
4GADE,6065,10115,37509,32560,70071,42271,40314,82578,6861,11087,17944,10574,12182,22756,27234,21066,48305,44668,44335,89010,18012,23148,41160,9392,9132,18521,16275,14028,30301,43680,46305,89981,25110,28113,53220,6807,6610,13412,12318,12351,24676,44237,47074,91314,24367,25383,49746,4967,5059,10026,10578,11513,22093,39907,41959,81866,23791,24196,47993,4735,4615,9354,11296,12925,24228,39827,41748,81575,23611,24094,47708,4417,4285,8705,12283,14362,26644,40314,42738,83055,23338,23351,46690,3799,3630,7424,11697,14732,26423,38826,41708,80538,22902,22646,45547,3073,2657,5731,10604,14994,25600,36579,40293,76875,21102,20439,41546,2073,1831,3902,8636,13784,22419,31813,36053,67865,20542,18653,39195,1439,1070,2509,7042,13518,20560,29020,33242,62259,14763,11947,26708,710,537,1240,4695,11247,15943,20165,23734,43898,9255,6399,15648,343,169,512,3407,9938,13345,13006,16502,29504,6299,2863,9162,163,81,247,4198,12304,16501,10659,15252,25914,240673,244034,484708,56770,58336,115105,215058,244187,459247,512503,546560,1059061
4RSAU,2093,3497,6303,4761,11066,7924,7271,15191,1423,2274,3702,2634,3011,5645,4364,3499,7862,8424,8786,17207,3404,4249,7656,2282,2245,4530,3167,2851,6020,8850,9347,18197,4478,5400,9876,1643,1775,3412,2701,2583,5283,8814,9757,18572,4690,5319,10010,1398,1381,2778,2474,2552,5031,8565,9254,17818,5083,5765,10852,1453,1492,2945,3135,3118,6257,9676,10374,20051,6159,6680,12845,1477,1597,3075,3811,3532,7338,11447,11812,23257,6708,7253,13965,1430,1392,2830,4098,3836,7938,12242,12491,24725,7655,8134,15792,1303,1191,2495,4185,3940,8129,13144,13263,26411,8103,7889,15985,939,768,1706,3599,3785,7386,12639,12438,25076,7936,7206,15136,629,494,1125,3041,3960,7000,11609,11655,23260,5828,4687,10515,321,217,533,2055,3548,5603,8207,8442,16652,3485,2318,5806,138,74,213,1373,2993,4363,4994,5386,10377,1996,940,2938,54,39,93,1469,3357,4822,3523,4335,7855,67177,68557,135740,17232,18013,35249,55365,56666,112032,139775,143233,283015
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,10096,16441,52199,46157,98348,59536,58649,118192,9089,16320,25403,15913,19630,35543,37127,29566,66694,62129,65516,127640,27394,38419,65813,16112,16940,33056,24006,20951,44959,67512,76318,143828,41271,48120,89388,11484,11276,22758,18233,18106,36335,70981,77499,148482,40030,43665,83698,7804,8097,15904,15173,16709,31888,63015,68480,131490,38946,41282,80228,6786,6931,13715,14983,17844,32827,60709,66052,126765,38190,39533,77728,6267,6226,12495,15182,18816,33996,59646,64570,124218,35536,35916,71452,5225,4776,9999,14202,18833,33033,54970,59524,114488,33005,32617,65617,3809,3356,7172,12661,18695,31361,49485,54668,104147,30048,28741,58786,2629,2124,4746,10699,17779,28476,43369,48643,92013,27704,23824,51533,1790,1239,3036,9174,17165,26342,38668,42231,80908,19062,14577,33642,927,589,1517,6249,13551,19802,26240,28716,54957,12013,8007,20015,419,277,701,4344,11885,16234,16774,20174,36948,7525,3576,11101,228,109,338,4623,13820,18436,12375,17503,29879,360824,377040,737867,86161,92426,178592,297333,334790,632126,744326,804255,1548581
5RWAU,3100,5197,7836,5993,13831,10247,9659,19899,1928,3124,5052,3777,4419,8198,5798,4976,10778,11505,12518,24022,4921,6834,11748,3720,4072,7793,4243,3885,8122,12882,14791,27672,7084,8887,15972,2941,3106,6045,3655,3766,7419,13682,15754,29434,7386,8338,15730,2266,2378,4652,3606,3830,7442,13267,14559,27818,7702,8526,16225,2209,2357,4568,3951,4049,7997,13859,14933,28793,8019,8656,16678,2058,2204,4266,4352,4540,8897,14433,15410,29838,8189,8672,16860,1893,1845,3739,4486,4451,8943,14572,14972,29546,8640,8669,17306,1624,1404,3026,4195,4508,8701,14461,14574,29032,7814,7508,15323,1077,777,1854,3709,4174,7887,12596,12463,25062,7292,6196,13491,677,463,1139,3159,3813,6969,11129,10467,21598,4899,3759,8664,308,216,525,1908,3138,5047,7120,7115,14228,2916,1889,4808,153,98,255,1278,2637,3915,4353,4630,8977,1703,788,2492,61,28,89,1182,2853,4038,2946,3668,6614,78833,82468,161300,25100,26923,52026,65997,68152,134151,169937,177548,347482
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,4,0
6GHOB,1218,2052,5605,4872,10477,6572,6414,12989,1426,2070,3491,2169,2539,4703,5494,4427,9920,9087,9032,18118,3256,3909,7167,2150,2183,4331,3510,3167,6681,8926,9258,18183,3915,4190,8106,1571,1483,3052,2160,2488,4651,7638,8164,15802,3544,3706,7255,1146,1180,2328,1762,2167,3926,6452,7057,13507,3565,3863,7429,1030,1042,2072,1874,2281,4158,6474,7188,13656,3583,3774,7353,1004,957,1961,1953,2541,4492,6539,7276,13806,3656,3755,7406,861,789,1653,1996,2607,4605,6516,7150,13669,3974,4032,8000,654,577,1230,1909,2711,4621,6536,7319,13853,3722,3638,7356,456,400,859,1590,2623,4213,5770,6659,12429,3687,3122,6812,322,237,562,1283,2516,3799,5292,5880,11176,2401,1982,4383,191,111,306,899,2131,3026,3489,4215,7709,1611,1076,2692,80,44,122,629,1803,2432,2323,2920,5244,949,449,1399,30,19,49,700,1984,2688,1678,2456,4136,39418,39901,79320,12572,12861,25427,37582,44056,81636,89573,96815,186383
6RTAS,1778,3028,5679,4610,10291,7133,6797,13924,1456,2169,3623,2330,2669,4999,4542,3492,8030,8324,8329,16652,3002,3666,6664,1990,2024,4014,2805,2579,5383,7797,8266,16064,3765,4313,8083,1594,1563,3155,2142,2382,4525,7498,8255,15755,3785,4258,8044,1312,1366,2679,2013,2386,4401,7111,8014,15119,4237,4674,8908,1320,1321,2646,2450,2766,5220,8008,8766,16771,4950,5470,10417,1354,1373,2724,2753,3119,5873,9056,9960,19016,5386,5796,11187,1318,1194,2514,2916,3307,6228,9621,10299,19923,6067,6265,12326,1020,898,1918,2911,3468,6380,9998,10632,20624,5950,5614,11564,792,568,1355,2600,3380,5976,9335,9562,18894,5654,5012,10662,503,355,859,2360,3395,5760,8512,8767,17276,4091,3116,7207,239,155,388,1552,2858,4415,5877,6130,12007,2397,1507,3900,104,50,156,1072,2343,3417,3567,3897,7469,1267,602,1867,45,17,58,979,2436,3412,2286,3048,5341,52200,52879,105074,15216,15481,30690,44449,49606,94060,111873,117960,229826
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,892,1538,2934,2269,5202,3673,3426,7098,889,1488,2372,1259,1536,2800,2749,2405,5144,4895,5428,10319,2100,2798,4902,1280,1369,2647,1871,1797,3671,5250,5970,11219,2602,2968,5569,932,1044,1971,1255,1361,2613,4785,5375,10163,2425,2611,5032,694,735,1432,1036,1282,2320,4158,4630,8792,2187,2248,4431,625,636,1263,1085,1215,2304,3906,4096,8000,2079,2091,4173,596,547,1147,1178,1280,2453,3854,3923,7775,1840,1718,3559,485,436,918,1121,1222,2349,3447,3376,6826,1605,1487,3089,326,276,606,966,1130,2099,2900,2890,5788,1310,1104,2421,202,159,360,846,991,1841,2364,2261,4624,1047,784,1826,139,95,236,673,859,1531,1856,1734,3590,647,391,1033,65,33,99,360,547,900,1069,967,2034,317,159,476,17,10,27,201,413,619,536,583,1121,140,41,182,3,4,8,138,294,434,278,346,629,19282,20161,39443,7327,7856,15182,19749,20236,39987,46352,48257,94611
7RNTE,410,722,1884,1698,3578,2628,2688,5316,791,1024,1818,628,745,1370,1610,1627,3241,3028,3398,6424,1292,1545,2844,630,692,1326,1194,1399,2590,3124,3635,6758,1409,1551,2964,512,512,1017,903,1127,2031,2824,3187,6012,1232,1188,2412,402,400,797,779,884,1669,2407,2474,4883,1069,1025,2100,356,359,708,748,954,1703,2174,2339,4509,1008,1060,2064,355,365,717,762,1005,1770,2125,2432,4555,942,857,1798,268,206,473,689,919,1614,1903,1987,3889,828,701,1529,176,161,334,644,839,1482,1651,1699,3348,580,482,1059,120,77,199,504,626,1132,1201,1183,2392,411,239,645,58,27,85,333,444,770,796,705,1500,190,111,301,29,17,41,165,234,402,376,366,742,112,53,163,0,5,8,108,177,278,215,236,452,32,12,47,4,4,8,50,110,160,92,123,221,10415,10570,20985,3891,4043,7929,13144,14482,27626,27453,29088,56539
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,6,0,7
8ACTE,2624,4437,11994,11105,23102,14077,14398,28475,2860,4463,7317,4663,5299,9960,10311,8131,18447,17838,17886,35727,7350,9367,16723,3996,3634,7623,6071,5270,11342,17418,18271,35692,10341,11317,21663,2599,2442,5039,4124,4117,8248,17067,17877,34947,9783,9694,19480,1886,1794,3680,3289,3824,7104,14959,15306,30268,8747,8541,17286,1615,1586,3202,3231,3985,7211,13591,14106,27700,7945,7636,15585,1389,1226,2618,3117,3965,7075,12455,12821,25276,6982,6696,13671,1052,953,2003,2747,3875,6618,10773,11525,22297,6235,5976,12209,807,636,1443,2350,3790,6137,9390,10400,19792,5524,5208,10727,520,411,933,1810,3393,5199,7847,9013,16863,5356,4692,10051,377,261,629,1544,3469,5010,7278,8422,15699,3683,2827,6508,185,127,318,1033,2753,3789,4902,5709,10617,2165,1477,3640,65,40,104,734,2196,2931,2967,3708,6677,1388,663,2046,31,19,57,826,2439,3267,2256,3113,5370,78645,79213,157859,21087,21205,42290,64563,72852,137415,164294,173270,337567
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,19,21,50,45,101,60,71,134,26,33,54,18,25,42,39,31,69,81,81,169,31,43,72,16,22,42,24,20,44,75,83,157,61,78,140,13,23,38,31,32,68,107,138,239,64,64,127,14,17,31,22,21,48,97,106,207,60,72,136,15,15,37,33,35,67,113,117,232,67,59,121,20,25,48,28,46,76,112,132,249,78,89,169,24,21,43,54,40,96,158,152,308,80,86,166,17,18,40,45,52,92,143,157,301,75,60,139,7,13,19,41,51,88,124,125,251,74,51,134,8,3,7,26,32,57,111,88,202,39,33,69,0,0,0,21,35,53,59,63,126,21,17,38,5,0,5,10,24,37,36,44,85,13,0,18,0,0,0,12,24,37,25,28,56,693,694,1390,187,195,383,510,581,1088,1388,1468,2854
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
