GCCSA_CODE_2021,Age_0_C11_M,Age_0_C11_F,Age_0_C11_P,Age_0_C16_M,Age_0_C16_F,Age_0_C16_P,Age_0_C21_M,Age_0_C21_F,Age_0_C21_P,Age_1_C11_M,Age_1_C11_F,Age_1_C11_P,Age_1_C16_M,Age_1_C16_F,Age_1_C16_P,Age_1_C21_M,Age_1_C21_F,Age_1_C21_P,Age_2_C11_M,Age_2_C11_F,Age_2_C11_P,Age_2_C16_M,Age_2_C16_F,Age_2_C16_P,Age_2_C21_M,Age_2_C21_F,Age_2_C21_P,Age_3_C11_M,Age_3_C11_F,Age_3_C11_P,Age_3_C16_M,Age_3_C16_F,Age_3_C16_P,Age_3_C21_M,Age_3_C21_F,Age_3_C21_P,Age_4_C11_M,Age_4_C11_F,Age_4_C11_P,Age_4_C16_M,Age_4_C16_F,Age_4_C16_P,Age_4_C21_M,Age_4_C21_F,Age_4_C21_P,Age_0_4_C11_M,Age_0_4_C11_F,Age_0_4_C11_P,Age_0_4_C16_M,Age_0_4_C16_F,Age_0_4_C16_P,Age_0_4_C21_M,Age_0_4_C21_F,Age_0_4_C21_P,Age_5_C11_M,Age_5_C11_F,Age_5_C11_P,Age_5_C16_M,Age_5_C16_F,Age_5_C16_P,Age_5_C21_M,Age_5_C21_F,Age_5_C21_P,Age_6_C11_M,Age_6_C11_F,Age_6_C11_P,Age_6_C16_M,Age_6_C16_F,Age_6_C16_P,Age_6_C21_M,Age_6_C21_F,Age_6_C21_P,Age_7_C11_M,Age_7_C11_F,Age_7_C11_P,Age_7_C16_M,Age_7_C16_F,Age_7_C16_P,Age_7_C21_M,Age_7_C21_F,Age_7_C21_P,Age_8_C11_M,Age_8_C11_F,Age_8_C11_P,Age_8_C16_M,Age_8_C16_F,Age_8_C16_P,Age_8_C21_M,Age_8_C21_F,Age_8_C21_P,Age_9_C11_M,Age_9_C11_F,Age_9_C11_P,Age_9_C16_M,Age_9_C16_F,Age_9_C16_P,Age_9_C21_M,Age_9_C21_F,Age_9_C21_P,Age_5_9_C11_M,Age_5_9_C11_F,Age_5_9_C11_P,Age_5_9_C16_M,Age_5_9_C16_F,Age_5_9_C16_P,Age_5_9_C21_M,Age_5_9_C21_F,Age_5_9_C21_P,Age_10_C11_M,Age_10_C11_F,Age_10_C11_P,Age_10_C16_M,Age_10_C16_F,Age_10_C16_P,Age_10_C21_M,Age_10_C21_F,Age_10_C21_P,Age_11_C11_M,Age_11_C11_F,Age_11_C11_P,Age_11_C16_M,Age_11_C16_F,Age_11_C16_P,Age_11_C21_M,Age_11_C21_F,Age_11_C21_P,Age_12_C11_M,Age_12_C11_F,Age_12_C11_P,Age_12_C16_M,Age_12_C16_F,Age_12_C16_P,Age_12_C21_M,Age_12_C21_F,Age_12_C21_P,Age_13_C11_M,Age_13_C11_F,Age_13_C11_P,Age_13_C16_M,Age_13_C16_F,Age_13_C16_P,Age_13_C21_M,Age_13_C21_F,Age_13_C21_P,Age_14_C11_M,Age_14_C11_F,Age_14_C11_P,Age_14_C16_M,Age_14_C16_F,Age_14_C16_P,Age_14_C21_M,Age_14_C21_F,Age_14_C21_P,Age_10_14_C11_M,Age_10_14_C11_F,Age_10_14_C11_P,Age_10_14_C16_M,Age_10_14_C16_F,Age_10_14_C16_P,Age_10_14_C21_M,Age_10_14_C21_F,Age_10_14_C21_P,Age_15_C11_M,Age_15_C11_F,Age_15_C11_P,Age_15_C16_M,Age_15_C16_F,Age_15_C16_P,Age_15_C21_M,Age_15_C21_F,Age_15_C21_P,Age_16_C11_M,Age_16_C11_F,Age_16_C11_P,Age_16_C16_M,Age_16_C16_F,Age_16_C16_P,Age_16_C21_M,Age_16_C21_F,Age_16_C21_P,Age_17_C11_M,Age_17_C11_F,Age_17_C11_P,Age_17_C16_M,Age_17_C16_F,Age_17_C16_P,Age_17_C21_M,Age_17_C21_F,Age_17_C21_P,Age_18_C11_M,Age_18_C11_F,Age_18_C11_P,Age_18_C16_M,Age_18_C16_F,Age_18_C16_P,Age_18_C21_M,Age_18_C21_F,Age_18_C21_P,Age_19_C11_M,Age_19_C11_F
39499,69,42,110,31,33,61,40,36,69,54,50,102,28,33,56,58,57,110,53,44,103,43,30,72,73,35,109,48,44,91,46,37,83,64,48,110,44,47,89,37,29,59,43,58,102,261,235,499,178,159,341,277,229,504,24,38,67,33,32,63,51,49,104,31,37,64,20,22,50,63,50,114,45,30,76,25,25,50,48,48,98,41,30,75,36,30,67,47,48,102,22,28,59,30,33,63,47,49,94,170,167,336,148,140,291,260,249,509,31,26,62,30,30,58,58,46,102,23,31,51,30,14,43,45,54,98,12,18,30,22,18,39,58,41,94,20,21,45,9,14,27,45,29,73,28,10,35,15,20,34,28,36,67,118,115,225,105,95,200,219,207,424,21,39,61,19,13,32,50,47,95,39,32,75,31,28,52,45,65,109,63,65,124,33,24,59,50,61,110,67,53,117,60,50,103,52,45,98,82,66
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,10,0,0,0,0,0,0,0,10,8,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,4,3,10,0,0,0,0,0,0,5,0,5,0,3,3,0,0,0,0,0
4GADE,7366,7073,14437,7350,6929,14288,7524,7156,14678,7576,7135,14715,7804,7378,15182,7629,7216,14847,7474,7196,14674,7905,7441,15352,7554,7201,14758,7567,7260,14824,8046,7490,15544,7825,7269,15095,7517,7394,14911,8125,7665,15788,7902,7468,15371,37501,36057,73556,39238,36906,76146,38441,36305,74749,7540,6965,14500,7765,7552,15311,8291,7810,16105,7044,6902,13945,8105,7461,15565,8241,7787,16022,7290,6688,13977,7839,7549,15388,8402,7879,16274,6997,6800,13798,7883,7679,15565,8424,8001,16422,7222,6681,13899,7785,7661,15444,8550,8055,16609,36083,34029,70117,39373,37899,77273,41903,39532,81431,7205,6898,14106,7718,7195,14921,8197,7903,16103,7424,6999,14426,7329,7003,14339,8548,7811,16359,7576,7243,14823,7470,7037,14504,8304,7952,16254,7574,7204,14784,7279,7035,14314,8318,8066,16381,7551,7271,14824,7485,6969,14451,8278,7974,16250,37332,35623,72953,37283,35246,72532,41658,39695,81359,7954,7454,15413,7595,7306,14900,8176,7635,15813,8287,7714,15999,7949,7447,15396,7810,7481,15294,7978,7650,15625,8115,7649,15759,8083,7515,15600,8241,7968,16208,8225,7992,16215,7912,7668,15581,8578,8497
4RSAU,2150,2035,4187,1907,1927,3839,1920,1803,3721,2256,2127,4385,2072,1983,4050,1850,1818,3666,2390,2190,4579,2146,2063,4214,1979,1949,3927,2370,2243,4614,2210,2092,4298,2044,1949,3994,2405,2287,4693,2290,2142,4432,2036,1992,4028,11572,10877,22449,10629,10210,20839,9835,9511,19344,2359,2226,4580,2363,2060,4422,2139,2155,4296,2383,2254,4636,2375,2216,4592,2166,2062,4229,2376,2187,4561,2454,2256,4708,2292,2182,4476,2345,2200,4543,2399,2238,4640,2342,2171,4512,2328,2322,4650,2429,2334,4758,2389,2267,4652,11784,11189,22972,12021,11105,23134,11325,10844,22167,2370,2301,4669,2324,2256,4585,2417,2184,4604,2596,2379,4979,2450,2250,4702,2432,2305,4734,2499,2460,4956,2339,2196,4536,2480,2315,4797,2507,2406,4914,2348,2132,4483,2437,2347,4777,2572,2489,5053,2297,2270,4571,2454,2322,4779,12541,12035,24579,11767,11106,22871,12213,11467,23690,2547,2399,4943,2257,2212,4471,2383,2158,4543,2573,2295,4864,2360,2217,4576,2290,2121,4413,2501,2375,4878,2325,2246,4574,2189,2000,4186,2306,1991,4292,2036,1858,3900,2043,1774,3819,2043,1762
49499,20,19,35,12,9,15,18,12,30,18,19,39,13,5,18,5,15,21,15,15,30,13,10,20,18,9,24,9,11,18,3,12,22,14,9,23,9,5,19,8,10,16,22,15,39,69,68,134,46,42,89,77,56,140,8,14,24,3,6,9,17,18,34,10,14,18,4,10,14,11,14,24,4,7,13,6,3,15,27,4,33,14,13,23,5,4,8,11,17,28,13,9,24,6,5,15,11,21,34,46,57,110,34,31,66,73,71,147,7,6,8,4,6,18,15,14,30,8,9,20,3,11,16,15,13,22,6,3,11,9,12,20,8,12,24,8,5,12,0,8,4,9,21,29,8,0,16,3,0,6,6,13,11,35,27,60,25,33,60,52,70,119,5,3,9,15,6,25,12,13,26,10,13,28,13,16,37,12,29,44,12,11,22,16,20,36,14,20,32,23,9,27,12,16,28,11,26,42,25,27
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,11536,11091,22633,12701,11919,24628,12764,12130,24898,11900,11215,23114,13305,12384,25685,13067,12405,25476,11789,10859,22650,12942,12545,25487,13294,12528,25818,11802,11361,23162,13173,12415,25589,13570,12768,26343,12050,11204,23252,12916,12406,25318,14009,13062,27076,59082,55737,114820,65037,61673,126714,66701,62896,129598,11557,11042,22599,13000,12632,25630,14331,13395,27722,11073,10418,21490,13156,12356,25508,14006,13122,27131,11067,10248,21317,12932,12028,24952,13795,13322,27114,10729,10376,21104,13076,12437,25514,14028,13364,27397,10596,10096,20689,12981,12241,25220,13729,13322,27051,55029,52174,107197,65141,61692,126831,69895,66521,136414,10937,10447,21384,12566,11867,24437,13886,13347,27237,11018,10502,21514,12017,11333,23348,13924,13153,27074,11519,10979,22498,12114,11285,23410,13901,12789,26698,11508,10944,22455,11641,11329,22971,13982,13314,27296,11618,10914,22532,11628,11001,22627,13933,12985,26921,56599,53788,110391,59967,56816,116785,69632,65588,135222,11895,11185,23084,11993,11398,23393,13309,12596,25906,12006,11336,23344,11977,11623,23594,12768,11988,24753,12011,11391,23410,12292,11712,24001,12570,11723,24293,12039,11581,23617,12287,11694,23988,12130,11937,24064,12330,11962
5RWAU,3524,3210,6734,3366,3071,6438,3043,2851,5897,3707,3547,7248,3605,3433,7032,3248,3058,6301,3731,3459,7185,3675,3433,7105,3337,3067,6395,3755,3594,7345,3749,3413,7167,3351,3193,6541,3933,3732,7665,3644,3465,7111,3428,3289,6717,18645,17532,36179,18035,16819,34855,16402,15458,31859,3707,3662,7366,3830,3427,7254,3649,3421,7074,3632,3491,7120,3744,3674,7411,3696,3430,7125,3569,3378,6947,3799,3532,7335,3759,3550,7308,3453,3392,6846,3782,3739,7518,3724,3477,7205,3604,3480,7080,3920,3746,7665,3765,3500,7268,17966,17403,35366,19067,18110,37186,18591,17389,35974,3736,3541,7280,3697,3691,7385,3799,3436,7240,3690,3611,7296,3560,3370,6927,3749,3651,7399,3853,3500,7354,3433,3157,6590,3594,3474,7069,3556,3253,6805,3255,3178,6437,3631,3463,7102,3487,3290,6781,3337,3248,6585,3622,3517,7137,18316,17189,35507,17279,16641,33922,18396,17547,35939,3491,3129,6626,3417,3115,6527,3414,3352,6770,3428,3154,6585,3332,3159,6493,3303,3026,6333,3307,2948,6259,3403,3012,6415,3234,2969,6207,3029,2598,5626,2889,2537,5435,2841,2552,5394,2795,2337
59499,29,23,47,14,20,39,24,32,53,34,25,54,17,12,28,27,31,58,25,30,61,11,21,32,45,31,73,13,28,42,19,11,32,23,32,53,26,30,56,19,16,32,29,24,63,126,132,259,81,79,163,149,153,300,25,24,48,14,12,26,30,28,60,18,22,36,14,18,32,21,24,46,16,11,28,20,15,31,27,25,53,26,21,46,13,9,22,28,27,57,26,17,49,12,12,30,25,20,49,109,96,204,66,69,136,132,127,259,16,13,33,14,15,22,38,35,67,15,13,26,12,6,25,13,24,40,14,15,32,6,7,16,15,15,27,17,11,24,13,4,17,33,12,44,8,13,28,6,10,21,21,20,41,68,71,141,53,44,96,116,101,212,16,13,23,6,8,19,17,20,38,18,18,30,14,7,20,11,25,42,24,25,52,13,12,21,20,28,52,29,21,46,18,14,35,22,44,71,39,37
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,3,0
6GHOB,1380,1285,2665,1291,1177,2469,1289,1261,2555,1396,1290,2691,1337,1238,2573,1375,1248,2621,1367,1357,2724,1342,1262,2609,1330,1209,2541,1432,1323,2758,1358,1296,2648,1287,1213,2497,1369,1361,2729,1342,1365,2699,1354,1290,2639,6948,6622,13565,6660,6337,12998,6632,6216,12856,1373,1308,2682,1463,1346,2804,1452,1389,2841,1403,1218,2619,1436,1274,2712,1411,1333,2747,1277,1179,2455,1409,1429,2835,1436,1397,2837,1337,1207,2541,1434,1390,2827,1436,1406,2840,1312,1217,2528,1413,1397,2805,1379,1394,2777,6695,6135,12828,7158,6831,13986,7121,6921,14043,1418,1269,2687,1384,1321,2708,1576,1412,2990,1336,1288,2619,1403,1298,2700,1500,1371,2868,1317,1379,2692,1338,1205,2541,1473,1468,2940,1377,1303,2685,1309,1236,2546,1527,1436,2961,1388,1298,2687,1347,1271,2619,1512,1403,2915,6834,6539,13376,6780,6329,13108,7591,7091,14682,1352,1368,2720,1414,1315,2733,1434,1341,2771,1480,1365,2843,1359,1278,2639,1442,1339,2780,1425,1333,2750,1352,1406,2765,1337,1261,2596,1373,1330,2699,1376,1347,2720,1321,1234,2551,1390,1376
6RTAS,1701,1571,3275,1487,1386,2874,1524,1408,2929,1744,1652,3399,1555,1516,3073,1513,1502,3013,1862,1726,3585,1562,1575,3136,1594,1515,3110,1841,1763,3601,1626,1563,3188,1622,1501,3123,1899,1817,3715,1623,1541,3165,1621,1584,3210,9048,8529,17570,7851,7576,15432,7871,7515,15385,1833,1768,3599,1729,1588,3318,1725,1554,3284,1776,1671,3453,1723,1667,3387,1699,1649,3344,1739,1649,3388,1846,1712,3558,1731,1716,3452,1677,1663,3344,1869,1740,3612,1771,1715,3492,1811,1783,3588,1859,1779,3642,1788,1698,3486,8838,8532,17373,9024,8483,17504,8722,8331,17057,1815,1765,3579,1860,1735,3592,1809,1758,3563,1941,1873,3815,1732,1662,3394,1831,1708,3541,2047,1909,3950,1704,1630,3335,1996,1877,3868,1920,1817,3734,1636,1656,3290,1910,1796,3705,1995,1980,3978,1778,1700,3480,1970,1840,3809,9717,9335,19051,8707,8386,17097,9514,8977,18493,2047,1883,3922,1773,1690,3465,1923,1782,3702,2089,1977,4070,1917,1761,3678,1797,1664,3458,2028,1799,3827,1917,1767,3684,1695,1619,3317,1879,1745,3619,1741,1590,3333,1615,1544,3158,1742,1617
69499,6,5,12,9,0,7,0,5,3,3,0,7,3,5,5,5,7,15,3,5,6,4,0,7,3,7,11,7,7,10,3,5,7,3,0,8,5,9,14,0,5,9,5,0,6,25,20,42,21,15,39,21,19,42,4,3,3,3,0,4,4,7,8,0,7,11,0,4,5,9,5,8,3,3,7,0,0,3,3,3,7,0,3,3,0,0,5,11,6,12,5,3,6,0,7,4,4,3,14,13,19,28,9,10,18,29,23,52,0,5,4,3,0,0,7,8,13,3,0,3,4,0,6,4,3,8,0,0,5,0,8,6,3,0,5,5,0,7,0,3,3,6,7,10,5,5,7,0,5,5,0,0,4,14,15,23,7,13,20,23,16,42,0,8,8,0,4,7,3,6,14,12,7,18,6,3,7,8,4,11,5,9,20,0,4,7,12,10,22,11,12,21,9,8,19,12,13,20,13,17
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,976,868,1840,1032,1026,2053,975,953,1926,900,841,1740,1087,1037,2121,984,910,1890,891,845,1732,1047,980,2031,972,945,1918,918,895,1814,943,1009,1950,986,881,1868,934,843,1779,1027,969,1997,983,958,1941,4618,4286,8906,5133,5017,10155,4900,4653,9555,884,854,1740,995,915,1910,934,986,1918,838,832,1668,971,876,1844,1001,959,1960,753,784,1539,918,873,1796,1000,956,1955,816,831,1649,945,923,1869,960,987,1946,816,802,1616,938,865,1799,967,980,1945,4106,4101,8211,4771,4454,9223,4865,4864,9728,835,851,1684,881,852,1730,921,891,1809,807,807,1615,827,782,1610,984,869,1853,825,787,1608,790,767,1560,938,824,1764,899,783,1683,845,778,1624,940,914,1860,857,817,1677,816,812,1628,888,838,1725,4225,4038,8265,4160,3990,8154,4663,4342,9009,880,753,1633,861,755,1614,800,847,1647,947,751,1696,816,778,1600,814,791,1606,839,760,1604,765,733,1499,784,732,1517,822,742,1564,807,628,1435,796,725,1520,849,685
7RNTE,751,706,1457,672,626,1296,584,524,1106,915,859,1775,850,719,1571,751,658,1410,846,812,1657,761,718,1481,666,614,1279,821,790,1616,776,729,1505,713,618,1330,846,804,1654,767,780,1550,746,636,1379,4184,3968,8155,3823,3570,7397,3457,3048,6503,896,835,1735,831,758,1589,737,664,1401,873,781,1656,831,765,1597,800,694,1496,833,775,1603,821,721,1538,711,602,1313,844,793,1641,734,694,1419,659,658,1323,760,759,1512,668,688,1354,699,717,1409,4205,3947,8146,3880,3624,7501,3606,3331,6941,866,811,1677,755,685,1436,768,685,1448,779,692,1468,692,630,1328,725,676,1397,731,691,1421,709,606,1315,662,692,1352,747,676,1423,724,685,1402,659,562,1217,698,633,1329,716,635,1357,673,619,1289,3822,3495,7315,3598,3246,6842,3484,3229,6711,706,636,1342,735,657,1391,676,582,1257,739,712,1460,711,615,1330,646,562,1200,711,636,1347,656,572,1226,673,581,1252,673,648,1324,676,616,1292,665,640,1305,677,621
79499,0,3,5,4,3,9,11,10,22,6,11,13,4,10,13,26,12,35,5,10,15,9,5,18,21,5,34,0,6,13,11,13,25,19,30,44,8,4,16,8,7,18,15,9,25,29,36,59,44,39,79,89,69,164,8,8,10,4,0,4,19,19,42,5,6,8,6,15,21,19,13,31,4,0,10,9,16,17,17,18,35,3,9,15,10,12,25,17,10,23,6,4,11,6,9,22,24,17,40,28,26,57,37,60,89,93,77,169,9,3,6,7,8,16,26,10,34,7,4,5,0,5,3,21,15,29,0,3,8,0,5,9,13,14,26,0,0,0,0,3,5,12,3,15,0,0,0,0,3,8,8,8,11,11,17,28,20,11,31,70,48,117,0,0,0,0,4,4,7,11,18,0,0,0,0,0,0,7,9,15,0,3,3,3,8,9,5,3,8,5,8,18,6,3,12,9,14,23,5,4
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,7,0
8ACTE,2484,2243,4724,2664,2461,5130,2717,2399,5117,2574,2475,5046,2837,2642,5483,2698,2607,5309,2511,2276,4787,2818,2560,5380,2724,2597,5322,2413,2217,4635,2752,2670,5423,2675,2583,5256,2394,2229,4622,2816,2559,5374,2938,2718,5659,12373,11442,23814,13892,12893,26785,13746,12907,26660,2406,2258,4665,2747,2505,5254,3000,2816,5816,2253,2105,4357,2788,2577,5365,3063,2831,5897,2174,2038,4215,2643,2433,5082,3036,2833,5871,2199,1973,4177,2561,2385,4949,2987,2900,5888,2022,1957,3987,2479,2311,4789,2914,2770,5686,11059,10335,21394,13217,12213,25429,15000,14154,29156,2072,2048,4116,2518,2334,4852,2908,2724,5628,2156,2067,4222,2264,2217,4480,2950,2774,5720,2185,2112,4292,2253,2121,4373,2788,2577,5365,2145,2045,4195,2248,2064,4312,2674,2526,5196,2190,2058,4254,2111,2096,4212,2698,2479,5173,10751,10327,21081,11390,10840,22234,14007,13077,27079,2122,2113,4235,2207,2103,4307,2673,2411,5078,2340,2104,4441,2202,2154,4355,2452,2268,4721,2304,2301,4612,2339,2289,4627,2405,2285,4696,2630,2356,4982,2636,2630,5264,2855,2839,5691,2938,2737
89499,0,6,3,0,0,0,4,0,4,5,4,6,0,3,0,0,4,5,6,4,3,0,0,0,0,0,0,0,7,10,0,0,3,5,5,11,0,0,0,3,0,4,0,3,5,15,17,28,6,3,11,18,9,19,0,3,3,0,7,8,0,0,0,0,3,0,4,0,3,3,0,3,5,0,5,3,0,9,0,0,3,0,4,0,3,0,6,0,0,0,3,3,5,0,0,0,0,0,0,14,13,20,6,9,22,3,4,9,0,0,0,0,0,3,0,5,3,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,6,6,5,0,3,7,9,14,0,5,4,0,0,4,0,0,0,7,5,12,0,0,4,5,6,13,5,8,12,3,0,6,5,11,12,4,4,11,6,7,9,8,9,18,12,4
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,12,4,20,13,26,47,24,17,43,18,14,31,26,24,45,28,18,38,14,15,28,37,27,64,24,24,54,19,20,34,29,20,51,26,25,50,15,10,26,36,22,55,26,27,51,78,60,140,136,122,262,132,109,243,18,12,31,31,21,57,19,35,59,21,16,38,30,32,63,25,31,59,12,16,28,28,27,52,40,26,71,23,19,42,31,29,59,28,15,50,19,19,40,34,26,58,36,27,65,87,87,176,154,130,285,150,141,292,20,16,34,36,28,67,39,21,62,16,24,37,19,28,47,25,30,56,21,11,35,21,28,48,48,18,66,16,18,34,24,25,48,24,29,58,19,16,47,26,26,55,30,26,53,92,93,182,127,134,261,167,130,295,21,9,32,13,26,37,27,20,49,29,13,40,24,21,43,20,22,43,21,9,30,21,22,46,16,23,39,17,12,25,26,15,39,11,20,33,25,15
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
