GCCSA_CODE_2021,C21_75_79_Div_P,C21_75_79_Wid_M,C21_75_79_Wid_F,C21_75_79_Wid_P,C21_75_79_Nvr_marrd_M,C21_75_79_Nvr_marrd_F,C21_75_79_Nvr_marrd_P,C21_75_79_Tot_M,C21_75_79_Tot_F,C21_75_79_Tot_P,C21_80_84_Married_M,C21_80_84_Married_F,C21_80_84_Married_P,C21_80_84_Sep_M,C21_80_84_Sep_F,C21_80_84_Sep_P,C21_80_84_Div_M,C21_80_84_Div_F,C21_80_84_Div_P,C21_80_84_Wid_M,C21_80_84_Wid_F,C21_80_84_Wid_P,C21_80_84_Nvr_marrd_M,C21_80_84_Nvr_marrd_F,C21_80_84_Nvr_marrd_P,C21_80_84_Tot_M,C21_80_84_Tot_F,C21_80_84_Tot_P,C21_85_over_Married_M,C21_85_over_Married_F,C21_85_over_Married_P,C21_85_over_Seprtd_M,C21_85_over_Seprtd_F,C21_85_over_Seprtd_P,C21_85_over_Divorce_M,C21_85_over_Divorce_F,C21_85_over_Divorce_P,C21_85_over_Wid_M,C21_85_over_Wid_F,C21_85_over_Wid_P,C21_85_over_Nvr_mard_M,C21_85_over_Nvr_mard_F,C21_85_over_Nvr_mard_P,C21_85_over_Tot_M,C21_85_over_Tot_F,C21_85_over_Tot_P,C21_Tot_Married_M,C21_Tot_Married_F,C21_Tot_Married_P,C21_Tot_Sep_M,C21_Tot_Sep_F,C21_Tot_Sep_P,C21_Tot_Div_M,C21_Tot_Div_F,C21_Tot_Div_P,C21_Tot_Wid_M,C21_Tot_Wid_F,C21_Tot_Wid_P,C21_Tot_nver_marrie_M,C21_Tot_nver_marrie_F,C21_Tot_nver_marrie_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
6GHOB,1302,395,1413,1813,202,191,393,3910,4667,8583,1822,1206,3029,59,46,103,268,421,685,411,1573,1978,96,116,220,2655,3362,6011,1150,570,1715,34,20,55,110,247,355,748,2571,3320,72,109,187,2116,3516,5631,44223,44198,88420,2786,3482,6264,8103,11925,20030,2574,8658,11226,41490,38077,79570,99180,106333,205506
6RTAS,1778,679,2095,2770,298,213,510,6600,6823,13428,2696,1740,4431,89,67,159,379,417,795,702,2190,2896,188,133,318,4049,4543,8596,1601,805,2409,44,27,68,188,270,459,1003,3189,4196,109,121,234,2948,4415,7361,58977,58799,117777,4281,4794,9081,12402,15135,27538,4068,12353,16424,46636,40712,87344,126364,131795,258158
69499,5,6,0,8,7,0,7,13,8,24,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,99,99,206,69,53,125,103,89,191,11,27,35,405,291,696,689,561,1248
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,10,0,14,13,0,19
7GDAR,379,104,346,451,123,49,175,1215,1086,2307,373,183,556,18,18,39,82,97,186,93,361,456,37,26,67,613,692,1306,178,64,242,13,6,11,35,57,93,114,323,436,33,19,49,370,465,833,23901,23300,47202,1809,2025,3836,4210,4970,9177,753,2561,3308,25637,22447,48086,56309,55301,111611
7RNTE,159,66,164,230,65,59,117,499,445,943,143,69,213,14,5,24,33,34,66,57,133,192,33,36,64,276,279,555,54,28,82,3,5,9,10,14,26,36,124,163,17,32,46,123,198,326,14397,13825,28221,1204,1281,2482,1993,2127,4125,640,1979,2615,16109,15394,31501,34338,34608,68943
79499,6,0,0,0,4,4,5,20,9,32,5,0,3,0,0,0,8,0,9,6,0,6,0,0,0,15,7,13,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,4,7,456,429,886,45,44,88,144,99,251,38,56,91,879,859,1736,1567,1486,3052
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,6,35,5,0,5,17,0,19,0,0,0,42,4,39,83,11,94
8ACTE,1550,463,1763,2225,246,270,511,5460,6287,11749,2403,1687,4088,81,58,140,290,515,801,467,1895,2358,86,117,203,3327,4267,7596,1690,831,2523,37,29,65,159,370,530,895,2950,3847,79,127,207,2868,4315,7180,86981,86562,173542,4232,5223,9453,11248,17438,28683,2979,10776,13757,75817,69741,145560,181261,189730,370996
89499,0,0,0,4,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,32,40,76,19,10,32,35,30,68,7,8,15,221,158,375,315,249,560
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,18,6,26,28,3,0,8,78,80,154,29,27,60,0,0,6,5,4,14,11,18,34,0,0,0,49,56,106,14,0,17,0,0,0,0,4,9,12,24,32,0,0,0,36,34,62,1014,913,1926,90,72,163,201,208,409,49,127,170,715,575,1291,2068,1887,3953
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,0,0,0,0,0,0,0,0,0,4,0,6,6,4,11
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
